----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |         Rel. |    Aki     | Acc. |          Ei           Ek          |              Lower level              |              Upper level              |  gi   gk  |Type|                     TP  |        Line  |
          |     Wavelength     |     Wavelength     |         Int. |   (s^-1)   |      |         (eV)         (eV)         |---------------------------------------|---------------------------------------|           |    |                    Ref. |        Ref.  |
          |      Air (nm)      |      Air (nm)      |              |            |      |                                   | Conf.                  | Term  | J    | Conf.                  | Term  | J    |           |    |                         |              |
Cr II     |         200.66374  |         200.663681 |           11 |            |      |     3.10398700  -      9.2806951  | 3d5                    | b 4D  | 1/2  | 3d4.(3D).4p            | y 2P* | 1/2  |   2 - 2   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr I      |         200.688    |         200.688182 |           6: |            |      |     0.00000000  -      6.1759542  | 3d5.(6S).4s            | a 7S  | 3    | 3d5.(4D).4p            | t 5P* | 3    |   7 - 7   |    |                         |       L9365  |
Cr II     |         200.69358  |         200.693560 |           15 |            |      |     3.10490644  -      9.2806951  | 3d5                    | b 4D  | 3/2  | 3d4.(3D).4p            | y 2P* | 1/2  |   4 - 2   |    |                         |      L18847  |
Cr II     |         200.719091 |         200.719099 |           37 |            |      |     2.54317167  -      8.71817466 | 3d5                    | a 4G  | 5/2  | 3d4.(3G).4p            | x 4G* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         200.72271  |         200.722698 |           12 |            |      |     4.74482185  -     10.9197142  | 3d4.(3D).4s            | c 4D  | 7/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 9/2  |   8 - 10  |    |                         |      L18847  |
Cr II     |         200.74215  |         200.742194 |            6 |            |      |     2.54388197  -      8.71817466 | 3d5                    | a 4G  | 7/2  | 3d4.(3G).4p            | x 4G* | 5/2  |   8 - 6   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         200.7858   |         200.785775 |            4 |            |      |     8.35074076  -     14.5236935  | 3d4.(3H).4p            | y 4G* | 9/2  | 3d4.(5D).6d            | 4G    | 9/2  |  10 - 10  |    |                         |      L18847  |
Cr II     |         200.798880 |         200.798888 |          230 |            |      |     8.21476628  -     14.3873160  | 3d3.4s2                | d 4P  | 5/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         201.101877 |         201.101880 |           88 |            |      |     8.21476628  -     14.3780174  | 3d3.4s2                | d 4P  | 5/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         201.11691  |         201.116902 |           16 | 8.33e+05   |      |     0.00000000  -      6.16279084 | 3d5                    | a 6S  | 5/2  | 3d4.(5D).4p            | z 4P* | 5/2  |   6 - 6   |    |                   T7574 |      L18847  |
Cr II     |         201.21445  |         201.214260 |            7 |            |      |     3.10398700  -      9.26379639 | 3d5                    | b 4D  | 1/2  | 3d4.(3D).4p            | x 4P* | 3/2  |   2 - 4   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         201.24430  |         201.244303 |           26 |            |      |     3.10490644  -      9.26379639 | 3d5                    | b 4D  | 3/2  | 3d4.(3D).4p            | x 4P* | 3/2  |   4 - 4   |    |                         |      L18847  |
Cr II     |         201.260323 |         201.260329 |           71 |            |      |     3.10539678  -      9.26379639 | 3d5                    | b 4D  | 5/2  | 3d4.(3D).4p            | x 4P* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         201.27795  |         201.277940 |           16 |            |      |     4.49721894  -     10.65507979 | 3d5                    | a 2G  | 9/2  | 3d4.(1F).4p            | v 2G* | 9/2  |  10 - 10  |    |                         |      L18847  |
Cr II     |         201.36182  |         201.361843 |            6 | 1.57e+05   |      |     0.00000000  -      6.15529539 | 3d5                    | a 6S  | 5/2  | 3d4.(5D).4p            | z 6D* | 7/2  |   6 - 8   |    |                   T7574 |      L18847  |
Cr II     |         201.369430 |         201.369412 |           53 |            |      |     6.6047630   -     12.7598271  | 3d3.4s2                | c 4F  | 5/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 7/2  |   6 - 8   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         201.411555 |         201.411572 |           59 |            |      |     6.64136865  -     12.7951445  | 3d3.4s2                | c 4F  | 7/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 9/2  |   8 - 10  |    |                         |      L18847  |
Cr II     |         201.435437 |         201.43546  |           44 |            |      |     6.5775271   -     12.7305733  | 3d3.4s2                | c 4F  | 3/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |         201.44389  |         201.443919 |           12 |            |      |     8.21476628  -     14.3675541  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<4>).5f         | 2[4]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |         201.54045  |         201.540398 |           10 |            |      |     4.75043404  -     10.9002769  | 3d4.(3D).4s            | c 4D  | 5/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |         201.588357 |         201.588358 |          100 |            |      |     6.68566396  -     12.8340439  | 3d3.4s2                | c 4F  | 9/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 11/2 |  10 - 12  |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         201.62983  |         201.62990  |            4 |            |      |     6.80524287  -     12.9523562  | 3d4.(a 3F).4s          | d 4F  | 7/2  | 3d3.(a 2D).4s.4p.(3P*) | o 4D* | 5/2  |   8 - 6   |    |                         |      L18847  |
Cr II     |         201.6921   |         201.692190 |            3 | 2.82e+05   |      |     0.00000000  -      6.14521522 | 3d5                    | a 6S  | 5/2  | 3d4.(5D).4p            | z 6D* | 3/2  |   6 - 4   |    |                   T7574 |      L18847  |
Cr II     |         201.70817  |         201.708133 |           9* |            |      |     8.18422741  -     14.3289570  | 3d3.4s2                | d 4P  | 3/2  | 3d4.(5D<3>).5f         | 2[2]* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |         201.70817  |         201.70815  |           9* |            |      |     6.6047630   -     12.7494920  | 3d3.4s2                | c 4F  | 5/2  | 3d3.(4P).4s.4p.(3P*)   | q 4D* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |         201.73611  |         201.736112 |           22 |            |      |     8.21476628  -     14.3586437  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<4>).5f         | 2[3]* | 5/2  |   6 - 6   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
