-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration           | Term      |        J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Leading percentages                                | Reference
3d9.(2D).4s.4p.(1P*)    | 2D*       |      5/2 |    6 |       7.023880    |         0.000005   |   1.17   |  75             :    15  3d9.(2D).4s.4p.(1P*) 2F*  |        L10559c152
                        |           |      3/2 |    4 |       7.276745    |         0.000006   |          |  87             :     6  3d8.(3F).4s2.4p      2D*  |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.7s                 | 2S        |      1/2 |    2 |       7.0263552   |         0.0000016  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.7p                 | 2P*       |      1/2 |    2 |       7.119078    |         0.000006   |          |                                                    |        L10559c152
                        |           |      3/2 |    4 |       7.1847067   |         0.0000021  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.6d                 | 2D        |      3/2 |    4 |       7.1778165   |         0.0000010  |          |                                                    |        L18473c152
                        |           |      5/2 |    6 |       7.1780681   |         0.0000012  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.5f                 | 2F*       |      5/2 |    6 |       7.1793195   |         0.0000007  |          |                                                    |        L18473c152
                        |           |      7/2 |    8 |       7.1802166   |         0.0000007  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.5g                 | 2G        |      9/2 |   10 |       7.1816766   |         0.0000016  |          |                                                    |        L18473c152
                        |           |      7/2 |    8 |       7.1816766   |         0.0000016  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.8s                 | 2S        |      1/2 |    2 |       7.261618    |         0.000014   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.7d                 | 2D        |      3/2 |    4 |       7.345981    |         0.000003   |          |                                                    |        L18473c152
                        |           |      5/2 |    6 |       7.3461333   |         0.0000022  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.6f                 | 2F*       |      7/2 |    8 |       7.347225    |         0.000003   |          |                                                    |        L18473c152
                        |           |      5/2 |    6 |       7.3472874   |         0.0000025  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.6g                 | 2G        |      7/2 |    8 |       7.3481358   |         0.0000015  |          |                                                    |        L18473c152
