-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |                      Level (eV)   |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
                       |           |   0 |    1 |           3.11096179              |          0.00000025  |           |  79             :    12  3d7.(4P).4s           3P   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2G).4s            | a 1G      |   4 |    9 |           3.04686890              |          0.00000012  |   1.001   |  90             :     3  3d7.(2H).4s           3H   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 5D*     |   4 |    9 |           3.21118938              |          0.00000012  |   1.502   |  91             :     6  3d7.(4F).4p           5D*  |          
                       |           |   3 |    7 |           3.24096914              |          0.00000012  |   1.500   |  91             :     6  3d7.(4F).4p           5D*  |          
                       |           |   2 |    5 |           3.26570610              |          0.00000012  |   1.503   |  92             :     6  3d7.(4F).4p           5D*  |          
                       |           |   1 |    3 |           3.28302483              |          0.00000012  |   1.495   |  92             :     6  3d7.(4F).4p           5D*  |          
                       |           |   0 |    1 |           3.29183986              |          0.00000012  |           |  93             :     5  3d7.(4F).4p           5D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2H).4s            | b 3H      |   6 |   13 |           3.23672008              |          0.00000012  |   1.165   | 100                                                 |          
                       |           |   5 |   11 |           3.26711257              |          0.00000012  |   1.032   |  98             :     2  3d7.(2H).4s           1H   |          
                       |           |   4 |    9 |           3.30140276              |          0.00000012  |   0.811   |  98             :     2  3d7.(2G).4s           1G   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2D2).4s           | a 3D      |   3 |    7 |           3.25148176              |          0.00000012  |   1.335   |  74             :     3  3d7.(2D1).4s          3D   |          
                       |           |   1 |    3 |           3.27398440              |          0.00000012  |   0.731   |  45             :    35  3d7.(2P).4s           1P   |          
                       |           |   2 |    5 |           3.30092244              |          0.00000012  |   1.178   |  67             :    18  3d7.(2D1).4s          3D   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 5F*     |   5 |   11 |           3.33201954              |          0.00000012  |   1.399   |  95             :     4  3d7.(4F).4p           5F*  |          
                       |           |   4 |    9 |           3.36825640              |          0.00000012  |   1.355   |  94             :     4  3d7.(4F).4p           5F*  |          
                       |           |   3 |    7 |           3.39650880              |          0.00000012  |   1.250   |  94             :     4  3d7.(4F).4p           5F*  |          
                       |           |   2 |    5 |           3.41695281              |          0.00000012  |   1.004   |  95             :     4  3d7.(4F).4p           5F*  |          
                       |           |   1 |    3 |           3.43018998              |          0.00000012  |  -0.012   |  95             :     4  3d7.(4F).4p           5F*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2P).4s            | a 1P      |   1 |    3 |           3.41489715              |          0.00000012  |   0.817   |  62             :    23  3d7.(2D2).4s          3D   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2D2).4s           | a 1D      |   2 |    5 |           3.54652001              |          0.00000012  |   1.028   |  64             :    16  3d7.(2D1).4s          1D   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2H).4s            | a 1H      |   5 |   11 |           3.57321890              |          0.00000012  |   1.000   |  98                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 5P*     |   3 |    7 |           3.60252504              |          0.00000012  |   1.657   |  98                                                 |          
                       |           |   2 |    5 |           3.65369332              |          0.00000012  |   1.835   |  97                                                 |          
                       |           |   1 |    3 |           3.68638944              |          0.00000012  |   2.487   |  97                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | a 1I      |   6 |   13 |           3.63434980              |          0.00000012  |   1.014   | 100                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | b 3D      |   1 |    3 |           3.63521992              |          0.00000012  |           |  88             :     8  3d7.(2D2).4s          3D   |          
                       |           |   2 |    5 |           3.63977237              |          0.00000012  |           |  81             :     7  3d7.(2D2).4s          3D   |          
                       |           |   3 |    7 |           3.64164057              |          0.00000012  |   1.326   |  94             :     4  3d7.(2D2).4s          3D   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | b 1G2     |   4 |    9 |           3.69459719              |          0.00000012  |   0.979   |  62             :    35  3d6.4s2               1G1  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 3F*     |   4 |    9 |           3.88160368              |          0.00000012  |   1.250   |  94             :     5  3d7.(4F).4p           3F*  |          
                       |           |   3 |    7 |           3.94332623              |          0.00000012  |   1.086   |  97                                                 |          
                       |           |   2 |    5 |           3.98410712              |          0.00000012  |   0.682   |  93             :     5  3d7.(4F).4p           3F*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 3D*     |   3 |    7 |           3.88350907              |          0.00000012  |   1.321   |  90             :     8  3d7.(4F).4p           3D*  |          
                       |           |   2 |    5 |           3.92860683              |          0.00000012  |   1.168   |  90             :     8  3d7.(4F).4p           3D*  |          
                       |           |   1 |    3 |           3.95972364              |          0.00000012  |   0.513   |  91             :     8  3d7.(4F).4p           3D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
