--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |                     Level (eV)  |     Uncertainty (eV) |    Landé | Leading percentages                                                         | Reference
                      |         |  1/2 |    2 |          3.33923354             |          0.00000020  |    0.67  |  61                                  :    37  3d6.(3P1).4s            2P    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3H).4s           | b 2H    | 11/2 |   12 |          3.24468891             |          0.00000016  |    1.09  |  84                                  :    15  3d6.(3G).4s             4G    | L18349,L18361c138
                      |         |  9/2 |   10 |          3.26732671             |          0.00000016  |    0.927 |  92                                  :     5  3d6.(3G).4s             4G    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3F2).4s          | a 2F    |  7/2 |    8 |          3.38661825             |          0.00000016  |    1.129 |  72                                  :    20  3d6.(3F1).4s            2F    | L18349,L18361c138
                      |         |  5/2 |    6 |          3.42449356             |          0.00000016  |    0.851 |  74                                  :    19  3d6.(3F1).4s            2F    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3G).4s           | b 2G    |  9/2 |   10 |          3.76769941             |          0.00000017  |    1.10  |  98                                                                         | L18349,L18361c138
                      |         |  7/2 |    8 |          3.81430861             |          0.00000019  |    0.898 |  97                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3D).4s           | b 4D    |  3/2 |    4 |          3.88869686             |          0.00000020  |          |  99                                                                         | L18349,L18361c138
                      |         |  1/2 |    2 |          3.88919250             |          0.00000025  |          |  99                                                                         | L18349,L18361c138
                      |         |  5/2 |    6 |          3.89161339             |          0.00000019  |    1.327 |  99                                                                         | L18349,L18361c138
                      |         |  7/2 |    8 |          3.90341906             |          0.00000017  |    1.41  |  99                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | b 2F    |  5/2 |    6 |          3.9441623              |          0.0000004   |    0.86  |  97                                  :     2  3d6.(3F2).4s            2F    | L18349,L18361c138
                      |         |  7/2 |    8 |          3.96737644             |          0.00000025  |    1.124 |  96                                  :     2  3d6.(3F2).4s            2F    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(1I).4s           | a 2I    | 13/2 |   14 |          4.07605998             |          0.00000024  |    1.062 | 100                                                                         | L18349,L18361c138
                      |         | 11/2 |   12 |          4.0803055              |          0.0000004   |    0.92  |  99                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(1G2).4s          | c 2G    |  9/2 |   10 |          4.14931647             |          0.00000024  |    1.099 |  65                                  :    34  3d6.(1G1).4s            2G    | L18349,L18361c138
                      |         |  7/2 |    8 |          4.15363129             |          0.00000024  |    0.88  |  64                                  :    33  3d6.(1G1).4s            2G    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3D).4s           | b 2D    |  3/2 |    4 |          4.47910423             |          0.00000025  |    0.799 |  96                                  :     2  3d6.(1D2).4s            2D    | L18349,L18361c138
                      |         |  5/2 |    6 |          4.49479059             |          0.00000025  |    1.179 |  98                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(1S2).4s          | a 2S    |  1/2 |    2 |          4.6155941              |          0.0000005   |    2.06  |  76                                  :    23  3d6.(1S1).4s            2S    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(1D2).4s          | c 2D    |  5/2 |    6 |          4.7317602              |          0.0000004   |    1.176 |  75                                  :    22  3d6.(1D1).4s            2D    | L18349,L18361c138
                      |         |  3/2 |    4 |          4.7379945              |          0.0000004   |    0.79  |  74                                  :    21  3d6.(1D1).4s            2D    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4p           | z 6D*   |  9/2 |   10 |          4.76830747             |          0.00000020  |    1.542 |  99                                                                         | L18349,L18361c138
                      |         |  7/2 |    8 |          4.79323577             |          0.00000020  |    1.584 |  97                                                                         | L18349,L18361c138
                      |         |  5/2 |    6 |          4.81789820             |          0.00000020  |    1.653 |  98                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          4.83702231             |          0.00000021  |    1.86  |  99                                                                         | L18349,L18361c138
                      |         |  1/2 |    2 |          4.84893721             |          0.00000021  |    3.35  |  99                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4p           | z 6F*   | 11/2 |   12 |          5.20337749             |          0.00000022  |          |  99                                                                         | L18349,L18361c138
                      |         |  9/2 |   10 |          5.22157443             |          0.00000021  |    1.43  |  96                                  :     2  3d6.(5D).4p             4F*   | L18349,L18361c138
                      |         |  7/2 |    8 |          5.23672772             |          0.00000022  |    1.399 |  95                                  :     2  3d6.(5D).4p             4F*   | L18349,L18361c138
                      |         |  5/2 |    6 |          5.24885175             |          0.00000022  |    1.304 |  97                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          5.25709365             |          0.00000022  |    1.04  |  98                                                                         | L18349,L18361c138
                      |         |  1/2 |    2 |          5.26187092             |          0.00000022  |   -0.647 |  98                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4p           | z 6P*   |  7/2 |    8 |          5.28894824             |          0.00000022  |    1.702 |  92                                  :     4  3d5.4s.(7S).4p          6P*   | L18349,L18361c138
                      |         |  5/2 |    6 |          5.36090398             |          0.00000022  |    1.869 |  94                                  :     4  3d5.4s.(7S).4p          6P*   | L18349,L18361c138
                      |         |  3/2 |    4 |          5.40831276             |          0.00000022  |    2.398 |  95                                  :     4  3d5.4s.(7S).4p          6P*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4p           | z 4F*   |  9/2 |   10 |          5.48413599             |          0.00000022  |    1.32  |  95                                  :     3  3d6.(5D).4p             6F*   | L18349,L18361c138
                      |         |  7/2 |    8 |          5.54876624             |          0.00000024  |    1.29  |  81                                  :    15  3d6.(5D).4p             4D*   | L18349,L18361c138
                      |         |  5/2 |    6 |          5.58919550             |          0.00000024  |    1.069 |  84                                  :    12  3d6.(5D).4p             4D*   | L18349,L18361c138
                      |         |  3/2 |    4 |          5.61522263             |          0.00000024  |    0.445 |  90                                  :     7  3d6.(5D).4p             4D*   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4p           | z 4D*   |  7/2 |    8 |          5.51071390             |          0.00000022  |    1.40  |  80                                  :    15  3d6.(5D).4p             4F*   | L18349,L18361c138
                      |         |  5/2 |    6 |          5.55260578             |          0.00000024  |    1.35  |  83                                  :    12  3d6.(5D).4p             4F*   | L18349,L18361c138
