---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
                     |        |   5 |   11 |         4.3982398   |   1.250 |    L11823
                     |        |   6 |   13 |         4.5199006   |   1.31  |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5p          | 3D*    |   1 |    3 |         4.3253566   |   0.420 |    L11823
                     |        |   2 |    5 |         4.4040206   |   1.138 |    L11823
                     |        |   3 |    7 |         4.5320239   |   1.311 |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5p          | 5F*    |   1 |    3 |         4.5541634   |   0.122 |    L11823
                     |        |   2 |    5 |         4.5827999   |   1.023 |    L11823
                     |        |   3 |    7 |         4.6341451   |   1.266 |    L11823
                     |        |   4 |    9 |         4.6529263   |   1.325 |    L11823
                     |        |   5 |   11 |         4.7144168   |   1.357 |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5p          | 5D*    |   0 |    1 |         4.6243926   |    0    |    L11823
                     |        |   1 |    3 |         4.6469371   |   1.460 |    L11823
                     |        |   2 |    5 |         4.6862699   |   1.469 |    L11823
                     |        |   3 |    7 |         4.7382281   |   1.466 |    L11823
                     |        |   4 |    9 |         4.7475101   |   1.473 |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5p          | 3G*    |   3 |    7 |         4.7963237   |   0.764 |    L11823
                     |        |   4 |    9 |         4.8769519   |   1.072 |    L11823
                     |        |   5 |   11 |         4.9722133   |   1.234 |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5p          | 3F*    |   2 |    5 |         4.8334479   |   0.691 |    L11823
                     |        |   3 |    7 |         4.9320813   |   1.088 |    L11823
                     |        |   4 |    9 |         5.0289253   |   1.260 |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5p          | 3P*    |   2 |    5 |         5.1713986   |   1.312 |    L11823
                     |        |   1 |    3 |         5.2237823   |   1.385 |    L11823
                     |        |   0 |    1 |         5.4907572   |    0    |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5p          | 5D*    |   0 |    1 |         5.2812996   |    0    |    L11823
                     |        |   2 |    5 |         5.3673178   |   1.227 |    L11823
                     |        |   3 |    7 |         5.4413041   |   1.447 |    L11823
                     |        |   1 |    3 |         5.4635701   |   1.230 |    L11823
                     |        |   4 |    9 |         5.5756576   |   1.480 |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5p          | 3H*    |   4 |    9 |         5.3150629   |   0.810 |    L11823
                     |        |   5 |   11 |         5.4017314   |   1.040 |    L11823
                     |        |   6 |   13 |         5.5213069   |   1.167 |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5p          | 5P*    |   1 |    3 |         5.3871123   |   2.255 |    L11823
                     |        |   2 |    5 |         5.4834254   |   1.745 |    L11823
                     |        |   3 |    7 |         5.5509574   |   1.562 |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5p          | 1D*    |   2 |    5 |         5.4079912   |   1.347 |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5p          | 3D*    |   1 |    3 |         5.4118102   |   0.980 |    L11823
                     |        |   2 |    5 |         5.5699408   |   1.253 |    L11823
                     |        |   3 |    7 |         5.6787829   |   1.085 |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5p          | 1F*    |   3 |    7 |         5.5344998   |   1.035 |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5p          | 3P*    |   0 |    1 |         5.6048844   |    0    |    L11823
                     |        |   1 |    3 |         5.6257792   |   1.765 |    L11823
                     |        |   2 |    5 |         6.2546740   |   1.360 |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5p          | 1H*    |   5 |   11 |         5.6217207   |   1.018 |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5p          | 3F*    |   4 |    9 |         5.6563943   |   1.126 |    L11823
                     |        |   2 |    5 |         5.6605973   |   0.740 |    L11823
                     |        |   3 |    7 |         5.7564183   |   1.123 |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5p          | 3G*    |   3 |    7 |         5.6932380   |   1.014 |    L11823
                     |        |   4 |    9 |         5.7399234   |   1.111 |    L11823
                     |        |   5 |   11 |         5.7652160   |   1.171 |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5p         | 3P*    |   2 |    5 |         5.7458112   |   0.43  |    L11823
                     |        |   1 |    3 |         6.2580943   |   1.202 |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5p          | 3S*    |   1 |    3 |         5.7477722   |   1.821 |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 5G*    |   2 |    5 |         5.7708756   |   1.506 |    L11823
                     |        |   3 |    7 |         5.8210010   |   1.00  |    L11823
                     |        |   4 |    9 |         5.9150944   |         |    L11823
                     |        |   5 |   11 |         6.0638097   |         |    L11823
                     |        |   6 |   13 |         6.2080647   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5p          | 5S*    |   2 |    5 |         5.8363038   |   1.940 |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5p          | 3H*    |   4 |    9 |         5.8700460   |   0.963 |    L11823
                     |        |   5 |   11 |         6.0133283   |   1.038 |    L11823
                     |        |   6 |   13 |         6.0468132   |   1.132 |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5p         | 3F*    |   2 |    5 |         5.9209591   |   0.63  |    L11823
                     |        |   3 |    7 |         5.9608724   |   1.065 |    L11823
                     |        |   4 |    9 |         6.0290034   |   1.100 |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5p          | 3I*    |   5 |   11 |         5.9674183   |   0.870 |    L11823
