---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
4d3.(2G).5d          | 1G     |   4 |    9 |        10.2167173   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5d          | 3P     |   1 |    3 |        10.2271738   |         |    L11823
                     |        |   2 |    5 |        10.2343103   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5d          | 3P     |   0 |    1 |        10.2486002   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5d         | 3F     |   2 |    5 |        10.2906199   |         |    L11823
                     |        |   3 |    7 |        10.4475578   |         |    L11823
                     |        |   4 |    9 |        10.4721670   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 3I     |   5 |   11 |        10.3534334   |         |    L11823
                     |        |   6 |   13 |        10.3682434   |         |    L11823
                     |        |   7 |   15 |        10.3832546   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5d         | 3G     |   4 |    9 |        10.3693962   |         |    L11823
                     |        |   3 |    7 |        10.4030386   |         |    L11823
                     |        |   5 |   11 |        10.4366860   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 1H     |   5 |   11 |        10.3739776   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5d         | 1D     |   2 |    5 |        10.4519313   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 3K     |   6 |   13 |        10.4827926   |         |    L11823
                     |        |   7 |   15 |        10.5095708   |         |    L11823
                     |        |   8 |   17 |        10.5448649   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 1F     |   3 |    7 |        10.5354142   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 3G     |   3 |    7 |        10.5562201   |         |    L11823
                     |        |   4 |    9 |        10.5769412   |         |    L11823
                     |        |   5 |   11 |        10.5927207   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 3H     |   4 |    9 |        10.6103757   |         |    L11823
                     |        |   5 |   11 |        10.6440212   |         |    L11823
                     |        |   6 |   13 |        10.6475629   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5d          | 1I     |   6 |   13 |        10.8955593   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5d          | 3F     |   2 |    5 |        11.3437188   |         |    L11823
---------------------|--------|-----|------|---------------------|---------|-----------
---------------------|--------|-----|------|---------------------|---------|-----------
Nb III (4d3 4F<3/2>) | Limit  | --- |      |       [14.32]       |         |     L3466
---------------------------------------------------------------------------------------
