--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
                   |        |      |                      |         |           
3s2.3p4.(1D).5d    | 2G     |  7/2 |        26.55553696   |         |    L15349
                   |        |  9/2 |        26.55611105   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5d    | 2D     |  5/2 |        26.6153802    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).8d    | 4D     |  7/2 |        26.633348     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5d    | 2F     |  7/2 |        26.63580564   |         |    L15349
                   |        |  5/2 |        26.64561317   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7f | 2[4]*  |  9/2 |        26.642424     |         |    L15349
                   |        |  7/2 |        26.643649     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).8d    | 4F     |  9/2 |        26.643572     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7g | 2[3]   |  5/2 |        26.6534541    |         |    L15349
                   |        |  7/2 |        26.6534596    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7g | 2[5]   | 11/2 |        26.6539915    |         |    L15349
                   |        |  9/2 |        26.6540013    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7h | 2[4]*  |  9/2 |        26.6556189    |         |    L15349
                   |        |  7/2 |        26.6556189    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7h | 2[6]*  | 11/2 |        26.6558587    |         |    L15349
                   |        | 13/2 |        26.6558599    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7g | 2[4]   |  7/2 |        26.656228     |         |    L15349
                   |        |  9/2 |        26.6563034    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7i | 2[5]   |  9/2 |        26.65633139   |         |    L15349
                   |        | 11/2 |        26.65633274   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7i | 2[7]   | 13/2 |        26.65645350   |         |    L15349
                   |        | 15/2 |        26.65645547   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7h | 2[5]*  | 11/2 |        26.6571105    |         |    L15349
                   |        |  9/2 |        26.6571107    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).7i | 2[6]   | 13/2 |        26.65721708   |         |    L15349
                   |        | 11/2 |        26.65721849   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1S).5s    | 2S     |  1/2 |        26.6647571    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).7g | 2[4]   |  7/2 |        26.7113731    |         |    L15349
                   |        |  9/2 |        26.7114154    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).7h | 2[5]*  |  9/2 |        26.7129918    |         |    L15349
                   |        | 11/2 |        26.7129931    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).7i | 2[6]   | 11/2 |        26.71346418   |         |    L15349
                   |        | 13/2 |        26.7134642    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8f | 2[4]*  |  9/2 |        26.767405     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8f | 2[5]*  | 11/2 |        26.772202     |         |    L15349
                   |        |  9/2 |        26.772359     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8g | 2[6]   | 11/2 |        26.778505     |         |    L15349
                   |        | 13/2 |        26.778524     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8i | 2[6]   | 13/2 |        26.7787430    |         |    L15349
                   |        | 11/2 |        26.7787492    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8i | 2[7]   | 13/2 |        26.7787807    |         |    L15349
                   |        | 15/2 |        26.7787820    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8i | 2[5]   |  9/2 |        26.7790112    |         |    L15349
                   |        | 11/2 |        26.7790128    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8k | 2[7]*  | 13/2 |        26.7790639    |         |    L15349
                   |        | 15/2 |        26.7790642    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8k | 2[8]*  | 15/2 |        26.7790991    |         |    L15349
                   |        | 17/2 |        26.7790998    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8i | 2[8]   | 15/2 |        26.7792083    |         |    L15349
                   |        | 17/2 |        26.7792087    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8k | 2[6]*  | 11/2 |        26.7792433    |         |    L15349
                   |        | 13/2 |        26.7792443    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8i | 2[4]   |  9/2 |        26.7794125    |         |    L15349
                   |        |  7/2 |        26.7794125    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8k | 2[9]*  | 17/2 |        26.7794752    |         |    L15349
                   |        | 19/2 |        26.7794770    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).8k | 2[5]*  |  9/2 |        26.7795604    |         |    L15349
                   |        | 11/2 |        26.7795620    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5d    | 2S     |  1/2 |        26.889959     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).8i | 2[7]   | 13/2 |        26.9166427    |         |    L15349
                   |        | 15/2 |        26.9166439    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).8i | 2[5]   |  9/2 |        26.9166671    |         |    L15349
                   |        | 11/2 |        26.9166671    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).8k | 2[6]*  | 11/2 |        26.9170310    |         |    L15349
                   |        | 13/2 |        26.9170324    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).8k | 2[8]*  | 15/2 |        26.9170780    |         |    L15349
                   |        | 17/2 |        26.9170800    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).8i | 2[6]   | 11/2 |        26.9172074    |         |    L15349
                   |        | 13/2 |        26.9172074    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).8k | 2[7]*  | 15/2 |        26.9174372    |         |    L15349
                   |        | 13/2 |        26.9174385    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).8i | 2[6]   | 11/2 |        26.9736915    |         |    L15349
                   |        | 13/2 |        26.9736926    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).8k | 2[7]*  | 15/2 |        26.9739783    |         |    L15349
                   |        | 13/2 |        26.9739797    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5f | 2[5]*  |  9/2 |        27.14521093   |         |    L15349
                   |        | 11/2 |        27.145213     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5f | 2[2]*  |  5/2 |        27.152775     |         |    L15349
                   |        |  3/2 |        27.153005     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5g | 2[2]   |  5/2 |        27.1714505    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5f | 2[3]*  |  7/2 |        27.172460     |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5g | 2[6]   | 13/2 |        27.1777813    |         |    L15349
                   |        | 11/2 |        27.1777818    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5g | 2[3]   |  7/2 |        27.1831192    |         |    L15349
                   |        |  5/2 |        27.1831373    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5g | 2[4]   |  7/2 |        27.1919085    |         |    L15349
                   |        |  9/2 |        27.1919102    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).5g | 2[5]   |  9/2 |        27.19247952   |         |    L15349
                   |        | 11/2 |        27.1924832    |         |    L15349
-------------------|--------|------|----------------------|---------|-----------
Ar III (3p4 3P<2>) | Limit  |  --- |        27.62967      |         |     L8844
                   |        |      |                      |         |           
3s2.3p4.(1D<2>).6g | 2[6]   | 13/2 |        27.8476501    |         |    L15349
                   |        | 11/2 |        27.8476504    |         |    L15349
--------------------------------------------------------------------------------
