--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
                   |        |  5/2 |        23.25811355   |   0.861 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5p    | 4P*    |  5/2 |        23.40402740   |         |    L15349
                   |        |  3/2 |        23.43808861   |         |    L15349
                   |        |  1/2 |        23.48728610   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5p    | 4D*    |  7/2 |        23.48447022   |         |    L15349
                   |        |  5/2 |        23.51420420   |         |    L15349
                   |        |  3/2 |        23.57017702   |         |    L15349
                   |        |  1/2 |        23.64787986   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4d    | 2P     |  1/2 |        23.54889293   |   0.667 |    L15349
                   |        |  3/2 |        23.63042474   |   1.322 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5p    | 2P*    |  1/2 |        23.58132402   |         |    L15349
                   |        |  3/2 |        23.61990867   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5p    | 2D*    |  5/2 |        23.62038658   |         |    L15349
                   |        |  3/2 |        23.68252216   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5p    | 2S*    |  1/2 |        23.67388014   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5p    | 4S*    |  3/2 |        23.70200875   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1S).4p    | 2P*    |  3/2 |        23.80181422   |   1.332 |    L15349
                   |        |  1/2 |        23.84631446   |   0.760 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4d    | 2D     |  5/2 |        23.87401492   |   1.198 |    L15349
                   |        |  3/2 |        23.8932498    |   0.833 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).4f | 2[4]*  |  9/2 |        24.15215466   |         |    L15349
                   |        |  7/2 |        24.15487203   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).4f | 2[3]*  |  5/2 |        24.15972844   |         |    L15349
                   |        |  7/2 |        24.16242376   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).4f | 2[2]*  |  3/2 |        24.17649215   |         |    L15349
                   |        |  5/2 |        24.18078715   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).4f | 2[5]*  | 11/2 |        24.19224869   |         |    L15349
                   |        |  9/2 |        24.19283478   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).4f | 2[1]*  |  1/2 |        24.21181391   |         |    L15349
                   |        |  3/2 |        24.21382608   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5s    | 2D     |  5/2 |        24.28413130   |         |    L15349
                   |        |  3/2 |        24.28439423   |         |    L15349
