------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed      |       Ritz        |      Rel. |    Aki     | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |    Wavelength     |    Wavelength     |      Int. |   (s^-1)   |      |        (eV)         (eV)        |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |     Air (nm)      |     Air (nm)      |           |            |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
Al I      |         265.2484  |         265.24758 |       10g | 1.42e+07   | B    |     0.0000000  -      4.6728909 | 3s2.3p                | 2P*     | 1/2 | 3s2.5s                | 2S      | 1/2  |   2 - 2   |    |               T7365 |       L3514  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VII    |                   |         265.3     |           | 3.13e+06   | C+   |   211.034?     -    215.705     | 2s2.2p2.(3P).5s       | 4P      | 5/2 | 2s.2p3.(5S*).4d       | 4D*     | 5/2  |   6 - 6   |    |              u22,LS |              |
Al VI     |                   |         265.7     |           | 5.37e+05   | D    |   144.969      -    149.634     | 2s2.2p3.(2P*).3d      | 3D*     | 1   | 2s.2p4.(4P).3s        | 3P      | 1    |   3 - 3   |    |              u20,LS |              |
Al I      |         265.7406  |         265.7405  |         3 |            |      |     4.8271968  -      9.491421  | 3s2.nd                | y 2D    | 5/2 | 3s.3p.(3P*).4d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L4737  |
Al I      |         265.933   |         265.9329  |         3 |            |      |     4.8266320  -      9.48748   | 3s2.nd                | y 2D    | 3/2 | 3s.3p.(3P*).4d        | 2D*     | 3/2  |   4 - 4   |    |                     |       L3514  |
Al II     |                   |         266.0355  |           | 3.35e-03   | A+   |     0.000000   -      4.659052  | 2p6.3s2               | 1S      | 0   | 3s.3p                 | 3P*     | 2    |   1 - 5   | M2 |                 c41 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         266.0393  |         266.03863 |       10g | 2.84e+07   | B    |     0.0138938  -      4.6728909 | 3s2.3p                | 2P*     | 3/2 | 3s2.5s                | 2S      | 1/2  |   4 - 2   |    |               T7365 |       L3514  |
Al VI     |                   |         266.438   |           | 2.79e+06   | A    |   123.2247     -    127.8767    | 2s2.2p3.(2P*).3s      | 3P*     | 2   | 2s2.2p3.(2D*).3p      | 3D      | 3    |   5 - 7   |    |             T7370c8 |              |
Al II     |         266.9157  |         266.9155  |     2500g | 3.28e+03   | A+   |     0.000000   -      4.643693  | 2p6.3s2               | 1S      | 0   | 3s.3p                 | 3P*     | 1    |   1 - 3   |    |               T6947 |       L4575  |
Al II     |         267.1811  |         267.1813  |        45 |            |      |    13.841265   -     18.480338  | 3p2                   | 1S      | 0   | 3s.14p                | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al VI     |                   |         267.687   |           | 2.25e+06   | B+   |   123.1980     -    127.8283    | 2s2.2p3.(2P*).3s      | 3P*     | 1   | 2s2.2p3.(2D*).3p      | 3D      | 2    |   3 - 5   |    |             T7370c8 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         267.744   |           | 1.44e+06   | B+   |   123.187      -    127.8163    | 2s2.2p3.(2P*).3s      | 3P*     | 0   | 2s2.2p3.(2D*).3p      | 3D      | 1    |   1 - 3   |    |             T7370c8 |              |
Al VII    |                   |         267.9     |           | 1.02e+07   | B+   |   211.034?     -    215.661     | 2s2.2p2.(3P).5s       | 4P      | 5/2 | 2s.2p3.(5S*).4d       | 4D*     | 7/2  |   6 - 8   |    |              u22,LS |              |
Al II     |         268.3274  |         268.3274  |       500 |            |      |    13.649399   -     18.268659  | 3s.3d                 | 1D      | 2   | 3s.10f                | 1F*     | 3    |   5 - 7   |    |                     |       L4575  |
Al VI     |                   |         268.384   |           | 9.34e+05   | B+   |   123.1980     -    127.8163    | 2s2.2p3.(2P*).3s      | 3P*     | 1   | 2s2.2p3.(2D*).3p      | 3D      | 1    |   3 - 3   |    |             T7370c8 |              |
Al II     |         268.8743  |         268.8748  |       500 |            |      |    13.649399   -     18.259254  | 3s.3d                 | 1D      | 2   | 3s.11p                | 1P*     | 1    |   5 - 3   |    |                     |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         269.237   |           | 4.32e+05   | B+   |   123.2247     -    127.8283    | 2s2.2p3.(2P*).3s      | 3P*     | 2   | 2s2.2p3.(2D*).3p      | 3D      | 2    |   5 - 5   |    |             T7370c8 |              |
Al VI     |                   |         269.942   |           | 7.24e+04   | B    |   123.2247     -    127.8163    | 2s2.2p3.(2P*).3s      | 3P*     | 2   | 2s2.2p3.(2D*).3p      | 3D      | 1    |   5 - 3   |    |             T7370c8 |              |
Al II     |         270.5770  |         270.5769  |        50 |            |      |    13.841265   -     18.422123  | 3p2                   | 1S      | 0   | 3s.13p                | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al II     |         270.6435  |         270.6435  |       300 |            |      |    13.071346   -     17.651077  | 3s.4p                 | 3P*     | 0   | 3s.7d                 | 3D      | 1    |   1 - 3   |    |                     |       L4575  |
Al II     |         270.7452  |         270.7449  |       500 |            |      |    13.073080   -     17.651096  | 3s.4p                 | 3P*     | 1   | 3s.7d                 | 3D      | 2    |   3 - 5   |    |                     |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |         270.9593  |         270.9587  |      1000 |            |      |    13.076729   -     17.651132  | 3s.4p                 | 3P*     | 2   | 3s.7d                 | 3D      | 3    |   5 - 7   |    |                     |       L4575  |
Al II     |         271.9884  |         271.9881  |       350 |            |      |    13.071346   -     17.628438  | 3s.4p                 | 3P*     | 0   | 3s.8s                 | 3S      | 1    |   1 - 3   |    |                     |       L4575  |
Al II     |         272.3098  |         272.3098  |       500 |            |      |    13.076729   -     17.628438  | 3s.4p                 | 3P*     | 2   | 3s.8s                 | 3S      | 1    |   5 - 3   |    |                     |       L4575  |
Al I      |         274.0980  |         274.0983  |         4 |            |      |     5.2368176  -      9.758828  | 3s2.4d                | 2D      | 5/2 | 3s.3p.(3P*).4d        | 2F*     | 7/2  |   6 - 8   |    |                     |       L4737  |
Al I      |         274.8065  |         274.8065  |         3 |            |      |     5.2363166  -      9.746674  | 3s2.4d                | 2D      | 3/2 | 3s.3p.(3P*).4d        | 2F*     | 5/2  |   4 - 6   |    |                     |       L4737  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |         274.8925  |         274.8921  |       150 |            |      |    13.841265   -     18.350218  | 3p2                   | 1S      | 0   | 3s.12p                | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al II     |         276.0844  |         276.0845  |       500 |            |      |    13.649399   -     18.138878  | 3s.3d                 | 1D      | 2   | 3s.10p                | 1P*     | 1    |   5 - 3   |    |                     |       L4575  |
Al II     |         276.2464  |         276.2464  |       500 |            |      |    13.649399   -     18.136247  | 3s.3d                 | 1D      | 2   | 3s.9f                 | 1F*     | 3    |   5 - 7   |    |                     |       L4575  |
Al III    |         276.2815  |         276.2772  |       9d* | 1.12e+08   | A+   |    20.554884   -     25.041232  | 2p6.4d                | 2D      | 5/2 | 2p6.6f                | 2F*     | 7/2  |   6 - 8   |    |                 c32 |       L3473  |
Al III    |         276.2815  |         276.2772  |       9d* | 7.47e+06   | A    |    20.554884   -     25.041232  | 2p6.4d                | 2D      | 5/2 | 2p6.6f                | 2F*     | 5/2  |   6 - 6   |    |                 c32 |       L3473  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |         276.2815  |         276.2863  |       9d* | 1.05e+08   | A+   |    20.555031   -     25.041232  | 2p6.4d                | 2D      | 3/2 | 2p6.6f                | 2F*     | 5/2  |   4 - 6   |    |                 c32 |       L3473  |
Al I      |         277.519   |         277.5181  |         1 |            |      |     5.4762390  -      9.94253   | 3s2.5d                | 2D      | 5/2 | 3s.3p.(3P*).5d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L3514  |
Al I      |         277.763   |         277.7606  |         2 |            |      |     5.4759354  -      9.93833   | 3s2.5d                | 2D      | 3/2 | 3s.3p.(3P*).5d        | 2D*     | 3/2  |   4 - 4   |    |                     |       L3514  |
Al VI     |                   |         279.0     |           | 2.78e+05   | D    |   144.899      -    149.341     | 2s2.2p3.(2P*).3d      | 3D*     | 2   | 2s.2p4.(4P).3s        | 3P      | 2    |   5 - 5   |    |              u20,LS |              |
Al II     |         280.1178  |         280.1181  |       500 |            |      |    13.256460   -     17.681296  | 3s.4p                 | 1P*     | 1   | 3s.7d                 | 1D      | 2    |   3 - 5   |    |                     |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |         280.5518  |         280.5522  |       150 |            |      |    13.841265   -     18.259254  | 3p2                   | 1S      | 0   | 3s.11p                | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al IX     |                   |         281.1     |           | 4.61e+05   | C+   |   280.897?     -    285.306     | 2s.2p.(3P*).4d        | 2F*     | 7/2 | 2s2.5d                | 2D      | 5/2  |   8 - 6   |    |          T7192c4,LS |              |
Al II     |         281.6185  |         281.6185  |      4000 | 3.57e+08   | A    |     7.420705   -     11.821968  | 3s.3p                 | 1P*     | 1   | 3s.4s                 | 1S      | 0    |   3 - 1   |    |             c47,u24 |       L4575  |
Al V      |                   |         281.8     |           | 4.48e+06   | C    |   135.909?     -    140.307     | 2s.2p5.(3P*).3s       | 2P*     | 3/2 | 2s2.2p4.(3P).5d       | 2P      | 3/2  |   4 - 4   |    |              u20,LS |              |
Al II     |         282.0646  |         282.0641  |       125 |            |      |    13.256460   -     17.650770  | 3s.4p                 | 1P*     | 1   | 3s.8s                 | 1S      | 0    |   3 - 1   |    |                     |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |                   |         283.1706  |           | 7.15e+05   | B+   |    22.122926   -     26.500065  | 2p6.5p                | 2P*     | 1/2 | 2p6.8d                | 2D      | 3/2  |   2 - 4   |    |                 c32 |              |
Al VI     |                   |         283.4     |           | 1.77e+04   | E    |   144.969      -    149.341     | 2s2.2p3.(2P*).3d      | 3D*     | 1   | 2s.2p4.(4P).3s        | 3P      | 2    |   3 - 5   |    |              u20,LS |              |
Al III    |                   |         283.4669  |         * | 1.35e+05   | B    |    22.127499   -     26.500065  | 2p6.5p                | 2P*     | 3/2 | 2p6.8d                | 2D      | 3/2  |   4 - 4   |    |                 c32 |              |
Al III    |                   |         283.4669  |         * | 8.13e+05   | B+   |    22.127499   -     26.500065  | 2p6.5p                | 2P*     | 3/2 | 2p6.8d                | 2D      | 5/2  |   4 - 6   |    |                 c32 |              |
Al I      |         283.7856  |         283.78563 |         2 |            |      |     4.0214836  -      8.3891377 | 3s2.3d                | 2D      | 3/2 | 3s.3p.(3P*).3d        | 2D*     | 5/2  |   4 - 6   |    |                     |       L4737  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         283.7963  |         283.79645 |         7 |            |      |     4.0216501  -      8.3891377 | 3s2.3d                | 2D      | 5/2 | 3s.3p.(3P*).3d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L4737  |
Al I      |         284.0099  |         284.01002 |         7 |            |      |     4.0214836  -      8.3856871 | 3s2.3d                | 2D      | 3/2 | 3s.3p.(3P*).3d        | 2D*     | 3/2  |   4 - 4   |    |                     |       L4737  |
Al I      |         284.0205  |         284.02086 |         2 |            |      |     4.0216501  -      8.3856871 | 3s2.3d                | 2D      | 5/2 | 3s.3p.(3P*).3d        | 2D*     | 3/2  |   6 - 4   |    |                     |       L4737  |
Al VI     |                   |         284.2     |           | 1.48e+06   | C+   |   144.981      -    149.341     | 2s2.2p3.(2P*).3d      | 3D*     | 3   | 2s.2p4.(4P).3s        | 3P      | 2    |   7 - 5   |    |              u20,LS |              |
Al II     |         286.8494  |         286.8494  |      1000 |            |      |    13.649399   -     17.970406  | 3s.3d                 | 1D      | 2   | 3s.9p                 | 1P*     | 1    |   5 - 3   |    |                     |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         286.892   |         286.8902  |         1 |            |      |     5.6221371  -      9.94253   | 3s2.6d                | 2D      | 5/2 | 3s.3p.(3P*).5d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L3514  |
Al IV     |         286.898   |         286.895   |         5 |            |      |   103.73342    -    108.05374   | 2s2.2p5.(2P*<1/2>).4p | 2[1/2]  | 0   | 2s2.2p5.(2P*<3/2>).5s | 2[3/2]* | 1    |   1 - 3   |    |                     |       L2829  |
Al I      |         287.157   |         287.1578  |         2 |            |      |     5.6219599  -      9.93833   | 3s2.6d                | 2D      | 3/2 | 3s.3p.(3P*).5d        | 2D*     | 3/2  |   4 - 4   |    |                     |       L3514  |
Al III    |                   |         287.6819  |           | 9.61e+05   | B+   |    21.156335   -     25.464838  | 2p6.5s                | 2S      | 1/2 | 2p6.7p                | 2P*     | 3/2  |   2 - 4   |    |                 c32 |              |
Al III    |                   |         287.7815  |           | 1.03e+06   | B+   |    21.156335   -     25.463346  | 2p6.5s                | 2S      | 1/2 | 2p6.7p                | 2P*     | 1/2  |   2 - 2   |    |                 c32 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al V      |                   |         287.9     |           | 1.15e+07   | C+   |   135.909?     -    140.214     | 2s.2p5.(3P*).3s       | 2P*     | 3/2 | 2s2.2p4.(3P).5d       | 2D      | 5/2  |   4 - 6   |    |              u20,LS |              |
Al II     |         288.1450  |         288.1446  |       500 |            |      |    13.649399   -     17.950984  | 3s.3d                 | 1D      | 2   | 3s.8f                 | 1F*     | 3    |   5 - 7   |    |                     |       L4575  |
Al II     |         288.4106  |         288.4109  |        10 |            |      |    13.841265   -     18.138878  | 3p2                   | 1S      | 0   | 3s.10p                | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al I      |         289.4228  |         289.4227  |         3 |            |      |     5.4762390  -      9.758828  | 3s2.5d                | 2D      | 5/2 | 3s.3p.(3P*).4d        | 2F*     | 7/2  |   6 - 8   |    |                     |       L4737  |
Al II     |         290.2141  |         290.2143  |           |            |      |    11.316596   -     15.5875044 | 3s.4s                 | 3S      | 1   | 3s.5p                 | 3P*     | 2    |   3 - 5   |    |                     |       L3515  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         290.2258  |         290.2258  |         2 |            |      |     5.4759354  -      9.746674  | 3s2.5d                | 2D      | 3/2 | 3s.3p.(3P*).4d        | 2F*     | 5/2  |   4 - 6   |    |                     |       L4737  |
Al II     |         290.3225  |         290.3228  |           |            |      |    11.316596   -     15.5859081 | 3s.4s                 | 3S      | 1   | 3s.5p                 | 3P*     | 1    |   3 - 3   |    |                     |       L3515  |
Al II     |         290.3718  |         290.3708  |           |            |      |    11.316596   -     15.585203  | 3s.4s                 | 3S      | 1   | 3s.5p                 | 3P*     | 0    |   3 - 1   |    |                     |       L3515  |
Al III    |         290.705   |         290.6900  |       10* |            |      |    20.781332   -     25.045252  | 2p6.4f                | 2F*     | 5/2 | 2p6.6g                | 2G      | 7/2  |   6 - 8   |    |                     |       L3473  |
Al III    |         290.705   |         290.6953  |       10* |            |      |    20.781409   -     25.045252  | 2p6.4f                | 2F*     | 7/2 | 2p6.6g                | 2G      | 7/2  |   8 - 8   |    |                     |       L3473  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |         290.705   |         290.6953  |       10* |            |      |    20.781409   -     25.045252  | 2p6.4f                | 2F*     | 7/2 | 2p6.6g                | 2G      | 9/2  |   8 - 10  |    |                     |       L3473  |
Al I      |         291.3267  |         291.3266  |         3 |            |      |     5.2368176  -      9.491421  | 3s2.4d                | 2D      | 5/2 | 3s.3p.(3P*).4d        | 2D*     | 5/2  |   6 - 6   |    |                     |       L4737  |
Al I      |         291.566   |         291.5622  |         2 |            |      |     5.2363166  -      9.48748   | 3s2.4d                | 2D      | 3/2 | 3s.3p.(3P*).4d        | 2D*     | 3/2  |   4 - 4   |    |                     |       L3514  |
Al I      |         292.7930  |         292.7930  |         5 |            |      |     4.8271968  -      9.06049   | 3s2.nd                | y 2D    | 5/2 | 3s.3p.(3P*).3d        | 2F*     | 7/2  |   6 - 8   |    |                     |       L3514  |
Al I      |         293.604   |         293.6043  |         3 |            |      |     4.8266320  -      9.04823   | 3s2.nd                | y 2D    | 3/2 | 3s.3p.(3P*).3d        | 2F*     | 5/2  |   4 - 6   |    |                     |       L3514  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         295.94    |           | 2.03e+02   | D    |   127.8163     -    132.0046+x  | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 5D*     | 1    |   3 - 3   |    |             T7370c8 |              |
Al VI     |                   |         295.94    |           | 4.23e+01   | E    |   127.8163     -    132.0046+x  | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 5D*     | 0    |   3 - 1   |    |             T7370c8 |              |
Al VI     |                   |         296.03    |           | 1.49e+02   | D    |   127.8163     -    132.0034+x  | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 5D*     | 2    |   3 - 5   |    |             T7370c8 |              |
Al III    |                   |         296.1005  |           | 1.58e+05   | B+   |    20.781332   -     24.967343  | 2p6.4f                | 2F*     | 5/2 | 2p6.6d                | 2D      | 5/2  |   6 - 6   |    |                 c32 |              |
Al III    |         296.106   |         296.0974  |        2* | 3.33e+06   | A    |    20.781332   -     24.967387  | 2p6.4f                | 2F*     | 5/2 | 2p6.6d                | 2D      | 3/2  |   6 - 4   |    |                 c32 |       L3473  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |         296.106   |         296.1060  |        2* | 3.17e+06   | A    |    20.781409   -     24.967343  | 2p6.4f                | 2F*     | 7/2 | 2p6.6d                | 2D      | 5/2  |   8 - 6   |    |                 c32 |       L3473  |
Al IV     |         296.129   |         296.131   |       300 |            |      |    99.54784    -    103.73342   | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p | 2[1/2]  | 0    |   3 - 1   |    |                     |       L2829  |
Al VI     |                   |         296.79    |           | 2.04e+02   | D    |   127.8283     -    132.0046+x  | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 5D*     | 1    |   5 - 3   |    |             T7370c8 |              |
Al VI     |                   |         296.88    |           | 6.90e+02   | D    |   127.8283     -    132.0034+x  | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 5D*     | 2    |   5 - 5   |    |             T7370c8 |              |
Al VI     |                   |         296.98    |           | 1.18e+02   | D    |   127.8283     -    132.0019+x  | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 5D*     | 3    |   5 - 7   |    |             T7370c8 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |         299.4277  |         299.4273  |        50 | 4.04e+06   | C    |    13.071346   -     17.210850  | 3s.4p                 | 3P*     | 0   | 3s.6d                 | 3D      | 1    |   1 - 3   |    |          T6298c4,LS |       L4575  |
Al II     |         299.5525  |         299.5528  |       400 | 5.44e+06   | C+   |    13.073080   -     17.210850  | 3s.4p                 | 3P*     | 1   | 3s.6d                 | 3D      | 2    |   3 - 5   |    |          T6298c4,LS |       L4575  |
Al II     |                   |         299.5528  |           | 3.03e+06   | C    |    13.073080   -     17.210850  | 3s.4p                 | 3P*     | 1   | 3s.6d                 | 3D      | 1    |   3 - 3   |    |          T6298c4,LS |              |
Al I      |         299.629   |         299.6309  |         3 |            |      |     5.6221371  -      9.758828  | 3s2.6d                | 2D      | 5/2 | 3s.3p.(3P*).4d        | 2F*     | 7/2  |   6 - 8   |    |                     |       L3514  |
Al II     |         299.8150  |         299.8149  |       500 | 7.26e+06   | C+   |    13.076729   -     17.210881  | 3s.4p                 | 3P*     | 2   | 3s.6d                 | 3D      | 3    |   5 - 7   |    |          T6298c4,LS |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |                   |         299.8172  |           | 2.01e+05   | D    |    13.076729   -     17.210850  | 3s.4p                 | 3P*     | 2   | 3s.6d                 | 3D      | 1    |   5 - 3   |    |          T6298c4,LS |              |
Al II     |                   |         299.8172  |           | 1.81e+06   | C    |    13.076729   -     17.210850  | 3s.4p                 | 3P*     | 2   | 3s.6d                 | 3D      | 2    |   5 - 5   |    |          T6298c4,LS |              |
Al II     |         300.1790  |         300.1788  |        30 |            |      |    13.841265   -     17.970406  | 3p2                   | 1S      | 0   | 3s.9p                 | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al V      |                   |         300.2     |           | 7.43e+05   | E    |   136.178?     -    140.307     | 2s.2p5.(3P*).3s       | 2P*     | 1/2 | 2s2.2p4.(3P).5d       | 2P      | 3/2  |   2 - 4   |    |              u20,LS |              |
Al X      |                   |         300.4     |           | 1.67e+07   | B+   |   263.923      -    268.049     | 1s2.2p.3p             | 3P      | 1   | 1s2.2p.3d             | 3D*     | 2    |   3 - 5   |    |          T5633c4,LS |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         300.36    |           | 1.92e+02   | D    |   127.8767     -    132.0034+x  | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 5D*     | 2    |   7 - 5   |    |             T7370c8 |              |
Al VI     |                   |         300.49    |           | 1.32e+01   | E    |   127.8767     -    132.0015+x  | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 5D*     | 4    |   7 - 9   |    |             T7370c8 |              |
Al VI     |                   |         300.47    |           | 1.12e+03   | C    |   127.8767     -    132.0019+x  | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 5D*     | 3    |   7 - 7   |    |             T7370c8 |              |
Al I      |         300.502   |         300.5010  |         1 |            |      |     5.6219599  -      9.746674  | 3s2.6d                | 2D      | 3/2 | 3s.3p.(3P*).4d        | 2F*     | 5/2  |   4 - 6   |    |                     |       L3514  |
Al V      |                   |         301.4     |           | 1.67e+06   | D    |   135.909?     -    140.022     | 2s.2p5.(3P*).3s       | 2P*     | 3/2 | 2s2.2p4.(3P).5d       | 2D      | 3/2  |   4 - 4   |    |              u20,LS |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al V      |                   |         301.4     |           | 1.47e+06   | E    |   135.909?     -    140.022     | 2s.2p5.(3P*).3s       | 2P*     | 3/2 | 2s2.2p4.(3P).5d       | 2P      | 1/2  |   4 - 2   |    |              u20,LS |              |
Al II     |         302.2789  |         302.2792  |        15 | 2.68e+06   | E    |    13.071346   -     17.171798  | 3s.4p                 | 3P*     | 0   | 3s.7s                 | 3S      | 1    |   1 - 3   |    |          T6298c4,LS |       L4575  |
Al II     |         302.4077  |         302.4070  |       200 | 8.02e+06   | D    |    13.073080   -     17.171798  | 3s.4p                 | 3P*     | 1   | 3s.7s                 | 3S      | 1    |   3 - 3   |    |          T6298c4,LS |       L4575  |
Al II     |         302.6761  |         302.6765  |       500 | 1.33e+07   | C    |    13.076729   -     17.171798  | 3s.4p                 | 3P*     | 2   | 3s.7s                 | 3S      | 1    |   5 - 3   |    |          T6298c4,LS |       L4575  |
Al X      |                   |         303.6     |           | 2.15e+07   | A    |   264.137      -    268.220     | 1s2.2p.3p             | 3P      | 2   | 1s2.2p.3d             | 3D*     | 3    |   5 - 7   |    |          T5633c4,LS |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al V      |                   |         304.0     |           | 1.15e+07   | C    |   132.100      -    136.178?    | 2s2.2p4.(3P).4d       | 2D      | 3/2 | 2s.2p5.(3P*).3s       | 2P*     | 1/2  |   4 - 2   |    |              u20,LS |              |
Al II     |         304.1276  |         304.1276  |       750 |            |      |    13.649399   -     17.724930  | 3s.3d                 | 1D      | 2   | 3s.8p                 | 1P*     | 1    |   5 - 3   |    |                     |       L4575  |
Al I      |         305.0073  |         305.0072  |        13 |            |      |     3.603844   -      7.667622  | 3s.3p2                | 4P      | 3/2 | 3s.3p.(3P*).4s        | 4P*     | 5/2  |   4 - 6   |    |                     |       L4737  |
Al I      |         305.4679  |         305.4679  |         5 |            |      |     3.598072   -      7.655722  | 3s.3p2                | 4P      | 1/2 | 3s.3p.(3P*).4s        | 4P*     | 3/2  |   2 - 4   |    |                     |       L4737  |
Al I      |         305.7144  |         305.7144  |        14 |            |      |     3.613244   -      7.667622  | 3s.3p2                | 4P      | 5/2 | 3s.3p.(3P*).4s        | 4P*     | 5/2  |   6 - 6   |    |                     |       L4737  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         305.9029  |         305.9030  |         4 |            |      |     3.603844   -      7.655722  | 3s.3p2                | 4P      | 3/2 | 3s.3p.(3P*).4s        | 4P*     | 3/2  |   4 - 4   |    |                     |       L4737  |
Al I      |         305.9924  |         305.9924  |         4 |            |      |     3.598072   -      7.648766  | 3s.3p2                | 4P      | 1/2 | 3s.3p.(3P*).4s        | 4P*     | 1/2  |   2 - 2   |    |                     |       L4737  |
Al I      |         306.4290  |         306.4290  |         7 |            |      |     3.603844   -      7.648766  | 3s.3p2                | 4P      | 3/2 | 3s.3p.(3P*).4s        | 4P*     | 1/2  |   4 - 2   |    |                     |       L4737  |
Al I      |         306.512   |         306.5094  |         1 |            |      |     5.7149663  -      9.758828  | 3s2.7d                | 2D      | 5/2 | 3s.3p.(3P*).4d        | 2F*     | 7/2  |   6 - 8   |    |                     |       L3514  |
Al I      |         306.6145  |         306.6144  |         5 |            |      |     3.613244   -      7.655722  | 3s.3p2                | 4P      | 5/2 | 3s.3p.(3P*).4s        | 4P*     | 3/2  |   6 - 4   |    |                     |       L4737  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VII    |                   |         307.07    |           | 1.41e-01   | A    |     7.7258     -     11.7623    | 2s2.2p3               | 2D*     | 3/2 | 2s2.2p3               | 2P*     | 3/2  |   4 - 4   | E2 |       T7370c8,T7010 |              |
Al VII    |                   |         307.07    |           | 8.90e+00   | A    |     7.7258     -     11.7623    | 2s2.2p3               | 2D*     | 3/2 | 2s2.2p3               | 2P*     | 3/2  |   4 - 4   | M1 |       T7370c8,T7010 |              |
Al II     |         307.4691  |         307.4684  |       750 | 9.02e+06   | C    |    13.649399   -     17.680649  | 3s.3d                 | 1D      | 2   | 3s.7f                 | 1F*     | 3    |   5 - 7   |    |               T6533 |       L4575  |
Al VII    |                   |         307.60    |           | 5.01e+00   | A    |     7.7328     -     11.7623    | 2s2.2p3               | 2D*     | 5/2 | 2s2.2p3               | 2P*     | 3/2  |   6 - 4   | M1 |       T7370c8,T7010 |              |
Al VII    |                   |         307.60    |           | 3.39e-01   | A    |     7.7328     -     11.7623    | 2s2.2p3               | 2D*     | 5/2 | 2s2.2p3               | 2P*     | 3/2  |   6 - 4   | E2 |       T7370c8,T7010 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
