------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed      |       Ritz        |      Rel. |    Aki     | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |    Wavelength     |    Wavelength     |      Int. |   (s^-1)   |      |        (eV)         (eV)        |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |     Air (nm)      |     Air (nm)      |           |            |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         205.916   |           | 4.05e+05   | B+   |   127.8163     -    133.8355    | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 3D*     | 2    |   3 - 5   |    |             T7370c8 |              |
Al VI     |                   |         205.996   |           | 1.78e+06   | B+   |   127.8163     -    133.8331    | 2s2.2p3.(2D*).3p      | 3D      | 1   | 2s2.2p3.(4S*).3d      | 3D*     | 1    |   3 - 3   |    |             T7370c8 |              |
Al VI     |                   |         206.328   |           | 1.86e+06   | B+   |   127.8283     -    133.8355    | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 3D*     | 2    |   5 - 5   |    |             T7370c8 |              |
Al VI     |                   |         206.409   |           | 8.00e+05   | B+   |   127.8283     -    133.8331    | 2s2.2p3.(2D*).3p      | 3D      | 2   | 2s2.2p3.(4S*).3d      | 3D*     | 1    |   5 - 3   |    |             T7370c8 |              |
Al XI     |                   |         206.9     |           | 9.82e+07   | AA   |   250.504      -    256.495     | 1s2.3s                | 2S      | 1/2 | 1s2.3p                | 2P*     | 1/2  |   2 - 2   |    |           u35,T7164 |              |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al VI     |                   |         207.338   |           | 2.30e+06   | B+   |   127.8767     -    133.855     | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 3D*     | 3    |   7 - 7   |    |             T7370c8 |              |
Al III    |                   |         207.3633  |         * | 4.28e+07   | A    |    20.554884   -     26.532058  | 2p6.4d                | 2D      | 5/2 | 2p6.8f                | 2F*     | 7/2  |   6 - 8   |    |                 c32 |              |
Al III    |                   |         207.3633  |         * | 2.86e+06   | B+   |    20.554884   -     26.532058  | 2p6.4d                | 2D      | 5/2 | 2p6.8f                | 2F*     | 5/2  |   6 - 6   |    |                 c32 |              |
Al III    |                   |         207.3684  |           | 4.00e+07   | A    |    20.555031   -     26.532058  | 2p6.4d                | 2D      | 3/2 | 2p6.8f                | 2F*     | 5/2  |   4 - 6   |    |                 c32 |              |
Al II     |         207.4009  |         207.4009  |       200 | 1.41e+08   | B    |    10.598337   -     16.574428  | 3p2                   | 1D      | 2   | 3s.5f                 | 1F*     | 3    |   5 - 7   |    |               T6533 |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         207.962   |         207.964   |      g,a* |            |      |     0.0138938  -      5.9738    | 3s2.3p                | 2P*     | 3/2 | 3s2.34d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         207.962   |         207.964   |      g,a* |            |      |     0.0000000  -      5.960     | 3s2.3p                | 2P*     | 1/2 | 3s2.23d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
Al I      |         207.987   |         207.986   |       g,a |            |      |     0.0138938  -      5.9732    | 3s2.3p                | 2P*     | 3/2 | 3s2.33d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al VI     |                   |         208.003   |           | 5.14e+05   | B+   |   127.8767     -    133.8355    | 2s2.2p3.(2D*).3p      | 3D      | 3   | 2s2.2p3.(4S*).3d      | 3D*     | 2    |   7 - 5   |    |             T7370c8 |              |
