----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |               Level (eV) |     Uncertainty (eV) |           Landé | Leading percentages                                | Reference
2s2.2p.3p              | 1S        |   0 |    1 |           9.17184604     |          0.00000007  |                 |  88         :     9  2s2.2p.4p             1S      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s.2p3                 | 3P*       |   1 |    3 |           9.33030700     |          0.00000007  |                 |  79         :    15  2s2.2p.3d             3P*     |       L20057
                       |           |   2 |    5 |           9.33046719     |          0.00000006  |                 |  79         :    15  2s2.2p.3d             3P*     |       L20057
                       |           |   0 |    1 |           9.33057579     |          0.00000007  |                 |  79         :    15  2s2.2p.3d             3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.3d              | 1D*       |   2 |    5 |           9.63107176     |          0.00000006  |                 |  98                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4s              | 3P*       |   0 |    1 |           9.68378581     |          0.00000007  |                 |  93         :     7  2s2.2p.3d             3P*     |       L20057
                       |           |   1 |    3 |           9.68524545     |          0.00000006  |                 |  92         :     7  2s2.2p.3d             3P*     |       L20057
                       |           |   2 |    5 |           9.68913048     |          0.00000006  |                 |  92         :     8  2s2.2p.3d             3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.3d              | 3F*       |   2 |    5 |           9.69545159     |          0.00000007  |                 |  86         :    13  2s2.2p.3d             3D*     |       L20057
                       |           |   3 |    7 |           9.69749097     |          0.00000006  |                 |  76         :    22  2s2.2p.3d             3D*     |       L20057
                       |           |   4 |    9 |           9.70175932     |          0.00000006  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.3d              | 3D*       |   1 |    3 |           9.70715832     |          0.00000007  |                 |  97                                                |       L20057
                       |           |   2 |    5 |           9.70891067     |          0.00000006  |                 |  84         :    14  2s2.2p.3d             3F*     |       L20057
                       |           |   3 |    7 |           9.71022735     |          0.00000006  |                 |  75         :    23  2s2.2p.3d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4s              | 1P*       |   1 |    3 |           9.71295895     |          0.00000007  |                 |  80         :    18  2s2.2p.3d             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.3d              | 1F*       |   3 |    7 |           9.73643519     |          0.00000007  |                 |  99                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.3d              | 1P*       |   1 |    3 |           9.76143649     |          0.00000008  |                 |  81         :    18  2s2.2p.4s             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.3d              | 3P*       |   2 |    5 |           9.83329434     |          0.00000006  |                 |  77         :    15  2s.2p3                3P*     |       L20057
                       |           |   1 |    3 |           9.83427891     |          0.00000007  |                 |  77         :    15  2s.2p3                3P*     |       L20057
                       |           |   0 |    1 |           9.83482184     |          0.00000009  |                 |  78         :    15  2s.2p3                3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4p              | 1P        |   1 |    3 |           9.98852470     |          0.00000007  |                 |  96                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4p              | 3D        |   1 |    3 |          10.01574712     |          0.00000007  |                 |  97                                                |       L20057
                       |           |   2 |    5 |          10.01808295     |          0.00000006  |                 |  98                                                |       L20057
                       |           |   3 |    7 |          10.02221609     |          0.00000006  |                 |  98                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4p              | 3S        |   1 |    3 |          10.05574629     |          0.00000006  |                 |  89         :     9  2s2.2p.4p             3P      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4p              | 3P        |   0 |    1 |          10.08128582     |          0.00000007  |                 |  98                                                |       L20057
                       |           |   1 |    3 |          10.08311538     |          0.00000007  |                 |  89         :     9  2s2.2p.4p             3S      |       L20057
                       |           |   2 |    5 |          10.08537735     |          0.00000006  |                 |  98                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4p              | 1D        |   2 |    5 |          10.13817181     |          0.00000007  |                 |  93         :     4  2s2.2p.5p             1D      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4p              | 1S        |   0 |    1 |          10.19792594     |          0.00000007  |                 |  79         :    13  2s2.2p.5p             1S      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4d              | 1D*       |   2 |    5 |          10.35238130     |          0.00000007  |                 |  97                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5s              | 3P*       |   0 |    1 |          10.38244864     |          0.00000014  |                 |  94         :     6  2s2.2p.4d             3P*     |       L20057
                       |           |   1 |    3 |          10.38397890     |          0.00000010  |                 |  89         :     6  2s2.2p.4d             3P*     |       L20057
                       |           |   2 |    5 |          10.38877079     |          0.00000009  |                 |  74         :    11  2s2.2p.4d             3D*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4d              | 3F*       |   2 |    5 |          10.38335820     |          0.00000007  |                 |  86         :    13  2s2.2p.4d             3D*     |       L20057
                       |           |   3 |    7 |          10.38507435     |          0.00000007  |                 |  78         :    19  2s2.2p.4d             3D*     |       L20057
                       |           |   4 |    9 |          10.38970413     |          0.00000007  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4d              | 3D*       |   1 |    3 |          10.39237497     |          0.00000012  |                 |  94         :     4  2s2.2p.4d             1P*     |       L20057
                       |           |   2 |    5 |          10.39459617     |          0.00000008  |                 |  75         :    16  2s2.2p.5s             3P*     |       L20057
                       |           |   3 |    7 |          10.39593485     |          0.00000007  |                 |  80         :    20  2s2.2p.4d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5s              | 1P*       |   1 |    3 |          10.3994603      |          0.0000007   |                 |  65         :    28  2s2.2p.4d             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).4f   | 2[5/2]    |   3 |    7 |          10.40471209     |          0.00000007  |                 |  82         :    17  2s2.2p.(2P*<3/2>).4f  2[5/2]  |       L20057
