------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
                     |         |  5/2 |    6 |       3.322127   |                    |   1.416  |          
                     |         |  7/2 |    8 |       3.444358   |                    |   1.374  |          
                     |         |  9/2 |   10 |       3.566610   |                    |   1.337  |          
                     |         |      |      |                  |                    |          |           
                     | 246     |  1/2 |    2 |       3.062248   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 249     |  7/2 |    8 |       3.089426   |                    |          |          
                     |         |  9/2 |   10 |       3.091494   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 251*    |  9/2 |   10 |       3.122652   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 252     |  5/2 |    6 |       3.127385   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 253     |  9/2 |   10 |       3.146274   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 254     |  3/2 |    4 |       3.158907   |                    |          |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5F).6p       | y 4D*   |  7/2 |    8 |                  |                    |          |          
                     |         |  1/2 |    2 |       3.163163   |                    |   0.028  |          
                     |         |  3/2 |    4 |       3.268681   |                    |   1.393  |          
                     |         |  5/2 |    6 |       3.488157   |                    |   1.394  |          
                     |         |      |      |                  |                    |          |           
5d2.6s2.(3P).6p      | z 4P*?  |  5/2 |    6 |       3.250819   |                    |   1.338  |          
                     |         |  3/2 |    4 |       3.296744   |                    |   1.576  |          
                     |         |  1/2 |    2 |       3.330966   |                    |   2.650  |          
                     |         |      |      |                  |                    |          |           
                     | 266     |  9/2 |   10 |       3.30770?   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 269*    |  7/2 |    8 |       3.342671   |                    |   1.223  |          
                     |         |      |      |                  |                    |          |           
                     | 271     |  5/2 |    6 |       3.368380   |                    |   1.606  |          
                     |         |      |      |                  |                    |          |           
                     | 277*    | 11/2 |   12 |       3.44465?   |                    |   1.351  |          
                     |         |      |      |                  |                    |          |           
                     | 281*    |  7/2 |    8 |       3.494197   |                    |   1.115  |          
                     |         |      |      |                  |                    |          |           
                     | 282     | 11/2 |   12 |       3.507016   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 286*    |  3/2 |    4 |       3.557021   |                    |   1.356  |          
                     |         |      |      |                  |                    |          |           
                     | 288*    |  5/2 |    6 |       3.578433   |                    |   1.247  |          
                     |         |      |      |                  |                    |          |           
                     | 293*    |  5/2 |    6 |       3.638125   |                    |   0.814  |          
                     |         |      |      |                  |                    |          |           
                     | 297*    |  7/2 |    8 |       3.685176   |                    |   1.217  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5P).6p       | y 6D*   |  9/2 |   10 |                  |                    |          |          
                     |         |  1/2 |    2 |       3.707409   |                    |   2.994  |          
                     |         |  3/2 |    4 |       3.801933   |                    |   1.812  |          
                     |         |  5/2 |    6 |       4.027844   |                    |   1.687  |          
                     |         |  7/2 |    8 |       4.227199   |                    |   1.515  |          
                     |         |      |      |                  |                    |          |           
                     | 300*    |  7/2 |    8 |       3.721461   |                    |          |          
                     |         |  9/2 |   10 |       3.722154   |                    |   1.186  |          
                     |         |      |      |                  |                    |          |           
                     | 305*    |  7/2 |    8 |       3.792794   |                    |   1.043  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5P).6p       | z 4S*   |  3/2 |    4 |       3.830451   |                    |   1.808  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5P).6p       | z 6P*   |  3/2 |    4 |       3.851735   |                    |   2.108  |          
                     |         |  5/2 |    6 |       3.962711   |                    |   1.684  |          
                     |         |  7/2 |    8 |       4.115996   |                    |   1.568  |          
                     |         |      |      |                  |                    |          |           
