-----------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |                   Level    |  Landé | Leading percentages                            | Reference
3d2.(3P).4p         | z 4S*  |  3/2 |             4.96274028     |        |  95                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4p         | y 4D*  |  1/2 |             5.00032196     |        |  97                                            |      L17885
                    |        |  3/2 |             5.01215024     |        |  96                                            |      L17885
                    |        |  5/2 |             5.03148084     |        |  96                                            |      L17885
                    |        |  7/2 |             5.05836101     |        |  93                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4p         | z 4P*  |  1/2 |             5.20693332     |        |  97                                            |      L17885
                    |        |  3/2 |             5.21587237     |        |  97                                            |      L17885
                    |        |  5/2 |             5.23322707     |        |  97                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4p         | y 2G*  |  7/2 |             5.42316399     |        |  95                                            |      L17885
                    |        |  9/2 |             5.42814636     |        |  95                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4p         | x 2D*  |  5/2 |             5.56719367     |        |  82                                            |      L17885
                    |        |  3/2 |             5.56873452     |        |  80                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4p         | y 2P*  |  1/2 |             5.63786544     |        |  95                                            |      L17885
                    |        |  3/2 |             5.64734719     |        |  94                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4p         | z 2H*  |  9/2 |             5.66282498     |        |  99                                            |      L17885
                    |        | 11/2 |             5.69194826     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4p         | x 2F*  |  7/2 |             5.88512664     |        |  91                                            |      L17885
                    |        |  5/2 |             5.90475341     |        |  92                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(3P*) | 4F*    |  3/2 |             6.4880793      |        |  95                                            |      L17885
                    |        |  5/2 |             6.5056858      |        |  93                                            |      L17885
                    |        |  7/2 |             6.53461708     |        |  94                                            |      L17885
                    |        |  9/2 |             6.5831339      |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(3P*) | 4D*    |  1/2 |             6.4892389      |        |  97                                            |      L17885
                    |        |  3/2 |             6.5041360      |        |  94                                            |      L17885
                    |        |  5/2 |             6.5253975      |        |  91                                            |      L17885
                    |        |  7/2 |             6.55220946     |        |  92                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(3P*) | w 2D*  |  5/2 |             6.63997249     |        |  88                                            |      L17885
                    |        |  3/2 |             6.64521406     |        |  88                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(3P*) | y 4P*  |  1/2 |             6.9707889      |        |  97                                            |      L17885
                    |        |  3/2 |             6.97401747     |        |  97                                            |      L17885
                    |        |  5/2 |             6.98355090     |        |  97                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(3P*) | w 2F*  |  5/2 |             7.3550120      |        |  94                                            |      L17885
                    |        |  7/2 |             7.3731386      |        |  95                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(3P*) | 2P*    |  3/2 |             7.3631705      |        |  83         :    16  3d2.(1S).4p         2P*   |      L17885
                    |        |  1/2 |             7.3696443      |        |  79         :    20  3d2.(1S).4p         2P*   |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5s         | e 4F   |  3/2 |             7.70938712     |        | 100                                            |      L17885
                    |        |  5/2 |             7.72079206     |        |  99                                            |      L17885
                    |        |  7/2 |             7.73797313     |        |  99                                            |      L17885
                    |        |  9/2 |             7.76081129     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5s         | e 2F   |  5/2 |             7.83196905     |        |  99                                            |      L17885
                    |        |  7/2 |             7.86630466     |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1S).4p         | 2P*    |  1/2 |             7.8453316      |        |  76         :    20  3d.(2D).4s.4p.(3P*) 2P*   |      L17885
                    |        |  3/2 |             7.8575383      |        |  81         :    16  3d.(2D).4s.4p.(3P*) 2P*   |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | e 4G   |  5/2 |             8.04492161     |        |  96                                            |      L17885
                    |        |  7/2 |             8.05640400     |        |  95                                            |      L17885
                    |        |  9/2 |             8.07087210     |        |  93                                            |      L17885
                    |        | 11/2 |             8.08917898     |        |  93                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | e 4H   |  7/2 |             8.08214151     |        |  96                                            |      L17885
                    |        |  9/2 |             8.09721396     |        |  93                                            |      L17885
                    |        | 11/2 |             8.11431717     |        |  93                                            |      L17885
                    |        | 13/2 |             8.13218461     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | 4D     |  1/2 |             8.08552689     |        |  99                                            |      L17885
                    |        |  3/2 |             8.09304675     |        |  99                                            |      L17885
                    |        |  5/2 |             8.10828616     |        |  80         :    18                            |      L17885
                    |        |  7/2 |             8.11602671     |        |  51         :    47  3d2.(3F).4d         f 2F  |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | f 2F   |  5/2 |             8.09796089     |        |                                                |      L17885
                    |        |  7/2 |             8.13322605     |        |  49         :    49  3d2.(3F).4d         4D    |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | 2P     |  1/2 |             8.2475788      |        |  93                                            |      L17885
                    |        |  3/2 |             8.28142592     |        |  91                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | 4P     |  1/2 |             8.36118797     |        |                                                |      L17885
                    |        |  3/2 |             8.37504013     |        |                                                |      L17885
                    |        |  5/2 |             8.39366112     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | e 2G   |  7/2 |             8.38209575     |        |  91                                            |      L17885
                    |        |  9/2 |             8.40892898     |        |  91                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | e 2H   |  9/2 |             8.47198402     |        |  95                                            |      L17885
                    |        | 11/2 |             8.50339161     |        |  95                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | 2D     |  3/2 |             8.47612329     |        |  86         :    11  3d2.(1D).4d         2D    |      L17885
                    |        |  5/2 |             8.49075731     |        |  85         :    12  3d2.(1D).4d         2D    |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4d         | f 4F   |  3/2 |             8.52631099     |        |  96                                            |      L17885
