-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |         Rel. |    Aki     | Acc. |     Ei           Ek     |           Lower level           |           Upper level           |  gi   gk  |Type|    TP  |            Line  |
          |    Wavelength    |    Wavelength    |         Int. |   (s^-1)   |      |    (eV)         (eV)    |---------------------------------|---------------------------------|           |    |   Ref. |            Ref.  |
          |     Air (nm)     |     Air (nm)     |              |            |      |                         | Conf.           | Term   | J    | Conf.           | Term   | J    |           |    |        |                  |
Ta I      |        260.014   |        260.0139+ |          220 |            |      |  0.000000  -   4.766943 | 5d3.6s2         | a 4F   | 3/2  | 5d3.6s.(3G).6p  | y 4F*? | 5/2  |   4 - 6   |    |        |           L3475  |
Ta II     |        260.349   |                  |          600 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        260.863   |        260.8625+ |         1400 |            |      |  0.249221  -   5.000658 | 5d3.6s2         | a 4F   | 5/2  |                 | 403*   | 7/2  |   6 - 8   |    |        |           L3475  |
Ta I      |        260.900   |        260.8995+ |          210 |            |      |  0.752449  -   5.503212 | 5d3.6s2         | a 4P   | 3/2  |                 | 443*   | 5/2  |   4 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        261.134   |        261.1340+ |         310D |            |      |  0.491463  -   5.237960 | 5d3.6s2         | a 4F   | 7/2  |                 | 422*   | 9/2  |   8 - 10  |    |        |           L3475  |
Ta I      |        261.546   |        261.5657+ |         340* |            |      |  0.249221  -   4.987886 | 5d3.6s2         | a 4F   | 5/2  |                 | 402*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta I      |        261.546   |        261.5255+ |         340* |            |      |  1.203314  -   5.942706 | 5d3.6s2         | a 2G   | 7/2  |                 | 479*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        261.566   |        261.5657+ |          310 |            |      |  0.249221  -   4.987886 | 5d3.6s2         | a 4F   | 5/2  |                 | 402*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta II     |        263.558   |        263.5577+ |         1200 |            |      |  0.127869  -   4.830719 | 5d3.(4F).6s     | a 5F   | 2    |                 | 5G*    | 3    |   5 - 7   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        263.667   |        263.6671+ |          470 |            |      |  0.491463  -   5.192363 | 5d3.6s2         | a 4F   | 7/2  |                 | 418*   | 5/2  |   8 - 6   |    |        |           L3475  |
Ta I      |        263.690   |        263.688+  |          860 |            |      |  0.696920  -   5.39744  | 5d3.6s2         | a 4F   | 9/2  |                 | 435*   | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        264.622   |        264.6210+ |          510 |            |      |  1.325431  -   6.009385 | 5d3.6s2         | a 2G   | 9/2  |                 | 484*   | 9/2  |  10 - 10  |    |        |           L3475  |
Ta I      |        264.637   |        264.6366+ |          600 |            |      |  0.249221  -   4.932900 | 5d3.6s2         | a 4F   | 5/2  |                 | 397*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta I      |        264.747   |        264.7470+ |         2400 |            |      |  0.000000  -   4.681726 | 5d3.6s2         | a 4F   | 3/2  |                 | 377*   | 3/2  |   4 - 4   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        265.122   |                  |          270 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        265.327   |        265.3272+ |         2600 |            |      |  0.249221  -   4.920710 | 5d3.6s2         | a 4F   | 5/2  |                 | 396*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta I      |        265.661   |        265.6657+ |         1900 |            |      |  0.000000  -   4.665537 | 5d3.6s2         | a 4F   | 3/2  |                 | 376*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        266.134   |        266.1328+ |         1500 |            |      |  0.696920  -   5.354269 | 5d3.6s2         | a 4F   | 9/2  |                 | 431*   | 11/2 |  10 - 12  |    |        |           L3475  |
Ta II     |        266.560   |                  |          220 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        266.807   |        266.8063+ |          220 |            |      |  0.696920  -   5.342514 | 5d3.6s2         | a 4F   | 9/2  |                 | 430*   | 9/2  |  10 - 10  |    |        |           L3475  |
Ta I      |        266.862   |        266.8617+ |          600 |            |      |  0.000000  -   4.644629 | 5d3.6s2         | a 4F   | 3/2  |                 | 374*   | 1/2  |   4 - 2   |    |        |           L3475  |
Ta II     |        267.590   |                  |          770 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        268.006   |                  |          270 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        268.066   |                  |          220 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        268.428   |        268.4273+ |          600 |            |      |  0.249221  -   4.866760 | 5d3.6s2         | a 4F   | 5/2  |                 | 392*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta II     |        268.517   |        268.5188+ |        1500* |            |      |  0.511406  -   5.127374 | 5d2.6s2         | a 3P   | 0    |                 | 413*   | 1    |   1 - 3   |    |        |           L3475  |
Ta II     |        268.517   |        268.5151+ |        1500* |            |      |  0.000000  -   4.616031 | 5d3.(4F).6s     | a 5F   | 1    |                 | 5G*    | 2    |   3 - 5   |    |        |           L3475  |
Ta I      |        269.131   |        269.1310+ |          340 |            |      |  0.000000  -   4.605467 | 5d3.6s2         | a 4F   | 3/2  |                 | 371*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        269.240   |        269.2391+ |          260 |            |      |  0.696920  -   5.300538 | 5d3.6s2         | a 4F   | 9/2  |                 | 427*   | 7/2  |  10 - 8   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        269.452   |                  |          470 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        269.681   |        269.6808+ |          240 |            |      |  1.147279  -   5.743358 | 5d3.6s2         | a 4P   | 5/2  | 5d4.(5D).6p     | y 4P*  | 5/2  |   6 - 6   |    |        |           L3475  |
Ta IV     |        269.742   |                  |           68 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta I      |        269.830   |        269.8297+ |         1000 |            |      |  0.249221  -   4.842763 | 5d3.6s2         | a 4F   | 5/2  |                 | 390*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta I      |        270.669   |        270.6679+ |          470 |            |      |  1.325431  -   5.904749 | 5d3.6s2         | a 2G   | 9/2  |                 | 476*   | 7/2  |  10 - 8   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        270.927   |                  |          310 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        271.013   |        271.0128+ |         1200 |            |      |  0.491463  -   5.064954 | 5d3.6s2         | a 4F   | 7/2  |                 | 408*   | 5/2  |   8 - 6   |    |        |           L3475  |
Ta I      |        271.467   |        271.4670+ |         2600 |            |      |  0.000000  -   4.565838 | 5d3.6s2         | a 4F   | 3/2  | 5d3.6s.(3G).6p  | y 4G*? | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        271.718   |        271.7178+ |          240 |            |      |  0.491463  -   5.053088 | 5d3.6s2         | a 4F   | 7/2  |                 | 407*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        272.076   |        272.0753+ |          470 |            |      |  0.249221  -   4.804853 | 5d3.6s2         | a 4F   | 5/2  |                 | 387*   | 5/2  |   6 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        272.744   |                  |          470 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        272.778   |        272.7768+ |          410 |            |      |  1.325431  -   5.869347 | 5d3.6s2         | a 2G   | 9/2  |                 | 473*   | 11/2 |  10 - 12  |    |        |           L3475  |
Ta II     |        273.625   |                  |          310 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        273.926   |                  |          210 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        274.359   |        274.3584+ |          210 |            |      |  0.249221  -   4.766943 | 5d3.6s2         | a 4F   | 5/2  | 5d3.6s.(3G).6p  | y 4F*? | 5/2  |   6 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        274.668   |        274.6674+ |          510 |            |      |  0.696920  -   5.209562 | 5d3.6s2         | a 4F   | 9/2  |                 | 420*   | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        274.878   |        274.8773+ |         1200 |            |      |  0.491463  -   5.000658 | 5d3.6s2         | a 4F   | 7/2  |                 | 403*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        274.983   |        274.982+  |          860 |            |      |  1.203314  -   5.71079  | 5d3.6s2         | a 2G   | 7/2  |                 | 460*   | 7/2? |   8 - 8   |    |        |           L3475  |
Ta II     |        275.249   |                  |          410 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        275.831   |        275.8316+ |         1000 |            |      |  0.249221  -   4.742816 | 5d3.6s2         | a 4F   | 5/2  |                 | 382*   | 7/2  |   6 - 8   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        276.168   |                  |          430 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        277.588   |        277.5881+ |          770 | 3.6e+07    | C+   |  0.000000  -   4.465163 | 5d3.6s2         | a 4F   | 3/2  | 5d3.6s.(3H).6p  | z 4G*? | 5/2  |   4 - 6   |    |  T7871 |           L3475  |
Ta I      |        278.769   |        278.7701+ |          390 |            |      |  1.147279  -   5.593511 | 5d3.6s2         | a 4P   | 5/2  |                 | 451*   | 7/2  |   6 - 8   |    |        |           L3475  |
Ta I      |        279.634   |        279.6334+ |          680 |            |      |  0.249221  -   4.681726 | 5d3.6s2         | a 4F   | 5/2  |                 | 377*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta II     |        279.776   |                  |          680 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        280.207   |        280.2075+ |          380 |            |      |  0.491463  -   4.914887 | 5d3.6s2         | a 4F   | 7/2  |                 | 396*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        280.630   |        280.6291+ |          430 |            |      |  0.752449  -   5.169229 | 5d3.6s2         | a 4P   | 3/2  |                 | 416*   | 3/2  |   4 - 4   |    |        |           L3475  |
Ta I      |        280.658   |        280.6585+ |          510 |            |      |  0.249221  -   4.665537 | 5d3.6s2         | a 4F   | 5/2  |                 | 376*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta II     |        281.710   |                  |          260 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        284.282   |        284.2807+ |          260 |            |      |  1.394032  -   5.754081 | 5d4.(5D).6s     | a 6D   | 5/2  | 5d4.(5D).6p     | x 6D*  | 7/2  |   6 - 8   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        284.425   |        284.4241+ |         640* |            |      |  1.325431  -   5.683281 | 5d3.6s2         | a 2G   | 9/2  | 5d4.(5D).6p     | y 6F*  | 11/2 |  10 - 12  |    |        |           L3475  |
Ta I      |        284.425   |        284.4256+ |         640* |            |      |  0.750032  -   5.107860 | 5d3.6s2         | a 4P   | 1/2  |                 | 411*   | 3/2  |   2 - 4   |    |        |           L3475  |
Ta II     |        284.446   |                  |          290 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        284.535   |        284.5340+ |         290c |            |      |  0.696920  -   5.053088 | 5d3.6s2         | a 4F   | 9/2  |                 | 407*   | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        284.852   |        284.8523+ |         560* |            |      |  0.491463  -   4.842763 | 5d3.6s2         | a 4F   | 7/2  |                 | 390*   | 5/2  |   8 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        284.852   |        284.8518+ |         560* |            |      |  1.462038  -   5.813345 | 5d3.6s2         | a 2P   | 1/2  |                 | 468*   | 3/2  |   2 - 4   |    |        |           L3475  |
Ta I      |        285.049   |        285.0477+ |         1500 |            |      |  2.915159  -   7.263475 | 5d4.(a 3F).6s   | b 4F   | 5/2  |                 | 585*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta I      |        285.098   |        285.0978+ |         1900 |            |      |  0.696920  -   5.044473 | 5d3.6s2         | a 4F   | 9/2  | 5d3.6s.(3G).6p  | y 4G*? | 9/2  |  10 - 10  |    |        |           L3475  |
Ta II     |        285.844   |                  |          220 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        286.198   |        286.2000+ |          360 |            |      |  1.209958  -   5.540768 | 5d4.(5D).6s     | a 6D   | 1/2  | 5d4.(5D).6p     | y 4P*  | 3/2  |   2 - 4   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        286.865   |        286.8648+ |          310 |            |      |  0.491463  -   4.812238 | 5d3.6s2         | a 4F   | 7/2  | 5d3.6s.(3H).6p  | z 4G*? | 9/2  |   8 - 10  |    |        |           L3475  |
Ta I      |        287.142   |        287.1411+ |          470 |            |      |  0.249221  -   4.565838 | 5d3.6s2         | a 4F   | 5/2  | 5d3.6s.(3G).6p  | y 4G*? | 5/2  |   6 - 6   |    |        |           L3475  |
Ta I      |        287.336   |        287.3363+ |          270 |            |      |  0.000000  -   4.313685 | 5d3.6s2         | a 4F   | 3/2  |                 | 347*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        287.356   |        287.3564+ |         260* |            |      |  0.249221  -   4.562604 | 5d3.6s2         | a 4F   | 5/2  | 5d3.6s.(3H).6p  | z 4G*? | 7/2  |   6 - 8   |    |        |           L3475  |
Ta I      |        287.356   |        287.3560+ |         260* |            |      |  0.491463  -   4.804853 | 5d3.6s2         | a 4F   | 7/2  |                 | 387*   | 5/2  |   8 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        287.417   |        287.4149+ |          210 |            |      |  0.752449  -   5.064954 | 5d3.6s2         | a 4P   | 3/2  |                 | 408*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        288.002   |        288.0004+ |          380 |            |      |  0.696920  -   5.000658 | 5d3.6s2         | a 4F   | 9/2  |                 | 403*   | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        289.184   |        289.1837+ |          770 | 5.6e+07    | C+   |  0.249221  -   4.535349 | 5d3.6s2         | a 4F   | 5/2  | 5d3.6s.(3G).6p  | y 4F*? | 3/2  |   6 - 4   |    |  T7871 |           L3475  |
Ta I      |        289.904   |        289.9040+ |          260 |            |      |  0.491463  -   4.766943 | 5d3.6s2         | a 4F   | 7/2  | 5d3.6s.(3G).6p  | y 4F*? | 5/2  |   8 - 6   |    |        |           L3475  |
Ta I      |        290.205   |        290.2045+ |          560 |            |      |  1.655369  -   5.926421 | 5d4.(5D).6s     | a 6D   | 9/2  | 5d4.(5D).6p     | x 6D*  | 9/2  |  10 - 10  |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        291.412   |        291.4109+ |          210 | 3.8e+07    | D+   |  1.357654  -   5.611026 | 5d3.6s2         | a 2P   | 3/2  | 5d4.(5D).6p     | x 6D*  | 5/2  |   4 - 6   |    |  T7871 |           L3475  |
Ta I      |        291.549   |        291.5494+ |          310 |            |      |  0.491463  -   4.742816 | 5d3.6s2         | a 4F   | 7/2  |                 | 382*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        292.519   |        292.5188+ |          410 |            |      |  0.752449  -   4.989712 | 5d3.6s2         | a 4P   | 3/2  |                 | 402*   | 1/2  |   4 - 2   |    |        |           L3475  |
Ta I      |        293.270   |        293.2678+ |          310 |            |      |  1.516917  -   5.743358 | 5d4.(5D).6s     | a 6D   | 7/2  | 5d4.(5D).6p     | y 4P*  | 5/2  |   8 - 6   |    |        |           L3475  |
Ta I      |        293.355   |        293.3550+ |         1700 |            |      |  0.000000  -   4.225186 | 5d3.6s2         | a 4F   | 3/2  |                 | 340*   | 3/2  |   4 - 4   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        294.006   |        294.0050+ |          470 |            |      |  1.325431  -   5.541275 | 5d3.6s2         | a 2G   | 9/2  |                 | 4469*  | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        294.022   |        294.0216+ |         1200 |            |      |  0.000000  -   4.215607 | 5d3.6s2         | a 4F   | 3/2  |                 | 340*   | 5/2  |   4 - 6   |    |        |           L3475  |
Ta I      |        294.214   |        294.2142+ |         240* |            |      |  1.325431  -   5.538279 | 5d3.6s2         | a 2G   | 9/2  |                 | 4466*  | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        294.214   |        294.2141+ |         240* |            |      |  0.491463  -   4.704313 | 5d3.6s2         | a 4F   | 7/2  | 5d3.6s.(3H).6p  | z 4I*? | 9/2  |   8 - 10  |    |        |           L3475  |
Ta I      |        295.192   |        295.1919+ |          510 |            |      |  0.249221  -   4.448115 | 5d3.6s2         | a 4F   | 5/2  |                 | 358*   | 5/2  |   6 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        295.356   |        295.3557+ |          340 |            |      |  0.696920  -   4.893486 | 5d3.6s2         | a 4F   | 9/2  | 5d3.6s.(3H).6p  | z 4I*? | 11/2 |  10 - 12  |    |        |           L3475  |
Ta I      |        296.332   |        296.3320+ |         1500 |            |      |  0.249221  -   4.431961 | 5d3.6s2         | a 4F   | 5/2  |                 | 357*   | 7/2  |   6 - 8   |    |        |           L3475  |
Ta II     |        296.513   |                  |          770 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        296.554   |        296.553+  |          770 |            |      |  0.249221  -   4.42884  | 5d3.6s2         | a 4F   | 5/2  |                 | 357*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta I      |        296.947   |        296.9474+ |          340 |            |      |  0.491463  -   4.665537 | 5d3.6s2         | a 4F   | 7/2  |                 | 376*   | 5/2  |   8 - 6   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        297.556   |        297.5558+ |          430 |            |      |  0.491463  -   4.657001 | 5d3.6s2         | a 4F   | 7/2  |                 | 375*   | 7/2  |   8 - 8   |    |        |           L3475  |
Ta I      |        301.1877  |        301.1871+ |          210 |            |      |  0.696920  -   4.812238 | 5d3.6s2         | a 4F   | 9/2  | 5d3.6s.(3H).6p  | z 4G*? | 9/2  |  10 - 10  |    |        |     L7593,L3475  |
Ta II     |        301.254   |        301.2542+ |         1800 |            |      |  0.660918  -   4.775320 | 5d2.6s2         | a 3P   | 1    |                 | 5F*    | 2    |   3 - 5   |    |        |           L3475  |
Ta I      |        302.748   |        302.7474+ |         290D | 5.9e+07    | D+   |  1.516917  -   5.611026 | 5d4.(5D).6s     | a 6D   | 7/2  | 5d4.(5D).6p     | x 6D*  | 5/2  |   8 - 6   |    |  T7871 |      L182,L3475  |
Ta II     |        304.206   |                  |          290 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        304.9558  |        304.9556+ |          530 |            |      |  0.249221  -   4.313685 | 5d3.6s2         | a 4F   | 5/2  |                 | 347*   | 5/2  |   6 - 6   |    |        |     L7593,L3475  |
Ta I      |        306.9237  |        306.9241+ |          530 |            |      |  1.516917  -   5.555315 | 5d4.(5D).6s     | a 6D   | 7/2  | 5d4.(5D).6p     | y 6F*  | 9/2  |   8 - 10  |    |        |     L7593,L3475  |
Ta IV     |        307.606   |                  |           10 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta I      |        307.7245  |        307.7232+ |         360* |            |      |  1.655369  -   5.683281 | 5d4.(5D).6s     | a 6D   | 9/2  | 5d4.(5D).6p     | y 6F*  | 11/2 |  10 - 12  |    |        |     L7593,L3475  |
Ta I      |        307.7245  |        307.7256+ |         360* |            |      |  1.325431  -   5.353312 | 5d3.6s2         | a 2G   | 9/2  | 5d4.(5D).6p     | y 6F*  | 7/2  |  10 - 8   |    |        |     L7593,L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        310.3251  |        310.3249+ |          560 |            |      |  0.000000  -   3.994143 | 5d3.6s2         | a 4F   | 3/2  |                 | 322*   | 3/2  |   4 - 4   |    |        |     L7593,L3475  |
Ta I      |        312.4969  |        312.4967+ |          380 |            |      |  0.249221  -   4.215607 | 5d3.6s2         | a 4F   | 5/2  |                 | 340*   | 5/2  |   6 - 6   |    |        |     L7593,L3475  |
Ta I      |        312.776   |        312.7865+ | 150bl(Ta II) | 5.7e+05    | C+   |  0.000000  -   3.962711 | 5d3.6s2         | a 4F   | 3/2  | 5d3.6s.(5P).6p  | z 6P*  | 5/2  |   4 - 6   |    |  T4976 |           L3475  |
Ta I      |        313.0578  |        313.0577+ |          380 |            |      |  1.394032  -   5.353312 | 5d4.(5D).6s     | a 6D   | 5/2  | 5d4.(5D).6p     | y 6F*  | 7/2  |   6 - 8   |    |        |     L7593,L3475  |
Ta I      |        313.2643  |        313.2656+ |          270 |            |      |  0.491463  -   4.448115 | 5d3.6s2         | a 4F   | 7/2  |                 | 358*   | 5/2  |   8 - 6   |    |        |     L7593,L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        316.818   |        316.8265+ |  70bl(Ta II) | 6.0e+05    | C+   |  0.000000  -   3.912184 | 5d3.6s2         | a 4F   | 3/2  |                 | 315*   | 3/2  |   4 - 4   |    |  T4976 |      L182,L3475  |
Ta I      |        317.0289  |        317.0290+ |          320 | 8.5e+06    | C+   |  0.491463  -   4.401148 | 5d3.6s2         | a 4F   | 7/2  |                 | 354*   | 9/2  |   8 - 10  |    |  T4976 |     L7593,L3475  |
Ta I      |        317.3586  |        317.3585+ |          270 |            |      |  0.000000  -   3.905625 | 5d3.6s2         | a 4F   | 3/2  | 5d2.6s2.(3P).6p | z 2P*  | 1/2  |   4 - 2   |    |        |     L7593,L3475  |
Ta I      |        317.6294  |        317.6295+ |          200 |            |      |  0.750032  -   4.652326 | 5d3.6s2         | a 4P   | 1/2  |                 | 375*   | 3/2  |   2 - 4   |    |        |     L7593,L3475  |
Ta I      |        318.0947  |        318.0951+ |          600 |            |      |  0.000000  -   3.896582 | 5d3.6s2         | a 4F   | 3/2  |                 | 314*   | 5/2  |   4 - 6   |    |        |     L7593,L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        318.4552  |        318.4548+ |          240 |            |      |  0.752449  -   4.644629 | 5d3.6s2         | a 4P   | 3/2  |                 | 374*   | 1/2  |   4 - 2   |    |        |     L7593,L3475  |
Ta I      |        319.8670  |        319.8664+ |          200 |            |      |  0.491463  -   4.366468 | 5d3.6s2         | a 4F   | 7/2  |                 | 352*   | 9/2  |   8 - 10  |    |        |     L7593,L3475  |
Ta I      |        320.549   |        320.5471+ |           8w | 5.6e+05    | C    |  0.249221  -   4.115996 | 5d3.6s2         | a 4F   | 5/2  | 5d3.6s.(5P).6p  | z 6P*  | 7/2  |   6 - 8   |    |  T4976 |           L7593  |
Ta II     |        321.391   |                  |          200 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        322.3826  |        322.3824+ |          300 |            |      |  0.696920  -   4.541684 | 5d3.6s2         | a 4F   | 9/2  |                 | 366*   | 9/2  |  10 - 10  |    |        |     L7593,L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        322.9236  |                  |          230 |            |      |                         |                 |        |      |                 |        |      |           |    |        |     L7593,L3475  |
Ta I      |        324.2048  |        324.2049+ |          200 |            |      |  0.491463  -   4.314614 | 5d3.6s2         | a 4F   | 7/2  |                 | 347*   | 7/2  |   8 - 8   |    |        |     L7593,L3475  |
Ta I      |        324.2834  |        324.2837+ |          200 |            |      |  0.491463  -   4.313685 | 5d3.6s2         | a 4F   | 7/2  |                 | 347*   | 5/2  |   8 - 6   |    |        |     L7593,L3475  |
Ta I      |        326.0182  |        326.0143+ |           70 | 5.8e+05    | C+   |  0.000000  -   3.801933 | 5d3.6s2         | a 4F   | 3/2  | 5d3.6s.(5P).6p  | y 6D*  | 3/2  |   4 - 4   |    |  T4976 |     L7593,L3475  |
Ta II     |        327.495   |                  |          210 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        331.1162  |        331.1135+ |         1100 |            |      |  0.696920  -   4.440304 | 5d3.6s2         | a 4F   | 9/2  |                 | 358*   | 11/2 |  10 - 12  |    |        |     L7593,L3475  |
Ta I      |        331.7928  |        331.7915+ |          210 | 6.1e+06    | C    |  0.491463  -   4.227199 | 5d3.6s2         | a 4F   | 7/2  | 5d3.6s.(5P).6p  | y 6D*  | 7/2  |   8 - 8   |    |  T7871 |     L7593,L3475  |
Ta I      |        331.8840  |        331.8847+ |          680 |            |      |  0.249221  -   3.983907 | 5d3.6s2         | a 4F   | 5/2  |                 | 321*   | 7/2  |   6 - 8   |    |        |     L7593,L3475  |
Ta II     |        333.099   |                  |        330bl |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        333.7799  |        333.7791+ |           70 | 1.32e+06   | B    |  0.249221  -   3.962711 | 5d3.6s2         | a 4F   | 5/2  | 5d3.6s.(5P).6p  | z 6P*  | 5/2  |   6 - 6   |    |  T4976 |     L7593,L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        335.847   |        335.8523+ |          230 |            |      |  1.394032  -   5.084601 | 5d4.(5D).6s     | a 6D   | 5/2  |                 | 410*   | 5/2  |   6 - 6   |    |        |      L182,L3475  |
Ta I      |        337.1539  |        337.1534+ |          640 |            |      |  0.491463  -   4.167790 | 5d3.6s2         | a 4F   | 7/2  |                 | 336*   | 9/2  |   8 - 10  |    |        |     L7593,L3475  |
Ta I      |        338.384   |        338.3834+ |            8 | 5.3e+05    | B    |  0.249221  -   3.912184 | 5d3.6s2         | a 4F   | 5/2  |                 | 315*   | 3/2  |   6 - 4   |    |  T4976 |           L7607  |
Ta I      |        338.5053  |        338.5044+ |          360 |            |      |  0.491463  -   4.153117 | 5d3.6s2         | a 4F   | 7/2  |                 | 334*   | 9/2  |   8 - 10  |    |        |     L7593,L3475  |
