-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |         Rel. |    Aki     | Acc. |     Ei           Ek     |           Lower level           |           Upper level           |  gi   gk  |Type|    TP  |            Line  |
          |    Wavelength    |    Wavelength    |         Int. |   (s^-1)   |      |    (eV)         (eV)    |---------------------------------|---------------------------------|           |    |   Ref. |            Ref.  |
          |     Air (nm)     |     Air (nm)     |              |            |      |                         | Conf.           | Term   | J    | Conf.           | Term   | J    |           |    |        |                  |
Ta II     |        229.254   |                  |          180 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        230.147   |                  |          160 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        230.224   |                  |          440 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        230.293   |                  |          440 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        230.349   |                  |          300 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        230.846   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        231.260   |                  |          440 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        231.546   |                  |          420 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        231.916   |                  |          260 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        233.129   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        233.198   |                  |          690 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        233.219   |                  |          550 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        233.413   |                  |          110 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        233.488   |                  |          180 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        233.575   |                  |          140 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        233.828   |                  |          300 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        234.094   |                  |          200 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        234.161   |                  |          200 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        234.364   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        234.642   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        235.199   |                  |           90 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        235.386   |                  |          170 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        235.522   |                  |          120 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        235.605   |                  |          170 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        235.690   |                  |          140 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
