------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |            Level (eV) |     Uncertainty (eV) |  Landé | Leading percentages                                                           | Reference
                     |           |   4 |    9 |         14.0477596    |          0.0000007   |        |  84                                    :     9  3d8.(3F).4s.4p.(3P*) 5G*      |        L19804
                     |           |   3 |    7 |         14.1342545    |          0.0000009   |        |  86                                    :     7  3d8.(3F).4s.4p.(3P*) 5G*      |        L19804
                     |           |   2 |    5 |         14.1939185    |          0.0000007   |        |  92                                    :     3  3d8.(3F).4s.4p.(3P*) 5G*      |        L19804
                     |           |   1 |    3 |         14.2279247    |          0.0000014   |        |  97                                                                           |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4d     | 2[1/2]    |   1 |    3 |         14.19758401   |          0.00000017  |        |  91                                    :     7  3d9.(2D<3/2>).4d     2[1/2]   |        L19804
                     |           |   0 |    1 |         14.45365319   |          0.00000024  |        |  53                                    :    45  3d9.(2D<3/2>).4d     2[1/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(3P*) | 3G*       |   4 |    9 |         14.3027590    |          0.0000006   |        |  71                                    :    20  3d8.(3F).4s.4p.(3P*) 1G*      |        L19804
                     |           |   5 |   11 |         14.3258922    |          0.0000014   |        |  93                                    :     6  3d8.(3F).4s.4p.(3P*) 5G*      |        L19804
                     |           |   3 |    7 |         14.4620078    |          0.0000004   |        |  57                                    :    36  3d8.(3F).4s.4p.(3P*) 3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4d     | 2[9/2]    |   5 |   11 |         14.32872908   |          0.00000017  |        |  99                                    :                                      |        L19804
                     |           |   4 |    9 |         14.34032994   |          0.00000020  |        |  97                                    :     1  3d9.(2D<5/2>).4d     2[7/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4d     | 2[3/2]    |   2 |    5 |         14.33738425   |          0.00000016  |        |  93                                    :     4  3d9.(2D<5/2>).4d     2[5/2]   |        L19804
                     |           |   1 |    3 |         14.34065127   |          0.00000016  |        |  97                                    :     1  3d9.(2D<3/2>).4d     2[1/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4d     | 2[5/2]    |   3 |    7 |         14.39211337   |          0.00000015  |        |  97                                    :     1  3d9.(2D<5/2>).4d     2[7/2]   |        L19804
                     |           |   2 |    5 |         14.43024639   |          0.00000015  |        |  92                                    :     3  3d9.(2D<3/2>).4d     2[3/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4d     | 2[7/2]    |   3 |    7 |         14.42257518   |          0.00000016  |        |  93                                    :     4  3d9.(2D<3/2>).4d     2[7/2]   |        L19804
                     |           |   4 |    9 |         14.42818740   |          0.00000016  |        |  95                                    :     2  3d9.(2D<3/2>).4d     2[7/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(3P*) | 3D*       |   3 |    7 |         14.4287113    |          0.0000004   |        |  44                                    :    35  3d8.(3F).4s.4p.(3P*) 3G*      |        L19804
                     |           |   2 |    5 |         14.5223112    |          0.0000004   |        |  75                                    :    10  3d8.(3F).4s.4p.(3P*) 3F*      |        L19804
                     |           |   1 |    3 |         14.6389756    |          0.0000004   |        |  87                                    :     6  3d8.(1D).4s.4p.(3P*) 3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4d     | 2[1/2]    |   1 |    3 |         14.5348412    |          0.0000003   |        |  91                                    :     7  3d9.(2D<5/2>).4d     2[1/2]   |        L19804
                     |           |   0 |    1 |         15.1776442    |          0.0000004   |        |  45                                    :    34  3d9.(2D<5/2>).4d     2[1/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(3P*) | 3F*       |   4 |    9 |         14.5888022    |          0.0000006   |        |  88                                    :     3  3d8.(3F).4s.4p.(3P*) 5F*      |        L19804
                     |           |   3 |    7 |         14.6478588    |          0.0000004   |        |  63                                    :    14  3d8.(3F).4s.4p.(3P*) 1F*      |        L19804
                     |           |   2 |    5 |         14.7590337    |          0.0000003   |        |  82                                    :     8  3d8.(3F).4s.4p.(3P*) 3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4d     | 2[7/2]    |   3 |    7 |         14.59881073   |          0.00000021  |        |  95                                    :     4  3d9.(2D<5/2>).4d     2[7/2]   |        L19804
                     |           |   4 |    9 |         14.61564135   |          0.00000018  |        |  96                                    :     2  3d9.(2D<5/2>).4d     2[7/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4d     | 2[3/2]    |   1 |    3 |         14.62123567   |          0.00000024  |        |  98                                    :                                      |        L19804
                     |           |   2 |    5 |         14.65037773   |          0.00000021  |        |  82                                    :    12  3d9.(2D<3/2>).4d     2[5/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4d     | 2[5/2]    |   3 |    7 |         14.69012052   |          0.00000021  |        |  98                                    :     1  3d9.(2D<5/2>).4d     2[5/2]   |        L19804
                     |           |   2 |    5 |         14.69608321   |          0.00000022  |        |  86                                    :    12  3d9.(2D<3/2>).4d     2[3/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(3P*) | 1G*       |   4 |    9 |         14.7530445    |          0.0000009   |        |  75                                    :    20  3d8.(3F).4s.4p.(3P*) 3G*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5p     | 2[3/2]*   |   2 |    5 |         14.88955769   |          0.00000018  |        |  96                                    :     2  3d8.4s.4p                     |        L19804
                     |           |   1 |    3 |         14.99211602   |          0.00000018  |        |  83                                    :    15  3d9.(2D<3/2>).5p     2[1/2]*  |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5p     | 2[7/2]*   |   3 |    7 |         14.96299725   |          0.00000019  |        |  86                                    :    13  3d8.4s.4p                     |        L19804
                     |           |   4 |    9 |         14.97602748   |          0.00000019  |        |  95                                    :     4  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5p     | 2[5/2]*   |   2 |    5 |         14.98671559   |          0.00000021  |        |  51                                    :    41  3d8.4s.4p                     |        L19804
                     |           |   3 |    7 |         15.01190125   |          0.00000018  |        |  54                                    :    35  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(3P*) | 1F*       |   3 |    7 |         15.06716110   |          0.00000020  |        |  39                                    :    43  3d9.5p               3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(3P*) | 1D*       |   2 |    5 |         15.12382234   |          0.00000021  |        |  36                                    :    32  3d9.5p               3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).5p     | 2[1/2]*   |   0 |    1 |         15.1538470    |          0.0000003   |        |  99                                                                           |        L19804
                     |           |   1 |    3 |         15.23365822   |          0.00000021  |        |  75                                    :    14  3d9.(2D<5/2>).5p     2[3/2]*  |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).5p     | 2[5/2]*   |   2 |    5 |         15.21855798   |          0.00000019  |        |  85                                    :     4  3d9.(2D<3/2>).5p     2[3/2]*  |        L19804
                     |           |   3 |    7 |         15.25214138   |          0.00000020  |        |  91                                    :     7  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).5p     | 2[3/2]*   |   1 |    3 |         15.2878495    |          0.0000004   |        |  86                                    :     9  3d9.(2D<3/2>).5p     2[1/2]*  |        L19804
                     |           |   2 |    5 |         15.31909392   |          0.00000022  |        |  76                                    :    13  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 5P*       |   3 |    7 |         15.5265486    |          0.0000021   |        |  88                                    :     8  3d8.(1D).4s.4p.(3P*) 3D*      |        L19804
                     |           |   2 |    5 |         15.5287878    |          0.0000010   |        |  88                                    :     3  3d8.(1D).4s.4p.(3P*) 3P*      |        L19804
                     |           |   1 |    3 |         15.568613     |          0.000005    |        |  94                                    :     2  3d8.(1D).4s.4p.(3P*) 3P*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(1D).4s.4p.(3P*) | 3F*       |   2 |    5 |         15.9153228    |          0.0000008   |        |  69                                    :    15  3d8.(1D).4s.4p.(3P*) 3D*      |        L19804
                     |           |   3 |    7 |         15.9393234    |          0.0000010   |        |  68                                    :    11  3d8.(3P).4s.4p.(3P*) 5D*      |        L19804
                     |           |   4 |    9 |         15.9664416    |          0.0000021   |        |  64                                    :    28  3d8.(3P).4s.4p.(3P*) 5D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(1D).4s.4p.(3P*) | 3D*       |   1 |    3 |         15.9405429    |          0.0000010   |        |  66                                    :     9  3d8.(1D).4s.4p.(3P*) 3P*      |        L19804
                     |           |   2 |    5 |         15.9758642    |          0.0000010   |        |  59                                    :    19  3d8.(1D).4s.4p.(3P*) 3F*      |        L19804
                     |           |   3 |    7 |         16.0084396    |          0.0000014   |        |  69                                    :    10  3d8.(1D).4s.4p.(3P*) 3F*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.4s2              | 1S        |   0 |    1 |         15.982807     |          0.000007    |        |  94                                    :     5  3d8.(1S).4p2.(1S)    1S       |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(1D).4s.4p.(3P*) | 3P*       |   0 |    1 |         16.0070763    |          0.0000011   |        |  63                                    :    32  3d8.(3P).4s.4p.(3P*) 3P*      |        L19804
                     |           |   1 |    3 |         16.0881585    |          0.0000008   |        |  56                                    :    19  3d8.(1D).4s.4p.(3P*) 3D*      |        L19804
                     |           |   2 |    5 |         16.1658537    |          0.0000020   |        |  74                                    :    12  3d8.(3P).4s.4p.(3P*) 3P*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 5D*       |   1 |    3 |         16.2345513    |          0.0000010   |        |  91                                    :     5  3d8.(3F).4s.4p.(3P*) 5D*      |        L19804
                     |           |   2 |    5 |         16.2349447    |          0.0000011   |        |  88                                    :     5  3d8.(3F).4s.4p.(3P*) 5D*      |        L19804
                     |           |   0 |    1 |         16.2361718    |          0.0000020   |        |  91                                    :     6  3d8.(3F).4s.4p.(3P*) 5D*      |        L19804
                     |           |   3 |    7 |         16.2474236    |          0.0000010   |        |  81                                    :    11  3d8.(1D).4s.4p.(3P*) 3F*      |        L19804
                     |           |   4 |    9 |         16.2806657    |          0.0000016   |        |  66                                    :    25  3d8.(1D).4s.4p.(3P*) 3F*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).6s     | 2[5/2]    |   3 |    7 |         16.56357367   |          0.00000019  |        | 100                                    :                                      |        L19804
                     |           |   2 |    5 |         16.58016355   |          0.00000019  |        | 100                                    :                                      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 3P*       |   2 |    5 |         16.5923001    |          0.0000005   |        |  55                                    :    22  3d8.(3P).4s.4p.(3P*) 3D*      |        L19804
                     |           |   1 |    3 |         16.7546253    |          0.0000004   |        |  38                                    :    32  3d8.(3P).4s.4p.(3P*) 3D*      |        L19804
                     |           |   0 |    1 |         16.7978843    |          0.0000005   |        |  60                                    :    31  3d8.(1D).4s.4p.(3P*) 3P*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 3D*       |   3 |    7 |         16.6119390    |          0.0000005   |        |  47                                    :    31  3d8.(3F).4s.4p.(1P*) 3D*      |        L19804
                     |           |   1 |    3 |         16.6584978    |          0.0000004   |        |  52                                    :    24  3d8.(3P).4s.4p.(3P*) 3P*      |        L19804
                     |           |   2 |    5 |         16.6976365    |          0.0000004   |        |  50                                    :    22  3d8.(3P).4s.4p.(3P*) 3P*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(1P*) | 3G*       |   5 |   11 |         16.6276286    |          0.0000005   |        |  93                                    :     2  3d9.4f               3G*      |        L19804
                     |           |   4 |    9 |         16.8413528    |          0.0000003   |        |  49                                    :    22  3d8.(3F).4s.4p.(1P*) 3F*      |        L19804
                     |           |   3 |    7 |         16.9955294    |          0.0000006   |        |  52                                    :    19  3d8.(3F).4s.4p.(1P*) 3F*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(1P*) | 3F*       |   4 |    9 |         16.7059857    |          0.0000004   |        |  50                                    :    31  3d8.(3F).4s.4p.(1P*) 3G*      |        L19804
                     |           |   3 |    7 |         16.9166292    |          0.0000004   |        |  25                                    :    25  3d8.(3F).4s.4p.(1P*) 3G*      |        L19804
                     |           |   2 |    5 |         17.3218931    |          0.0000005   |        |  19                                    :    42  3d9.6p               1D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).6s     | 2[3/2]    |   1 |    3 |         16.82025668   |          0.00000021  |        | 100                                    :                                      |        L19804
                     |           |   2 |    5 |         16.83211383   |          0.00000022  |        |  99                                    :                                      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3F).4s.4p.(1P*) | 3D*       |   3 |    7 |         16.8288007    |          0.0000004   |        |  26  3d8.(3P).4s.4p.(3P*) 3D*          :    14  3d8.(3F).4s.4p.(1P*) 3F*      |        L19804
                     |           |   2 |    5 |         16.9610552    |          0.0000004   |        |  41                                    :    18  3d8.(3P).4s.4p.(3P*) 1D*      |        L19804
                     |           |   1 |    3 |         17.0990884    |          0.0000005   |        |  28                                    :    16  3d9.4f               3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4f     | 2[1/2]*   |   1 |    3 |         16.84495003   |          0.00000022  |        |  97                                    :     2  3d8.4s.4p                     |        L19804
                     |           |   0 |    1 |         16.8497173    |          0.0000003   |        |  94                                    :     4  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4f     | 2[3/2]*   |   2 |    5 |         16.85078209   |          0.00000017  |        |  94                                    :     4  3d9.(2D<5/2>).4f     2[5/2]*  |        L19804
                     |           |   1 |    3 |         16.85666730   |          0.00000022  |        |  97                                    :     2  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4f     | 2[11/2]*  |   6 |   13 |         16.85329769   |          0.00000018  |        |  99                                    :     1  3d8.4s.4p                     |        L19804
                     |           |   5 |   11 |         16.85365487   |          0.0000003   |        |  98                                    :     1  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 5S*       |   2 |    5 |         16.8559342    |          0.0000006   |        |  83                                    :     4  3d9.4f               1D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4f     | 2[7/2]*   |   3 |    7 |         16.86060079   |          0.00000018  |        |  41                                    :    37  3d8.4s.4p                     |        L19804
                     |           |   4 |    9 |         16.87831320   |          0.00000016  |        |  88                                    :     8  3d9.(2D<5/2>).4f     2[9/2]*  |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4f     | 2[5/2]*   |   2 |    5 |         16.86358255   |          0.00000017  |        |  84                                    :     9  3d8.4s.4p                     |        L19804
                     |           |   3 |    7 |         16.86623155   |          0.00000016  |        |  86                                    :    11  3d9.(2D<5/2>).4f     2[7/2]*  |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).4f     | 2[9/2]*   |   5 |   11 |         16.88176497   |          0.00000017  |        |  98                                    :     2  3d8.4s.4p                     |        L19804
                     |           |   4 |    9 |         16.89532653   |          0.00000020  |        |  75                                    :    14  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5d     | 2[1/2]    |   1 |    3 |         16.9036208    |          0.0000003   |        |  98                                    :     1  3d9.(2D<3/2>).5d     2[1/2]   |        L19804
                     |           |   0 |    1 |         17.0619787    |          0.0000005   |        |  60                                    :    37  3d9.(2D<3/2>).5d     2[1/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(1G).4s.4p.(3P*) | 3H*       |   4 |    9 |         16.9478894    |          0.0000004   |        |  97                                                                           |        L19804
                     |           |   5 |   11 |         16.9960234    |          0.0000006   |        |  96                                    :     2  3d9.4f               1H*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5d     | 2[9/2]    |   5 |   11 |         16.95184521   |          0.00000019  |        | 100                                    :                                      |        L19804
                     |           |   4 |    9 |         16.95674232   |          0.00000025  |        |  99                                    :                                      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5d     | 2[3/2]    |   2 |    5 |         16.95534862   |          0.00000025  |        |  97                                    :     2  3d9.(2D<5/2>).5d     2[5/2]   |        L19804
