-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |   Unc.    |        Ritz        |   Unc.    |            Rel. |    Aki     | Acc. |           Ei           Ek           |             Lower level              |               Upper level               |  gi   gk  |   Type|         TP  |            Line  |
          |     Wavelength     |    (nm)   |     Wavelength     |    (nm)   |            Int. |   (s^-1)   |      |          (eV)         (eV)          |--------------------------------------|-----------------------------------------|           |       |        Ref. |            Ref.  |
          |      Air (nm)      |           |      Air (nm)      |           |                 |            |      |                                     | Conf.                 | Term  | J    | Conf.                 | Term     | J    |           |       |             |                  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V I       |         201.183    |  0.003    |         201.18746  |  0.00007  |             420 |            |      |     0.00000000   -      6.1606298   | 3d3.4s2               | a 4F  | 3/2  | 3d3.(2P).4s.4p.(1P*)  | t 2D*    | 5/2  |   4 - 6   |       |             |           L3353  |
V II      |         201.2652   |  0.0003   |         201.265204 |  0.000017 |           14000 | 7.1e+06    | D+   |     2.5097359    -      8.6679863   | 3d3.(2H).4s           | b 3H  | 4    | 3d2.(3F).4s.4p.(3P*)  | v 3G*    | 4    |   9 - 9   |       |       T9770 |          L18516  |
V II      |         201.28475  |  0.00006  |         201.284801 |  0.000025 |           14000 | 1.1e+07    | D+   |     2.3721639    -      8.5298148   | 3d3.(2P).4s           | b 3P  | 2    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 2    |   5 - 5   |       |       T9770 |          L18516  |
V II      |         201.418779 |  0.000014 |         201.418773 |  0.000013 |           92000 | 1.44e+08   | B    |     2.51443043   -      8.6679863   | 3d3.(2H).4s           | b 3H  | 5    | 3d2.(3F).4s.4p.(3P*)  | v 3G*    | 4    |  11 - 9   |       |       T9770 |          L18516  |
V IV      |         201.4199   |  0.0010   |         201.421+   |  0.006    |              40 | 9.7e+07    | D    |    12.00142      -     18.15492     | 3p6.3d.4s             | 3D    | 3    | 3p6.3d.4p             | 3D*      | 2    |   7 - 5   |       |       T2757 |            L147  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         201.420776 |  0.000022 |         201.420776 |  0.000021 |           28000 | 7.1e+07    | D+   |     2.3763202    -      8.5298148   | 3d3.(2P).4s           | b 3P  | 1    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 2    |   3 - 5   |       |       T9770 |          L18516  |
V II      |         201.49207  |  0.00009  |         201.49202  |  0.00005  |            4100 | 4.1e+07    | D+   |     3.7526931    -      9.9040123   | 3d3.(2F).4s           | c 3F  | 2    | 3d2.(1G).4s.4p.(3P*)  | u 3G*    | 3    |   5 - 7   |       |       T9770 |          L18516  |
V II      |         201.50261  |  0.00008  |         201.502635 |  0.000017 |            6900 | 1.1e+07    | D+   |     2.26815107   -      8.4191463   | 3d4                   | a 3D  | 2    | 3d2.(3F).4s.4p.(3P*)  | v 3F*    | 3    |   5 - 7   |       |       T9770 |          L18516  |
