------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed    |  Unc.   |      Ritz      |  Unc.   |           Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level           |           Upper level           |  gi   gk  |Type|    TP  |        Line  |
          |   Wavelength   |   (nm)  |   Wavelength   |   (nm)  |           Int. |   (s^-1)   |      |      (eV)         (eV)      |--------------------------------|---------------------------------|           |    |   Ref. |        Ref.  |
          |    Air (nm)    |         |    Air (nm)    |         |                |            |      |                             | Conf.           | Term   | J   | Conf.           | Term    | J   |           |    |        |              |
Nb IV     |       208.2752 |  0.0005 |       208.2755 |  0.0006 |           2000 | 1.63e+08   | C+   |  23.124585   -   29.075585  | 4d.4f           | 3D*    | 3   | 4d.(2D<5/2>).5g | 2[7/2]  | 3   |   7 - 7   |    |  T2192 |      L12094  |
Nb IV     |       208.4054 |  0.0005 |       208.4055 |  0.0004 |       10000000 | 2.7e+08    | C+   |   6.671648   -   12.618934  | 4d.5s           | 3D     | 3   | 4d.5p           | 3D*     | 3   |   7 - 7   |    |  T2192 |      L12094  |
Nb IV     |       209.0958 |  0.0005 |       209.0963 |  0.0004 |          10000 | 3.2e+08    | C+   |  23.124585   -   29.052228  | 4d.4f           | 3D*    | 3   | 4d.(2D<5/2>).5g | 2[9/2]  | 4   |   7 - 9   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       209.3103 |  0.0005 |       209.3107 |  0.0004 |        5000000 | 1.7e+08    | C+   |   6.525283   -   12.446853  | 4d.5s           | 3D     | 2   | 4d.5p           | 3D*     | 2   |   5 - 5   |    |  T2192 |      L12094  |
Nb IV     |       209.3301 |  0.0005 |       209.3298 |  0.0003 |       12000000 | 2.5e+08    | C+   |   6.525283   -   12.446315  | 4d.5s           | 3D     | 2   | 4d.5p           | 3F*     | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb IV     |       209.7507 |  0.0005 |       209.7512 |  0.0003 |        2000000 | 1.08e+08   | C+   |   6.455196   -   12.364332  | 4d.5s           | 3D     | 1   | 4d.5p           | 3F*     | 2   |   3 - 5   |    |  T2192 |      L12094  |
Nb II     |       210.942  |  0.010  |                |         |           2000 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb IV     |       211.5196 |  0.0005 |       211.5202 |  0.0003 |         500000 | 3.1e+07    | D+   |   7.261343   -   13.121065  | 4d.5s           | 1D     | 2   | 4d.5p           | 3P*     | 2   |   5 - 5   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       211.7049 |  0.0005 |       211.7050 |  0.0005 |          10000 | 2.7e+08    | C+   |  23.031234   -   28.885841  | 4d.4f           | 3G*    | 5   | 4d.(2D<3/2>).5g | 2[11/2] | 6   |  11 - 13  |    |  T2192 |      L12094  |
Nb IV     |       211.9074 |  0.0005 |       211.9079 |  0.0005 |          12000 | 2.9e+08    | C+   |  22.963835   -   28.812839  | 4d.4f           | 3G*    | 4   | 4d.(2D<3/2>).5g | 2[9/2]  | 5   |   9 - 11  |    |  T2192 |      L12094  |
Nb IV     |       212.2692 |  0.0005 |       212.2692 |  0.0003 |        8000000 | 1.09e+08   | C+   |   6.525283   -   12.364332  | 4d.5s           | 3D     | 2   | 4d.5p           | 3F*     | 2   |   5 - 5   |    |  T2192 |      L12094  |
Nb II     |       212.521  |  0.010  |                |         |           1700 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb II     |       212.654  |  0.010  |                |         |           1100 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       212.7672 |  0.0005 |       212.7665 |  0.0008 |           5000 | 2.2e+08    | C+   |  23.275755   -   29.101159  | 4d.4f           | 1F*    | 3   | 4d.(2D<5/2>).5g | 2[5/2]  | 3   |   7 - 7   |    |  T2192 |      L12094  |
Nb III    |       213.024  |  0.010  |                |         |            80w |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb IV     |       213.0253 |  0.0005 |       213.0251 |  0.0004 |       10000000 | 3.3e+08    | C+   |   6.455196   -   12.273527  | 4d.5s           | 3D     | 1   | 4d.5p           | 3D*     | 1   |   3 - 3   |    |  T2192 |      L12094  |
Nb II     |       213.118  |  0.010  |                |         |           1500 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb IV     |       213.6292 |  0.0005 |       213.6288 |  0.0007 |         500000 | 6.8e+08    | C+   |  23.275755   -   29.077647  | 4d.4f           | 1F*    | 3   | 4d.(2D<5/2>).5g | 2[7/2]  | 4   |   7 - 9   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       214.1083 |  0.0005 |       214.1083 |  0.0006 |         300000 | 6.6e+08    | C+   |  23.107006   -   28.895905  | 4d.4f           | 3D*    | 1   | 4d.(2D<3/2>).5g | 2[5/2]  | 2   |   3 - 5   |    |  T2192 |      L12094  |
Nb IV     |       214.4879 |  0.0005 |       214.4870 |  0.0010 |         250000 | 5.8e+08    | C+   |  23.111860   -   28.890539  | 4d.4f           | 3D*    | 2   | 4d.(2D<3/2>).5g | 2[5/2]  | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb IV     |       214.5423 |  0.0005 |       214.5430 |  0.0011 |           8000 | 2.6e+08    | C+   |  23.324361   -   29.101531  | 4d.4f           | 3P*    | 2   | 4d.(2D<5/2>).5g | 2[5/2]  | 2   |   5 - 5   |    |  T2192 |      L12094  |
Nb IV     |       214.5557 |  0.0005 |       214.5569 |  0.0011 |         100000 | 5.3e+08    | C+   |  23.324361   -   29.101159  | 4d.4f           | 3P*    | 2   | 4d.(2D<5/2>).5g | 2[5/2]  | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb IV     |       214.5692 |  0.0005 |       214.5690 |  0.0006 |          50000 | 2.8e+08    | C+   |  23.275755   -   29.052228  | 4d.4f           | 1F*    | 3   | 4d.(2D<5/2>).5g | 2[9/2]  | 4   |   7 - 9   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       214.6148 |  0.0005 |       214.6161 |  0.0005 |        1000000 | 7.7e+07    | C    |   6.671648   -   12.446853  | 4d.5s           | 3D     | 3   | 4d.5p           | 3D*     | 2   |   7 - 5   |    |  T2192 |      L12094  |
