---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |  Rel. |     Aki     | Acc. |         Ei           Ek         |             Lower level             |             Upper level              |  gi   gk  |Type|               TP  |          Line  |
          |    Wavelength    |    Wavelength    |  Int. |   (s^-1)    |      |        (eV)         (eV)        |-------------------------------------|--------------------------------------|           |    |              Ref. |          Ref.  |
          |     Air (nm)     |     Air (nm)     |       |             |      |                                 | Conf.                | Term  | J    | Conf.                 | Term  | J    |           |    |                   |                |
O II      |                  |        203.5801  |       | 3.73e+05    | E    |   26.358274    -    32.446509   | 2s.2p4               | 2P    | 3/2  | 2s2.2p2.(3P).5p       | 2D*   | 3/2  |   4 - 4   |    |           T5723LS |         L7243  |
O III     |                  |        203.7450  |       | 2.26e+06    | D    |   44.229664    -    50.312973   | 2s2.2p.(2P*).4s      | 3P*   | 0    | 2s.2p2.(4P).3d        | 3D    | 1    |   1 - 3   |    |           T5376LS |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O III     |                  |        204.0769  |       | 3.04e+06    | C    |   44.243138    -    50.316554   | 2s2.2p.(2P*).4s      | 3P*   | 1    | 2s.2p2.(4P).3d        | 3D    | 2    |   3 - 5   |    |           T5376LS |                |
O IV      |                  |        204.145   |       | 1.91e+07    | B    |   67.8598      -    73.9312     | 2s.2p.(1P*).3p       | 2D    | 3/2  | 2s.2p.(3P*).4d        | 2F*   | 5/2  |   4 - 6   |    |           T5109LS |                |
O III     |                  |        204.1973  |       | 1.69e+06    | D    |   44.243138    -    50.312973   | 2s2.2p.(2P*).4s      | 3P*   | 1    | 2s.2p2.(4P).3d        | 3D    | 1    |   3 - 3   |    |           T5376LS |                |
O III     |                  |        204.228   |       | 2.18e+07    | C+   |   45.344339    -    51.4133     | 2s2.2p.(2P*).4p      | 1P    | 1    | 2s2.2p.(2P*).6d       | 1D*   | 2    |   3 - 5   |    |             T5376 |                |
O IV      |                  |        204.266   |       | 1.36e+06    | B    |   67.8634      -    73.9312     | 2s.2p.(1P*).3p       | 2D    | 5/2  | 2s.2p.(3P*).4d        | 2F*   | 5/2  |   6 - 6   |    |           T5109LS |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |                  |        204.2809  |       | 1.85e+06    | D    |   26.379157    -    32.446509   | 2s.2p4               | 2P    | 1/2  | 2s2.2p2.(3P).5p       | 2D*   | 3/2  |   2 - 4   |    |           T5723LS |         L7243  |
O III     |        204.567   |                  |   220 |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |         L3481  |
O III     |                  |        205.0080  |       | 4.00e+06    | C    |   44.276866    -    50.322702   | 2s2.2p.(2P*).4s      | 3P*   | 2    | 2s.2p2.(4P).3d        | 3D    | 3    |   5 - 7   |    |           T5376LS |                |
O III     |                  |        205.2167  |       | 9.97e+05    | D    |   44.276866    -    50.316554   | 2s2.2p.(2P*).4s      | 3P*   | 2    | 2s.2p2.(4P).3d        | 3D    | 2    |   5 - 5   |    |           T5376LS |                |
O III     |        205.274   |                  |   160 |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |         L3481  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O III     |                  |        205.309   |       | 3.97e+06    | C    |   45.438776    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 1    | 2s2.2p.(2P*).6d       | 3D*   | 1    |   3 - 3   |    |           T5376LS |                |
O III     |                  |        205.309   |       | 7.93e+05    | D    |   45.438776    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 1    | 2s2.2p.(2P*).6d       | 3D*   | 2    |   3 - 5   |    |           T5376LS |                |
O III     |                  |        205.3385  |       | 1.11e+05    | D    |   44.276866    -    50.312973   | 2s2.2p.(2P*).4s      | 3P*   | 2    | 2s.2p2.(4P).3d        | 3D    | 1    |   5 - 3   |    |           T5376LS |                |
O III     |                  |        205.762   |       | 5.85e+05    | D    |   45.452081    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 2    | 2s2.2p.(2P*).6d       | 3D*   | 3    |   5 - 7   |    |           T5376LS |                |
O III     |                  |        205.762   |       | 3.66e+06    | C    |   45.452081    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 2    | 2s2.2p.(2P*).6d       | 3D*   | 2    |   5 - 5   |    |           T5376LS |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O III     |                  |        205.762   |       | 1.31e+06    | D    |   45.452081    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 2    | 2s2.2p.(2P*).6d       | 3D*   | 1    |   5 - 3   |    |           T5376LS |                |
O III     |                  |        206.642   |       | 4.61e+06    | C    |   45.477728    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 3    | 2s2.2p.(2P*).6d       | 3D*   | 3    |   7 - 7   |    |           T5376LS |                |
O III     |                  |        206.642   |       | 8.09e+05    | D    |   45.477728    -    51.476      | 2s2.2p.(2P*).4p      | 3D    | 3    | 2s2.2p.(2P*).6d       | 3D*   | 2    |   7 - 5   |    |           T5376LS |                |
O II      |        207.22    |        207.2255  |  12bl | 3.30e+06    | C+   |   20.579946    -    26.5610938  | 2s.2p4               | 2D    | 5/2  | 2s2.2p2.(3P).3p       | 2P*   | 3/2  |   6 - 4   |    |            T6172n |        L10549  |
O II      |        207.2601  |        207.2601  |     5 | 3.61e+05    | C+   |   20.580943    -    26.5610938  | 2s.2p4               | 2D    | 3/2  | 2s2.2p2.(3P).3p       | 2P*   | 3/2  |   4 - 4   |    |            T6172n |        L10549  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |        207.4104  |        207.4133  |     8 |             |      |   28.509803    -    34.485537   | 2s2.2p2.(1D).3p      | 2D*   | 5/2  | 2s2.2p2.(1D).5s       | 2D    | 5/2  |   6 - 6   |    |                   |        L10549  |
O II      |                  |        207.4145  |       |             |      |   28.509803    -    34.485502?  | 2s2.2p2.(1D).3p      | 2D*   | 5/2  | 2s2.2p2.(1D).5s       | 2D    | 3/2  |   6 - 4   |    |                   |         L7243  |
O II      |                  |        207.5053  |       |             |      |   28.512452    -    34.485537   | 2s2.2p2.(1D).3p      | 2D*   | 3/2  | 2s2.2p2.(1D).5s       | 2D    | 5/2  |   4 - 6   |    |                   |         L7243  |
O II      |        207.5058  |        207.5065  |     8 |             |      |   28.512452    -    34.485502?  | 2s2.2p2.(1D).3p      | 2D*   | 3/2  | 2s2.2p2.(1D).5s       | 2D    | 3/2  |   4 - 4   |    |                   |        L10549  |
O II      |        207.5169  |        207.5172  |    12 | 3.55e+06    | C+   |   20.580943    -    26.5536856  | 2s.2p4               | 2D    | 3/2  | 2s2.2p2.(3P).3p       | 2P*   | 1/2  |   4 - 2   |    |            T6172n |        L10549  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O IV      |                  |        207.933   |       | 1.71e+06    | B    |   68.1655      -    74.1263     | 2s.2p.(1P*).3p       | 2P    | 1/2  | 2s.2p.(3P*).4d        | 2P*   | 1/2  |   2 - 2   |    |           T5109LS |                |
O IV      |                  |        208.206   |       | 8.52e+05    | C+   |   68.1733      -    74.1263     | 2s.2p.(1P*).3p       | 2P    | 3/2  | 2s.2p.(3P*).4d        | 2P*   | 1/2  |   4 - 2   |    |           T5109LS |                |
