-------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |         Level (eV) |   Uncertainty (eV) | Leading percentages                       | Reference
                     |        |      |      |                    |                    |                                           |              
3s2.10d              | 2D     |  3/2 |    4 |        5.851109    |                    |                                           |             
                     |        |  5/2 |    6 |        5.851109    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.12s              | 2S     |  1/2 |    2 |       [5.856022]   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.11d              | 2D     |  3/2 |    4 |        5.87433     |                    |                                           |             
                     |        |  5/2 |    6 |        5.87433     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.13s              | 2S     |  1/2 |    2 |       [5.878087]   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.12d              | 2D     |  3/2 |    4 |        5.89187     |                    |                                           |             
                     |        |  5/2 |    6 |        5.89187     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.14s              | 2S     |  1/2 |    2 |       [5.894968]   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.13d              | 2D     |  5/2 |    6 |        5.90569     |                    |                                           |             
                     |        |  3/2 |    4 |        5.90569     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.15s              | 2S     |  1/2 |    2 |       [5.908167]   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.14d              | 2D     |  5/2 |    6 |        5.91669     |                    |                                           |             
                     |        |  3/2 |    4 |        5.91669     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.16s              | 2S     |  1/2 |    2 |       [5.918684]   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.15d              | 2D     |  5/2 |    6 |        5.92558     |                    |                                           |             
                     |        |  3/2 |    4 |        5.92558     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.16d              | 2D     |  5/2 |    6 |        5.93276     |                    |                                           |             
                     |        |  3/2 |    4 |        5.93276     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.17d              | 2D     |  5/2 |    6 |        5.93886     |                    |                                           |             
                     |        |  3/2 |    4 |        5.93886     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.18d              | 2D     |  5/2 |    6 |        5.94389     |                    |                                           |             
                     |        |  3/2 |    4 |        5.94389     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.19d              | 2D     |  5/2 |    6 |        5.94815     |                    |                                           |             
                     |        |  3/2 |    4 |        5.94815     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.20d              | 2D     |  3/2 |    4 |        5.95182     |                    |                                           |             
                     |        |  5/2 |    6 |        5.95182     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.21d              | 2D     |  5/2 |    6 |        5.95510     |                    |                                           |             
                     |        |  3/2 |    4 |        5.95510     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.22d              | 2D     |  5/2 |    6 |        5.9576      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9576      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.23d              | 2D     |  5/2 |    6 |        5.960       |          0.012     |                                           |             
                     |        |  3/2 |    4 |        5.960       |          0.012     |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.24d              | 2D     |  3/2 |    4 |        5.9620      |                    |                                           |             
                     |        |  5/2 |    6 |        5.9620      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.25d              | 2D     |  5/2 |    6 |        5.9639      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9639      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
