--------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Reference
4d4.(a 1D).5s      | c 2D   |  3/2 |    4 |        4.865568   |                    |    0.800 |              
                   |        |  5/2 |    6 |        4.948575   |                    |    1.203 |              
                   |        |      |      |                   |                    |          |               
4d4.(3D).5s        | d 2D   |  5/2 |    6 |        5.135592   |                    |          |              
                   |        |  3/2 |    4 |        5.150552   |                    |    0.761 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 1S).5s      | b 2S   |  1/2 |    2 |        5.191672   |                    |    1.993 |              
                   |        |      |      |                   |                    |          |               
4d5                | d 2G   |  7/2 |    8 |        5.228327   |                    |          |              
                   |        |  9/2 |   10 |        5.245352   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(1F).5s        | d 2F   |  5/2 |    6 |        5.322064   |                    |          |              
                   |        |  7/2 |    8 |        5.330351   |                    |    1.085 |              
                   |        |      |      |                   |                    |          |               
4d4.(b 3F).5s      | c 4F   |  3/2 |    4 |                   |                    |          |              
                   |        |  7/2 |    8 |                   |                    |          |              
                   |        |  5/2 |    6 |                   |                    |          |              
                   |        |  9/2 |   10 |        5.481609   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(5D).5p        | z 6F*  |  1/2 |    2 |        5.685057   |                    |   -0.650 |              
                   |        |  3/2 |    4 |        5.721638   |                    |    1.072 |              
                   |        |  5/2 |    6 |        5.779417   |                    |    1.305 |              
                   |        |  7/2 |    8 |        5.856019   |                    |    1.375 |              
                   |        |  9/2 |   10 |        5.951176   |                    |    1.415 |              
                   |        | 11/2 |   12 |        6.070227   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(5D).5p        | z 4P*  |  1/2 |    2 |        5.853091   |                    |    2.779 |              
                   |        |  3/2 |    4 |        5.954025   |                    |    1.818 |              
                   |        |  5/2 |    6 |        6.057939   |                    |    1.742 |              
                   |        |      |      |                   |                    |          |               
4d4.(5D).5p        | z 6P*  |  3/2 |    4 |        6.080287   |                    |    2.305 |              
                   |        |  7/2 |    8 |        6.134867   |                    |    1.672 |              
                   |        |  5/2 |    6 |        6.150700   |                    |    1.718 |              
