----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl III    |                 |        191.4023 |        | 5.3e+07    | E    |  18.830480    -    25.308155   | 3s2.3p2.(3P).3d  | 4D   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        191.6462 |        | 8.3e+06    | E    |  18.838723    -    25.308155   | 3s2.3p2.(3P).3d  | 4D   | 1/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        191.7796 |        | 8.3e+07    | E    |  18.830480    -    25.295412   | 3s2.3p2.(3P).3d  | 4D   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |                 |        192.0244 |        | 8.3e+07    | E    |  18.838723    -    25.295412   | 3s2.3p2.(3P).3d  | 4D   | 1/2 | 3s2.3p2.(3P).4p       | 4P*     | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |        198.361  |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl II     |        199.7370 |                 |   450w |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        200.684  |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl II     |        203.2116 |                 |    450 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |        208.8583 |                 |   350w |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |        209.1458 |                 |   350w |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl VII    |                 |        217.88   |        | 4.3e+08    | C    |  57.5290      -    63.2177     | 2p6.4s           | 2S   | 1/2 | 2p6.4p                | 2P*     | 3/2 |   2 - 4   |    |        T1619interp,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl VII    |                 |        221.20   |        | 4.0e+08    | C    |  57.5290      -    63.1324     | 2p6.4s           | 2S   | 1/2 | 2p6.4p                | 2P*     | 1/2 |   2 - 2   |    |        T1619interp,LS |         |
Cl III    |                 |        223.114  |        | 6.7e+06    | E    |  24.961853    -    30.51712?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |        225.307  |        225.291  |    700 | 6.1e+07    | D    |  25.015530    -    30.51712?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).5s       | 4P      | 5/2 |   6 - 6   |    |            T1619CA,LS |   L480  |
Cl III    |                 |        225.562  |        | 1.7e+07    | E    |  24.929802    -    30.42478?   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl III    |        226.895  |        226.885  |    500 | 1.1e+08    | D    |  24.961853    -    30.42478?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   4 - 4   |    |            T1619CA,LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        227.834  |        227.829  |    500 | 1.8e+08    | D    |  24.929802    -    30.37012?   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).5s       | 4P      | 1/2 |   2 - 2   |    |            T1619CA,LS |   L480  |
Cl III    |        228.393  |        228.393  |    700 | 2.7e+08    | D    |  25.090263    -    30.51712?   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).5s       | 4P      | 5/2 |   8 - 6   |    |            T1619CA,LS |   L480  |
Cl III    |                 |        229.137  |        | 2.2e+08    | D    |  25.015530    -    30.42478?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        229.1744 |        | 3.4e+07    | D    |  25.421347    -    30.829717   | 3s2.3p2.(3P).4p  | 2D*  | 3/2 | 3s2.3p2.(3P).4d       | 2D      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        229.179  |        | 1.8e+08    | D    |  24.961853    -    30.37012?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        229.8538 |        | 4.2e+08    | D    |  25.421347    -    30.813731   | 3s2.3p2.(3P).4p  | 2D*  | 3/2 | 3s2.3p2.(3P).4d       | 2D      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |        232.350  |                 |    600 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl III    |        233.645  |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl III    |        234.064  |        234.057  |    600 | 4.2e+08    | D    |  25.53416?    -    30.829717   | 3s2.3p2.(3P).4p  | 2D*  | 5/2 | 3s2.3p2.(3P).4d       | 2D      | 5/2 |   6 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        234.766  |        | 4.7e+07    | D    |  25.53416?    -    30.813731   | 3s2.3p2.(3P).4p  | 2D*  | 5/2 | 3s2.3p2.(3P).4d       | 2D      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        235.967  |        235.965  |    600 | 3.0e+08    | D    |  26.84563?    -    32.09837?   | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).5s       | 2D      | 3/2 |   6 - 4   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        235.993  |        | 1.4e+07    | E    |  26.84563?    -    32.09775?   | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).5s       | 2D      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |        237.037  |        237.033  |    600 | 2.8e+08    | D    |  26.86867?    -    32.09775?   | 3s2.3p2.(1D).4p  | 2F*  | 7/2 | 3s2.3p2.(1D).5s       | 2D      | 5/2 |   8 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        237.261  |        | 1.1e+07    | D    |  24.929802    -    30.15385?   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d       | 4P      | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |                 |        237.9388 |        | 1.1e+06    | E    |  24.929802    -    30.138972   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d       | 4P      | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        237.948  |        | 6.2e+07    | D    |  25.308155    -    30.51712?   | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        238.726  |        | 1.1e+07    | D    |  24.961853    -    30.15385?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4P      | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |                 |        239.4120 |        | 7.0e+06    | D    |  24.961853    -    30.138972   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4P      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        240.333  |        | 1.4e+08    | D    |  25.359846    -    30.51712?   | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).5s       | 4P      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        240.9106 |        | 4.3e+05    | E    |  24.961853    -    30.106770   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4P      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        241.642  |        241.641  |    700 | 8.8e+07    | D    |  25.295412    -    30.42478?   | 3s2.3p2.(3P).4p  | 4P*  | 1/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   2 - 4   |    |            T1619CA,LS |   L480  |
Cl III    |                 |        241.9205 |        | 1.3e+07    | D    |  25.015530    -    30.138972   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4P      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        242.243  |        | 2.8e+07    | E    |  25.308155    -    30.42478?   | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl II     |        242.779  |        242.7775 |    170 | 2.5e+07    | D    |  15.947218    -    21.052575   | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).5d      | 5D*     | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        243.0140 |        | 4.8e+07    | D    |  15.952250    -    21.052638   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).5d      | 5D*     | 3   |   5 - 7   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        243.0170 |        | 4.2e+07    | D    |  15.952250    -    21.052575   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).5d      | 5D*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |        243.407  |        243.4071 |    360 | 7.2e+07    | D    |  15.960588    -    21.052739   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).5d      | 5D*     | 4   |   7 - 9   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        243.4119 |        | 2.4e+07    | D    |  15.960588    -    21.052638   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).5d      | 5D*     | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl III    |                 |        243.4507 |        | 3.8e+06    | D    |  25.015530    -    30.106770   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4P      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        243.587  |        | 2.1e+07    | E    |  27.00998?    -    32.09837?   | 3s2.3p2.(1D).4p  | 2D*  | 5/2 | 3s2.3p2.(1D).5s       | 2D      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        243.617  |        | 2.0e+08    | D    |  27.00998?    -    32.09775?   | 3s2.3p2.(1D).4p  | 2D*  | 5/2 | 3s2.3p2.(1D).5s       | 2D      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        243.961  |        | 1.9e+08    | D    |  27.01778?    -    32.09837?   | 3s2.3p2.(1D).4p  | 2D*  | 3/2 | 3s2.3p2.(1D).5s       | 2D      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        243.991  |        | 1.4e+07    | E    |  27.01778?    -    32.09775?   | 3s2.3p2.(1D).4p  | 2D*  | 3/2 | 3s2.3p2.(1D).5s       | 2D      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        244.244  |        | 3.5e+07    | E    |  25.295412    -    30.37012?   | 3s2.3p2.(3P).4p  | 4P*  | 1/2 | 3s2.3p2.(3P).5s       | 4P      | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |        244.714  |        244.715  |    600 | 9.4e+07    | D    |  25.359846    -    30.42478?   | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   6 - 4   |    |            T1619CA,LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        244.858  |        244.859  |    600 | 1.8e+08    | D    |  25.308155    -    30.37012?   | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 1/2 |   4 - 2   |    |            T1619CA,LS |   L480  |
Cl III    |                 |        246.839  |        | 4.6e+07    | D    |  24.929802    -    29.95116?   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d       | 4D      | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        246.918  |        | 9.3e+07    | D    |  24.929802    -    29.94955?   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d       | 4D      | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |                 |        247.0778 |        | 1.6e+07    | D    |  25.090263    -    30.106770   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d       | 4P      | 5/2 |   8 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        247.731  |        | 4.3e+07    | D    |  24.961853    -    29.96513?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4D      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        248.173  |        | 2.6e+07    | D    |  25.015530    -    30.00990?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4D      | 7/2 |   6 - 8   |    |            T1619CA,LS |         |
Cl III    |                 |        248.425  |        | 7.3e+07    | D    |  24.961853    -    29.95116?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4D      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        248.505  |        | 9.1e+07    | D    |  24.961853    -    29.94955?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4D      | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |        248.691  |        248.686  |    500 | 6.8e+07    | D    |  25.533065    -    30.51712?   | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 5/2 |   4 - 6   |    |            T1619CA,LS |   L480  |
Cl II     |                 |        249.6002 |        | 1.3e+07    | D    |  15.947218    -    20.913032   | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).6s      | 5S*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        249.853  |        249.8534 |    340 | 2.2e+07    | D    |  15.952250    -    20.913032   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).6s      | 5S*     | 2   |   5 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |        250.274  |        250.2741 |    470 | 3.1e+07    | D    |  15.960588    -    20.913032   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).6s      | 5S*     | 2   |   7 - 5   |    |            T1619CA,LS |  L1617  |
Cl III    |                 |        250.418  |        | 1.0e+08    | D    |  25.015530    -    29.96513?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4D      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        251.127  |        | 6.3e+07    | D    |  25.015530    -    29.95116?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4D      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        251.943  |        | 1.5e+08    | D    |  25.090263    -    30.00990?   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d       | 4D      | 7/2 |   8 - 8   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        253.174  |        | 4.4e+08    | D    |  25.91800?    -    30.813731   | 3s2.3p2.(3P).4p  | 2P*  | 1/2 | 3s2.3p2.(3P).4d       | 2D      | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl III    |        253.248  |        253.245  |    500 | 5.3e+08    | D    |  25.93536?    -    30.829717   | 3s2.3p2.(3P).4p  | 2P*  | 3/2 | 3s2.3p2.(3P).4d       | 2D      | 5/2 |   4 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        253.381  |        | 6.9e+07    | D    |  25.533065    -    30.42478?   | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        254.075  |        | 8.8e+07    | E    |  25.93536?    -    30.813731   | 3s2.3p2.(3P).4p  | 2P*  | 3/2 | 3s2.3p2.(3P).4d       | 2D      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        254.257  |        | 3.3e+07    | D    |  25.090263    -    29.96513?   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d       | 4D      | 5/2 |   8 - 6   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        254.3997 |        | 3.3e+07    | E    |  16.335677    -    21.207813   | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).5d      | 3D*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        254.4809 |        | 2.2e+06    | E    |  16.337232    -    21.207813   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5d      | 3D*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        254.4857 |        | 4.3e+07    | D    |  16.337325    -    21.207813   | 3s2.3p3.(4S*).4p | 3P   | 0   | 3s2.3p3.(4S*).5d      | 3D*     | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl II     |        254.696  |        254.6957 |    260 | 5.8e+07    | D    |  16.335677    -    21.202150   | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).5d      | 3D*     | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        254.7771 |        | 1.9e+07    | E    |  16.337232    -    21.202150   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5d      | 3D*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        254.988  |        254.9881 |    500 | 7.6e+07    | D    |  16.337232    -    21.198125   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5d      | 3D*     | 3   |   5 - 7   |    |            T1619CA,LS |  L1617  |
Cl III    |                 |        256.245  |        | 7.0e+07    | D    |  25.533065    -    30.37012?   | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).5s       | 4P      | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl II     |        256.484  |                 |    460 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |                 |        257.7089 |        | 4.3e+08    | D    |  25.421347    -    30.230925   | 3s2.3p2.(3P).4p  | 2D*  | 3/2 | 3s2.3p2.(3P).4d       | 2F      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |        258.067  |        258.072  |    600 | 4.7e+08    | D    |  25.53416?    -    30.336972   | 3s2.3p2.(3P).4p  | 2D*  | 5/2 | 3s2.3p2.(3P).4d       | 2F      | 7/2 |   6 - 8   |    |            T1619CA,LS |   L495  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        260.109  |        | 4.6e+08    | D    |  24.929802    -    29.69500?   | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d       | 4F      | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl II     |        260.331  |                 |    320 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |        260.359  |        260.346  |    500 | 5.0e+08    | D    |  24.961853    -    29.72272?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4F      | 5/2 |   4 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        260.941  |        | 5.7e+08    | D    |  25.015530    -    29.76553?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4F      | 7/2 |   6 - 8   |    |            T1619CA,LS |         |
Cl III    |                 |        261.690  |        | 6.6e+08    | D    |  25.090263    -    29.82668?   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d       | 4F      | 9/2 |   8 - 10  |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        261.871  |        | 1.8e+08    | D    |  24.961853    -    29.69500?   | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d       | 4F      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        261.985  |        | 2.1e+06    | E    |  26.84563?    -    31.57672?   | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).4d       | 2D      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        262.471  |        | 4.4e+07    | D    |  26.84563?    -    31.56795?   | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).4d       | 2D      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |        263.267  |        263.267  |    500 | 4.1e+07    | D    |  26.86867?    -    31.57672?   | 3s2.3p2.(1D).4p  | 2F*  | 7/2 | 3s2.3p2.(1D).4d       | 2D      | 5/2 |   8 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |        263.318  |        263.315  |    500 | 1.6e+08    | D    |  25.015530    -    29.72272?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4F      | 5/2 |   6 - 6   |    |            T1619CA,LS |   L495  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        263.899  |        | 2.9e+07    | E    |  25.53416?    -    30.230925   | 3s2.3p2.(3P).4p  | 2D*  | 5/2 | 3s2.3p2.(3P).4d       | 2F      | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        264.875  |        | 1.3e+07    | E    |  25.015530    -    29.69500?   | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d       | 4F      | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        265.113  |        | 9.2e+07    | D    |  25.090263    -    29.76553?   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d       | 4F      | 7/2 |   8 - 8   |    |            T1619CA,LS |         |
Cl II     |        265.872  |                 |    950 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |                 |        266.154  |        | 3.4e+08    | D    |  25.308155    -    29.96513?   | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).4d       | 4D      | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        266.224  |        | 2.0e+08    | D    |  25.295412    -    29.95116?   | 3s2.3p2.(3P).4p  | 4P*  | 1/2 | 3s2.3p2.(3P).4d       | 4D      | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        266.317  |        | 4.0e+08    | D    |  25.295412    -    29.94955?   | 3s2.3p2.(3P).4p  | 4P*  | 1/2 | 3s2.3p2.(3P).4d       | 4D      | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl III    |        266.554  |        266.550  |    600 | 4.8e+08    | D    |  25.359846    -    30.00990?   | 3s2.3p2.(3P).4p  | 4P*  | 5/2 | 3s2.3p2.(3P).4d       | 4D      | 7/2 |   6 - 8   |    |            T1619CA,LS |   L480  |
Cl II     |                 |        266.6454 |        | 2.1e+07    | D    |  16.335677    -    20.984073   | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).6s      | 3S*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        266.7346 |        | 3.4e+07    | D    |  16.337232    -    20.984073   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).6s      | 3S*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        266.7400 |        | 6.9e+06    | D    |  16.337325    -    20.984073   | 3s2.3p3.(4S*).4p | 3P   | 0   | 3s2.3p3.(4S*).6s      | 3S*     | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl III    |                 |        266.955  |        | 2.6e+08    | D    |  25.308155    -    29.95116?   | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).4d       | 4D      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        267.048  |        | 8.0e+07    | E    |  25.308155    -    29.94955?   | 3s2.3p2.(3P).4p  | 4P*  | 3/2 | 3s2.3p2.(3P).4d       | 4D      | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |                 |        267.563  |        | 6.0e+06    | E    |  25.090263    -    29.72272?   | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d       | 4F      | 5/2 |   8 - 6   |    |            T1619CA,LS |         |
Cl II     |        267.695  |                 |    750 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        268.239  |        | 3.5e+08    | D    |  25.533065    -    30.15385?   | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).4d       | 4P      | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl II     |        268.804  |                 |   1200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |                 |        269.1053 |        | 3.5e+08    | D    |  25.533065    -    30.138972   | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).4d       | 4P      | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
