----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl V      |         39.015  |         39.0151 |    400 | 4.00e+09   | C    |   0.00000     -    31.7785     | 3s2.3p           | 2P*  | 1/2 | 3s2.4s                | 2S      | 1/2 |   2 - 2   |    |               T1062LS |   L495  |
Cl V      |         39.243  |         39.2433 |    500 | 7.9e+09    | C    |   0.18480     -    31.7785     | 3s2.3p           | 2P*  | 3/2 | 3s2.4s                | 2S      | 1/2 |   4 - 2   |    |               T1062LS |   L495  |
Cl III    |         40.627  |                 |    100 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl III    |         41.137  |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |         41.181  |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl IV     |         43.783  |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl VII    |                 |         45.5139 |        | 7.0e+08    | D    |  35.9767      -    63.2177     | 2p6.3d           | 2D   | 3/2 | 2p6.4p                | 2P*     | 3/2 |   4 - 4   |    |        T1619interp,LS |         |
Cl VII    |                 |         45.5299 |        | 6.4e+09    | C    |  35.9863      -    63.2177     | 2p6.3d           | 2D   | 5/2 | 2p6.4p                | 2P*     | 3/2 |   6 - 4   |    |        T1619interp,LS |         |
Cl VII    |                 |         45.6569 |        | 7.1e+09    | C    |  35.9767      -    63.1324     | 2p6.3d           | 2D   | 3/2 | 2p6.4p                | 2P*     | 1/2 |   4 - 2   |    |        T1619interp,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
