------------------------------------------------------------------------------------------------------
Configuration           | Term      |   J |    g |        Level (eV) |   Uncertainty (eV) | Reference
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).4f    | 2[9/2]    |   5 |   11 |       26.209013   |                    |          
                        |           |   4 |    9 |       26.210511   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).4f    | 2[5/2]    |   3 |    7 |       26.211557   |                    |          
                        |           |   2 |    5 |       26.212139   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).4f    | 2[3/2]    |   1 |    3 |       26.220994   |                    |          
                        |           |   2 |    5 |       26.221455   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3s          | 3P        |   0 |    1 |       26.253573   |                    |          
                        |           |   1 |    3 |       26.257305   |                    |          
                        |           |   2 |    5 |       26.263284   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.5s               | 3P*       |   0 |    1 |       26.558898   |                    |          
                        |           |   1 |    3 |       26.564568   |                    |          
                        |           |   2 |    5 |       26.580244   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.5s               | 1P*       |   1 |    3 |       26.635423   |                    |          
                        |           |     |      |                   |                    |           
2p4                     | 3P        |   2 |    5 |       27.312      |                    |          
                        |           |   1 |    3 |       27.31       |                    |          
                        |           |   0 |    1 |       27.315      |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.5d               | 1D*       |   2 |    5 |       27.337940   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.5d               | 3D*       |   1 |    3 |                   |                    |          
                        |           |   2 |    5 |       27.3601     |                    |          
                        |           |   3 |    7 |       27.3653     |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).5f    | 2[5/2]    |   3 |    7 |       27.407265   |                    |          
                        |           |   2 |    5 |       27.407576   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).5f    | 2[7/2]    |   3 |    7 |       27.409090   |                    |          
                        |           |   4 |    9 |       27.409602   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.5d               | 1F*       |   3 |    7 |       27.418065   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).5g    | 2[7/2]*   |   3 |    7 |       27.420805   |                    |          
                        |           |   4 |    9 |       27.420805   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).5g    | 2[9/2]*   |   4 |    9 |       27.421260   |                    |          
                        |           |   5 |   11 |       27.421284   |                    |          
