---------------------------------------------------------------------------------------
Configuration          | Term      |   J |            Level (eV) |   Landé | Reference
                       |           |   4 |         15.0830843    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).4f  | 2[5/2]    |   3 |         15.0832026    |         |          
                       |           |   2 |         15.0832455    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5d  | 2[1/2]*   |   0 |         15.10054359   |         |          
                       |           |   1 |         15.11774626   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5d  | 2[7/2]*   |   4 |         15.13054424   |         |          
                       |           |   3 |         15.14592818   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5d  | 2[3/2]*   |   2 |         15.13684834   |         |          
                       |           |   1 |         15.1898238    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5d  | 2[5/2]*   |   2 |         15.1610485    |         |          
                       |           |   3 |         15.1669462    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7s  | 2[3/2]*   |   2 |         15.18063346   |         |          
                       |           |   1 |         15.18550787   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6p  | 2[1/2]    |   1 |         15.2006145    |         |          
                       |           |   0 |         15.2240874    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).6p  | 2[3/2]    |   1 |         15.2016574    |         |          
                       |           |   2 |         15.2048087    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5f  | 2[3/2]    |   1 |         15.2111333    |         |          
                       |           |   2 |         15.2111761    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5f  | 2[9/2]    |   5 |         15.2123200    |         |          
                       |           |   4 |         15.2123275    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5f  | 2[5/2]    |   3 |         15.2138407    |         |          
                       |           |   2 |         15.2138685    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5g  | 2[5/2]*   |   2 |         15.214033     |         |          
                       |           |   3 |         15.214033     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5g  | 2[11/2]*  |   6 |         15.214453     |         |          
                       |           |   5 |         15.214453     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5f  | 2[7/2]    |   3 |         15.2150708    |         |          
                       |           |   4 |         15.2150745    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5g  | 2[7/2]*   |   4 |         15.215275     |         |          
                       |           |   3 |         15.215275     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5g  | 2[9/2]*   |   5 |         15.215711     |         |          
                       |           |   4 |         15.215711     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7p  | 2[1/2]    |   1 |         15.2713716    |         |          
                       |           |   0 |         15.2977957    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7p  | 2[5/2]    |   3 |         15.2755697    |         |          
                       |           |   2 |         15.277418     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7p  | 2[3/2]    |   1 |         15.281661     |         |          
                       |           |   2 |         15.2824812    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5d  | 2[3/2]*   |   2 |         15.29629312   |         |          
                       |           |   1 |         15.351173     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6d  | 2[1/2]*   |   1 |         15.30807757   |         |          
                       |           |   0 |         15.3131552    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5d  | 2[5/2]*   |   2 |         15.31272900   |         |          
                       |           |   3 |         15.31916789   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6d  | 2[7/2]*   |   4 |         15.3310399    |         |          
                       |           |   3 |         15.34600286   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6d  | 2[3/2]*   |   2 |         15.3502991    |         |          
                       |           |   1 |         15.373670     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6d  | 2[5/2]*   |   2 |         15.3525602    |         |          
                       |           |   3 |         15.3532631    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7s  | 2[1/2]*   |   0 |         15.3582945    |         |          
                       |           |   1 |         15.3594355    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8s  | 2[3/2]*   |   2 |         15.3620413    |         |          
                       |           |   1 |         15.3660894    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6f  | 2[3/2]    |   1 |         15.3791362    |         |          
                       |           |   2 |         15.379156     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6f  | 2[9/2]    |   5 |         15.3798184    |         |          
                       |           |   4 |         15.3798219    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6f  | 2[5/2]    |   3 |         15.3804102    |         |          
                       |           |   2 |         15.3804418    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6g  | 2[5/2]*   |   2 |         15.380867     |         |          
                       |           |   3 |         15.380867     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6g  | 2[11/2]*  |   6 |         15.381105     |         |          
                       |           |   5 |         15.381105     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6f  | 2[7/2]    |   3 |         15.3812603    |         |          
                       |           |   4 |         15.3812614    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6g  | 2[7/2]*   |   4 |         15.381548     |         |          
                       |           |   3 |         15.381548     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).6g  | 2[9/2]*   |   5 |         15.38180      |         |          
                       |           |   4 |         15.38180      |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5f  | 2[7/2]    |   3 |         15.3908613    |         |          
                       |           |   4 |         15.3908649    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5f  | 2[5/2]    |   3 |         15.3910528    |         |          
                       |           |   2 |         15.3910804    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5g  | 2[9/2]*   |   4 |         15.392422     |         |          
                       |           |   5 |         15.392422     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5g  | 2[7/2]*   |   4 |         15.392452     |         |          
                       |           |   3 |         15.392452     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8p  | 2[1/2]    |   1 |         15.412684     |         |          
                       |           |   0 |         15.428512     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8p  | 2[5/2]    |   3 |         15.417313     |         |          
                       |           |   2 |         15.418289     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).8p  | 2[3/2]    |   1 |         15.420697     |         |          
                       |           |   2 |         15.421298     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7d  | 2[1/2]*   |   0 |         15.4393423    |         |          
                       |           |   1 |         15.4428361    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7d  | 2[3/2]*   |   2 |         15.4489133    |         |          
                       |           |   1 |         15.471767     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7d  | 2[7/2]*   |   4 |         15.4496530    |         |          
                       |           |   3 |         15.4545664    |         |          
                       |           |     |                       |         |           
