---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |                       Level (eV)   |     Uncertainty (eV) |   Landé | Leading percentages                               | Reference
4d8.(3F).5s.5p.(3P*) | 5D*       |   4 |    9 |            15.8717298              |          0.0000006   |         |  85         :     6  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   3 |    7 |            16.207842               |          0.000003    |         |  77         :     8  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   2 |    5 |            16.507486               |          0.000004    |         |  76         :    11  4d8.(3P).5s.5p.(3P*) 5D*     |       L18362
                     |           |   1 |    3 |            16.7129663              |          0.0000005   |         |  80         :    14  4d8.(3P).5s.5p.(3P*) 5D*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5d     | 2[1/2]    |   1 |    3 |            16.21250816             |          0.00000022  |   1.51  |  98                                               | L18362,L3466
                     |           |   0 |    1 |            16.6704132              |          0.0000003   |         |  76         :    22  4d9.(2D<5/2>).5d     2[1/2]  |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5d     | 2[7/2]    |   3 |    7 |            16.2732362              |          0.0000003   |   0.75? |  99                                               | L18362,L3466
                     |           |   4 |    9 |            16.3060396              |          0.0000004   |   1.065 |  99                                               | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 5G*       |   5 |   11 |            16.3003165              |          0.0000005   |         |  60         :    31  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   4 |    9 |            16.4512995              |          0.0000009   |         |  61         :    15  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   3 |    7 |            16.6564259              |          0.0000009   |         |  74         :    14  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   2 |    5 |            16.7893603              |          0.0000011   |         |  82         :     8  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5d     | 2[3/2]    |   1 |    3 |            16.30480387             |          0.00000022  |   0.74  |  99                                               | L18362,L3466
                     |           |   2 |    5 |            16.33991721             |          0.00000020  |   1.147 |  98                                               | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).6p     | 2[3/2]*   |   2 |    5 |            16.313471               |          0.000009    |         |  92         :     7  4d9.(2D<5/2>).6p     2[5/2]* |       L18362
                     |           |   1 |    3 |            16.4702718              |          0.0000006   |         |  96                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).6p     | 2[7/2]*   |   3 |    7 |            16.3680948              |          0.0000017   |         |  87         :    12  4d9.(2D<5/2>).6p     2[5/2]* |       L18362
                     |           |   4 |    9 |            16.4191862              |          0.0000004   |         |  96                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5d     | 2[5/2]    |   2 |    5 |            16.38520785             |          0.00000019  |   0.71  |  98                                               | L18362,L3466
                     |           |   3 |    7 |            16.3905061              |          0.0000003   |   1.095 |  99                                               | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).6p     | 2[5/2]*   |   2 |    5 |            16.4800217              |          0.0000005   |         |  87         :     6  4d9.(2D<5/2>).6p     2[3/2]* |       L18362
                     |           |   3 |    7 |            16.4926351              |          0.0000004   |         |  87         :    10  4d9.(2D<5/2>).6p     2[7/2]* |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 5F*       |   4 |    9 |            16.8751237              |          0.0000011   |         |  63         :    11  4d8.(3F).5s.5p.(3P*) 3G*     |       L18362
                     |           |   3 |    7 |            17.0397956              |          0.0000015   |         |  53         :    15  4d8.(3F).5s.5p.(3P*) 5G*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).6p     | 2[1/2]*   |   0 |    1 |            16.882905?              |          0.000003    |         |  99                                               |       L18362
                     |           |   1 |    3 |            16.9650712              |          0.0000017   |         |  93                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
