--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |            Lower level            |            Upper level            |  gi   gk  |Type|            TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |-----------------------------------|-----------------------------------|           |    |           Ref. |   Ref.  |
          |    Air (nm)     |    Air (nm)     |       |             |      |                               | Conf.                | Term | J   | Conf.                | Term | J   |           |    |                |         |
N IV      |        208.034  |        208.032  |    90 | 7.36e+08    | B    |   62.77131    -    68.72929   | 1s2.2p.(2P*<3/2>).3d | 1F*  | 3   | 1s2.2s.5g            | 1G   | 4   |   7 - 9   |    |       T5600c20 |  L4738  |
N II      |                 |        208.1120 |       | 5.27e+06    | C+   |   19.233263   -    25.188937  | 2s.2p3               | 3S*  | 1   | 2s2.2p.4p            | 3P   | 0   |   3 - 1   |    |         T6385n |         |
N II      |                 |        208.8657 |       | 5.05e+05    | C    |   20.646058   -    26.580244  | 2s2.2p.3p            | 3D   | 1   | 2s2.2p.5s            | 3P*  | 2   |   3 - 5   |    |        T5520LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N II      |                 |        209.1312 |       | 7.54e+06    | C+   |   20.653591   -    26.580244  | 2s2.2p.3p            | 3D   | 2   | 2s2.2p.5s            | 3P*  | 2   |   5 - 5   |    |        T5520LS |         |
N II      |                 |        209.4190 |       | 1.25e+07    | C+   |   20.646058   -    26.564568  | 2s2.2p.3p            | 3D   | 1   | 2s2.2p.5s            | 3P*  | 1   |   3 - 3   |    |        T5520LS |         |
N II      |        209.553  |        209.5529 |   160 | 4.20e+07    | C+   |   20.665517   -    26.580244  | 2s2.2p.3p            | 3D   | 3   | 2s2.2p.5s            | 3P*  | 2   |   7 - 5   |    |        T5520LS |  L3513  |
N II      |        209.620  |        209.6198 |    70 | 4.99e+07    | C+   |   20.646058   -    26.558898  | 2s2.2p.3p            | 3D   | 1   | 2s2.2p.5s            | 3P*  | 0   |   3 - 1   |    |        T5520LS |  L3513  |
N II      |        209.686  |        209.6859 |   110 | 3.74e+07    | C+   |   20.653591   -    26.564568  | 2s2.2p.3p            | 3D   | 2   | 2s2.2p.5s            | 3P*  | 1   |   5 - 3   |    |        T5520LS |  L3513  |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        210.647  |       | 1.73e+07    | B    |   38.64467    -    44.52869   | 2s2.4p               | 2P*  | 1/2 | 2s2.7s               | 2S   | 1/2 |   2 - 2   |    |        T7192LS |         |
N III     |                 |        210.757  |       | 3.45e+07    | B    |   38.64776    -    44.52869   | 2s2.4p               | 2P*  | 3/2 | 2s2.7s               | 2S   | 1/2 |   4 - 2   |    |        T7192LS |         |
N III     |                 |        211.652  |       | 3.73e+06    | C+   |   42.12296    -    47.97903   | 2s.2p.(3P*).3d       | 2F*  | 5/2 | 2s.2p.(3P*).4f       | 2F   | 7/2 |   6 - 8   |    |        T7192LS |         |
N III     |        211.759  |        211.758  |    90 | 9.94e+07    | C+   |   42.12296    -    47.97611   | 2s.2p.(3P*).3d       | 2F*  | 5/2 | 2s.2p.(3P*).4f       | 2F   | 5/2 |   6 - 6   |    |        T7192LS |  L3513  |
N III     |        212.150  |        212.150  |    90 | 1.00e+08    | C+   |   42.13671    -    47.97903   | 2s.2p.(3P*).3d       | 2F*  | 7/2 | 2s.2p.(3P*).4f       | 2F   | 7/2 |   8 - 8   |    |        T7192LS |  L3513  |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        212.257  |       | 4.94e+06    | C+   |   42.13671    -    47.97611   | 2s.2p.(3P*).3d       | 2F*  | 7/2 | 2s.2p.(3P*).4f       | 2F   | 5/2 |   8 - 6   |    |        T7192LS |         |
N II      |        213.018  |        213.0180 |   110 | 2.42e+07    | B    |   21.599539   -    27.418065  | 2s2.2p.3p            | 1D   | 2   | 2s2.2p.5d            | 1F*  | 3   |   5 - 7   |    |          T5520 |  L3513  |
N II      |                 |        213.901  |       | 5.15e+01    | B    |    0.00604    -     5.80055   | 2s2.2p2              | 3P   | 1   | 2s.2p3               | 5S*  | 2   |   3 - 5   |    |          T7333 |         |
N III     |                 |        214.163  |       | 5.75e+05    | B    |   40.94783    -    46.73525   | 2s.2p.(3P*).3d       | 4F*  | 5/2 | 2s.2p.(3P*).4p       | 4D   | 7/2 |   6 - 8   |    |        T7192LS |         |
N II      |        214.278  |        214.277  |   160 | 1.27e+02    | B    |    0.01622    -     5.80055   | 2s2.2p2              | 3P   | 2   | 2s.2p3               | 5S*  | 2   |   5 - 5   |    |          T7333 |  L3513  |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        214.282  |       | 4.72e+04    | D    |   39.71055    -    45.495     | 2s2.4f               | 2F*  | 5/2 | 2s2.8d               | 2D   | 5/2 |   6 - 6   |    |        T7192LS |         |
N III     |                 |        214.282  |       | 9.90e+05    | C    |   39.71055    -    45.495     | 2s2.4f               | 2F*  | 5/2 | 2s2.8d               | 2D   | 3/2 |   6 - 4   |    |        T7192LS |         |
N III     |                 |        214.287  |       | 9.43e+05    | C    |   39.71069    -    45.495     | 2s2.4f               | 2F*  | 7/2 | 2s2.8d               | 2D   | 5/2 |   8 - 6   |    |        T7192LS |         |
N III     |                 |        214.402  |       | 1.13e+07    | B    |   40.95427    -    46.73525   | 2s.2p.(3P*).3d       | 4F*  | 7/2 | 2s.2p.(3P*).4p       | 4D   | 7/2 |   8 - 8   |    |        T7192LS |         |
N III     |                 |        214.411  |       | 1.05e+06    | B    |   40.94356    -    46.72429   | 2s.2p.(3P*).3d       | 4F*  | 3/2 | 2s.2p.(3P*).4p       | 4D   | 5/2 |   4 - 6   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        214.556  |       | 1.75e+06    | B    |   41.26249    -    47.03931   | 2s.2p.(3P*).3d       | 4D*  | 3/2 | 2s.2p.(3P*).4p       | 4P   | 5/2 |   4 - 6   |    |        T7192LS |         |
N III     |                 |        214.569  |       | 1.92e+07    | B    |   40.94783    -    46.72429   | 2s.2p.(3P*).3d       | 4F*  | 5/2 | 2s.2p.(3P*).4p       | 4D   | 5/2 |   6 - 6   |    |        T7192LS |         |
N III     |                 |        214.656  |       | 1.57e+07    | B    |   41.26516    -    47.03931   | 2s.2p.(3P*).3d       | 4D*  | 5/2 | 2s.2p.(3P*).4p       | 4P   | 5/2 |   6 - 6   |    |        T7192LS |         |
N III     |                 |        214.692  |       | 2.21e+07    | B    |   40.94356    -    46.71671   | 2s.2p.(3P*).3d       | 4F*  | 3/2 | 2s.2p.(3P*).4p       | 4D   | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |        214.731  |        214.731  |    90 | 9.84e+07    | B    |   40.96313    -    46.73525   | 2s.2p.(3P*).3d       | 4F*  | 9/2 | 2s.2p.(3P*).4p       | 4D   | 7/2 |  10 - 8   |    |        T7192LS |  L3513  |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        214.739  |       | 4.36e+06    | B    |   41.26086    -    47.03276   | 2s.2p.(3P*).3d       | 4D*  | 1/2 | 2s.2p.(3P*).4p       | 4P   | 3/2 |   2 - 4   |    |        T7192LS |         |
N III     |                 |        214.785  |       | 6.97e+07    | B    |   41.26864    -    47.03931   | 2s.2p.(3P*).3d       | 4D*  | 7/2 | 2s.2p.(3P*).4p       | 4P   | 5/2 |   8 - 6   |    |        T7192LS |         |
N III     |                 |        214.799  |       | 2.79e+07    | B    |   41.26249    -    47.03276   | 2s.2p.(3P*).3d       | 4D*  | 3/2 | 2s.2p.(3P*).4p       | 4P   | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |                 |        214.809  |       | 8.99e+07    | B    |   40.95427    -    46.72429   | 2s.2p.(3P*).3d       | 4F*  | 7/2 | 2s.2p.(3P*).4p       | 4D   | 5/2 |   8 - 6   |    |        T7192LS |         |
N III     |                 |        214.851  |       | 8.84e+07    | B    |   40.94783    -    46.71671   | 2s.2p.(3P*).3d       | 4F*  | 5/2 | 2s.2p.(3P*).4p       | 4D   | 3/2 |   6 - 4   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        214.899  |       | 5.48e+07    | B    |   41.26516    -    47.03276   | 2s.2p.(3P*).3d       | 4D*  | 5/2 | 2s.2p.(3P*).4p       | 4P   | 3/2 |   6 - 4   |    |        T7192LS |         |
N III     |                 |        214.902  |       | 1.10e+08    | B    |   40.94356    -    46.71110   | 2s.2p.(3P*).3d       | 4F*  | 3/2 | 2s.2p.(3P*).4p       | 4D   | 1/2 |   4 - 2   |    |        T7192LS |         |
N III     |                 |        214.945  |       | 4.35e+07    | B    |   41.26086    -    47.02722   | 2s.2p.(3P*).3d       | 4D*  | 1/2 | 2s.2p.(3P*).4p       | 4P   | 1/2 |   2 - 2   |    |        T7192LS |         |
