-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                                                    | Reference
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(3D).6s         | 4D     |  3/2 |    4 |         2.7900103    |          0.0000004   |    1.22  |  41                                 :    18  5d5                  4D   |    L12177
                    |        |  5/2 |    6 |         2.90748125   |          0.00000025  |    1.297 |  41                                 :    26  5d4.(5D).6s          4D   |    L12177
                    |        |  1/2 |    2 |         3.1052137    |          0.0000005   |    0.32  |  41                                 :    20  5d4.(5D).6s          4D   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  1/2 |    2 |         2.7940595    |          0.0000005   |    2.2   |  29  5d3.6s2 4P                     :    19  5d4.(3P1).6s         4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         2.85742958   |          0.00000025  |    0.86  |  21  5d4.(3G).6s 2G                 :    17  5d3.6s2              4F   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  9/2 |   10 |         2.88074530   |          0.00000025  |    1.249 |  28  5d4.(3G).6s 2G                 :    28  5d4.(3H).6s          2H   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         2.95128289   |          0.00000025  |          |  19  5d5 4G                         :    17  5d5                  2F1  |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        | 11/2 |   12 |         2.97008472   |          0.00000017  |    1.10  |  39  5d4.(3H).6s 2H                 :    18  5d3.6s2              2H   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         3.07537991   |          0.00000025  |    1.10  |  13  5d4.(3F2).6s 2F                :    11  5d4.(3D).6s          4D   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         3.0985624    |          0.0000006   |    0.9   |  20  5d5 2D3                        :    18  5d4.(3D).6s          2D   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         3.1206670    |          0.0000004   |    1.64  |  30  5d4.(3P1).6s 4P                :    24  5d5                  4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  9/2 |   10 |         3.12554652   |          0.00000025  |          |  27  5d3.6s2 4F                     :    25  5d3.6s2              2H   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         3.1829346    |          0.0000004   |    0.9   |  23  5d5 4G                         :    14  5d4.(3G).6s          4G   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d5                 | 4G     |  9/2 |   10 |         3.24325067   |          0.00000025  |          |  49                                 :    21  5d4.(3G).6s          4G   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         3.2517208    |          0.0000004   |    1.04  |  28  5d5 4G                         :    13  5d5                  4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d5                 | 4P     |  1/2 |    2 |         3.2888928    |          0.0000011   |          |  39                                 :    19  5d5                  2S   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(1I).6s         | 2I     | 11/2 |   12 |         3.33877144   |          0.00000025  |          |  50                                 :    21  5d5                  2I   |    L12177
                    |        | 13/2 |   14 |         3.49481423   |          0.00000025  |          |  75                                 :    16  5d5                  2I   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         3.38151438   |          0.00000025  |          |  31  5d5 4G                         :    23  5d4.(3G).6s          4G   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(3P1).6s        | 4P     |  5/2 |    6 |         3.4862913    |          0.0000005   |          |  40                                 :    10  5d3.6s2              4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        | 11/2 |   12 |         3.51837210   |          0.00000025  |          |  37  5d5 4G                         :    31  5d4.(3G).6s          4G   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         3.5324238    |          0.0000005   |          |  19  5d4.(1D2).6s 2D                :    19  5d3.6s2              2P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  7/2 |    8 |         3.54987686   |          0.00000025  |          |  15  5d5 4D                         :    14  5d4.(3F2).6s         2F   |    L12177
