---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term       |   J |    g |      Level (eV) |   Uncertainty (eV) |  Landé | Leading percentages                                    | Reference
5d4.6s2               | 1F         |   3 |    7 |      3.051360   |          0.000012  |        |  48                         :    16  5d5.(2F1).6s 1F   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 1D2        |   2 |    5 |      3.073526   |          0.000012  |        |  36                         :    26               3P4  |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s.(6D).6p        | 5F*        |   1 |    3 |      3.221556   |          0.000012  |   0.54 |                                                        |    L12177
                      |            |   2 |    5 |      3.429715   |          0.000012  |   1.21 |                                                        |    L12177
                      |            |   3 |    7 |      3.612790   |          0.000012  |   1.06 |                                                        |    L12177
                      |            |   4 |    9 |      3.897184   |          0.000012  |   1.32 |                                                        |    L12177
                      |            |   5 |   11 |      4.137358   |          0.000012  |   1.39 |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(6S).6p           | 7P*        |   2 |    5 |      3.252077   |          0.000012  |   1.84 |                                                        |    L12177
                      |            |   3 |    7 |      3.408091   |          0.000012  |   1.72 |                                                        |    L12177
                      |            |   4 |    9 |      3.457880   |          0.000012  |   1.71 |  67                                                    |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      | *          |   2 |    5 |      3.269126   |          0.000012  |   0.87 |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s.(6D).6p        | 5D*        |   0 |    1 |      3.301632   |          0.000012  |        |                                                        |    L12177
                      |            |   1 |    3 |      3.444095   |          0.000012  |   1.25 |                                                        |    L12177
                      |            |   2 |    5 |      3.619823   |          0.000012  |   1.28 |                                                        |    L12177
                      |            |   3 |    7 |      3.708721   |          0.000012  |   1.31 |                                                        |    L12177
                      |            |   4 |    9 |      4.070168   |          0.000012  |   1.7  |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(2F1).6s          | 3F         |   2 |    5 |      3.330419   |          0.000012  |        |  22                         :    16  5d4.6s2      3P1  |    L12177
                      |            |   4 |    9 |      3.374084   |          0.000012  |        |  37                         :    33  5d5.(4F).6s  5F   |    L12177
                      |            |   3 |    7 |      3.507746   |          0.000012  |        |  36                         :    16  5d5.(4G).6s  3G   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(4F).6s           | 5F         |   1 |    3 |      3.430702   |          0.000012  |        |  74                                                    |    L12177
                      |            |   2 |    5 |      3.496875   |          0.000012  |        |  62                                                    |    L12177
                      |            |   5 |   11 |      3.500500   |          0.000012  |        |  75                                                    |    L12177
                      |            |   3 |    7 |      3.514654   |          0.000012  |        |  56                         :    12  5d5.(2F2).6s 3F   |    L12177
                      |            |   4 |    9 |      3.701382   |          0.000012  |        |  33  5d5.(4G).6s 3G         :    20  5d5.(4F).6s  5F   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(2I).6s           | 3I         |   5 |   11 |      3.452935   |          0.000012  |        |  66                                                    |    L12177
                      |            |   6 |   13 |      3.520246   |          0.000012  |        |  80                                                    |    L12177
                      |            |   7 |   15 |      3.652696   |          0.000012  |        |  98                                                    |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s.(6D).6p        | 5P*        |   1 |    3 |      3.496218   |          0.000012  |        |                                                        |    L12177
                      |            |   2 |    5 |      3.644317   |          0.000012  |   1.83 |                                                        |    L12177
                      |            |   3 |    7 |      3.792260   |          0.000012  |   1.64 |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(4P).6s           | 3P         |   1 |    3 |      3.560935   |          0.000012  |        |  41                         :    37  5d4.6s2      3P1  |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3P1        |   2 |    5 |      3.583014   |          0.000012  |        |  26                         :    28               1D4  |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      |            |   3 |    7 |      3.648917   |          0.000012  |        |  50  5d4.6s2 3F1            :    26  5d5.(4G).6s  3G   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3F1        |   4 |    9 |      3.654970   |          0.000012  |        |  34                         :    17  5d5.(4F).6s  5F   |    L12177
                      |            |   2 |    5 |      3.765921   |          0.000012  |        |  19                         :    15               3P2  |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      | *          |   1 |    3 |      3.804274   |          0.000012  |   1.39 |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      |            |   2 |    5 |      3.853156   |          0.000012  |        |  28  5d5.(4D).6s 3D         :    26  5d5.(4F).6s  3F   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      | *          |   1 |    3 |      3.883617   |          0.000012  |   0.86 |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(4G).6s           | 3G         |   5 |   11 |      3.891750   |          0.000012  |        |  58                         :    20  5d5.(2I).6s  3I   |    L12177
                      |            |   4 |    9 |      3.984349   |          0.000012  |        |  35                         :    16  5d4.6s2      1G1  |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      | *          |   2 |    5 |      3.944883   |          0.000012  |   1.52 |                                                        |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
                      |            |   3 |    7 |      3.994512   |          0.000012  |        |  22  5d5.(2G2).6s 3G        :    16  5d5.(2D3).6s 3D   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
