---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
                      |         | 13/2 |   14 |         2.12465991   |          0.00000025  |   1.43    | 100                                             | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3G).4s           | a 4G    |  5/2 |    6 |         2.11454106   |          0.00000025  |   0.59    |  96                                             | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.12223094   |          0.00000025  |   0.96    |  92                                             | L15916,L20010,L14162
                      |         |  9/2 |   10 |         2.13030553   |          0.00000025  |   1.14    |  92                                             | L15916,L20010,L14162
                      |         | 11/2 |   12 |         2.13774421   |          0.00000012  |   1.27    |  94                                             | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 6D*   |  1/2 |    2 |         2.24237224   |          0.00000025  |   3.20    |  90         :     6  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         2.2473686    |          0.0000004   |   1.76    |  88         :     6  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         2.25627571   |          0.00000025  |   1.58    |  86         :     6  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.26919350   |          0.00000025  |   1.56    |  85         :     6  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         2.28602609   |          0.00000025  |   1.55    |  88         :     6  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 6F*   |  1/2 |    2 |         2.24660655   |          0.00000025  |  -0.44    |  96         :     3  3d4.(5D).4p           6F*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         2.2532980    |          0.0000004   |   1.14    |  94         :     3  3d4.(5D).4p           6F*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         2.2638095    |          0.0000005   |   1.28    |  92         :     4  3d3.(4F).4s.4p.(3P*)  6D*  | L15916,L20010,L14162
