----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |                      Level (eV)   |   Uncertainty (eV) |      Landé | Leading percentages                                       | Reference
                   |        |  3/2 |    4 |          11.430623                |                    |            |                                                           |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).5s | 2[1]   |  3/2 |    4 |          11.4239198               |                    |            |  89                  or  :    52  3s2.3p4.(3P).5s    4P   |          
                   |        |  1/2 |    2 |          11.425315                |                    |            |  68                  or  :    88  3s2.3p4.(3P).5s    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).5s | 2[0]   |  1/2 |    2 |          11.481272                |                    |            |  68                  or  :    88  3s2.3p4.(3P).5s    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(1D).4p    | 2P*    |  3/2 |    4 |          11.6934712               |                    |   1.328    |  97                      :     2  3s2.3p4.(3P).4p    2P*  |          
                   |        |  1/2 |    2 |          11.7126455               |                    |   0.872    |  96                      :     3  3s2.3p4.(3P).4p    2P*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).5p    | 4P*    |  5/2 |    6 |          11.7143043               |                    |   1.559    |  87                      :    12  3s2.3p4.(3P).5p    4D*  |          
                   |        |  3/2 |    4 |          11.7367992               |                    |   1.722    |  78                      :    13  3s2.3p4.(3P).5p    4S*  |          
                   |        |  1/2 |    2 |          11.7752360               |                    |   2.309    |  74                      :    18  3s2.3p4.(3P).5p    2S*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).5p    | 4D*    |  7/2 |    8 |          11.745308                |                    |   1.420    | 100                                                       |          
                   |        |  3/2 |    4 |          11.8173988               |                    |   1.147    |  41                      :    40  3s2.3p4.(3P).5p    2D*  |          
                   |        |  5/2 |    6 |          11.8281832               |                    |   1.352    |  61                      :    26  3s2.3p4.(3P).5p    2D*  |          
                   |        |  1/2 |    2 |          11.8525909               |                    |   0.699    |  93                      :     5  3s2.3p4.(3P).5p    4P*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).5p    | 2D*    |  5/2 |    6 |          11.7570682               |                    |   1.247    |  72                      :    27  3s2.3p4.(3P).5p    4D*  |          
                   |        |  3/2 |    4 |          11.8660979               |                    |   1.321    |  44                      :    39  3s2.3p4.(3P).5p    4S*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(1D).4p    | 2F*    |  5/2 |    6 |          11.7964298               |                    |            | 100                                                       |          
                   |        |  7/2 |    8 |          11.8008680               |                    |            | 100                                                       |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).5p    | 2S*    |  1/2 |    2 |          11.8448209               |                    |   1.409    |  72                      :    21  3s2.3p4.(3P).5p    4P*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).5p    | 4S*    |  3/2 |    4 |          11.8544214               |                    |   1.531    |  35                      :    35  3s2.3p4.(3P).5p    4D*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4d | 2[3]   |  7/2 |    8 |          11.8653962               |                    |   1.416    |  91                  or  :    90  3s2.3p4.(3P).4d    4D   |          
                   |        |  5/2 |    6 |          12.0197146               |                    |   1.097    |  69                  or  :    41  3s2.3p4.(3P).4d    2D   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4d | 2[2]   |  5/2 |    6 |          11.8760437               |                    |   1.367    |  64                  or  :    87  3s2.3p4.(3P).4d    4D   |          
                   |        |  3/2 |    4 |          11.8897827               |                    |   1.209    |  53                  or  :    85  3s2.3p4.(3P).4d    4D   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4d | 2[1]   |  1/2 |    2 |          11.9019327               |                    |   0.00     |  56                  or  :    89  3s2.3p4.(3P).4d    4D   |          
                   |        |  3/2 |    4 |          12.0269732               |                    |            |  67                  or  :    42  3s2.3p4.(3P).4d    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).5p    | 2P*    |  3/2 |    4 |          11.9413310               |                    |   1.2873   |  83                      :     8  3s2.3p4.(3P).5p    2D*  |          
                   |        |  1/2 |    2 |          11.9761416               |                    |   0.712    |  87                      :    10  3s2.3p4.(3P).5p    2S*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
