--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |           Level (eV) |     Uncertainty (eV) |   Landé | Leading percentages                                | Reference
                     |           |   5 |   11 |         2.51443043   |          0.00000016  |   1.01  |  99                                                | L20009,L8201
                     |           |   6 |   13 |         2.5247320    |          0.0000003   |   1.14  |  99                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4s         | b 3D      |   1 |    3 |         2.5444220    |          0.0000005   |   0.58  |  41         :    38  3d4                  3D       | L20009,L8201
                     |           |   2 |    5 |         2.5561913    |          0.0000003   |   1.25  |  36         :    30  3d4                  3D       | L20009,L8201
                     |           |   3 |    7 |         2.5569243    |          0.0000003   |   1.26  |  49         :    35  3d4                  3D       | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | a 1D2     |   2 |    5 |         2.6013033    |          0.0000003   |   1.02  |  35         :    30  3d3.(2D2).4s         1D       | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4s          | a 1P      |   1 |    3 |         2.76157896   |          0.00000017  |   0.97  |  95                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4s          | a 1H      |   5 |   11 |         2.90013312   |          0.00000013  |   1.04  |  99                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4s         | b 1D      |   2 |    5 |         3.1232903    |          0.0000003   |   0.99  |  38         :    31  3d4                  1D2      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | a 1F      |   3 |    7 |         3.3277047    |          0.0000004   |   0.97  |  90         :     9  3d3.(2F).4s          1F       | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2F).4s          | c 3F      |   2 |    5 |         3.7526931    |          0.0000007   |   0.67  |  76         :    10  3d4                  3F1      | L20009,L8201
                     |           |   3 |    7 |         3.7575133    |          0.0000004   |   1.06  |  80         :     8  3d4                  3F1      | L20009,L8201
                     |           |   4 |    9 |         3.7590188    |          0.0000003   |   1.25  |  83         :     7  3d4                  3F1      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | d 3F1     |   4 |    9 |         3.7956411    |          0.0000004   |   1.23  |  58         :    18  3d4                  3F2      | L20009,L8201
                     |           |   3 |    7 |         3.7990949    |          0.0000003   |   1.05  |  56         :    18  3d3.(2F).4s          3F       | L20009,L8201
                     |           |   2 |    5 |         3.8029783    |          0.0000005   |   0.67  |  53         :    21  3d3.(2F).4s          3F       | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | d 3P1     |   2 |    5 |         3.9725332    |          0.0000006   |   1.38  |  54         :    41  3d4                  3P2      | L20009,L8201
                     |           |   1 |    3 |         4.0045986    |          0.0000009   |   1.48  |  53         :    41  3d4                  3P2      | L20009,L8201
                     |           |   0 |    1 |         4.0195734    |          0.0000015   |         |  53         :    41  3d4                  3P2      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2F).4s          | b 1F      |   3 |    7 |         4.24383692   |          0.00000024  |   1.00  |  90         :     9  3d4                  1F       | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4p          | z 5G*     |   2 |    5 |         4.28896599   |          0.00000016  |   0.31  | 100                                                | L20009,L8201
                     |           |   3 |    7 |         4.30793361   |          0.00000011  |   0.93  | 100                                                | L20009,L8201
                     |           |   4 |    9 |         4.33283069   |          0.00000013  |   1.14  | 100                                                | L20009,L8201
                     |           |   5 |   11 |         4.36339842   |          0.00000016  |   1.16  | 100                                                | L20009,L8201
                     |           |   6 |   13 |         4.39940639   |          0.00000025  |         | 100                                                |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | c 1G1     |   4 |    9 |         4.5161089    |          0.0000005   |   0.96  |  59         :    36  3d4                  1G2      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4p          | z 3D*     |   1 |    3 |         4.52411371   |          0.00000013  |   0.35  |  47         :    47  3d3.(4F).4p          5F*      | L20009,L8201
                     |           |   2 |    5 |         4.59252095   |          0.00000010  |   1.08  |  43         :    40  3d3.(4F).4p          5F*      | L20009,L8201
