------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |          Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
                      |        |   3 |    7 |        3.40961129   |          0.00000017  |   1.76    |  99                                                 |     L18327,L7185
                      |        |   4 |    9 |        3.42812537   |          0.00000016  |   1.66    |  99                                                 |     L18327,L7185
                      |        |   5 |   11 |        3.44990005   |          0.00000021  |   1.61    | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | b 3G   |   3 |    7 |        3.42162176   |          0.00000017  |           |                                                     |           L18327
                      |        |   4 |    9 |        3.43483022   |          0.00000016  |           |                                                     |           L18327
                      |        |   5 |   11 |        3.44884093   |          0.00000017  |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | y 7P*  |   2 |    5 |        3.43793438   |          0.00000016  |   2.341   |  66             :    33  3d5.(6S).4p           7P*  |     L18327,L7185
                      |        |   3 |    7 |        3.44926486   |          0.00000016  |   1.929   |  66             :    33  3d5.(6S).4p           7P*  |     L18327,L7185
                      |        |   4 |    9 |        3.46352846   |          0.00000020  |   1.761   |  67             :    32  3d5.(6S).4p           7P*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4D).4s           | a 3D   |   3 |    7 |        3.55053092   |          0.00000016  |           | 100                                                 |     L18327,L7185
                      |        |   1 |    3 |        3.55579535   |          0.00000017  |           | 100                                                 |     L18327,L7185
                      |        |   2 |    5 |        3.55614017   |          0.00000016  |           |  98                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | y 5P*  |   1 |    3 |        3.64772227   |          0.00000015  |   2.513   |  95                                                 |     L18327,L7185
                      |        |   2 |    5 |        3.66801927   |          0.00000014  |   1.836   |  95                                                 |     L18327,L7185
                      |        |   3 |    7 |        3.69779036   |          0.00000015  |   1.669   |  96                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | z 5F*  |   1 |    3 |        3.81713641   |          0.00000016  |   0.002   |  96                                                 |     L18327,L7185
                      |        |   2 |    5 |        3.82599755   |          0.00000015  |   0.997   |  96                                                 |     L18327,L7185
                      |        |   3 |    7 |        3.83921777   |          0.00000015  |   1.245   |  96                                                 |     L18327,L7185
                      |        |   4 |    9 |        3.85669175   |          0.00000020  |   1.345   |  95                                                 |     L18327,L7185
                      |        |   5 |   11 |        3.87826471   |          0.00000018  |   1.396   |  96                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2D3).4s          | b 3D   |   3 |    7 |        3.84462236   |          0.00000019  |           |  56             :    18  3d5.(2D1).4s          3D   |     L18327,L7185
                      |        |   2 |    5 |        3.84701379   |          0.00000018  |           |  50             :    24  3d5.(4F).4s           5F   |     L18327,L7185
                      |        |   1 |    3 |        3.84955420   |          0.00000020  |           |  45             :    41  3d5.(4F).4s           5F   |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2I).4s           | a 3I   |   7 |   15 |        3.84945605   |          0.00000024  |           | 100                                                 |     L18327,L7185
                      |        |   6 |   13 |        3.84961206   |          0.00000025  |           | 100                                                 |     L18327,L7185
                      |        |   5 |   11 |        3.85036368   |          0.00000022  |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4F).4s           | a 5F   |   1 |    3 |        3.8872000    |          0.0000003   |           |  59             :    31  3d5.(2D3).4s          3D   |     L18327,L7185
                      |        |   2 |    5 |        3.88753929   |          0.00000021  |           |  74             :    12  3d5.(2D3).4s          3D   |     L18327,L7185
                      |        |   3 |    7 |        3.88866922   |          0.00000019  |           |  88             :     6  3d5.(2D3).4s          3D   |     L18327,L7185
                      |        |   4 |    9 |        3.89035909   |          0.00000019  |           | 100                                                 |     L18327,L7185
                      |        |   5 |   11 |        3.89227271   |          0.00000019  |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | a 1G   |   4 |    9 |        3.965856     |          0.000004    |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | a 1I   |   6 |   13 |        3.9795577    |          0.0000004   |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2F1).4s          | b 3F   |   2 |    5 |        4.0964340    |          0.0000003   |           |  79             :    14  3d5.(2D3).4s          3D   |     L18327,L7185
                      |        |   3 |    7 |        4.0989995    |          0.0000005   |           |  83             :    13  3d5.(2D3).4s          3D   |     L18327,L7185
                      |        |   4 |    9 |        4.1055150    |          0.0000004   |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | z 5D*  |   0 |    1 |        4.13341695   |          0.00000016  |           |  89             :     8  3d4.(5D).4s.4p.(3P*)  3P*  |     L18327,L7185
                      |        |   1 |    3 |        4.14402110   |          0.00000016  |   1.499   |  93                                                 |     L18327,L7185
                      |        |   2 |    5 |        4.15869016   |          0.00000014  |   1.497   |  96                                                 |     L18327,L7185
                      |        |   3 |    7 |        4.17473729   |          0.00000015  |   1.497   |  97                                                 |     L18327,L7185
                      |        |   4 |    9 |        4.19265376   |          0.00000016  |   1.499   |  97                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | z 3P*  |   0 |    1 |        4.18602051   |          0.00000018  |           |  88             :     8  3d4.(5D).4s.4p.(3P*)  5D*  |     L18327,L7185
                      |        |   1 |    3 |        4.20272341   |          0.00000018  |   1.49    |  92                                                 |     L18327,L7185
                      |        |   2 |    5 |        4.23907327   |          0.00000016  |   1.55    |  95                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2I).4s           | b 1I   |   6 |   13 |        4.1860366    |          0.0000004   |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | c 3D   |   1 |    3 |        4.2038750    |          0.0000012   |           |                                                     |           L18327
                      |        |   3 |    7 |        4.2073736    |          0.0000007   |           |                                                     |           L18327
