-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.     |         Ritz          |    Unc.     |    Rel. |     Aki      | Acc. |             Ei           Ek             |             Lower level              |                Upper level                |  gi   gk  |Type|      TP  |          Line  |
          |      Wavelength       |     (nm)    |      Wavelength       |     (nm)    |    Int. |    (s^-1)    |      |            (eV)         (eV)            |--------------------------------------|-------------------------------------------|           |    |     Ref. |          Ref.  |
          |       Vac (nm)        |             |       Vac (nm)        |             |         |              |      |                                         | Conf.                | Term    | J   | Conf.                | Term     | J       |           |    |          |                |
Ag III    |           75.573      |   0.010     |                       |             |     150 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           75.827      |   0.010     |                       |             |     100 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag III    |           76.719      |   0.010     |                       |             |     200 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           76.833      |   0.010     |                       |             |     250 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           76.961      |   0.010     |                       |             |     150 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           77.638      |   0.010     |                       |             |     350 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           78.291      |   0.010     |                       |             |     200 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag III    |           78.576      |   0.010     |                       |             |     150 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           78.908      |   0.010     |                       |             |     200 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           79.235      |   0.010     |                       |             |     250 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           79.654      |   0.010     |                       |             |     200 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           79.791      |   0.010     |                       |             |     250 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag III    |           79.941      |   0.010     |                       |             |     400 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           80.888      |   0.010     |                       |             |     300 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           81.612      |   0.010     |                       |             |     150 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           82.239      |   0.010     |                       |             |     180 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
Ag III    |           83.811      |   0.010     |                       |             |     200 |              |      |                                         |                      |         |     |                      |          |         |           |    |          |          L650  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |           94.31323    |   0.00005   |           94.313168   |  0.000004   |   11000 |              |      |      4.85621528    -      18.0022266    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d9.(2D<5/2>).4f     | 2[3/2]*  | 2       |   7 - 5   |    |          |    L11881c113  |
Ag II     |           94.89659    |   0.00010   |           94.89657    |  0.00006    |    3500 |              |      |      5.05178168    -      18.116974     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(1D).5s.5p.(3P*) | 3F*      | 2       |   5 - 5   |    |          |    L11881c113  |
Ag II     |           95.40780    |   0.00005   |           95.407840   |  0.000005   |   35000 |              |      |      5.05178168    -      18.0469609    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 1F*      | 3       |   5 - 7   |    |          |    L11881c113  |
Ag II     |           95.62436    |   0.00005   |           95.62434    |  0.00005    |   14000 | 1.5e+08      | D+   |      4.85621528    -      17.821972     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 3F*      | 2       |   7 - 5   |    |    T9142 |    L11881c113  |
Ag II     |           95.63500    |   0.00005   |           95.635062   |  0.000005   |   18000 |              |      |      5.05178168    -      18.0160854    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[5/2]*  | 2       |   5 - 5   |    |          |    L11881c113  |
