---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |    Rel. |     Aki     | Acc. |        Ei           Ek        |             Lower level             |               Upper level                |  gi   gk  |Type|    TP  |       Line  |
          |     Wavelength     |     Wavelength     |    Int. |   (s^-1)    |      |       (eV)         (eV)       |-------------------------------------|------------------------------------------|           |    |   Ref. |       Ref.  |
          |      Air (nm)      |      Air (nm)      |         |             |      |                               | Conf.            | Term      | J    | Conf.                | Term       | J    |           |    |        |             |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         261.42323  |         261.42341  |       4 |             |      |   3.8865434   -    8.6277865  | 5d5              | 2I        | 13/2 |                      |            | 11/2 |  14 - 12  |    |        |     L11762  |
W III     |         261.4441   |         261.4443   |      2d |             |      |   6.323533    -   11.064397   | 5d2.6s2          | 3F        | 3    |                      |            | 2    |   7 - 5   |    |        |     L10405  |
W I       |         261.4452   |         261.4448   |      15 |             |      |   1.708218    -    6.449073   | 5d4.6s2          | 3F2       | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
W I       |         261.5124   |         261.5124   |      40 | 1.58e+07    | C    |   0.771099    -    5.510728   | 5d4.6s2          | 5D        | 4    |                      | *          | 3    |   9 - 7   |    |  T6977 |       L153  |
W II      |         261.544267 |         261.544274 |      82 |             |      |   1.87798579  -    6.61703798 | 5d4.(3H).6s      | 4H        | 7/2  |                      |            | 9/2  |   8 - 10  |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         261.5661   |         261.56476  |       7 |             |      |   3.7472666   -    8.4859477  |                  |           | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |      L6520  |
W II      |         261.56884  |         261.56880  |      16 |             |      |   2.43471600  -    7.1733238  |                  |           | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
W I       |         261.5980   |         261.5982   |       2 |             |      |   2.246202    -    6.984278   | 5d5.(4G).6s      | 5G        | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
W III     |         261.6059   |         261.6056   |      2d |             |      |   6.889132    -   11.627074   | 5d2.6s2          | 3F        | 4    |                      |            | 5    |   9 - 11  |    |        |     L10405  |
W I       |         261.6353   |                    |      10 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         261.6666   |                    |      15 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         261.6760   |         261.6756   |       6 |             |      |   2.266491    -    7.003164   | 5d5.(6S).6s      | 5S        | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
W II      |         261.7156   |         261.71454  |       3 |             |      |   3.24325067  -    7.9792200  | 5d5              | 4G        | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |      L6520  |
W II      |         261.76302  |         261.762995 |       8 |             |      |   1.87798579  -    6.61307842 | 5d4.(3H).6s      | 4H        | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |     L11762  |
W I       |         261.7652   |                    |       5 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         261.80477  |         261.80461  |       4 |             |      |   3.07537991  -    7.8097198  |                  |           | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |     L11762  |
W I       |         261.8416   |                    |       4 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         261.8808   |         261.8809   |      25 | 1.90e+06    | B    |   0.412313    -    5.145274   | 5d4.6s2          | 5D        | 2    |                      | *          | 3    |   5 - 7   |    |  T6977 |       L153  |
W II      |         261.91692  |         261.91678  |    19bl |             |      |   1.81442640  -    6.5467391  | 5d4.(5D).6s      | 4D        | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |     L11762  |
W I       |         261.9178   |         261.9181   |      40 |             |      |   1.868433    -    6.600722   | 5d4.6s2          | 3H        | 5    |                      | *          | 4    |  11 - 9   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         261.9254   |         261.9263   |       3 |             |      |   2.422033    -    7.154173   | 5d5.(4G).6s      | 5G        | 5    |                      | *          | 6    |  11 - 13  |    |        |       L153  |
W I       |         261.9342   |         261.9347   |       2 |             |      |   2.194667    -    6.926655   | 5d4.6s2          | 3F2       | 3    |                      | *          | 4    |   7 - 9   |    |        |       L153  |
W I       |         261.9717   |                    |       8 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         261.9868   |         261.9867   |       6 |             |      |   1.868433    -    6.599483   | 5d4.6s2          | 3H        | 5    |                      | *          | 6    |  11 - 13  |    |        |       L153  |
W I       |         261.9954   |         261.9951   |      15 |             |      |   2.352539    -    7.083438   | 5d5.(4G).6s      | 5G        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         262.01956  |         262.019081 |    75bl |             |      |   2.54591519  -    7.2763802  |                  |           | 11/2 |                      |            | 9/2  |  12 - 10  |    |        |     L11762  |
W II      |         262.02046  |         262.02035  |       4 |             |      |   2.7900103   -    7.5204524  | 5d4.(3D).6s      | 4D        | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |     L11762  |
W I       |         262.0215   |         262.0228   |      50 |             |      |   0.365913    -    5.096311   | 5d5.(6S).6s      | 7S        | 3    |                      | *          | 2    |   7 - 5   |    |        |       L153  |
W I       |         262.0516   |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         262.07393  |         262.07394  |      29 |             |      |   1.85576385  -    6.5852388  |                  |           | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         262.09202  |         262.09185  |       2 |             |      |   3.0985624   -    7.8277142  |                  |           | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |     L11762  |
W I       |         262.0996   |         262.1012   |       6 |             |      |   1.507891    -    6.236874   | 5d4.6s2          | 3H        | 4    |                      | *          | 3    |   9 - 7   |    |        |       L153  |
W I       |         262.1542   |         262.1554   |      16 |             |      |   2.194667    -    6.922673   | 5d4.6s2          | 3F2       | 3    |                      | *          | 2    |   7 - 5   |    |        |       L153  |
W II      |         262.15905  |         262.15904  |     14* |             |      |   3.8989221   -    8.6268619  |                  |           | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |     L11762  |
W II      |         262.15905  |         262.159143 |     14* | 4.65e+06    | B    |   0.91999510  -    5.6479330  | 5d5              | 6S        | 5/2  |                      |            | 3/2  |   6 - 4   |    |  T7162 |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         262.1812   |         262.18347  |     15? |             |      |   3.2517208   -    7.9792200  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |      L6520  |
W II      |         262.21169  |         262.211343 |       3 |             |      |   2.88074530  -    7.6077420  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W I       |         262.216    |         262.2160   |     30c |             |      |   2.037223    -    6.764135   | 5d4.6s2          | 3G        | 4    |                      | *          | 3    |   9 - 7   |    |        |       L153  |
W I       |         262.2214   |         262.2215   |      35 |             |      |   1.868433    -    6.595246   | 5d4.6s2          | 3H        | 5    |                      | *          | 5    |  11 - 11  |    |        |       L153  |
W I       |         262.2328   |         262.2328   |      30 |             |      |   1.507891    -    6.234501   | 5d4.6s2          | 3H        | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         262.27796  |         262.27778  |       6 |             |      |   3.1829346   -    7.9087340  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W II      |         262.31053  |         262.310533 |      28 |             |      |   2.57643601  -    7.30164536 |                  |           | 9/2  |                      |            | 11/2 |  10 - 12  |    |        |     L11762  |
W I       |         262.3463   |                    |       2 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         262.37693  |         262.37696  |       4 |             |      |   3.79799887  -    8.5220120  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W II      |         262.38733  |         262.38732  |      10 |             |      |   2.90748125  -    7.6313078  | 5d4.(3D).6s      | 4D        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         262.3988   |         262.3975   |       2 |             |      |   2.387137    -    7.110781   | 5d4.6s2          | 3P2       | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
W I       |         262.4154   |         262.4159   |      20 |             |      |   2.387469    -    7.110781   | 5d5.(4G).6s      | 5G        | 4    |                      | *          | 3    |   9 - 7   |    |        |       L153  |
W I       |         262.4366   |         262.4362   |       9 |             |      |   2.458116    -    7.181062   | 5d4.6s2          | 3G        | 5    |                      | *          | 6    |  11 - 13  |    |        |       L153  |
W II      |         262.43928  |         262.43930  |       6 |             |      |   2.43471600  -    7.1576070  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W II      |         262.44746  |         262.44745  |      17 |             |      |   2.88074530  -    7.6034897  |                  |           | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         262.45943  |         262.45942  |       5 |             |      |   4.2267288   -    8.9492577  | 5d5              | 4F        | 9/2  |                      |            | 11/2 |  10 - 12  |    |        |     L11762  |
W II      |         262.49461  |         262.49437  |       5 |             |      |   2.75170912  -    7.4736095  |                  |           | 7/2  |                      |            | 9/2  |   8 - 10  |    |        |     L11762  |
W I       |         262.4996   |                    |      20 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         262.5220   |         262.5216   |     60r |             |      |   0.598844    -    5.320254   | 5d4.6s2          | 5D        | 3    |                      | *          | 4    |   7 - 9   |    |        |       L153  |
W I       |         262.5742   |                    |       2 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         262.6244   |         262.6245   |      40 |             |      |   1.856810    -    6.576370   | 5d4.6s2          | 3D        | 2    |                      | *          | 1    |   5 - 3   |    |        |       L153  |
W I       |         262.6456   |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         262.64745  |         262.64733  |       5 |             |      |   2.75170912  -    7.4708596  |                  |           | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |     L11762  |
W I       |         262.6717   |         262.6715   |      12 |             |      |   2.387469    -    7.106185   | 5d5.(4G).6s      | 5G        | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
W I       |         262.7225   |         262.7232   |       1 |             |      |   2.266491    -    6.984278   | 5d5.(6S).6s      | 5S        | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         262.7451   |         262.7451   |      18 |             |      |   1.868433    -    6.585829   | 5d4.6s2          | 3H        | 5    |                      | *          | 4    |  11 - 9   |    |        |       L153  |
W II      |         262.77080  |         262.77079  |       8 |             |      |   1.84205306  -    6.5589865  |                  |           | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
W II      |         262.7927   |         262.79210  |       5 |             |      |   3.9103109   -    8.6268619  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |      L6520  |
W II      |         262.80167  |         262.80167  |       5 |             |      |   3.33877144  -    8.0551506  | 5d4.(1I).6s      | 2I        | 11/2 |                      |            | 11/2 |  12 - 12  |    |        |     L11762  |
W I       |         262.8255   |         262.8254   |      40 |             |      |   0.207090    -    4.923043   | 5d4.6s2          | 5D        | 1    |                      | *          | 2    |   3 - 5   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W IV      |         262.8534   |         262.8535   |      2w |             |      |   6.429870    -   11.145319   | 5d2.(1D).6s      | 2D        | 3/2  | 5d2.(3F).6p          | 4F*        | 3/2  |   4 - 4   |    |        |      L6352  |
W III     |         262.8686   |         262.8690   |      40 |             |      |   4.6828559   -    9.398027   | 5d3.(4F).6s      | 3F        | 4    |                      |            | 5    |   9 - 11  |    |        |     L10405  |
W I       |         262.889    |         262.8889   |      25 |             |      |   1.856810    -    6.571624   | 5d4.6s2          | 3D        | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
W II      |         262.89867  |         262.898699 |      27 |             |      |   1.66286849  -    6.3775071  | 5d3.6s2          | 4F        | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |     L11762  |
W II      |         262.90167  |         262.90191  |      6p |             |      |   3.4862913   -    8.2008722  | 5d4.(3P1).6s     | 4P        | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         262.9086   |         262.9079   |       7 |             |      |   2.352539    -    7.067012   | 5d5.(4G).6s      | 5G        | 3    |                      | *          | 2    |   7 - 5   |    |        |       L153  |
W I       |         262.9152   |         262.9152   |      15 |             |      |   1.507891    -    6.222234   | 5d4.6s2          | 3H        | 4    |                      | *          | 3    |   9 - 7   |    |        |       L153  |
W I       |         262.930    |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         262.94843  |         262.948441 |       7 |             |      |   2.36444684  -    7.0781936  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W II      |         263.01619  |         263.01629  |       6 |             |      |   2.85742958  -    7.5699604  |                  |           | 7/2  |                      |            | 9/2  |   8 - 10  |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         263.03765  |         263.037676 |      17 |             |      |   2.88074530  -    7.5928930  |                  |           | 9/2  |                      |            | 11/2 |  10 - 12  |    |        |     L11762  |
W II      |         263.05183  |         263.051803 |      12 |             |      |   1.66561239  -    6.3775071  |                  |           | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
W I       |         263.0568   |                    |       5 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         263.0742   |         263.0745   |      10 |             |      |   2.108785    -    6.820274   | 5d4.6s2          | 3H        | 6    |                      | *          | 5    |  13 - 11  |    |        |       L153  |
W II      |         263.09295  |         263.09297  |       3 |             |      |   3.0985624   -    7.8097198  |                  |           | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         263.1357   |         263.1361   |       7 |             |      |   2.911742    -    7.622127   | 5d4.6s2          | 1I        | 6    |                      | *          | 5    |  13 - 11  |    |        |       L153  |
W I       |         263.1780   |         263.1783   |      25 |             |      |   1.708218    -    6.417849   | 5d4.6s2          | 3F2       | 2    |                      | *          | 1    |   5 - 3   |    |        |       L153  |
W I       |         263.2344   |         263.2345   |       2 |             |      |   2.458116    -    7.166740   | 5d4.6s2          | 3G        | 5    |                      | *          | 4    |  11 - 9   |    |        |       L153  |
W I       |         263.2485   |         263.2486   |     35r |             |      |   1.507891    -    6.216264   | 5d4.6s2          | 3H        | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W I       |         263.2695   |         263.2697   |     80r |             |      |   0.365913    -    5.073908   | 5d5.(6S).6s      | 7S        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         263.27513  |         263.27497  |       4 |             |      |   2.7900103   -    7.4979111  | 5d4.(3D).6s      | 4D        | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |     L11762  |
W II      |         263.27683  |         263.276728 |       4 |             |      |   0.00000000  -    4.70786942 | 5d4.(5D).6s      | 6D        | 1/2  | 5d3.(4F).6s.(5F).6p  | 6G*        | 3/2  |   2 - 4   |    |        |     L11762  |
W II      |         263.31142  |         263.31121  |       4 |             |      |   1.87798579  -    6.5852388  | 5d4.(3H).6s      | 4H        | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |     L11762  |
W I       |         263.3129   |         263.3128   |    150r | 6.5e+07     | B    |   0.207090    -    4.914315   | 5d4.6s2          | 5D        | 1    |                      | *          | 1    |   3 - 3   |    |  T6977 |       L153  |
W I       |         263.342    |                    |       6 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         263.38787  |         263.387815 |      14 |             |      |   2.16190402  -    6.8677880  | 5d4.(3H).6s      | 4H        | 11/2 |                      |            | 9/2  |  12 - 10  |    |        |     L11762  |
W I       |         263.4012   |         263.4012   |      15 |             |      |   1.649870    -    6.355514   | 5d4.6s2          | 3P2       | 1    |                      | *          | 1    |   3 - 3   |    |        |       L153  |
W II      |         263.45715  |         263.45718  |      17 |             |      |   2.05232121  -    6.7569662  | 5d4.(3H).6s      | 4H        | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
W II      |         263.4768   |         263.47520  |      15 |             |      |   3.9103109   -    8.6146343  |                  |           | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |      L6520  |
W II      |         263.48565  |         263.48569  |       6 |             |      |   2.3545751   -    7.0587111  |                  |           | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         263.4864   |                    |      20 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         263.5205   |         263.5210   |       5 |             |      |   2.120999    -    6.824504   | 5d4.6s2          | 3F2       | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
W II      |         263.53683  |         263.53686  |      20 |             |      |   1.85576385  -    6.5589865  |                  |           | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W I       |         263.5618   |         263.5621   |      45 |             |      |   1.916797    -    6.619568   | 5d4.6s2          | 3D        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
W I       |         263.6326   |         263.6314   |       3 |             |      |   2.246202    -    6.947737   | 5d5.(4G).6s      | 5G        | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         263.6544   |         263.6546   |      30 | 5.6e+06     | B    |   0.365913    -    5.067036   | 5d5.(6S).6s      | 7S        | 3    |                      | *          | 2    |   7 - 5   |    |  T6977 |       L153  |
W I       |         263.6616   |         263.6613   |      12 |             |      |   1.708218    -    6.409221   | 5d4.6s2          | 3F2       | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
W II      |         263.67632  |         263.67618  |       2 |             |      |   1.08006032  -    5.7807980  | 5d3.6s2          | 4F        | 3/2  |                      |            | 1/2  |   4 - 2   |    |        |     L11762  |
W I       |         263.6885   |         263.6881   |       5 |             |      |   2.436108    -    7.136633   | 5d5.(4G).6s      | 5G        | 6    |                      | *          | 5    |  13 - 11  |    |        |       L153  |
W II      |         263.69330  |         263.69329  |      23 |             |      |   3.07537991  -    7.7758126  |                  |           | 7/2  | 5d3.(4P).6s.(5P).6p  | 6D*        | 9/2  |   8 - 10  |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         263.7085   |         263.7088   |       9 |             |      |   1.856810    -    6.556966   | 5d4.6s2          | 3D        | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
W I       |         263.7161   |         263.7151   |       5 |             |      |   2.786753    -    7.486797   | 5d5.(4D).6s      | 5D        | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
W II      |         263.71792  |         263.71820  |       2 |             |      |   3.4862913   -    8.1862802  | 5d4.(3P1).6s     | 4P        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W II      |         263.72078  |         263.72070  |       6 |             |      |   2.57643601  -    7.2763802  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W I       |         263.7406   |         263.7404   |      10 |             |      |   2.458319    -    7.157913   | 5d5.(4P).6s      | 5P        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         263.75615  |         263.75617  |      15 |             |      |   2.01284811  -    6.7121604  |                  |           | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |     L11762  |
W I       |         263.7576   |         263.7583   |      15 |             |      |   2.120999    -    6.820274   | 5d4.6s2          | 3F2       | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W I       |         263.8032   |         263.8034   |       6 |             |      |   2.194667    -    6.893137   | 5d4.6s2          | 3F2       | 3    |                      | *          | 4    |   7 - 9   |    |        |       L153  |
W II      |         263.81941  |         263.81945  |       5 |             |      |   3.51837210  -    8.2165571  |                  |           | 11/2 |                      |            | 9/2  |  12 - 10  |    |        |     L11762  |
W I       |         263.8615   |         263.8609   |     45* |             |      |   2.108785    -    6.806232   | 5d4.6s2          | 3H        | 6    |                      | *          | 6    |  13 - 13  |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         263.8615   |         263.8625   |     45* |             |      |   2.387469    -    7.084889   | 5d5.(4G).6s      | 5G        | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W I       |         263.8746   |         263.8745   |      30 |             |      |   1.916797    -    6.614001   | 5d4.6s2          | 3D        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
W I       |         263.920    |         263.9199   |       7 |             |      |   2.037223    -    6.733619   | 5d4.6s2          | 3G        | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W I       |         263.9406   |         263.9390   |       3 |             |      |   2.458116    -    7.154173   | 5d4.6s2          | 3G        | 5    |                      | *          | 6    |  11 - 13  |    |        |       L153  |
W II      |         263.9421   |         263.94174  |       3 |             |      |   2.90748125  -    7.6034897  | 5d4.(3D).6s      | 4D        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |      L6520  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         263.9896   |                    |      5w |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         264.0364   |         264.0360   |       6 |             |      |   2.532729    -    7.227061   | 5d5.(4P).6s      | 5P        | 1    |                      | *          | 1    |   3 - 3   |    |        |       L153  |
W I       |         264.0724   |         264.0721   |       8 |             |      |   2.352539    -    7.046229   | 5d5.(4G).6s      | 5G        | 3    |                      | *          | 4    |   7 - 9   |    |        |       L153  |
W II      |         264.10456  |         264.10453  |       5 |             |      |   2.74499290  -    7.4381070  | 5d4.(3F2).6s     | 4F        | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
W I       |         264.1116   |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         264.1581   |         264.1578   |       4 |             |      |   2.194667    -    6.886834   | 5d4.6s2          | 3F2       | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
W I       |         264.2024   |         264.2027   |      15 |             |      |   2.037223    -    6.728594   | 5d4.6s2          | 3G        | 4    |                      | *          | 3    |   9 - 7   |    |        |       L153  |
W I       |         264.2349   |         264.2351   |      12 |             |      |   1.655010    -    6.345806   | 5d4.6s2          | 3G        | 3    |                      | *          | 2    |   7 - 5   |    |        |       L153  |
W I       |         264.2681   |         264.2682   |      15 |             |      |   1.708218    -    6.398425   | 5d4.6s2          | 3F2       | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
W I       |         264.2758   |         264.2760   |       6 |             |      |   2.266491    -    6.956560   | 5d5.(6S).6s      | 5S        | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         264.2974   |         264.2973   |       3 |             |      |   1.916797    -    6.606488   | 5d4.6s2          | 3D        | 3    |                      | *          | 2    |   7 - 5   |    |        |       L153  |
W II      |         264.30713  |         264.307275 |       5 |             |      |   1.40114839  -    6.09066270 | 5d3.6s2          | 4F        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W I       |         264.3122   |         264.3120   |      25 |             |      |   1.708218    -    6.397649   | 5d4.6s2          | 3F2       | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
W II      |         264.32416  |         264.324138 |      11 |             |      |   2.88074530  -    7.5699604  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W II      |         264.32913  |         264.32911  |      13 |             |      |   1.66561239  -    6.3547392  |                  |           | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         264.3920   |                    |       2 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W I       |         264.4396   |         264.4393   |      20 |             |      |   2.120999    -    6.808172   | 5d4.6s2          | 3F2       | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
W I       |         264.4600   |         264.4598   |      30 | 7.3e+06     | B    |   0.771099    -    5.457908   | 5d4.6s2          | 5D        | 4    |                      | *          | 3    |   9 - 7   |    |  T6977 |       L153  |
W III     |         264.5068   |         264.5072   |      2d |             |      |   4.491509    -    9.177478   |                  |           | 3    |                      |            | 4    |   7 - 9   |    |        |     L10405  |
W I       |         264.5143   |         264.5142   |      20 |             |      |   2.120999    -    6.806844   | 5d4.6s2          | 3F2       | 4    |                      | *          | 3    |   9 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         264.51468  |         264.51466  |       4 |             |      |   2.74499290  -    7.4308307  | 5d4.(3F2).6s     | 4F        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W I       |         264.5302   |         264.5297   |       9 |             |      |   2.458319    -    7.143890   | 5d5.(4P).6s      | 5P        | 3    |                      | *          | 3    |   7 - 7   |    |        |       L153  |
W I       |         264.5692   |         264.5691   |      25 |             |      |   1.868433    -    6.553306   | 5d4.6s2          | 3H        | 5    |                      | *          | 6    |  11 - 13  |    |        |       L153  |
W I       |         264.6185   |         264.6186   |      70 |             |      |   0.412313    -    5.096311   | 5d4.6s2          | 5D        | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
W I       |         264.6365   |         264.6361   |       2 |             |      |   2.241985    -    6.925673   | 5d4.6s2          | 3D        | 1    |                      | *          | 1    |   3 - 3   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         264.6536   |         264.6538   |      15 |             |      |   0.000000    -    4.683374   | 5d4.6s2          | 5D        | 0    |                      | *          | 1    |   1 - 3   |    |        |       L153  |
W I       |         264.6730   |         264.6732   |      80 | 1.55e+07    | B    |   0.598844    -    5.281874   | 5d4.6s2          | 5D        | 3    |                      | *          | 3    |   7 - 7   |    |  T6977 |       L153  |
W I       |         264.7091   |         264.7090   |      60 |             |      |   0.771099    -    5.453496   | 5d4.6s2          | 5D        | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
