---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |    Rel. |     Aki     | Acc. |        Ei           Ek        |             Lower level             |               Upper level                |  gi   gk  |Type|    TP  |       Line  |
          |     Wavelength     |     Wavelength     |    Int. |   (s^-1)    |      |       (eV)         (eV)       |-------------------------------------|------------------------------------------|           |    |   Ref. |       Ref.  |
          |      Air (nm)      |      Air (nm)      |         |             |      |                               | Conf.            | Term      | J    | Conf.                | Term       | J    |           |    |        |             |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W III     |         200.6606   |         200.6609   |       2 |             |      |   3.3788831   -    9.555677   | 5d3.(4P).6s      | 5P        | 3    | 5d3.(4F).6p          | 3F*        | 3    |   7 - 7   |    |        |     L10405  |
W II      |         200.67114  |         200.67123  |       4 |             |      |   1.40114839  -    7.5776243  | 5d3.6s2          | 4F        | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |     L11762  |
W III     |         200.6729   |         200.6719   |      10 |             |      |   4.521368    -   10.697821   |                  |           | 4    |                      |            | 3    |   9 - 7   |    |        |     L10405  |
W I       |         200.693    |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W III     |         200.7104   |         200.7102   |     800 |             |      |   2.154895    -    8.330172   | 5d3.(4F).6s      | 5F        | 4    | 5d3.(4F).6p          | 5F*        | 3    |   9 - 7   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W III     |         200.7214   |         200.7212   |      1d |             |      |   4.521368    -   10.696305   |                  |           | 4    |                      |            | 4    |   9 - 9   |    |        |     L10405  |
W III     |         200.7313   |         200.7314   |     500 |             |      |   3.869765    -   10.044389   | 5d3.(2G).6s      | 3G        | 5    | 5d3.(2H).6p          | 3I*        | 6    |  11 - 13  |    |        |     L10405  |
W III     |         200.7622   |         200.7626   |     200 |             |      |   4.392637    -   10.566302   | 5d3.(2H).6s      | 3H        | 6    |                      |            | 5    |  13 - 11  |    |        |     L10405  |
W III     |         200.7836   |         200.7834   |     20d |             |      |   2.533311    -    8.706338   | 5d4              | 3G        | 4    | 5d3.(4F).6p          | 5F*        | 4    |   9 - 9   |    |        |     L10405  |
W II      |         200.80172  |         200.80168  |       4 |             |      |   2.38997283  -    8.5624368  |                  |           | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         200.809551 |         200.809542 |      50 |             |      |   0.58474394  -    6.7569662  | 5d4.(5D).6s      | 6D        | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |     L11762  |
W III     |         200.8186   |         200.8187   |      1d |             |      |   6.517610    -   12.689551   | 5d3.(2F).6s      | 1F        | 3    | 5d2.(3P).6s.6p.(3P*) | 5D*        | 3    |   7 - 7   |    |        |     L10405  |
W I       |         200.863    |         200.8651   |       1 |             |      |   0.771099    -    6.941615   | 5d4.6s2          | 5D        | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W I       |         200.891    |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W II      |         200.9375   |         200.93757  |       5 |             |      |   2.97008472  -    9.1383749  |                  |           | 11/2 |                      |            | 9/2  |  12 - 10  |    |        |      L6520  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W III     |         200.9695   |         200.9693   |       5 |             |      |   5.283704    -   11.451021   | 5d3.(2F).6s      | 3F        | 3    | 5d2.(3F).6s.6p.(3P*) | 5D*        | 2    |   7 - 5   |    |        |     L10405  |
W II      |         200.99828  |         200.99824  |      10 |             |      |   0.18831079  -    6.3547392  | 5d4.(5D).6s      | 6D        | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |     L11762  |
W II      |         201.02363  |         201.023627 |      16 |             |      |   0.39333652  -    6.5589865  | 5d4.(5D).6s      | 6D        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |     L11762  |
W III     |         201.1250   |         201.1251   |      30 |             |      |   3.659023    -    9.821562   | 5d3.(2P).6s      | 3P        | 0    | 5d3.(4P).6p          | 5P*        | 1    |   1 - 3   |    |        |     L10405  |
W II      |         201.13941  |         201.13939  |       2 |             |      |   1.66561239  -    7.8277142  |                  |           | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W III     |         201.1659   |         201.1663   |     60d |             |      |   3.479362    -    9.640639   | 5d3.(4F).6s      | 3F        | 2    | 5d2.(3F).6s.6p.(3P*) | 5G*        | 2    |   5 - 5   |    |        |     L10405  |
W IV      |         201.2216   |         201.2218   |     200 |             |      |   7.073305    -   13.232883   | 5d2.(1G).6s      | 2G        | 9/2  | 5d2.(3F).6p          | 2G*        | 7/2  |  10 - 8   |    |        |      L6352  |
W II      |         201.28758  |         201.28761  |       3 |             |      |   2.36444684  -    8.5220120  |                  |           | 9/2  |                      |            | 9/2  |  10 - 10  |    |        |     L11762  |
W II      |         201.3063   |         201.30598  |      15 |             |      |   0.58474394  -    6.7417472  | 5d4.(5D).6s      | 6D        | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |      L6520  |
W II      |         201.37609  |         201.37599  |       3 |             |      |   3.07537991  -    9.2302430  |                  |           | 7/2  |                      |            | 9/2  |   8 - 10  |    |        |     L11762  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         201.42381  |         201.423792 |      19 |             |      |   0.39333652  -    6.5467391  | 5d4.(5D).6s      | 6D        | 5/2  |                      |            | 3/2  |   6 - 4   |    |        |     L11762  |
W II      |         201.44296  |         201.442941 |       9 |             |      |   1.08006032  -    7.2328780  | 5d3.6s2          | 4F        | 3/2  |                      |            | 5/2  |   4 - 6   |    |        |     L11762  |
W II      |         201.4512   |         201.45101  |       9 |             |      |   2.95128289  -    9.1038542  |                  |           | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |      L6520  |
W IV      |         201.4618   |         201.4613   |     100 |             |      |   5.359143    -   11.511401   | 5d2.(3F).6s      | 4F        | 9/2  | 5d2.(3F).6p          | 4G*        | 7/2  |  10 - 8   |    |        |      L6352  |
W I       |         201.472    |         201.4749   |       1 |             |      |   0.412313    -    6.564155   | 5d4.6s2          | 5D        | 2    |                      | *          | 3    |   5 - 7   |    |        |       L153  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
