-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
4d4.5s.(4G).5p      | w 3G*  |   4 |    9 |        6.1822766   |                    |    1.054 |          
                    |        |   5 |   11 |        6.2774925   |                    |    1.123 |          
                    |        |     |      |                    |                    |          |           
                    | 31*    |   2 |    5 |        6.184389?   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | v 5P*  |   3 |    7 |        6.1991572   |                    |    1.72  |          
                    |        |   1 |    3 |        6.2132324   |                    |    2.52  |          
                    |        |   2 |    5 |        6.329344?   |                    |    1.61  |          
                    |        |     |      |                    |                    |          |           
4d5.(2I).5p         | z 3K*  |   7 |   15 |        6.2335314   |                    |    1.046 |          
                    |        |   6 |   13 |        6.2730899   |                    |    0.968 |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).6d         | g 7D   |   4 |    9 |        6.2393047   |                    |          |          
                    |        |   5 |   11 |        6.2443702   |                    |          |          
                    |        |   3 |    7 |        6.245300?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 32*    |   2 |    5 |        6.2590150   |                    |    1.07  |          
                    |        |     |      |                    |                    |          |           
                    | 33*    |   4 |    9 |        6.2767144   |                    |    1.23  |          
                    |        |     |      |                    |                    |          |           
                    | 34*    |   3 |    7 |        6.2822752   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 35*    |   2 |    5 |        6.294643?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 36*    |   4 |    9 |        6.294693?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 37*    |   5 |   11 |        6.2985901   |                    |    1.083 |          
                    |        |     |      |                    |                    |          |           
                    | 38*    |   2 |    5 |        6.3139575   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4H).5p      | w 3H*  |   4 |    9 |        6.3174593   |                    |    0.937 |          
                    |        |   5 |   11 |        6.4166018   |                    |    1.059 |          
                    |        |     |      |                    |                    |          |           
                    | 39*    |   1 |    3 |        6.331915?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 39.1*  |   6 |   13 |        6.3377260   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 40*    |   1 |    3 |        6.343660?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 41*    |   4 |    9 |        6.3522179   |                    |    1.26  |          
                    |        |     |      |                    |                    |          |           
                    | 41.1*  |   3 |    7 |        6.3634219   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 42*    |   2 |    5 |        6.3733715   |                    |    1.675 |          
                    |        |     |      |                    |                    |          |           
                    | 42.1*  |   3 |    7 |        6.3936866   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 43*    |   4 |    9 |        6.3957636   |                    |    1.040 |          
                    |        |     |      |                    |                    |          |           
                    | 43.1*  |   5 |   11 |        6.4003829   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 44*    |   2 |    5 |        6.4069084   |                    |    1.146 |          
                    |        |     |      |                    |                    |          |           
                    | 45*    |   3 |    7 |        6.4234818   |                    |    0.88  |          
                    |        |     |      |                    |                    |          |           
                    | 46*    |   6 |   13 |        6.4293512   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 47*    |   4 |    9 |        6.4296675   |                    |    1.258 |          
                    |        |     |      |                    |                    |          |           
                    | 48*    |   1 |    3 |        6.4317960   |                    |    0.87  |          
                    |        |     |      |                    |                    |          |           
                    | 49*    |   3 |    7 |        6.4328520   |                    |    1.13  |          
                    |        |     |      |                    |                    |          |           
                    | 50*    |   2 |    5 |        6.4337029   |                    |    0.56  |          
                    |        |     |      |                    |                    |          |           
                    | 50.1*  |   3 |    7 |        6.4525565   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 51*    |   4 |    9 |        6.4577468   |                    |    1.266 |          
                    |        |     |      |                    |                    |          |           
                    | 52*    |   2 |    5 |        6.4580886   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 53*    |   3 |    7 |        6.4639779   |                    |    0.91  |          
                    |        |     |      |                    |                    |          |           
                    | 54*    |   3 |    7 |        6.4697332   |                    |    1.34  |          
                    |        |     |      |                    |                    |          |           
                    | 54.1*  |   2 |    5 |        6.4830025   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 55*    |   4 |    9 |        6.4973622   |                    |    1.16  |          
                    |        |     |      |                    |                    |          |           
                    | 56*    |   2 |    5 |        6.501876?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 57*    |   5 |   11 |        6.501896?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 58*    |   2 |    5 |        6.5021665   |                    |    1.12  |          
                    |        |     |      |                    |                    |          |           
                    | 59*    |   5 |   11 |        6.5048787   |                    |    1.088 |          
                    |        |     |      |                    |                    |          |           
                    | 59.1*  |   3 |    7 |        6.5059117   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).6s      | f 5D   |   4 |    9 |        6.506393?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 60*    |   4 |    9 |        6.5190068   |                    |    1.055 |          
                    |        |     |      |                    |                    |          |           
                    | 61*    |   5 |   11 |        6.5299030   |                    |    1.18  |          
                    |        |     |      |                    |                    |          |           
                    | 62*    |   2 |    5 |        6.5389863   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 63*    |   1 |    3 |        6.539786?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 63.1*  |   6 |   13 |        6.5442338   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 64*    |   3 |    7 |        6.5590306   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 65*    |   1 |    3 |        6.5638819   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 66*    |   2 |    5 |        6.5667690   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 67*    |   4 |    9 |        6.5718622   |                    |    1.35  |          
                    |        |     |      |                    |                    |          |           
                    | 67.1*  |   4 |    9 |        6.5846490   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 68*    |   5 |   11 |        6.585073?   |                    |    1.40  |          
                    |        |     |      |                    |                    |          |           
                    | 69*    |   6 |   13 |        6.5940082   |                    |    1.04  |          
                    |        |     |      |                    |                    |          |           
                    | 70*    |   5 |   11 |        6.5956934   |                    |    1.324 |          
                    |        |     |      |                    |                    |          |           
                    | 71*    |   3 |    7 |        6.5992821   |                    |    1.01  |          
                    |        |     |      |                    |                    |          |           
                    | 72*    |   6 |   13 |        6.6072014   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 73*    |   3 |    7 |        6.6090608   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 74*    |   5 |   11 |        6.6117507   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 75*    |   4 |    9 |        6.6305260   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 76*    |   1 |    3 |        6.6310292   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 77*    |   2 |    5 |        6.6441487   |                    |    1.43  |          
                    |        |     |      |                    |                    |          |           
                    | 78*    |   3 |    7 |        6.6449467   |                    |    1.18  |          
                    |        |     |      |                    |                    |          |           
                    | 79*    |   7 |   15 |        6.6501070   |                    |    1.125 |          
                    |        |     |      |                    |                    |          |           
                    | 80*    |   3 |    7 |        6.6509779   |                    |    1.37  |          
                    |        |     |      |                    |                    |          |           
                    | 81*    |   3 |    7 |        6.6623949   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 82*    |   4 |    9 |        6.6703969   |                    |    1.49  |          
                    |        |     |      |                    |                    |          |           
                    | 83*    |   4 |    9 |        6.6771812   |                    |    1.17  |          
                    |        |     |      |                    |                    |          |           
                    | 84*    |   5 |   11 |        6.6874217   |                    |    1.14  |          
                    |        |     |      |                    |                    |          |           
                    | 85*    |   4 |    9 |        6.6907310   |                    |    1.016 |          
                    |        |     |      |                    |                    |          |           
                    | 86*    |   1 |    3 |        6.718002?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 87*    |   4 |    9 |        6.7313701   |                    |    1.04  |          
                    |        |     |      |                    |                    |          |           
                    | 88*    |   1 |    3 |        6.737425?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 89*    |   2 |    5 |        6.7376533   |                    |    1.48  |          
                    |        |     |      |                    |                    |          |           
                    | 90*    |   1 |    3 |        6.7609981   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 91*    |   1 |    3 |        6.7660426   |                    |    0.75  |          
                    |        |     |      |                    |                    |          |           
                    | 92*    |   5 |   11 |        6.7824917   |                    |    0.911 |          
                    |        |     |      |                    |                    |          |           
                    | 93*    |   7 |   15 |        6.7867112   |                    |    1.10  |          
                    |        |     |      |                    |                    |          |           
                    | 94*    |   3 |    7 |        6.7991980   |                    |    0.31  |          
                    |        |     |      |                    |                    |          |           
                    | 95*    |   3 |    7 |        6.8053646   |                    |    0.84  |          
                    |        |     |      |                    |                    |          |           
                    | 96*    |   4 |    9 |        6.8223159   |                    |    1.050 |          
                    |        |     |      |                    |                    |          |           
                    | 97*    |   6 |   13 |        6.8364522   |                    |    0.968 |          
                    |        |     |      |                    |                    |          |           
                    | 98*    |   3 |    7 |        6.859748?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 99*    |   3 |    7 |        6.8628623   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 100*   |   5 |   11 |        6.8671573   |                    |    1.12  |          
                    |        |     |      |                    |                    |          |           
                    | 101*   |   4 |    9 |        6.8848182   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 102*   |   4 |    9 |        6.9316676   |                    |    1.09  |          
                    |        |     |      |                    |                    |          |           
                    | 103*   |   5 |   11 |        6.9401212   |                    |    1.10  |          
                    |        |     |      |                    |                    |          |           
4d5.(2H).5p         | y 1H*  |   5 |   11 |        6.9631767   |                    |    0.96  |          
                    |        |     |      |                    |                    |          |           
                    | 104*   |   3 |    7 |        6.990327?   |                    |    0.03  |          
                    |        |     |      |                    |                    |          |           
4d5.(2H).5p         | z 1I*  |   6 |   13 |        7.0319625   |                    |    1.00  |          
                    |        |     |      |                    |                    |          |           
                    | 105*   |   6 |   13 |        7.0535515   |                    |    1.21  |          
                    |        |     |      |                    |                    |          |           
                    | 106*   |   4 |    9 |        7.0603778   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 107*   |   5 |   11 |        7.0708168   |                    |    0.98  |          
                    |        |     |      |                    |                    |          |           
                    | 108*   |   3 |    7 |        7.084985?   |                    |          |          
--------------------|--------|-----|------|--------------------|--------------------|----------|-----------
--------------------|--------|-----|------|--------------------|--------------------|----------|-----------
Mo II (4d5 6S<5/2>) | Limit  | --- |      |        7.09243     |           0.00004  |          |     L6829
                    |        |     |      |                    |                    |          |           
                    | 109*   |   4 |    9 |        7.168533    |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 110*   |   4 |    9 |        7.202254    |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 111*   |   3 |    7 |        7.214990    |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 112*   |   6 |   13 |        7.256263    |                    |    1.15  |          
                    |        |     |      |                    |                    |          |           
                    | 113*   |   5 |   11 |        7.314897    |                    |    0.88  |          
                    |        |     |      |                    |                    |          |           
                    | 114*   |   3 |    7 |        7.344401    |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 115*   |   2 |    5 |        7.346034    |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 116*   |   5 |   11 |        7.369200    |                    |    1.07  |          
                    |        |     |      |                    |                    |          |           
                    | 117*   |   5 |   11 |        7.390991    |                    |    1.09  |          
                    |        |     |      |                    |                    |          |           
                    | 118*   |   5 |   11 |        7.419352    |                    |    0.930 |          
                    |        |     |      |                    |                    |          |           
                    | 119*   |   6 |   13 |        7.462857    |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 120*   |   7 |   15 |        7.621372    |                    |          |          
-----------------------------------------------------------------------------------------------------------
