-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
                    |        |   2 |    5 |        3.5752817   |                    |    1.831 |          
                    |        |   3 |    7 |        3.5860778   |                    |    1.668 |          
                    |        |     |      |                    |                    |          |           
4d5.(4F).5s         | c 3F   |   2 |    5 |        3.6751382   |                    |    1.02  |          
                    |        |   3 |    7 |        3.7393116   |                    |    1.089 |          
                    |        |   4 |    9 |        3.7817590   |                    |    1.111 |          
                    |        |     |      |                    |                    |          |           
4d5.(2H).5s         | b 3H   |   4 |    9 |        3.6999548   |                    |    0.864 |          
                    |        |   5 |   11 |        3.7172587   |                    |    1.091 |          
                    |        |   6 |   13 |        3.7335549   |                    |    1.12  |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).5p      | z 7D*  |   1 |    3 |        3.8244890   |                    |    2.894 |          
                    |        |   2 |    5 |        3.8627196   |                    |    2.034 |          
                    |        |   3 |    7 |        3.9246932   |                    |    1.744 |          
                    |        |   4 |    9 |        3.9827602   |                    |    1.658 |          
                    |        |   5 |   11 |        4.0433524   |                    |    1.568 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).5p      | y 7P*  |   2 |    5 |        3.8806900   |                    |    2.273 |          
                    |        |   3 |    7 |        3.9096192   |                    |    1.84  |          
                    |        |   4 |    9 |        3.9567289   |                    |    1.73  |          
                    |        |     |      |                    |                    |          |           
4d4.5s2             | b 1I   |   6 |   13 |        3.9035947   |                    |    1.028 |          
                    |        |     |      |                    |                    |          |           
4d5.(2G).5s         | c 3G   |   4 |    9 |        3.9068114   |                    |          |          
                    |        |   5 |   11 |        4.0020885   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(2G).5s         | b 1G   |   4 |    9 |        4.0528289   |                    |    0.960 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).5p      | y 5P*  |   1 |    3 |        4.0789241   |                    |    2.550 |          
                    |        |   2 |    5 |        4.1285534   |                    |    1.838 |          
                    |        |   3 |    7 |        4.2098847   |                    |    1.659 |          
                    |        |     |      |                    |                    |          |           
