------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Leading percentages             | Reference
                     |        |   4 |    9 |        17.30709     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.6g                | 1G     |   4 |    9 |        17.30709     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7p                | 1P*    |   1 |    3 |        17.347742    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7p                | 3P*    |   0 |    1 |        17.36895     |                    |                                 |          
                     |        |   1 |    3 |        17.36918     |                    |                                 |          
                     |        |   2 |    5 |        17.36965     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3p.3d                | 3F*    |   2 |    5 |        17.492297    |                    |  32         :    24  3s.6f 3F*  |          
                     |        |   3 |    7 |        17.495418    |                    |  32         :    24  3s.6f 3F*  |          
                     |        |   4 |    9 |        17.499508    |                    |  32         :    24  3s.6f 3F*  |          
                     |        |     |      |                     |                    |                                 |           
3s.8s                | 3S     |   1 |    3 |        17.628438    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8s                | 1S     |   0 |    1 |        17.650770    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7d                | 3D     |   1 |    3 |        17.651077    |                    |                                 |          
                     |        |   2 |    5 |        17.651096    |                    |                                 |          
                     |        |   3 |    7 |        17.651132    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7f                | 1F*    |   3 |    7 |        17.680649    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7d                | 1D     |   2 |    5 |        17.681296    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7g                | 3G     |   3 |    7 |        17.71134     |                    |                                 |          
                     |        |   4 |    9 |        17.71134     |                    |                                 |          
                     |        |   5 |   11 |        17.71134     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7g                | 1G     |   4 |    9 |        17.71134     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8p                | 1P*    |   1 |    3 |        17.724930    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8p                | 3P*    |   0 |    1 |        17.75025     |                    |                                 |          
                     |        |   1 |    3 |        17.750416    |                    |                                 |          
                     |        |   2 |    5 |        17.750823    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.7f                | 3F*    |   2 |    5 |        17.762699    |                    |  65         :    29  3p.3d 3F*  |          
                     |        |   3 |    7 |        17.763571    |                    |  65         :    29  3p.3d 3F*  |          
                     |        |   4 |    9 |        17.764921    |                    |  65         :    29  3p.3d 3F*  |          
                     |        |     |      |                     |                    |                                 |           
3s.9s                | 3S     |   1 |    3 |        17.919107    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8d                | 3D     |   1 |    3 |        17.93332     |                    |                                 |          
                     |        |   2 |    5 |        17.933345    |                    |                                 |          
                     |        |   3 |    7 |        17.933378    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9s                | 1S     |   0 |    1 |        17.933588    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8d                | 1D     |   2 |    5 |        17.950709    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8f                | 1F*    |   3 |    7 |        17.950984    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9p                | 1P*    |   1 |    3 |        17.970406    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8g                | 3G     |   4 |    9 |        17.97363     |                    |                                 |          
                     |        |   3 |    7 |        17.97363     |                    |                                 |          
                     |        |   5 |   11 |        17.97363     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8g                | 1G     |   4 |    9 |        17.97363     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8h                | 3H*    |   4 |    9 |        17.97674     |                    |                                 |          
                     |        |   6 |   13 |        17.97674     |                    |                                 |          
                     |        |   5 |   11 |        17.97674     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8h                | 1H*    |   5 |   11 |        17.97674     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.8f                | 3F*    |   2 |    5 |        17.993766    |                    |  82         :    11  3s.7f 3F*  |          
                     |        |   3 |    7 |        17.994066    |                    |  82         :    11  3s.7f 3F*  |          
                     |        |   4 |    9 |        17.994485    |                    |  82         :    11  3s.7f 3F*  |          
                     |        |     |      |                     |                    |                                 |           
3s.9p                | 3P*    |   0 |    1 |        17.995790    |                    |                                 |          
