--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
                           |             |   4 |    9 |          7.1394636             |                    |  98                  :     1  3p.3d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5p                  | 3S          |   1 |    3 |          7.1342886             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5p                  | 1D          |   2 |    5 |          7.1660476             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5p                  | 1S          |   0 |    1 |          7.2297243             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).4f       | 2[5/2]      |   3 |    7 |          7.2870929             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.2872272             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).4f       | 2[7/2]      |   3 |    7 |          7.2886417             |                    |                                           |     L5815
                           |             |   4 |    9 |          7.2888922             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4d                  | 1P*         |   1 |    3 |          7.2904604             |                    |  86                  :     6  3p.6s  1P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4d                  | 1F*         |   3 |    7 |          7.301851              |                    |  89                  :     5  3p.5d  1F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4d                  | 3D*         |   2 |    5 |          7.319059              |                    |  89  3p.nd           :     5  3s.3p3 3D*  |     L5815
                           |             |   1 |    3 |          7.3220738             |                    |  89  3p.nd           :     5  3s.3p3 3D*  |     L5815
                           |             |   3 |    7 |          7.329702              |                    |  89  3p.nd           :     5  3s.3p3 3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).4f       | 2[7/2]      |   3 |    7 |          7.3194057             |                    |                                           |     L5815
                           |             |   4 |    9 |          7.3196605             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).4f       | 2[5/2]      |   3 |    7 |          7.3287009             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.3288166             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).4f       | 2[9/2]      |   5 |   11 |          7.330987              |                    |                                           |     L5815
                           |             |   4 |    9 |          7.3314227             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).4f       | 2[3/2]      |   1 |    3 |          7.338682              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.3387576             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).6s<1/2>  | (1/2,1/2)*  |   0 |    1 |          7.342482              |                    |  99  3P*             :     1  3p.4d  3P*  |     L5815
                           |             |   1 |    3 |          7.3489867             |                    |  86  3P*             :    11  3p.6s  1P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6s<1/2>  | (3/2,1/2)*  |   2 |    5 |          7.3778482             |                    |  95  3P*             :     2  3p.4d  3P*  |     L5815
                           |             |   1 |    3 |          7.3940044             |                    |  79  1P*             :    12  3p.6s  3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
