--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
3s2.3p.(2P*<3/2>).9d<3/2>  | (3/2,3/2)*  |   1 |    3 |          8.021711              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.022178              |                    |  99  3P*             :     1  3s.3p3 3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).11s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.023396              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.024738              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.029044              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.033609              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.033626              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).11d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.038230              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.041055              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).13s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.041520              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.041742              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.044275              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.048638              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).10d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.049073              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.049546              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.052022              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).10d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.052293              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.053094              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).12s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.054221              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.054924              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.054637              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.056787              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).12d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.056793              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).14s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.058987              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.059241              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.062110              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.065894              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).13d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.070386              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.071294              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.071684              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).15s<1/2> | (1/2,1/2)*  |   1 |    3 |          8.072455              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.072545              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).11d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.073444              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.073560              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.074503              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).11d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.075745              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.076110              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).13s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.077092              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.077778              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.077910              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.080133              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.081005              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).14d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.081816              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).16s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.083375              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.083519              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.084232              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.087068              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.087639              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).15d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.090627              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.091002              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.091064              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).12d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.091395              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.091818              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).17s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.092120              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.092300              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.092747              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).12d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.093469              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.093701              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).14s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.094561              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.095085              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.095552              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.097073              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.097629              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).16d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.098223              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).18s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.099228              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.099369              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.099935              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.102305              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.102333              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).17d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.104233              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.104628              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.104840              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).19s<1/2> | (1/2,1/2)*  |   1 |    3 |          8.105194              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.105217              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).13d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.105841              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.105986              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.106357              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).13d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.107198              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.107437              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.107812              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).15s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.108161              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.108517              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.108844              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.109453              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).18d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.109524              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).20s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.110225              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.11030               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.111436              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.112675              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.112679              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).19d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.113765              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.114276              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).21s<1/2> | (1/2,1/2)*  |   0 |    1 |          8.114450              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.11447               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.115166              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.116033              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).14d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.11700               |                    |                                           |     L5815
                           |             |   3 |    7 |          8.117435              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.117218              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.11733               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).20d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.11749               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.118281              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).14d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.118281              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.118379              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).16s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.118976              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.119312              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.119527              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.120227              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.120542              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).21d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.120706              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.121809              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.12274               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.12274               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).22d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.123436              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.123771              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.124460              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.12493               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).23d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.125890              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.125901              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.125923              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).15d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.126073              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.126299              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.126579              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).15d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.127046              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.127205              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.127304              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).17s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.127722              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.128075              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.127756              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).24d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.127870              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.128041              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.129028              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.129499              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.129586              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).25d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.129811              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13038               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |         [8.13097]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |         [8.13100]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).26d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.13148               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.131665              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.132131              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.132386              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).27d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.132894              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.132998              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.133082              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13360               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).16d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.13360               |                    |                                           |     L5815
                           |             |   3 |    7 |          8.133691              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.134053              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.134177              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).16d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.134410              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.134433              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).28d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.134410              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |         [8.13449]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).18s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.134881              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.135093              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |         [8.13501]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.135299              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).29d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.13538               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.135451              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13604               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.136330              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.136374              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).30d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.13649               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13687               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13719               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.13719               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).31d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.137473              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13764               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13796               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |         [8.13806]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).32d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.138343              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.13841               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.138669              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.138822              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).33d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.13914               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.139189              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.139244              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.139556              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).17d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.139724              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.139859              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.139834              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.139859              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).34d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.13986               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.140077              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).17d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.14034               |                    |                                           |     L5815
                           |             |   0 |    1 |          8.140460              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.140347              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.140493              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).35d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.14055               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |         [8.14063]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).19s<1/2> | (3/2,1/2)*  |   2 |    5 |          8.140835              |                    |                                           |     L5815
                           |             |   1 |    3 |          8.141050              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.14091               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.141050              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).36d<3/2> | (1/2,3/2)*  |   1 |    3 |         [8.14114]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.141150              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |         [8.14147]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.14165               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.14170               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).37d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.141703              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.14202               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.142130              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.142155              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).38d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.14222               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.142412              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |         [8.14259]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).39d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.142699              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.14303               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).40d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.143157              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |         [8.14342]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).41d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.14355               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |         [8.14374]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).42d<3/2> | (1/2,3/2)*  |   1 |    3 |         [8.14393]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
