-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |    Aki     | Acc. |         Ei           Ek         |                 Lower level                  |                  Upper level                  |  gi   gk  |   Type|                                      TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)   |      |        (eV)         (eV)        |----------------------------------------------|-----------------------------------------------|           |       |                                     Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |       |            |      |                                 | Conf.                     | Term       | J   | Conf.                     | Term       | J    |           |       |                                          |         |
Si XIII   |                 |          2.2321 |       | 8.26e+08   | B    | [1853.534]     -  [2409.0014]   | 1s.2p                     | 3P*        | 0   | 1s.9s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.2330 |       | 2.47e+09   | B    | [1853.7553]    -  [2409.0014]   | 1s.2p                     | 3P*        | 1   | 1s.9s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.2356 |       | 2.42e+10   | B+   | [1854.6490]    -  [2409.2488]   | 1s.2s                     | 1S         | 0   | 1s.9p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.2365 |       | 4.11e+09   | B    | [1854.6413]    -  [2409.0014]   | 1s.2p                     | 3P*        | 2   | 1s.9s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.2498 |       | 5.35e+10   | B    | [1839.4227]    -  [2390.5101]   | 1s.2s                     | 3S         | 1   | 1s.7p                     | 3P*        | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.2499 |       | 5.35e+10   | C+   | [1839.4227]    -  [2390.4895]   | 1s.2s                     | 3S         | 1   | 1s.7p                     | 3P*        | 1    |   3 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.2499 |       | 5.34e+10   | C+   | [1839.4227]    -  [2390.4842]   | 1s.2s                     | 3S         | 1   | 1s.7p                     | 3P*        | 0    |   3 - 1   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.2560 |       | 5.23e+09   | B    | [1864.975]     -  [2414.560]    | 1s.2p                     | 1P*        | 1   | 1s.10s                    | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.2632 |       | 1.18e+09   | C    | [1853.534]     -  [2401.3589]   | 1s.2p                     | 3P*        | 0   | 1s.8s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.2641 |       | 3.54e+09   | C    | [1853.7553]    -  [2401.3589]   | 1s.2p                     | 3P*        | 1   | 1s.8s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.2664 |       | 3.45e+10   | C+   | [1854.6490]    -  [2401.7119]   | 1s.2s                     | 1S         | 0   | 1s.8p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.2678 |       | 5.86e+09   | C+   | [1854.6413]    -  [2401.3589]   | 1s.2p                     | 3P*        | 2   | 1s.8s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
