-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |    Aki     | Acc. |         Ei           Ek         |                 Lower level                  |                  Upper level                  |  gi   gk  |   Type|                                      TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)   |      |        (eV)         (eV)        |----------------------------------------------|-----------------------------------------------|           |       |                                     Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |       |            |      |                                 | Conf.                     | Term       | J   | Conf.                     | Term       | J    |           |       |                                          |         |
Si VII    |                 |          7.2000 |       | 4.24e+09   | C    |     5.77392    -    177.974     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2D*).3d          | 3P*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VIII   |                 |          7.2216 |       | 2.17e+09   | E    |     8.57575    -    180.26      | 2s2.2p3                   | 2D*        | 3/2 | 2s2.2p2.(3P).3s           | 2P         | 3/2  |   4 - 4   |       |                                      c69 |         |
Si VIII   |                 |          7.2229 |       | 8.88e+10   | B    |     8.60705    -    180.26      | 2s2.2p3                   | 2D*        | 5/2 | 2s2.2p2.(3P).3s           | 2P         | 3/2  |   6 - 4   |       |                                      c69 |         |
Si VIII   |                 |          7.2317 |       | 1.96e+10   | C    |    13.0615     -    184.507     | 2s2.2p3                   | 2P*        | 1/2 | 2s2.2p2.(1D).3s           | 2D         | 3/2  |   2 - 4   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          7.2324 |       | 1.87e+11   | B+   |     5.77392    -    177.203     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2D*).3d          | 1P*        | 1    |   5 - 3   |       |                                      c69 |         |
Si VIII   |                 |          7.2345 |       | 1.40e+10   | D    |    13.129      -    184.507     | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(1D).3s           | 2D         | 3/2  |   4 - 4   |       |                                      c69 |         |
Si VII    |                 |          7.2384 |       | 9.18e+07   | D    |     5.77392    -    177.061     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2D*).3d          | 3D*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VII    |                 |          7.2388 |       | 3.57e+08   | D    |     5.77392    -    177.052     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2D*).3d          | 3D*        | 3    |   5 - 7   |       |                                      c69 |         |
Si VIII   |                 |          7.2421 |       | 1.06e+11   | B    |     8.57575    -    179.776     | 2s2.2p3                   | 2D*        | 3/2 | 2s2.2p2.(3P).3s           | 2P         | 1/2  |   4 - 2   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VIII   |                 |          7.2421 |       | 2.38e+10   | C    |    13.129      -    184.329     | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(1D).3s           | 2D         | 5/2  |   4 - 6   |       |                                      c69 |         |
Si VII    |                 |          7.2491 |       | 1.87e+09   | D+   |     5.77392    -    176.808     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2D*).3d          | 3F*?       | 2    |   5 - 5   |       |                                      c69 |         |
Si VI     |                 |          7.2896 |       | 8.24e+09   | D    |     0.0000     -    170.084?    | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).4s           | 2D         | 5/2  |   4 - 6   |       |                                    T7089 |         |
Si XIII   |                 |          7.3100 |       | 4.64e+10   | A    | [2175.5178]    -  [2345.1263]   | 1s.3s                     | 3S         | 1   | 1s.5p                     | 3P*        | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si VII    |                 |          7.3123 |       | 2.17e+11   | B+   |     0.00000    -    169.556     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(4S*).3d          | 3D*        | 3    |   5 - 7   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          7.3125 |       | 4.63e+10   | B+   | [2175.5178]    -  [2345.0696]   | 1s.3s                     | 3S         | 1   | 1s.5p                     | 3P*        | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.3131 |       | 4.64e+10   | B+   | [2175.5178]    -  [2345.0550]   | 1s.3s                     | 3S         | 1   | 1s.5p                     | 3P*        | 0    |   3 - 1   |       |                               T5231c4,LS |         |
Si VII    |                 |          7.3134 |       | 5.59e+10   | B+   |     0.00000    -    169.531     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(4S*).3d          | 3D*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VII    |                 |          7.3134 |       | 6.21e+09   | B    |     0.00000    -    169.531     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(4S*).3d          | 3D*        | 1    |   5 - 3   |       |                                      c69 |         |
Si VIII   |                 |          7.3155 |       | 9.63e+06   | D    |     8.57575    -    178.056     | 2s2.2p3                   | 2D*        | 3/2 | 2s2.2p2.(3P).3s           | 4P         | 5/2  |   4 - 6   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VIII   |                 |          7.3169 |       | 1.95e+08   | C    |     8.60705    -    178.056     | 2s2.2p3                   | 2D*        | 5/2 | 2s2.2p2.(3P).3s           | 4P         | 5/2  |   6 - 6   |       |                                      c69 |         |
Si VIII   |                 |          7.3330 |       | 1.07e+08   | D    |     8.57575    -    177.653     | 2s2.2p3                   | 2D*        | 3/2 | 2s2.2p2.(3P).3s           | 4P         | 3/2  |   4 - 4   |       |                                      c69 |         |
Si VIII   |                 |          7.3343 |       | 3.22e+08   | C    |     8.60705    -    177.653     | 2s2.2p3                   | 2D*        | 5/2 | 2s2.2p2.(3P).3s           | 4P         | 3/2  |   6 - 4   |       |                                      c69 |         |
Si VII    |                 |          7.3350 |       | 1.54e+11   | B+   |     0.500      -    169.531     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(4S*).3d          | 3D*        | 2    |   3 - 5   |       |                                      c69 |         |
Si VII    |                 |          7.3350 |       | 8.83e+10   | B+   |     0.500      -    169.531     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(4S*).3d          | 3D*        | 1    |   3 - 3   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          7.3432 |       | 1.15e+11   | B+   |     0.6900     -    169.531     | 2s2.2p4                   | 3P         | 0   | 2s2.2p3.(4S*).3d          | 3D*        | 1    |   1 - 3   |       |                                      c69 |         |
Si VII    |                 |          7.3447 |       | 1.65e+09   | C    |    12.3167     -    181.124     | 2s2.2p4                   | 1S         | 0   | 2s2.2p3.(2P*).3d          | 3P*        | 1    |   1 - 3   |       |                                      c69 |         |
Si VIII   |                 |          7.3457 |       | 3.44e+08   | C    |     8.57575    -    177.361     | 2s2.2p3                   | 2D*        | 3/2 | 2s2.2p2.(3P).3s           | 4P         | 1/2  |   4 - 2   |       |                                      c69 |         |
Si VIII   |                 |          7.4154 |       | 1.44e+10   | C    |    13.0615     -    180.26      | 2s2.2p3                   | 2P*        | 1/2 | 2s2.2p2.(3P).3s           | 2P         | 3/2  |   2 - 4   |       |                                      c69 |         |
Si VIII   |                 |          7.4183 |       | 5.95e+10   | A    |    13.129      -    180.26      | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(3P).3s           | 2P         | 3/2  |   4 - 4   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VIII   |                 |          7.4369 |       | 4.45e+10   | B    |    13.0615     -    179.776     | 2s2.2p3                   | 2P*        | 1/2 | 2s2.2p2.(3P).3s           | 2P         | 1/2  |   2 - 2   |       |                                      c69 |         |
Si VIII   |                 |          7.4399 |       | 1.50e+10   | E    |    13.129      -    179.776     | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(3P).3s           | 2P         | 1/2  |   4 - 2   |       |                                      c69 |         |
Si VII    |                 |          7.4522 |       | 1.66e+08   | D    |    12.3167     -    178.690     | 2s2.2p4                   | 1S         | 0   | 2s2.2p3.(2D*).3d          | 3S*        | 1    |   1 - 3   |       |                                      c69 |         |
Si XII    |                 |          7.4585 |       | 3.35e+10   | A    |   302.762      -    469.00      | 1s2.3p                    | 2P*        | 1/2 | 1s2.6d                    | 2D         | 3/2  |   2 - 4   |       |                              T5118c63,LS |         |
Si XIII   |                 |          7.4609 |       | 5.47e+10   | A    | [2179.3978]    -  [2345.5766]   | 1s.3p                     | 3P*        | 0   | 1s.5d                     | 3D         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          7.4613 |       | 4.55e+10   | B+   | [2179.5388]    -  [2345.7092]   | 1s.3s                     | 1S         | 0   | 1s.5p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          7.4639 |       | 4.09e+10   | B+   | [2179.4647]    -  [2345.5766]   | 1s.3p                     | 3P*        | 1   | 1s.5d                     | 3D         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.4639 |       | 7.40e+10   | A    | [2179.4647]    -  [2345.5766]   | 1s.3p                     | 3P*        | 1   | 1s.5d                     | 3D         | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XII    |                 |          7.4718 |       | 6.66e+09   | B+   |   303.058      -    469.00      | 1s2.3p                    | 2P*        | 3/2 | 1s2.6d                    | 2D         | 3/2  |   4 - 4   |       |                              T5118c63,LS |         |
Si XII    |                 |          7.4718 |       | 4.00e+10   | A    |   303.058      -    469.00      | 1s2.3p                    | 2P*        | 3/2 | 1s2.6d                    | 2D         | 5/2  |   4 - 6   |       |                              T5118c63,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          7.4747 |       | 9.81e+10   | A    | [2179.7276]    -  [2345.599]    | 1s.3p                     | 3P*        | 2   | 1s.5d                     | 3D         | 3    |   5 - 7   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.4757 |       | 2.73e+09   | B+   | [2179.7276]    -  [2345.5766]   | 1s.3p                     | 3P*        | 2   | 1s.5d                     | 3D         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.4757 |       | 2.45e+10   | B+   | [2179.7276]    -  [2345.5766]   | 1s.3p                     | 3P*        | 2   | 1s.5d                     | 3D         | 2    |   5 - 5   |       |                               T5231c4,LS |         |
Si VII    |                 |          7.4771 |       | 1.44e+08   | D    |    12.3167     -    178.134     | 2s2.2p4                   | 1S         | 0   | 2s2.2p3.(2D*).3d          | 3P*        | 1    |   1 - 3   |       |                                      c69 |         |
Si X      |                 |          7.5047 |       | 1.32e+06   | D+   |    80.188      -    245.397?    | 2p3                       | 2P*        | 1/2 | 2s2.3d                    | 2D         | 3/2  |   2 - 4   |       |                                  T7194c7 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si X      |                 |          7.5056 |       | 4.50e+06   | D+   |    80.266      -    245.455     | 2p3                       | 2P*        | 3/2 | 2s2.3d                    | 2D         | 5/2  |   4 - 6   |       |                                  T7194c7 |         |
Si X      |                 |          7.5082 |       | 9.74e+04   | D    |    80.266      -    245.397?    | 2p3                       | 2P*        | 3/2 | 2s2.3d                    | 2D         | 3/2  |   4 - 4   |       |                                  T7194c7 |         |
Si VIII   |                 |          7.5175 |       | 2.31e+05   | D    |    13.129      -    178.056     | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(3P).3s           | 4P         | 5/2  |   4 - 6   |       |                                      c69 |         |
Si VI     |                 |          7.5194 |       | 1.24e+10   | D    |     0.0000     -    164.89      | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(3P).4s           | 2P         | 3/2  |   4 - 4   |       |                                    T7089 |         |
Si VII    |                 |          7.5194 |       | 3.10e+10   | B+   |    12.3167     -    177.203     | 2s2.2p4                   | 1S         | 0   | 2s2.2p3.(2D*).3d          | 1P*        | 1    |   1 - 3   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          7.5211 |       | 3.44e+09   | B+   | [2179.3978]    -  [2344.2452]   | 1s.3p                     | 3P*        | 0   | 1s.5s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.5242 |       | 1.03e+10   | B+   | [2179.4647]    -  [2344.2452]   | 1s.3p                     | 3P*        | 1   | 1s.5s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si VIII   |                 |          7.5328 |       | 2.02e+07   | D    |    13.0615     -    177.653     | 2s2.2p3                   | 2P*        | 1/2 | 2s2.2p2.(3P).3s           | 4P         | 3/2  |   2 - 4   |       |                                      c69 |         |
Si VIII   |                 |          7.5359 |       | 1.08e+08   | D    |    13.129      -    177.653     | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(3P).3s           | 4P         | 3/2  |   4 - 4   |       |                                      c69 |         |
Si XIII   |                 |          7.5362 |       | 1.71e+10   | B+   | [2179.7276]    -  [2344.2452]   | 1s.3p                     | 3P*        | 2   | 1s.5s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VIII   |                 |          7.5462 |       | 3.47e+07   | D    |    13.0615     -    177.361     | 2s2.2p3                   | 2P*        | 1/2 | 2s2.2p2.(3P).3s           | 4P         | 1/2  |   2 - 2   |       |                                      c69 |         |
Si VI     |                 |          7.5483 |       | 2.11e+09   | E    |     0.631      -    164.89      | 2s2.2p5                   | 2P*        | 1/2 | 2s2.2p4.(3P).4s           | 2P         | 3/2  |   2 - 4   |       |                                    T7089 |         |
Si VIII   |                 |          7.5493 |       | 6.89e+07   | D    |    13.129      -    177.361     | 2s2.2p3                   | 2P*        | 3/2 | 2s2.2p2.(3P).3s           | 4P         | 1/2  |   4 - 2   |       |                                      c69 |         |
Si VII    |                 |          7.5701 |       | 1.74e+08   | D    |     5.77392    -    169.556     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(4S*).3d          | 3D*        | 3    |   5 - 7   |       |                                      c69 |         |
Si VII    |                 |          7.5712 |       | 1.05e+08   | D    |     5.77392    -    169.531     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(4S*).3d          | 3D*        | 2    |   5 - 5   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          7.5712 |       | 3.99e+07   | E    |     5.77392    -    169.531     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(4S*).3d          | 3D*        | 1    |   5 - 3   |       |                                      c69 |         |
Si XIII   |                 |          7.5768 |       | 4.11e+09   | B+   | [2182.0729]    -  [2345.7092]   | 1s.3d                     | 1D         | 2   | 1s.5p                     | 1P*        | 1    |   5 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          7.5946 |       | 4.88e+07   | B    | [2181.8742]    -  [2345.1263]   | 1s.3d                     | 3D         | 1   | 1s.5p                     | 3P*        | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.5948 |       | 7.33e+08   | B+   | [2181.8778]    -  [2345.1263]   | 1s.3d                     | 3D         | 2   | 1s.5p                     | 3P*        | 2    |   5 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.5973 |       | 1.22e+09   | B+   | [2181.8742]    -  [2345.0696]   | 1s.3d                     | 3D         | 1   | 1s.5p                     | 3P*        | 1    |   3 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          7.5975 |       | 3.66e+09   | B+   | [2181.8778]    -  [2345.0696]   | 1s.3d                     | 3D         | 2   | 1s.5p                     | 3P*        | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          7.5980 |       | 4.89e+09   | B+   | [2181.8742]    -  [2345.0550]   | 1s.3d                     | 3D         | 1   | 1s.5p                     | 3P*        | 0    |   3 - 1   |       |                               T5231c4,LS |         |
Si XII    |                 |          7.5987 |       | 1.93e+08   | B    |  [305.471]     -   [468.64]     | 1s2.3d                    | 2D         | 3/2 | 1s2.6p                    | 2P*        | 3/2  |   4 - 4   |       |                              T5118c63,LS |         |
Si VIII   |                 |          7.5988 |       | 6.05e+10   | A    |    38.766      -    201.928     | 2s.2p4                    | 4P         | 5/2 | 2s.2p3.(5S*).3s           | 4S*        | 3/2  |   6 - 4   |       |                                      c69 |         |
Si XIII   |                 |          7.5995 |       | 4.09e+09   | B+   | [2181.9792]    -  [2345.1263]   | 1s.3d                     | 3D         | 3   | 1s.5p                     | 3P*        | 2    |   7 - 5   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XII    |                 |          7.6005 |       | 1.93e+09   | B    |  [305.471]     -   [468.60]     | 1s2.3d                    | 2D         | 3/2 | 1s2.6p                    | 2P*        | 1/2  |   4 - 2   |       |                              T5118c63,LS |         |
Si XII    |                 |          7.6027 |       | 1.73e+09   | B+   |  [305.557]     -   [468.64]     | 1s2.3d                    | 2D         | 5/2 | 1s2.6p                    | 2P*        | 3/2  |   6 - 4   |       |                              T5118c63,LS |         |
Si XIII   |                 |          7.6030 |       | 9.69e+10   | A    | [2182.5462]    -  [2345.6191]   | 1s.3p                     | 1P*        | 1   | 1s.5d                     | 1D         | 2    |   3 - 5   |       |                                  T5231c4 |         |
Si VIII   |                 |          7.6196 |       | 3.91e+10   | A    |    39.210      -    201.928     | 2s.2p4                    | 4P         | 3/2 | 2s.2p3.(5S*).3s           | 4S*        | 3/2  |   4 - 4   |       |                                      c69 |         |
Si XIII   |                 |          7.6288 |       | 2.94e+10   | B+   | [2182.5462]    -  [2345.0676]   | 1s.3p                     | 1P*        | 1   | 1s.5s                     | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VIII   |                 |          7.6306 |       | 1.94e+10   | A    |    39.444      -    201.928     | 2s.2p4                    | 4P         | 1/2 | 2s.2p3.(5S*).3s           | 4S*        | 3/2  |   2 - 4   |       |                                      c69 |         |
Si VII    |                 |          7.6919 |       | 3.03e+10   | D    |    45.027      -    206.215     | 2s.2p5                    | 3P*        | 2   | 2s.2p4.(2S).3s            | 3S         | 1    |   5 - 3   |       |                                   c70,LS |         |
Si VII    |                 |          7.7133 |       | 1.81e+10   | D    |    45.4757     -    206.215     | 2s.2p5                    | 3P*        | 1   | 2s.2p4.(2S).3s            | 3S         | 1    |   3 - 3   |       |                                   c70,LS |         |
Si VII    |                 |          7.7251 |       | 6.00e+09   | D    |    45.7205     -    206.215     | 2s.2p5                    | 3P*        | 0   | 2s.2p4.(2S).3s            | 3S         | 1    |   1 - 3   |       |                                   c70,LS |         |
Si VI     |                 |          7.7412 |       | 7.74e+09   | D    |     0.0000     -    160.162     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1S).3d           | 2D         | 3/2  |   4 - 4   |       |                                      c44 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VI     |                 |          7.7429 |       | 5.05e+10   | C    |     0.0000     -    160.127     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1S).3d           | 2D         | 5/2  |   4 - 6   |       |                                      c44 |         |
Si VI     |                 |          7.7718 |       | 5.57e+10   | C    |     0.631      -    160.162     | 2s2.2p5                   | 2P*        | 1/2 | 2s2.2p4.(1S).3d           | 2D         | 3/2  |   2 - 4   |       |                                      c44 |         |
Si V      |          7.861  |                 |     1 |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |  L7358  |
Si V      |          7.890  |                 |     1 |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |  L7358  |
Si VII    |                 |          7.8917 |       | 2.83e+07   | E    |     0.6900     -    157.797     | 2s2.2p4                   | 3P         | 0   | 2s2.2p3.(2P*).3s          | 1P*        | 1    |   1 - 3   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          7.9237 |       | 2.89e+10   | B+   |     0.00000    -    156.473     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(2P*).3s          | 3P*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VII    |                 |          7.9264 |       | 1.59e+10   | B+   |     0.00000    -    156.420     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(2P*).3s          | 3P*        | 1    |   5 - 3   |       |                                      c69 |         |
Si VII    |                 |          7.9491 |       | 1.50e+10   | B+   |     0.500      -    156.473     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(2P*).3s          | 3P*        | 2    |   3 - 5   |       |                                      c69 |         |
Si VII    |                 |          7.9518 |       | 1.03e+10   | B    |     0.500      -    156.420     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(2P*).3s          | 3P*        | 1    |   3 - 3   |       |                                      c69 |         |
Si VII    |                 |          7.9523 |       | 4.42e+10   | B+   |     0.500      -    156.410?    | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(2P*).3s          | 3P*        | 0    |   3 - 1   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          7.9615 |       | 1.84e+10   | B+   |     0.6900     -    156.420     | 2s2.2p4                   | 3P         | 0   | 2s2.2p3.(2P*).3s          | 3P*        | 1    |   1 - 3   |       |                                      c69 |         |
Si VI     |                 |          8.0395 |       | 3.50e+10   | C    |     0.0000     -    154.219     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).3d           | 2D         | 3/2  |   4 - 4   |       |                                      c44 |         |
Si VI     |                 |          8.0449 |       | 1.31e+11   | C+   |     0.0000     -    154.115     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).3d           | 2D         | 5/2  |   4 - 6   |       |                                      c44 |         |
Si VI     |                 |          8.0490 |       | 6.85e+10   | C    |     0.0000     -    154.037     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).3d           | 2P         | 1/2  |   4 - 2   |       |                                      c44 |         |
Si VI     |                 |          8.0503 |       | 3.52e+10   | C    |     0.0000     -    154.0114    | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).3d           | 2F         | 5/2  |   4 - 6   |       |                                c67,T6437 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VI     |                 |          8.0577 |       | 2.74e+11   | C+   |     0.0000     -    153.871     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).3d           | 2P         | 3/2  |   4 - 4   |       |                                      c44 |         |
Si VI     |                 |          8.0698 |       | 2.76e+11   | C+   |     0.0000     -    153.640     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(1D).3d           | 2S         | 1/2  |   4 - 2   |       |                                      c44 |         |
Si VI     |                 |          8.0725 |       | 1.89e+11   | C+   |     0.631      -    154.219     | 2s2.2p5                   | 2P*        | 1/2 | 2s2.2p4.(1D).3d           | 2D         | 3/2  |   2 - 4   |       |                                      c44 |         |
Si V      |          8.081  |                 |     2 |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |  L7358  |
Si VI     |                 |          8.0821 |       | 2.78e+11   | C+   |     0.631      -    154.037     | 2s2.2p5                   | 2P*        | 1/2 | 2s2.2p4.(1D).3d           | 2P         | 1/2  |   2 - 2   |       |                                      c44 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VI     |                 |          8.0909 |       | 5.67e+10   | C    |     0.631      -    153.871     | 2s2.2p5                   | 2P*        | 1/2 | 2s2.2p4.(1D).3d           | 2P         | 3/2  |   2 - 4   |       |                                      c44 |         |
Si VII    |                 |          8.0913 |       | 1.23e+09   | C    |     0.00000    -    153.231     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(2D*).3s          | 1D*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VI     |                 |          8.1031 |       | 8.45e+10   | C    |     0.631      -    153.640     | 2s2.2p5                   | 2P*        | 1/2 | 2s2.2p4.(1D).3d           | 2S         | 1/2  |   2 - 2   |       |                                      c44 |         |
Si V      |          8.111  |                 |     2 |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |  L7358  |
Si VII    |                 |          8.1178 |       | 1.99e+08   | D+   |     0.500      -    153.231     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(2D*).3s          | 1D*        | 2    |   3 - 5   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          8.1449 |       | 5.12e+10   | D+   |    45.027      -    197.250     | 2s.2p5                    | 3P*        | 2   | 2s.2p4.(2D).3s            | 3D         | 3    |   5 - 7   |       |                                   c70,LS |         |
Si VII    |                 |          8.1556 |       | 5.71e+10   | B+   |     5.77392    -    157.797     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2P*).3s          | 1P*        | 1    |   5 - 3   |       |                                      c69 |         |
Si VII    |                 |          8.1623 |       | 1.77e+09   | B    |     0.00000    -    151.899     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(2D*).3s          | 3D*        | 1    |   5 - 3   |       |                                      c69 |         |
Si VII    |                 |          8.1623 |       | 1.47e+10   | B+   |     0.00000    -    151.899     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(2D*).3s          | 3D*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VII    |                 |          8.1623 |       | 4.47e+10   | B+   |     0.00000    -    151.899     | 2s2.2p4                   | 3P         | 2   | 2s2.2p3.(2D*).3s          | 3D*        | 3    |   5 - 7   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VII    |                 |          8.1892 |       | 2.98e+10   | B+   |     0.500      -    151.899     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(2D*).3s          | 3D*        | 2    |   3 - 5   |       |                                      c69 |         |
Si VII    |                 |          8.1892 |       | 2.07e+10   | B+   |     0.500      -    151.899     | 2s2.2p4                   | 3P         | 1   | 2s2.2p3.(2D*).3s          | 3D*        | 1    |   3 - 3   |       |                                      c69 |         |
Si VII    |                 |          8.1995 |       | 2.19e+10   | B+   |     0.6900     -    151.899     | 2s2.2p4                   | 3P         | 0   | 2s2.2p3.(2D*).3s          | 3D*        | 1    |   1 - 3   |       |                                      c69 |         |
Si VII    |                 |          8.2273 |       | 2.10e+09   | C    |     5.77392    -    156.473     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2P*).3s          | 3P*        | 2    |   5 - 5   |       |                                      c69 |         |
Si VII    |                 |          8.2302 |       | 1.36e+08   | D    |     5.77392    -    156.420     | 2s2.2p4                   | 1D         | 2   | 2s2.2p3.(2P*).3s          | 3P*        | 1    |   5 - 3   |       |                                      c69 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si VI     |                 |          8.3005 |       | 1.77e+10   | D+   |     0.0000     -    149.369     | 2s2.2p5                   | 2P*        | 3/2 | 2s2.2p4.(3P).3d           | 2P         | 3/2  |   4 - 4   |       |                                      c44 |         |
