-------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |                Level (eV)  |   Uncertainty (eV) | Leading percentages                        | Reference
3s2.3p3.(2D*).6s      | 3D*    |   1 |    3 |        23.165947           |                    |  99                                        |          
                      |        |   2 |    5 |        23.168043           |                    |  99                                        |          
                      |        |   3 |    7 |        23.172667           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).6s      | 1D*    |   2 |    5 |        23.202776           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).10f     | 5F     |   5 |   11 |        23.262953           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5d      | 3G*    |   1 |    3 |        23.320187           |                    |                                            |          
                      |        |   4 |    9 |        23.320566           |                    |                                            |          
                      |        |   5 |   11 |        23.324986           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4d      | 1F*    |   3 |    7 |        23.339746           |                    |  94                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).5p      | 3D     |   2 |    5 |        23.410458           |                    |  98                                        |          
                      |        |   3 |    7 |        23.414216           |                    |  99                                        |          
----------------------|--------|-----|------|----------------------------|--------------------|--------------------------------------------|-----------
----------------------|--------|-----|------|----------------------------|--------------------|--------------------------------------------|-----------
Cl III (3p3 4S*<3/2>) | Limit  | --- |      |        23.81364            |           0.00012  |                                            |     L1617
-------------------------------------------------------------------------------------------------------------------------------------------------------
