-------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |                Level (eV)  |   Uncertainty (eV) | Leading percentages                        | Reference
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4p      | 3F     |   2 |    5 |        18.232572           |                    |  98                                        |          
                      |        |   3 |    7 |        18.241494           |                    |  96                                        |          
                      |        |   4 |    9 |        18.250504           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4p      | 1F     |   3 |    7 |        18.300981           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4p      | 3P     |   2 |    5 |        18.572848           |                    |  90                                        |          
                      |        |   1 |    3 |        18.591949           |                    |  91                                        |          
                      |        |   0 |    1 |        18.600221           |                    |  92                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).3d      | 3D*    |   3 |    7 |        18.682358           |                    |  50         :    19  3s2.3p3.(2P*).3d 3F*  |          
                      |        |   2 |    5 |        18.724101           |                    |  76         :    20  3s2.3p3.(4S*).3d 3D*  |          
                      |        |   1 |    3 |        18.738390           |                    |  74         :    20  3s2.3p3.(4S*).3d 3D*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 3S*    |   1 |    3 |        18.698444           |                    |  98                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 1F*    |   3 |    7 |        18.733276           |                    |  30         :    29  3s2.3p3.(2P*).3d 3D*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5s      | 5S*    |   2 |    5 |        18.874723           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4p      | 1D     |   2 |    5 |        19.001646           |                    |  96                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5s      | 3S*    |   1 |    3 |        19.048309           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).4d      | 5D*    |   0 |    1 |        19.170200           |                    |  99                                        |          
                      |        |   1 |    3 |        19.170325           |                    |  99                                        |          
                      |        |   2 |    5 |        19.170557           |                    |  99                                        |          
                      |        |   3 |    7 |        19.170879           |                    |  99                                        |          
                      |        |   4 |    9 |        19.171015           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 3P*    |   2 |    5 |        19.475251           |                    |  54         :    20  3s.3p5           3P*  |          
                      |        |   1 |    3 |        19.547949           |                    |  53         :    21  3s.3p5           3P*  |          
                      |        |   0 |    1 |        19.584337           |                    |  53         :    21  3s.3p5           3P*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4p      | 3S     |   1 |    3 |        19.611669           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 1D*    |   2 |    5 |        19.622988           |                    |  59         :    28  3s2.3p3.(2P*).3d 1D*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4p      | 3D     |   1 |    3 |        19.679461           |                    |  94                                        |          
                      |        |   2 |    5 |        19.685043           |                    |  97                                        |          
                      |        |   3 |    7 |        19.687234           |                    |  98                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5p      | 5P     |   1 |    3 |        19.769491           |                    | 100                                        |          
                      |        |   2 |    5 |        19.771346           |                    | 100                                        |          
                      |        |   3 |    7 |        19.774341           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4p      | 1P     |   1 |    3 |        19.784891           |                    |  82                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4p      | 3P     |   0 |    1 |        19.817923           |                    |  57         :    38  3s2.3p3.(4S*).5p 3P   |          
                      |        |   1 |    3 |        19.837648           |                    |  50         :    38  3s2.3p3.(4S*).5p 3P   |          
                      |        |   2 |    5 |        19.855484           |                    |  50         :    40  3s2.3p3.(4S*).5p 3P   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).3d      | 1F*    |   3 |    7 |        19.899186           |                    |  50         :    37  3s2.3p3.(2D*).3d 3F*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4p      | 1D     |   2 |    5 |        20.004860           |                    |  97                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5p      | 3P     |   2 |    5 |        20.040420           |                    |  52         :    45  3s2.3p3.(2P*).4p 3P   |          
                      |        |   1 |    3 |        20.042863           |                    |  56         :    42  3s2.3p3.(2P*).4p 3P   |          
                      |        |   0 |    1 |        20.044850           |                    |  58         :    40  3s2.3p3.(2P*).4p 3P   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).4d      | 3D*    |   3 |    7 |        20.060418           |                    |  66         :    13  3s2.3p3.(4S*).3d 3D*  |          
                      |        |   2 |    5 |        20.074208           |                    |  64         :    13  3s2.3p3.(4S*).3d 3D*  |          
                      |        |   1 |    3 |        20.084395           |                    |  62         :    13  3s2.3p3.(4S*).3d 3D*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 1P*    |   1 |    3 |        20.235733           |                    |  35         :    31  3s2.3p3.(2D*).3d 1P*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).4f      | 5F     |   5 |   11 |        20.349901           |                    | 100                                        |          
                      |        |   4 |    9 |        20.349958           |                    | 100                                        |          
                      |        |   3 |    7 |        20.350011           |                    | 100                                        |          
                      |        |   2 |    5 |        20.350058           |                    | 100                                        |          
                      |        |   1 |    3 |        20.350098           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).4f      | 3F     |   2 |    5 |        20.359717           |                    | 100                                        |          
                      |        |   3 |    7 |        20.359729           |                    | 100                                        |          
                      |        |   4 |    9 |        20.359785           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).4p      | 1S     |   0 |    1 |        20.668166           |                    |  96                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6s      | 5S*    |   2 |    5 |        20.913032           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6s      | 3S*    |   1 |    3 |        20.984073           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5d      | 5D*    |   0 |    1 |        21.052517           |                    |                                            |          
                      |        |   1 |    3 |        21.052542           |                    |                                            |          
                      |        |   2 |    5 |        21.052575           |                    |                                            |          
                      |        |   3 |    7 |        21.052638           |                    |                                            |          
                      |        |   4 |    9 |        21.052739           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2P*).3d      | 1P*    |   1 |    3 |        21.103605           |                    |  66         :    22  3s2.3p3.(2P*).4d 1P*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5s      | 3D*    |   1 |    3 |        21.141375           |                    |  99                                        |          
                      |        |   2 |    5 |        21.143903           |                    |  99                                        |          
                      |        |   3 |    7 |        21.148900           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5d      | 3D*    |   3 |    7 |        21.198125           |                    |                                            |          
                      |        |   2 |    5 |        21.202150           |                    |                                            |          
                      |        |   1 |    3 |        21.207813           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5s      | 1D*    |   2 |    5 |        21.227451           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6p      | 5P     |   1 |    3 |        21.330868           |                    |                                            |          
                      |        |   2 |    5 |        21.331742           |                    |                                            |          
                      |        |   3 |    7 |        21.333172           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 3F*    |   2 |    5 |        21.396543           |                    |  97                                        |          
                      |        |   3 |    7 |        21.406179           |                    |  95                                        |          
                      |        |   4 |    9 |        21.417426           |                    |  93                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 3G*    |   3 |    7 |        21.477139           |                    |  97                                        |          
                      |        |   4 |    9 |        21.479804           |                    |  94                                        |          
                      |        |   5 |   11 |        21.483945           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
