---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
He I      |               51.207       |  0.002   |               51.2098563   |  0.0000003   |    35 | 7.3174e+07   | AAA  |   0.00000000   -  [24.21100280] | 1s2    | 1S   | 0     | 1s.6p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |     L14922  |
He I      |                            |          |               51.2135642   |  0.0000003   |       | 2.6480e+02   | AAA  |   0.00000000   -  [24.20924991] | 1s2    | 1S   | 0     | 1s.6d  | 1D   | 2     |   1 - 5   | E2 |    T7378 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |               51.2314128   |  0.0000003   |       | 1.53e-02     | C    |   0.00000000   -  [24.20081557] | 1s2    | 1S   | 0     | 1s.6p  | 3P*  | 2     |   1 - 5   | M2 |    T5612 |             |
He I      |               51.5596      |  0.0020  |               51.5616842   |  0.0000003   |    50 | 1.2582e+08   | AAA  |   0.00000000   -  [24.04580053] | 1s2    | 1S   | 0     | 1s.5p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |     L14922  |
He I      |                            |          |               51.5681115   |  0.0000003   |       | 4.3136e+02   | AAA  |   0.00000000   -  [24.04280353] | 1s2    | 1S   | 0     | 1s.5d  | 1D   | 2     |   1 - 5   | E2 |    T7378 |             |
He I      |                            |          |               51.5993988   |  0.0000003   |       | 2.64e-02     | C    |   0.00000000   -  [24.02822519] | 1s2    | 1S   | 0     | 1s.5p  | 3P*  | 2     |   1 - 5   | M2 |    T5612 |             |
He I      |               52.2186      |  0.0020  |               52.2213086   |  0.0000003   |   100 | 2.4356e+08   | AAA  |   0.00000000   -  [23.74207019] | 1s2    | 1S   | 0     | 1s.4p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |     L14922  |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |               52.2339260   |  0.0000003   |       | 7.4848e+02   | AAA  |   0.00000000   -  [23.73633516] | 1s2    | 1S   | 0     | 1s.4d  | 1D   | 2     |   1 - 5   | E2 |    T7378 |             |
He I      |                            |          |               52.2965942   |  0.0000003   |       | 5.2e-02      | C    |   0.00000000   -  [23.70789135] | 1s2    | 1S   | 0     | 1s.4p  | 3P*  | 2     |   1 - 5   | M2 |    T5612 |             |
He I      |               53.70293     |  0.00005 |               53.7029918   |  0.0000003   |   400 | 5.6634e+08   | AAA  |   0.00000000   -  [23.08701866] | 1s2    | 1S   | 0     | 1s.3p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |       L551  |
He I      |                            |          |               53.7331173   |  0.0000003   |       | 1.299e+03    | AA   |   0.00000000   -  [23.07407493] | 1s2    | 1S   | 0     | 1s.3d  | 1D   | 2     |   1 - 5   | E2 |    T7378 |             |
He I      |                            |          |               53.8895999   |  0.0000003   |       | 1.21e-01     | C    |   0.00000000   -  [23.00707327] | 1s2    | 1S   | 0     | 1s.3p  | 3P*  | 2     |   1 - 5   | M2 |    T5612 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |               58.43339     |  0.00005 |               58.4334357   |  0.0000004   |  1000 | 1.7989e+09   | AAA  |   0.00000000   -  [21.21802284] | 1s2    | 1S   | 0     | 1s.2p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |       L551  |
He I      |               59.14121     |  0.00005 |               59.1412071   |  0.0000004   |    50 | 1.764e+02    | AA   |   0.00000000   -  [20.96409651] | 1s2    | 1S   | 0     | 1s.2p  | 3P*  | 1     |   1 - 3   |    |    T3585 |       L551  |
He I      |                            |          |               59.1412339   |  0.0000004   |       | 3.27e-01     | A    |   0.00000000   -  [20.96408703] | 1s2    | 1S   | 0     | 1s.2p  | 3P*  | 2     |   1 - 5   | M2 |    T1494 |             |
