---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
He I      |                            |          |             1858.952768    |  0.000010    |       | 1.9480e+05   | AAA  | [23.70790615]  -  [24.37468130] | 1s.4p  | 3P*  | 0     | 1s.8d  | 3D   | 1     |   1 - 3   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |             1863.537402    |  0.000009    |       | 5.9966e+06   | AA   | (52.2410737)   -  (52.9062084)  | 5p     | 2P*  | 1/2   | 6d     | 2D   | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |             1863.547779    |  0.000009    |       | 3.8894e+06   | AA   | (52.2410774)   -  (52.9062085)  | 5s     | 2S   | 1/2   | 6p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |             1863.606550    |  0.000009    |       | 1.4310e+06   | AA   | (52.2410737)   -  (52.9061838)  | 5p     | 2P*  | 1/2   | 6s     | 2S   | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |             1863.623138    |  0.000009    |       | 3.8893e+06   | AA   | (52.2410774)   -  (52.9061816)  | 5s     | 2S   | 1/2   | 6p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |             1863.642333    |  0.000010    |       | 1.0806e+07   | AA   | (52.2411201)   -  (52.9062174)  | 5d     | 2D   | 3/2   | 6f     | 2F*  | 5/2   |   4 - 6   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |             1863.642506    |  0.000009    |       | 7.1951e+06   | AA   | (52.2411202)   -  (52.9062174)  | 5p     | 2P*  | 3/2   | 6d     | 2D   | 5/2   |   4 - 6   |    |    T8637 |             |
He II     |                            |          |             1863.667279    |  0.000010    |       | 1.5356e+05   | AA   | (52.2411201)   -  (52.9062085)  | 5d     | 2D   | 3/2   | 6p     | 2P*  | 3/2   |   4 - 4   |    |    T8637 |             |
He II     |                            |          |             1863.667625    |  0.000009    |       | 1.1992e+06   | AA   | (52.2411202)   -  (52.9062084)  | 5p     | 2P*  | 3/2   | 6d     | 2D   | 3/2   |   4 - 4   |    |    T8637 |             |
He II     |                            |          |             1863.673126    |  0.000009    |       | 1.7067e+07   | AA   | (52.2411355)   -  (52.9062219)  | 5f     | 2F*  | 5/2   | 6g     | 2G   | 7/2   |   6 - 8   |    |    T8637 |             |
He II     |                            |          |             1863.673181    |  0.000010    |       | 1.1577e+07   | AA   | (52.2411356)   -  (52.9062219)  | 5d     | 2D   | 5/2   | 6f     | 2F*  | 7/2   |   6 - 8   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |             1863.685616    |  0.000010    |       | 2.9788e+04   | AA   | (52.2411355)   -  (52.9062174)  | 5f     | 2F*  | 5/2   | 6d     | 2D   | 5/2   |   6 - 6   |    |    T8637 |             |
He II     |                            |          |             1863.685740    |  0.000010    |       | 7.7180e+05   | AA   | (52.2411356)   -  (52.9062174)  | 5d     | 2D   | 5/2   | 6f     | 2F*  | 5/2   |   6 - 6   |    |    T8637 |             |
He II     |                            |          |             1863.687267    |  0.000009    |       | 2.5743e+07   | AA   | (52.2411433)   -  (52.9062246)  | 5g     | 2G   | 7/2   | 6h     | 2H*  | 9/2   |   8 - 10  |    |    T8637 |             |
He II     |                            |          |             1863.687293    |  0.000009    |       | 1.7699e+07   | AA   | (52.2411433)   -  (52.9062246)  | 5f     | 2F*  | 7/2   | 6g     | 2G   | 9/2   |   8 - 10  |    |    T8637 |             |
He II     |                            |          |             1863.694764    |  0.000009    |       | 5.0567e+03   | AA   | (52.2411433)   -  (52.9062219)  | 5g     | 2G   | 7/2   | 6f     | 2F*  | 7/2   |   8 - 8   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |             1863.694829    |  0.000009    |       | 6.3209e+05   | AA   | (52.2411433)   -  (52.9062219)  | 5f     | 2F*  | 7/2   | 6g     | 2G   | 7/2   |   8 - 8   |    |    T8637 |             |
He II     |                            |          |             1863.695265    |  0.000009    |       | 2.6328e+07   | AA   | (52.2411479)   -  (52.9062263)  | 5g     | 2G   | 9/2   | 6h     | 2H*  | 11/2  |  10 - 12  |    |    T8637 |             |
He II     |                            |          |             1863.700289    |  0.000009    |       | 5.8507e+05   | AA   | (52.2411479)   -  (52.9062246)  | 5g     | 2G   | 9/2   | 6h     | 2H*  | 9/2   |  10 - 10  |    |    T8637 |             |
He II     |                            |          |             1863.707319    |  0.000010    |       | 5.9575e+05   | AA   | (52.2411433)   -  (52.9062174)  | 5f     | 2F*  | 7/2   | 6d     | 2D   | 5/2   |   8 - 6   |    |    T8637 |             |
He II     |                            |          |             1863.707324    |  0.000009    |       | 1.8204e+05   | AA   | (52.2411433)   -  (52.9062174)  | 5g     | 2G   | 7/2   | 6f     | 2F*  | 5/2   |   8 - 6   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |             1863.707786    |  0.000009    |       | 1.7698e+05   | AA   | (52.2411479)   -  (52.9062219)  | 5g     | 2G   | 9/2   | 6f     | 2F*  | 7/2   |  10 - 8   |    |    T8637 |             |
He II     |                            |          |             1863.710688    |  0.000010    |       | 1.3820e+06   | AA   | (52.2411356)   -  (52.9062085)  | 5d     | 2D   | 5/2   | 6p     | 2P*  | 3/2   |   6 - 4   |    |    T8637 |             |
He II     |                            |          |             1863.710737    |  0.000010    |       | 6.2555e+05   | AA   | (52.2411355)   -  (52.9062084)  | 5f     | 2F*  | 5/2   | 6d     | 2D   | 3/2   |   6 - 4   |    |    T8637 |             |
He II     |                            |          |             1863.736783    |  0.000009    |       | 2.8619e+06   | AA   | (52.2411202)   -  (52.9061838)  | 5p     | 2P*  | 3/2   | 6s     | 2S   | 1/2   |   4 - 2   |    |    T8637 |             |
He II     |                            |          |             1863.742648    |  0.000010    |       | 1.5357e+06   | AA   | (52.2411201)   -  (52.9061816)  | 5d     | 2D   | 3/2   | 6p     | 2P*  | 1/2   |   4 - 2   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1868.525961    |  0.000009    |       | 5.611e+05    | AA   | [23.07365084]  -  [23.73700985] | 1s.3d  | 3D   | 3     | 1s.4f  | 1F*  | 3     |   7 - 7   |    | T8636c73 |             |
He I      |                            |          |             1868.526838    |  0.000009    |       | 4.294e+06    | AA   | [23.07365115]  -  [23.73700985] | 1s.3d  | 3D   | 2     | 1s.4f  | 1F*  | 3     |   5 - 7   |    | T8636c73 |             |
He I      |             1868.534       |  0.010   |             1868.528669    |  0.000009    |  500* | 6.1502e+04   | AAA  | [23.07365084]  -  [23.73700888] | 1s.3d  | 3D   | 3     | 1s.4f  | 3F*  | 2     |   7 - 5   |    | T8636c73 |       L885  |
He I      |             1868.534       |  0.010   |             1868.529546    |  0.000009    |  500* | 2.1521e+06   | AAA  | [23.07365115]  -  [23.73700888] | 1s.3d  | 3D   | 2     | 1s.4f  | 3F*  | 2     |   5 - 5   |    | T8636c73 |       L885  |
He I      |             1868.534       |  0.010   |             1868.531678    |  0.000009    |  500* | 1.3838e+07   | AAA  | [23.07365084]  -  [23.73700782] | 1s.3d  | 3D   | 3     | 1s.4f  | 3F*  | 4     |   7 - 9   |    | T8636c73 |       L885  |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |             1868.534       |  0.010   |             1868.534172    |  0.000009    |  500* | 9.7644e+05   | AAA  | [23.07365084]  -  [23.73700693] | 1s.3d  | 3D   | 3     | 1s.4f  | 3F*  | 3     |   7 - 7   |    | T8636c73 |       L885  |
He I      |             1868.534       |  0.010   |             1868.535049    |  0.000009    |  500* | 8.0071e+06   | AAA  | [23.07365115]  -  [23.73700693] | 1s.3d  | 3D   | 2     | 1s.4f  | 3F*  | 3     |   5 - 7   |    | T8636c73 |       L885  |
He I      |                            |          |             1868.544983    |  0.000009    |       | 1.1624e+07   | AAA  | [23.07365663]  -  [23.73700888] | 1s.3d  | 3D   | 1     | 1s.4f  | 3F*  | 2     |   3 - 5   |    | T8636c73 |             |
He I      |             1869.723       |  0.010   |             1869.721286    |  0.000009    |   200 | 8.9780e+06   | AAA  | [23.07407493]  -  [23.73700985] | 1s.3d  | 1D   | 2     | 1s.4f  | 1F*  | 3     |   5 - 7   |    | T8636c73 |       L885  |
He I      |                            |          |             1869.723998    |  0.000009    |       | 5.235e+02    | AA   | [23.07407493]  -  [23.73700888] | 1s.3d  | 1D   | 2     | 1s.4f  | 3F*  | 2     |   5 - 5   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1869.729508    |  0.000009    |       | 4.852e+06    | AA   | [23.07407493]  -  [23.73700693] | 1s.3d  | 1D   | 2     | 1s.4f  | 3F*  | 3     |   5 - 7   |    | T8636c73 |             |
He I      |                            |          |             1892.222949    |  0.000010    |       | 2.5290e+00   | AAA  | [23.08701866]  -  [23.74207019] | 1s.3p  | 1P*  | 1     | 1s.4p  | 1P*  | 1     |   3 - 3   | E2 |    T7378 |             |
He I      |                            |          |             1906.304123    |  0.000010    |       | 1.9474e+05   | AAA  | [23.70789135]  -  [24.35810426] | 1s.4p  | 3P*  | 2     | 1s.8s  | 3S   | 1     |   5 - 3   |    | T8636c73 |             |
He I      |                            |          |             1906.307393    |  0.000010    |       | 1.1684e+05   | AAA  | [23.70789247]  -  [24.35810426] | 1s.4p  | 3P*  | 1     | 1s.8s  | 3S   | 1     |   3 - 3   |    | T8636c73 |             |
He I      |                            |          |             1906.347498    |  0.000010    |       | 3.8948e+04   | AAA  | [23.70790615]  -  [24.35810426] | 1s.4p  | 3P*  | 0     | 1s.8s  | 3S   | 1     |   1 - 3   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |             1908.938       |  0.010   |             1908.935865    |  0.000010    |   100 | 7.1159e+06   | AAA  | [23.08701866]  -  [23.73633516] | 1s.3p  | 1P*  | 1     | 1s.4d  | 1D   | 2     |   3 - 5   |    | T8636c73 |       L885  |
He I      |                            |          |             1909.655524    |  0.000010    |       | 8.944e+02    | AA   | [23.08701866]  -  [23.73609046] | 1s.3p  | 1P*  | 1     | 1s.4d  | 3D   | 2     |   3 - 5   |    | T8636c73 |             |
He I      |                            |          |             1939.355618    |  0.000010    |       | 2.9506e+04   | AAA  | [23.73633516]  -  [24.37546682] | 1s.4d  | 1D   | 2     | 1s.8p  | 1P*  | 1     |   5 - 3   |    | T8636c73 |             |
He I      |                            |          |             1940.614243    |  0.000010    |       | 1.216e+04    | AA   | [23.73609031]  -  [24.37480745] | 1s.4d  | 3D   | 3     | 1s.8f  | 1F*  | 3     |   7 - 7   |    | T8636c73 |             |
He I      |                            |          |             1940.614696    |  0.000010    |       | 9.307e+04    | AA   | [23.73609046]  -  [24.37480745] | 1s.4d  | 3D   | 2     | 1s.8f  | 1F*  | 3     |   5 - 7   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1940.614865    |  0.000010    |       | 2.0626e+03   | AAA  | [23.73609031]  -  [24.37480724] | 1s.4d  | 3D   | 3     | 1s.8f  | 3F*  | 2     |   7 - 5   |    | T8636c73 |             |
He I      |                            |          |             1940.615271    |  0.000010    |       | 4.6409e+05   | AAA  | [23.73609031]  -  [24.37480711] | 1s.4d  | 3D   | 3     | 1s.8f  | 3F*  | 4     |   7 - 9   |    | T8636c73 |             |
He I      |                            |          |             1940.615318    |  0.000010    |       | 7.2183e+04   | AAA  | [23.73609046]  -  [24.37480724] | 1s.4d  | 3D   | 2     | 1s.8f  | 3F*  | 2     |   5 - 5   |    | T8636c73 |             |
He I      |                            |          |             1940.615499    |  0.000010    |       | 3.9407e+04   | AAA  | [23.73609031]  -  [24.37480704] | 1s.4d  | 3D   | 3     | 1s.8f  | 3F*  | 3     |   7 - 7   |    | T8636c73 |             |
He I      |                            |          |             1940.615951    |  0.000010    |       | 3.1946e+05   | AAA  | [23.73609046]  -  [24.37480704] | 1s.4d  | 3D   | 2     | 1s.8f  | 3F*  | 3     |   5 - 7   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1940.622295    |  0.000010    |       | 3.8984e+05   | AAA  | [23.73609276]  -  [24.37480724] | 1s.4d  | 3D   | 1     | 1s.8f  | 3F*  | 2     |   3 - 5   |    | T8636c73 |             |
He I      |                            |          |             1941.358443    |  0.000010    |       | 3.5829e+05   | AAA  | [23.73633516]  -  [24.37480745] | 1s.4d  | 1D   | 2     | 1s.8f  | 1F*  | 3     |   5 - 7   |    | T8636c73 |             |
He I      |                            |          |             1941.359699    |  0.000010    |       | 1.051e+05    | AA   | [23.73633516]  -  [24.37480704] | 1s.4d  | 1D   | 2     | 1s.8f  | 3F*  | 3     |   5 - 7   |    | T8636c73 |             |
He I      |                            |          |             1943.354373    |  0.000010    |       | 3.575e+03    | AA   | [23.73700693]  -  [24.37482348] | 1s.4f  | 3F*  | 3     | 1s.8g  | 1G   | 4     |   7 - 9   |    | T8636c73 |             |
He I      |                            |          |             1943.354530    |  0.000010    |       | 1.8624e+04   | AAA  | [23.73700693]  -  [24.37482342] | 1s.4f  | 3F*  | 3     | 1s.8g  | 3G   | 3     |   7 - 7   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1943.355017    |  0.000010    |       | 3.4688e+05   | AAA  | [23.73700693]  -  [24.37482326] | 1s.4f  | 3F*  | 3     | 1s.8g  | 3G   | 4     |   7 - 9   |    | T8636c73 |             |
He I      |                            |          |             1943.357070    |  0.000010    |       | 1.095e+04    | AA   | [23.73700782]  -  [24.37482348] | 1s.4f  | 3F*  | 4     | 1s.8g  | 1G   | 4     |   9 - 9   |    | T8636c73 |             |
He I      |                            |          |             1943.357227    |  0.000010    |       | 4.6549e+02   | AAA  | [23.73700782]  -  [24.37482342] | 1s.4f  | 3F*  | 4     | 1s.8g  | 3G   | 3     |   9 - 7   |    | T8636c73 |             |
He I      |                            |          |             1943.357459    |  0.000010    |       | 3.6494e+05   | AAA  | [23.73700782]  -  [24.37482335] | 1s.4f  | 3F*  | 4     | 1s.8g  | 3G   | 5     |   9 - 11  |    | T8636c73 |             |
He I      |                            |          |             1943.357714    |  0.000010    |       | 1.1860e+04   | AAA  | [23.73700782]  -  [24.37482326] | 1s.4f  | 3F*  | 4     | 1s.8g  | 3G   | 4     |   9 - 9   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1943.360482    |  0.000010    |       | 3.3515e+05   | AAA  | [23.73700888]  -  [24.37482342] | 1s.4f  | 3F*  | 2     | 1s.8g  | 3G   | 3     |   5 - 7   |    | T8636c73 |             |
He I      |                            |          |             1943.363255    |  0.000010    |       | 3.5042e+05   | AAA  | [23.73700985]  -  [24.37482348] | 1s.4f  | 1F*  | 3     | 1s.8g  | 1G   | 4     |   7 - 9   |    | T8636c73 |             |
He I      |                            |          |             1943.363412    |  0.000010    |       | 1.070e+04    | AA   | [23.73700985]  -  [24.37482342] | 1s.4f  | 1F*  | 3     | 1s.8g  | 3G   | 3     |   7 - 7   |    | T8636c73 |             |
He I      |                            |          |             1943.363899    |  0.000010    |       | 6.200e+03    | AA   | [23.73700985]  -  [24.37482326] | 1s.4f  | 1F*  | 3     | 1s.8g  | 3G   | 4     |   7 - 9   |    | T8636c73 |             |
He I      |                            |          |             1943.670731    |  0.000010    |       | 2.445e+03    | AA   | [23.73700693]  -  [24.37471966] | 1s.4f  | 3F*  | 3     | 1s.8d  | 1D   | 2     |   7 - 5   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1943.679616    |  0.000010    |       | 4.4094e+03   | AAA  | [23.73700985]  -  [24.37471966] | 1s.4f  | 1F*  | 3     | 1s.8d  | 1D   | 2     |   7 - 5   |    | T8636c73 |             |
He I      |                            |          |             1943.788522    |  0.000010    |       | 3.9611e+03   | AAA  | [23.73700693]  -  [24.37468102] | 1s.4f  | 3F*  | 3     | 1s.8d  | 3D   | 2     |   7 - 5   |    | T8636c73 |             |
He I      |                            |          |             1943.788583    |  0.000010    |       | 3.4865e+02   | AAA  | [23.73700693]  -  [24.37468100] | 1s.4f  | 3F*  | 3     | 1s.8d  | 3D   | 3     |   7 - 7   |    | T8636c73 |             |
He I      |                            |          |             1943.791281    |  0.000010    |       | 6.3528e+03   | AAA  | [23.73700782]  -  [24.37468100] | 1s.4f  | 3F*  | 4     | 1s.8d  | 3D   | 3     |   9 - 7   |    | T8636c73 |             |
He I      |                            |          |             1943.793607    |  0.000010    |       | 6.9175e+03   | AAA  | [23.73700888]  -  [24.37468130] | 1s.4f  | 3F*  | 2     | 1s.8d  | 3D   | 1     |   5 - 3   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1943.794477    |  0.000010    |       | 7.6855e+02   | AAA  | [23.73700888]  -  [24.37468102] | 1s.4f  | 3F*  | 2     | 1s.8d  | 3D   | 2     |   5 - 5   |    | T8636c73 |             |
He I      |                            |          |             1943.797408    |  0.000010    |       | 2.188e+03    | AA   | [23.73700985]  -  [24.37468102] | 1s.4f  | 1F*  | 3     | 1s.8d  | 3D   | 2     |   7 - 5   |    | T8636c73 |             |
He I      |                            |          |             1943.797469    |  0.000010    |       | 2.004e+02    | AA   | [23.73700985]  -  [24.37468100] | 1s.4f  | 1F*  | 3     | 1s.8d  | 3D   | 3     |   7 - 7   |    | T8636c73 |             |
He I      |                            |          |             1945.425299    |  0.000012    |       | 1.5207e+05   | AAA  | [23.67357071]  -  [24.31070830] | 1s.4s  | 1S   | 0     | 1s.7p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |             |
He I      |                            |          |             1951.741507    |  0.000010    |       | 4.8183e+04   | AAA  | [23.73609031]  -  [24.37116600] | 1s.4d  | 3D   | 3     | 1s.8p  | 3P*  | 2     |   7 - 5   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1951.741555    |  0.000010    |       | 4.3015e+04   | AAA  | [23.73609046]  -  [24.37116613] | 1s.4d  | 3D   | 2     | 1s.8p  | 3P*  | 1     |   5 - 3   |    | T8636c73 |             |
He I      |                            |          |             1951.741965    |  0.000010    |       | 8.6030e+03   | AAA  | [23.73609046]  -  [24.37116600] | 1s.4d  | 3D   | 2     | 1s.8p  | 3P*  | 2     |   5 - 5   |    | T8636c73 |             |
He I      |                            |          |             1951.743579    |  0.000010    |       | 5.7360e+04   | AAA  | [23.73609276]  -  [24.37116777] | 1s.4d  | 3D   | 1     | 1s.8p  | 3P*  | 0     |   3 - 1   |    | T8636c73 |             |
He I      |                            |          |             1951.748612    |  0.000010    |       | 1.4340e+04   | AAA  | [23.73609276]  -  [24.37116613] | 1s.4d  | 3D   | 1     | 1s.8p  | 3P*  | 1     |   3 - 3   |    | T8636c73 |             |
He I      |                            |          |             1951.749022    |  0.000010    |       | 5.7360e+02   | AAA  | [23.73609276]  -  [24.37116600] | 1s.4d  | 3D   | 1     | 1s.8p  | 3P*  | 2     |   3 - 5   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1954.283830    |  0.000010    |       | 6.4534e+05   | AAA  | [23.07365663]  -  [23.70790615] | 1s.3d  | 3D   | 1     | 1s.4p  | 3P*  | 0     |   3 - 1   |    | T8636c73 |             |
He I      |             1954.308       |  0.010   |             1954.309092    |  0.000010    |    20 | 4.8389e+05   | AAA  | [23.07365115]  -  [23.70789247] | 1s.3d  | 3D   | 2     | 1s.4p  | 3P*  | 1     |   5 - 3   |    | T8636c73 |       L885  |
He I      |                            |          |             1954.311569    |  0.000010    |       | 5.4209e+05   | AAA  | [23.07365084]  -  [23.70789135] | 1s.3d  | 3D   | 3     | 1s.4p  | 3P*  | 2     |   7 - 5   |    | T8636c73 |             |
He I      |                            |          |             1954.312529    |  0.000010    |       | 9.6778e+04   | AAA  | [23.07365115]  -  [23.70789135] | 1s.3d  | 3D   | 2     | 1s.4p  | 3P*  | 2     |   5 - 5   |    | T8636c73 |             |
He I      |                            |          |             1954.325979    |  0.000010    |       | 1.6134e+05   | AAA  | [23.07365663]  -  [23.70789247] | 1s.3d  | 3D   | 1     | 1s.4p  | 3P*  | 1     |   3 - 3   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             1954.329416    |  0.000010    |       | 6.4534e+03   | AAA  | [23.07365663]  -  [23.70789135] | 1s.3d  | 3D   | 1     | 1s.4p  | 3P*  | 2     |   3 - 5   |    | T8636c73 |             |
He I      |                            |          |             1955.615768    |  0.000010    |       | 1.150e+02    | AA   | [23.07407493]  -  [23.70789247] | 1s.3d  | 1D   | 2     | 1s.4p  | 3P*  | 1     |   5 - 3   |    | T8636c73 |             |
He I      |                            |          |             1955.619209    |  0.000010    |       | 2.354e+01    | AA   | [23.07407493]  -  [23.70789135] | 1s.3d  | 1D   | 2     | 1s.4p  | 3P*  | 2     |   5 - 5   |    | T8636c73 |             |
He I      |                            |          |             1959.226457    |  0.000010    |       | 3.5063e+05   | AAA  | [23.74207019]  -  [24.37471966] | 1s.4p  | 1P*  | 1     | 1s.8d  | 1D   | 2     |   3 - 5   |    | T8636c73 |             |
He I      |                            |          |             1982.856752    |  0.000010    |       | 2.8512e+05   | AAA  | [23.74207019]  -  [24.36718020] | 1s.4p  | 1P*  | 1     | 1s.8s  | 1S   | 0     |   3 - 1   |    | T8636c73 |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             2043.041148    |  0.000010    |       | 1.1524e+05   | AAA  | [23.59395884]  -  [24.20081983] | 1s.4s  | 3S   | 1     | 1s.6p  | 3P*  | 0     |   3 - 1   |    | T8636c73 |             |
He I      |                            |          |             2043.054389    |  0.000010    |       | 1.1524e+05   | AAA  | [23.59395884]  -  [24.20081590] | 1s.4s  | 3S   | 1     | 1s.6p  | 3P*  | 1     |   3 - 3   |    | T8636c73 |             |
He I      |                            |          |             2043.055468    |  0.000010    |       | 1.1524e+05   | AAA  | [23.59395884]  -  [24.20081557] | 1s.4s  | 3S   | 1     | 1s.6p  | 3P*  | 2     |   3 - 5   |    | T8636c73 |             |
He I      |             2058.692       |  0.010   |             2058.690463    |  0.000003    |  1000 | 1.9746e+06   | AAA  | [20.61577496]  -  [21.21802284] | 1s.2s  | 1S   | 0     | 1s.2p  | 1P*  | 1     |   1 - 3   |    | T8636c73 |       L366  |
He I      |                            |          |             2060.735852    |  0.000003    |       | 1.4462e+04   | AAA  | [23.70789135]  -  [24.30954147] | 1s.4p  | 3P*  | 2     | 1s.7d  | 3D   | 1     |   5 - 3   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             2060.737313    |  0.000003    |       | 1.3015e+05   | AAA  | [23.70789135]  -  [24.30954105] | 1s.4p  | 3P*  | 2     | 1s.7d  | 3D   | 2     |   5 - 5   |    | T8636c73 |             |
He I      |                            |          |             2060.737415    |  0.000003    |       | 5.2063e+05   | AAA  | [23.70789135]  -  [24.30954102] | 1s.4p  | 3P*  | 2     | 1s.7d  | 3D   | 3     |   5 - 7   |    | T8636c73 |             |
He I      |                            |          |             2060.739673    |  0.000003    |       | 2.1693e+05   | AAA  | [23.70789247]  -  [24.30954147] | 1s.4p  | 3P*  | 1     | 1s.7d  | 3D   | 1     |   3 - 3   |    | T8636c73 |             |
He I      |                            |          |             2060.741133    |  0.000003    |       | 3.9044e+05   | AAA  | [23.70789247]  -  [24.30954105] | 1s.4p  | 3P*  | 1     | 1s.7d  | 3D   | 2     |   3 - 5   |    | T8636c73 |             |
He I      |                            |          |             2060.786526    |  0.000003    |       | 2.8924e+05   | AAA  | [23.70790615]  -  [24.30954147] | 1s.4p  | 3P*  | 0     | 1s.7d  | 3D   | 1     |   1 - 3   |    | T8636c73 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             2068.141256    |  0.000009    |       | 1.3064e+00   | AAA  | [23.07407493]  -  [23.67357071] | 1s.3d  | 1D   | 2     | 1s.4s  | 1S   | 0     |   5 - 1   | E2 |    T7378 |             |
He I      |             2112.583       |  0.010   |             2112.578756    |  0.000011    |   80* | 3.6179e+06   | AAA  | [23.00707327]  -  [23.59395884] | 1s.3p  | 3P*  | 2     | 1s.4s  | 3S   | 1     |   5 - 3   |    | T8636c73 |       L885  |
He I      |             2112.583       |  0.010   |             2112.588563    |  0.000011    |   80* | 2.1707e+06   | AAA  | [23.00707600]  -  [23.59395884] | 1s.3p  | 3P*  | 1     | 1s.4s  | 3S   | 1     |   3 - 3   |    | T8636c73 |       L885  |
He I      |             2112.720       |  0.010   |             2112.709360    |  0.000011    |    10 | 7.2358e+05   | AAA  | [23.00710955]  -  [23.59395884] | 1s.3p  | 3P*  | 0     | 1s.4s  | 3S   | 1     |   1 - 3   |    | T8636c73 |       L885  |
He I      |             2113.780       |  0.010   |             2113.779949    |  0.000009    |    20 | 4.5925e+06   | AAA  | [23.08701866]  -  [23.67357071] | 1s.3p  | 1P*  | 1     | 1s.4s  | 1S   | 0     |   3 - 1   |    | T8636c73 |       L885  |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |                            |          |             2149.984645    |  0.000003    |       | 3.0673e+05   | AAA  | [23.70789135]  -  [24.28456616] | 1s.4p  | 3P*  | 2     | 1s.7s  | 3S   | 1     |   5 - 3   |    | T8636c73 |             |
He I      |                            |          |             2149.988804    |  0.000003    |       | 1.8404e+05   | AAA  | [23.70789247]  -  [24.28456616] | 1s.4p  | 3P*  | 1     | 1s.7s  | 3S   | 1     |   3 - 3   |    | T8636c73 |             |
