----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
                       |        |   1 |    3 |        13.1314182   |                    |          
                       |        |   2 |    5 |        13.1314182   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).7s       | 5S*    |   2 |    5 |        13.2099402   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).7s       | 3S*    |   1 |    3 |        13.2201788   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).6d       | 5D*    |   4 |    9 |        13.2354925   |                    |          
                       |        |   3 |    7 |        13.2354938   |                    |          
                       |        |   2 |    5 |        13.2354958   |                    |          
                       |        |   1 |    3 |        13.2354974   |                    |          
                       |        |   0 |    1 |        13.2354983   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).6d       | 3D*    |   1 |    3 |        13.2372724   |                    |          
                       |        |   2 |    5 |        13.2372724   |                    |          
                       |        |   3 |    7 |        13.2372724   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).6f       | 5F     |   3 |    7 |        13.2396724   |                    |          
                       |        |   1 |    3 |        13.2396724   |                    |          
                       |        |   4 |    9 |        13.2396724   |                    |          
                       |        |   2 |    5 |        13.2396724   |                    |          
                       |        |   5 |   11 |        13.2396724   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).6f       | 3F     |   2 |    5 |        13.2396774   |                    |          
                       |        |   3 |    7 |        13.2396774   |                    |          
                       |        |   4 |    9 |        13.2396774   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).6g       | 5G*    |   4 |    9 |        13.2400124   |                    |          
                       |        |   2 |    5 |        13.2400124   |                    |          
                       |        |   5 |   11 |        13.2400124   |                    |          
                       |        |   3 |    7 |        13.2400124   |                    |          
                       |        |   6 |   13 |        13.2400124   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).6g       | 3G*    |   3 |    7 |        13.2400124   |                    |          
                       |        |   4 |    9 |        13.2400124   |                    |          
                       |        |   5 |   11 |        13.2400124   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).8s       | 5S*    |   2 |    5 |        13.3216105   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).8s       | 3S*    |   1 |    3 |        13.3279570   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).7d       | 5D*    |   4 |    9 |        13.3374111   |                    |          
                       |        |   3 |    7 |        13.3374121   |                    |          
                       |        |   2 |    5 |        13.3374134   |                    |          
                       |        |   1 |    3 |        13.3374146   |                    |          
                       |        |   0 |    1 |        13.3374151   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).7d       | 3D*    |   3 |    7 |        13.3385643   |                    |          
                       |        |   1 |    3 |        13.3385643   |                    |          
                       |        |   2 |    5 |        13.3385643   |                    |          
