----------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                     | Reference
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | b 2H   |  9/2 |   10 |         4.41511554   |          0.00000010  |          |  61         :    37  3d4.(3H).4s   2H   | L18847,L7185
                       |        | 11/2 |   12 |         4.42716179   |          0.00000008  |          |  58         :    42  3d4.(3H).4s   2H   | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | a 2G   |  7/2 |    8 |         4.47601845   |          0.00000014  |          |                                         |       L18847
                       |        |  9/2 |   10 |         4.49721894   |          0.00000014  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3D).4s            | c 4D   |  7/2 |    8 |         4.74482185   |          0.00000012  |          |                                         |       L18847
                       |        |  5/2 |    6 |         4.75043404   |          0.00000012  |          |                                         |       L18847
                       |        |  3/2 |    4 |         4.75632937   |          0.00000010  |          |                                         |       L18847
                       |        |  1/2 |    2 |         4.76052080   |          0.00000025  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3G).4s            | b 2G   |  7/2 |    8 |         4.77449780   |          0.00000009  |    0.910 |                                         | L18847,L7185
                       |        |  9/2 |   10 |         4.78120293   |          0.00000008  |    1.100 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 1G).4s          | c 2G   |  7/2 |    8 |         4.92015380   |          0.00000014  |          |                                         |       L18847
                       |        |  9/2 |   10 |         4.93759131   |          0.00000014  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | c 2F   |  5/2 |    6 |         4.92738497   |          0.00000014  |          |                                         |       L18847
                       |        |  7/2 |    8 |         4.94412214   |          0.00000012  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(1I).4s            | b 2I   | 13/2 |   14 |         4.98442588   |          0.00000010  |          |                                         |       L18847
                       |        | 11/2 |   12 |         4.98767263   |          0.00000010  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 1S).4s          | a 2S   |  1/2 |    2 |         5.0108313    |          0.0000004   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(3D).4s            | b 2D   |  5/2 |    6 |         5.31866856   |          0.00000014  |          |                                         |       L18847
                       |        |  3/2 |    4 |         5.32965854   |          0.00000016  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | b 2S   |  1/2 |    2 |         5.4933774    |          0.0000004   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 1D).4s          | c 2D   |  3/2 |    4 |         5.66228367   |          0.00000016  |          |                                         |       L18847
                       |        |  5/2 |    6 |         5.66987060   |          0.00000013  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4p            | z 6F*  |  1/2 |    2 |         5.80535004   |          0.00000009  |   -0.689 | 100                                     | L18847,L7185
                       |        |  3/2 |    4 |         5.81549580   |          0.00000008  |    1.124 | 100                                     | L18847,L7185
                       |        |  5/2 |    6 |         5.83225080   |          0.00000008  |    1.314 | 100                                     | L18847,L7185
                       |        |  7/2 |    8 |         5.85542879   |          0.00000008  |    1.378 | 100                                     | L18847,L7185
                       |        |  9/2 |   10 |         5.88485500   |          0.00000008  |    1.416 | 100                                     | L18847,L7185
                       |        | 11/2 |   12 |         5.92044384   |          0.00000008  |          | 100                                     | L18847,L7185
