-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level              |                Upper level                |  gi   gk  |Type|         TP  |                       Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |      Int. |   (s^-1)    |      |          (eV)         (eV)          |---------------------------------------|-------------------------------------------|           |    |        Ref. |                       Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |           |             |      |                                     | Conf.                | Term     | J   | Conf.                | Term     | J       |           |    |             |                             |
Cu II     |          202.9471   |  0.0003   |          202.947227 |  0.000017 |     37000 |             |      |      9.0166041   -      15.12382234 | 3d8.4s2              | 3F       | 2   | 3d8.(3F).4s.4p.(3P*) | 1D*      | 2       |   5 - 5   |    |             |                 L19804c170  |
Cu II     |          202.99491  |  0.00007  |          202.994908 |  0.000007 |    560000 | 8.0e+07     | B    |      8.23486734  -      14.34065127 | 3d9.4p               | 3P*      | 2   | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1       |   5 - 3   |    |       T8003 |                 L19804c167  |
Cu II     |          203.103579 |  0.000017 |          203.103598 |  0.000007 |   2700000 | 4.5e+08     | B    |      8.23486734  -      14.33738425 | 3d9.4p               | 3P*      | 2   | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2       |   5 - 5   |    |       T8003 |                 L19804c167  |
Cu II     |          203.3844   |  0.0003   |          203.384242 |  0.000009 |     62000 | 8.9e+06     | C+   |      8.52154394  -      14.61564135 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<3/2>).4d     | 2[7/2]   | 4       |   9 - 9   |    |       T8003 |                 L19804c170  |
Cu II     |          203.585321 |  0.000007 |          203.585327 |  0.000006 |  19000000 | 3.7e+08     | C+   |      2.97541887  -       9.06349786 | 3d9.4s               | 3D       | 1   | 3d9.4p               | 3D*      | 1       |   3 - 3   |    |       T3103 |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          203.69201  |  0.00003  |          203.692001 |  0.000010 |    730000 | 1.9e+08     | C    |      8.53634457  -      14.62123567 | 3d9.4p               | 3P*      | 0   | 3d9.(2D<3/2>).4d     | 2[3/2]   | 1       |   1 - 3   |    |       T7181 |                 L19804c167  |
Cu II     |          203.712672 |  0.000006 |          203.712668 |  0.000005 |  13000000 | 1.36e+08    | B    |      2.83268154  -       8.91695539 | 3d9.4s               | 3D       | 2   | 3d9.4p               | 3D*      | 3       |   5 - 7   |    |      T6136n |                 L19804c167  |
Cu II     |          204.38019  |  0.00005  |          204.380148 |  0.000008 |  21000000 | 1.42e+08    | C+   |      2.71881631  -       8.78322242 | 3d9.4s               | 3D       | 3   | 3d9.4p               | 1F*      | 3       |   7 - 7   |    |      T3103n |                   L869c171  |
Cu I      |          204.5692   |  0.0004   |          204.56914  |  0.00021  |       15a |             |      |      1.388948    -       7.447752   | 3d9.4s2              | 2D       | 5/2 | 3d10.9p              | 2P*      | 3/2     |   6 - 4   |    |             |                      L4958  |
Cu II     |          204.767825 |  0.000016 |          204.767825 |  0.000013 |   1300000 | 5.32e+08    | B+   |      9.12471797  -      15.1776442  | 3d9.4p               | 1P*      | 1   | 3d9.(2D<3/2>).4d     | 2[1/2]   | 0       |   3 - 1   |    |       T8646 |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          205.425259 |  0.000021 |          205.425263 |  0.000009 |    810000 | 1.4e+08     | C    |      8.66252603  -      14.69608321 | 3d9.4p               | 3F*      | 2   | 3d9.(2D<3/2>).4d     | 2[5/2]   | 2       |   5 - 5   |    |       T7181 |                 L19804c167  |
Cu II     |          205.44171  |  0.00003  |          205.441739 |  0.000009 |    960000 | 6.7e+08     | C    |      8.42057983  -      14.45365319 | 3d9.4p               | 3P*      | 1   | 3d9.(2D<5/2>).4d     | 2[1/2]   | 0       |   3 - 1   |    |       T7181 |                 L19804c167  |
Cu II     |          205.497836 |  0.000006 |          205.497836 |  0.000005 |  18000000 | 1.65e+08    | C+   |      2.83268154  -       8.86410821 | 3d9.4s               | 3D       | 2   | 3d9.4p               | 1D*      | 2       |   5 - 5   |    |      T3103n |                 L19804c167  |
Cu I      |          205.768    |  0.002    |          205.7683   |  0.0006   |        2a |             |      |      1.6422256   -       7.665725   | 3d9.4s2              | 2D       | 3/2 | 3d10.17p             | 2P*      | 1/2,3/2 |   4 - 6   |    |             |                      L4958  |
Cu II     |          205.8611   |  0.0003   |          205.861377 |  0.000013 |     49000 |             |      |      8.8687808   -      14.88955769 | 3d8.4s2              | 3F       | 3   | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 2       |   7 - 5   |    |             |                 L19804c170  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          206.076    |  0.002    |          206.0758   |  0.0009   |       2a* |             |      |      1.6422256   -       7.65674    | 3d9.4s2              | 2D       | 3/2 | 3d10.16p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu I      |          206.076    |  0.002    |          206.0760   |  0.0008   |       2a* |             |      |      1.6422256   -       7.656732   | 3d9.4s2              | 2D       | 3/2 | 3d10.16p             | 2P*      | 3/2     |   4 - 4   |    |             |                      L4958  |
Cu II     |          206.24201  |  0.00004  |          206.242011 |  0.000007 |   1500000 | 1.7e+08     | C    |      8.42057983  -      14.43024639 | 3d9.4p               | 3P*      | 1   | 3d9.(2D<5/2>).4d     | 2[5/2]   | 2       |   3 - 5   |    |       T7181 |                 L19804c167  |
Cu I      |          206.458    |  0.002    |          206.4583   |  0.0009   |       2a* |             |      |      1.6422256   -       7.64560    | 3d9.4s2              | 2D       | 3/2 | 3d10.15p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu I      |          206.458    |  0.002    |          206.4585   |  0.0009   |       2a* |             |      |      1.6422256   -       7.645592   | 3d9.4s2              | 2D       | 3/2 | 3d10.15p             | 2P*      | 3/2     |   4 - 4   |    |             |                      L4958  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          206.62609  |  0.00005  |          206.626109 |  0.000011 |    960000 | 2.00e+08    | B+   |      8.53634457  -      14.5348412  | 3d9.4p               | 3P*      | 0   | 3d9.(2D<3/2>).4d     | 2[1/2]   | 1       |   1 - 3   |    |       T8003 |                 L19804c167  |
Cu II     |          206.7368   |  0.0003   |          206.736392 |  0.000018 |     35000 |             |      |      9.0166041   -      15.01190125 | 3d8.4s2              | 3F       | 2   | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 3       |   5 - 7   |    |             |                 L19804c170  |
Cu I      |          206.8321   |  0.0017   |          206.8315   |  0.0007   |         5 |             |      |      3.8166920   -       9.809232   | 3d10.4p              | 2P*      | 3/2 | 3d9.4s.(3D).5d       | 4F       | 5/2     |   4 - 6   |    |             |                       L772  |
Cu I      |          206.941    |  0.002    |          206.9422   |  0.0013   |       3a* |             |      |      1.6422256   -       7.631562   | 3d9.4s2              | 2D       | 3/2 | 3d10.14p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu I      |          206.941    |  0.002    |          206.9433   |  0.0021   |       3a* |             |      |      1.6422256   -       7.631530   | 3d9.4s2              | 2D       | 3/2 | 3d10.14p             | 2P*      | 3/2     |   4 - 4   |    |             |                      L4958  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          206.99356  |  0.00013  |          206.993487 |  0.000008 |    240000 | 3.7e+07     | C    |      8.66252603  -      14.65037773 | 3d9.4p               | 3F*      | 2   | 3d9.(2D<3/2>).4d     | 2[3/2]   | 2       |   5 - 5   |    |       T7181 |                 L19804c167  |
Cu II     |          207.4213   |  0.0003   |          207.420995 |  0.000018 |     39000 |             |      |      9.0166041   -      14.99211602 | 3d8.4s2              | 3F       | 2   | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 1       |   5 - 3   |    |             |                 L19804c170  |
Cu II     |                     |           |          207.424066 |  0.000013 |         m |             |      |     10.9856317   -      16.9610552  | 3d8.4s2              | 3P       | 1   | 3d8.(3F).4s.4p.(1P*) | 3D*      | 2       |   3 - 5   |    |             |                 L19804c170  |
Cu I      |          207.566    |  0.002    |          207.5662   |  0.0004   |        5a |             |      |      1.6422256   -       7.613558   | 3d9.4s2              | 2D       | 3/2 | 3d10.13p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu II     |          207.866147 |  0.000010 |          207.866153 |  0.000007 |   6700000 | 6.3e+08     | B+   |      8.23486734  -      14.19758401 | 3d9.4p               | 3P*      | 2   | 3d9.(2D<5/2>).4d     | 2[1/2]   | 1       |   5 - 3   |    |       T8003 |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          207.9534   |  0.0004   |          207.95343  |  0.00022  |       15a |             |      |      1.388948    -       7.349162   | 3d9.4s2              | 2D       | 5/2 | 3d10.8p              | 2P*      | 3/2     |   6 - 4   |    |             |                      L4958  |
Cu II     |          208.00593  |  0.00013  |          208.005953 |  0.000010 |    210000 | 4.9e+07     | C    |      8.66252603  -      14.62123567 | 3d9.4p               | 3F*      | 2   | 3d9.(2D<3/2>).4d     | 2[3/2]   | 1       |   5 - 3   |    |       T7181 |                   L869c171  |
Cu II     |          208.2920   |  0.0020   |          208.291535 |  0.000007 |     56000 | 1.0e+06     | E    |      2.83268154  -       8.78322242 | 3d9.4s               | 3D       | 2   | 3d9.4p               | 1F*      | 3       |   5 - 7   |    |      T3103n |                 L14468c171  |
Cu I      |          208.3911   |  0.0004   |          208.3911   |  0.0003   |        6a |             |      |      1.6422256   -       7.589923   | 3d9.4s2              | 2D       | 3/2 | 3d10.12p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu II     |          208.43229  |  0.00020  |          208.432369 |  0.000022 |    170000 |             |      |      8.64228147  -      14.5888022  | 3d8.4s2              | 3F       | 4   | 3d8.(3F).4s.4p.(3P*) | 3F*      | 4       |   9 - 9   |    |             |                 L19804c170  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          208.52735  |  0.00009  |          208.527476 |  0.000007 |    860000 | 6.7e+07     | C    |      8.48643747  -      14.43024639 | 3d9.4p               | 3F*      | 3   | 3d9.(2D<5/2>).4d     | 2[5/2]   | 2       |   7 - 5   |    |       T7181 |                   L869c171  |
Cu II     |          208.5297   |  0.0004   |          208.530956 |  0.000008 |   2500000 | 4.1e+06     | C+   |      2.71881631  -       8.66252603 | 3d9.4s               | 3D       | 3   | 3d9.4p               | 3F*      | 2       |   7 - 5   |    |      T3103n |                 L19804c170  |
Cu XV     |          208.53     |  0.10     |          208.5+     |  0.4      |           | 2.81e+02    | C    |      0.0000      -       5.944      | 3s2.3p3              | 4S*      | 3/2 | 3s2.3p3              | 2D*      | 3/2     |   4 - 4   | M1 |       T4931 |                      L6103  |
Cu II     |          208.791812 |  0.000012 |          208.791817 |  0.000008 |   3400000 | 4.2e+08     | B    |      8.66252603  -      14.59881073 | 3d9.4p               | 3F*      | 2   | 3d9.(2D<3/2>).4d     | 2[7/2]   | 3       |   5 - 7   |    |       T7181 |                 L19804c167  |
Cu II     |          208.796979 |  0.000024 |          208.796987 |  0.000007 |   3700000 | 2.6e+08     | C    |      8.48643747  -      14.42257518 | 3d9.4p               | 3F*      | 3   | 3d9.(2D<5/2>).4d     | 2[7/2]   | 3       |   7 - 7   |    |       T7181 |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          209.36366  |  0.00005  |          209.363705 |  0.000007 |   2400000 | 2.20e+08    | B    |      8.42057983  -      14.34065127 | 3d9.4p               | 3P*      | 1   | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1       |   3 - 3   |    |       T8003 |                   L869c171  |
Cu II     |          209.47925  |  0.00009  |          209.479321 |  0.000007 |    290000 | 2.21e+07    | C+   |      8.42057983  -      14.33738425 | 3d9.4p               | 3P*      | 1   | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2       |   3 - 5   |    |       T8003 |                   L869c171  |
Cu I      |          209.5161   |  0.0004   |          209.5159   |  0.0004   |        8a |             |      |      1.6422256   -       7.557999   | 3d9.4s2              | 2D       | 3/2 | 3d10.11p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu I      |          209.529    |  0.002    |          209.52925  |  0.00022  |        3a |             |      |      1.6422256   -       7.557620   | 3d9.4s2              | 2D       | 3/2 | 3d10.11p             | 2P*      | 3/2     |   4 - 4   |    |             |                      L4958  |
Cu II     |          209.61891  |  0.00014  |          209.619052 |  0.000009 |    120000 | 1.6e+07     | C    |      8.78322242  -      14.69608321 | 3d9.4p               | 1F*      | 3   | 3d9.(2D<3/2>).4d     | 2[5/2]   | 2       |   7 - 5   |    |       T7181 |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          209.83067  |  0.00003  |          209.830677 |  0.000009 |   1200000 | 1.01e+08    | C    |      8.78322242  -      14.69012052 | 3d9.4p               | 1F*      | 3   | 3d9.(2D<3/2>).4d     | 2[5/2]   | 3       |   7 - 7   |    |       T7181 |                 L19804c167  |
Cu II     |          209.83971  |  0.00002  |          209.839724 |  0.000009 |   5000000 | 2.09e+08    | B    |      8.52154394  -      14.42818740 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<5/2>).4d     | 2[7/2]   | 4       |   9 - 9   |    |       T8003 |                 L19804c167  |
Cu II     |          209.87405  |  0.00009  |          209.874108 |  0.000007 |    300000 | 2.0e+07     | C    |      8.48643747  -      14.39211337 | 3d9.4p               | 3F*      | 3   | 3d9.(2D<5/2>).4d     | 2[5/2]   | 3       |   7 - 7   |    |       T7181 |                   L869c171  |
Cu II     |          210.0397   |  0.0003   |          210.039318 |  0.000009 |     53000 |             |      |      8.52154394  -      14.42257518 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<5/2>).4d     | 2[7/2]   | 3       |   9 - 7   |    |             |                 L19804c170  |
Cu II     |          210.479587 |  0.000006 |          210.479586 |  0.000005 |  62000000 | 7.7e+07     | C+   |      2.97541887  -       8.86410821 | 3d9.4s               | 3D       | 1   | 3d9.4p               | 1D*      | 2       |   3 - 5   |    |      T3103n |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          210.5112   |  0.0004   |          210.51146  |  0.00035  |       10a |             |      |      1.388948    -       7.276745   | 3d9.4s2              | 2D       | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2D*      | 3/2     |   6 - 4   |    |             |                      L4958  |
Cu II     |          210.63816  |  0.00011  |          210.63791  |  0.00003  |    240000 |             |      |      8.8687808   -      14.7530445  | 3d8.4s2              | 3F       | 3   | 3d8.(3F).4s.4p.(3P*) | 1G*      | 4       |   7 - 9   |    |             |                 L19804c167  |
Cu II     |          211.0308   |  0.0003   |          211.030833 |  0.000014 |     90000 |             |      |     10.9554918   -      16.8288007  | 3d8.4s2              | 3P       | 2   | 3d8.(3F).4s.4p.(1P*) | 3D*      | 3       |   5 - 7   |    |             |                 L19804c170  |
Cu I      |          211.1006   |  0.0004   |          211.1007   |  0.0003   |       10a |             |      |      1.6422256   -       7.513590   | 3d9.4s2              | 2D       | 3/2 | 3d10.10p             | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
Cu I      |          211.1280   |  0.0007   |          211.12789  |  0.00022  |        4a |             |      |      1.6422256   -       7.512835   | 3d9.4s2              | 2D       | 3/2 | 3d10.10p             | 2P*      | 3/2     |   4 - 4   |    |             |                      L4958  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          211.12934  |  0.00004  |          211.129323 |  0.000009 |    860000 | 6.6e+07     | C    |      8.52154394  -      14.39211337 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<5/2>).4d     | 2[5/2]   | 3       |   9 - 7   |    |       T7181 |                   L869c171  |
Cu II     |          211.209930 |  0.000019 |          211.209946 |  0.000010 |  55000000 | 3.5e+08     | C+   |      3.25638918  -       9.12471797 | 3d9.4s               | 1D       | 2   | 3d9.4p               | 1P*      | 1       |   5 - 3   |    |      T3103n |                 L19804c167  |
Cu II     |          211.25245  |  0.00014  |          211.252195 |  0.000009 |    110000 | 1.2e+07     | C    |      8.78322242  -      14.65037773 | 3d9.4p               | 1F*      | 3   | 3d9.(2D<3/2>).4d     | 2[3/2]   | 2       |   7 - 5   |    |       T7181 |                   L869c171  |
Cu I      |          211.326    |  0.006    |          211.3238   |  0.0022   |        2h |             |      |      3.7858976   -       9.651066   | 3d10.4p              | 2P*      | 1/2 | 3d9.4s.(3D).5d       | 4P       | 3/2     |   2 - 4   |    |             |                       L772  |
Cu II     |          211.730881 |  0.000010 |          211.730874 |  0.000008 |  12000000 | 7.2e+08     | B    |      8.48643747  -      14.34032994 | 3d9.4p               | 3F*      | 3   | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4       |   7 - 9   |    |       T8003 |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          211.83748  |  0.00020  |          211.837484 |  0.000008 |    260000 | 2.7e+07     | B    |      8.48643747  -      14.33738425 | 3d9.4p               | 3F*      | 3   | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2       |   7 - 5   |    |       T8003 |                 L19804c170  |
Cu II     |          212.297861 |  0.000013 |          212.297858 |  0.000007 |  71000000 | 2.2e+08     | C+   |      3.25638918  -       9.09464949 | 3d9.4s               | 1D       | 2   | 3d9.4p               | 3D*      | 2       |   5 - 5   |    |      T3103n |                 L19804c167  |
Cu I      |          212.435    |  0.006    |          212.4393   |  0.0041   |        5h |             |      |      3.8166920   -       9.651066   | 3d10.4p              | 2P*      | 3/2 | 3d9.4s.(3D).5d       | 4P       | 3/2     |   4 - 4   |    |             |                       L772  |
Cu II     |          212.510512 |  0.000012 |          212.510507 |  0.000008 |   3800000 | 2.28e+08    | B+   |      8.78322242  -      14.61564135 | 3d9.4p               | 1F*      | 3   | 3d9.(2D<3/2>).4d     | 2[7/2]   | 4       |   7 - 9   |    |       T8003 |                 L19804c167  |
Cu II     |          212.52670  |  0.00005  |          212.526686 |  0.000009 |    610000 | 6.6e+07     | C    |      8.86410821  -      14.69608321 | 3d9.4p               | 1D*      | 2   | 3d9.(2D<3/2>).4d     | 2[5/2]   | 2       |   5 - 5   |    |       T7181 |                 L19804c167  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          212.604361 |  0.000007 |          212.604362 |  0.000006 |  74000000 | 1.41e+08    | B    |      2.83268154  -       8.66252603 | 3d9.4s               | 3D       | 2   | 3d9.4p               | 3F*      | 2       |   5 - 5   |    |      T6136n |                 L19804c167  |
Cu II     |          213.00848  |  0.00005  |          213.008459 |  0.000010 |   1000000 | 4.4e+07     | B+   |      8.52154394  -      14.34032994 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4       |   9 - 9   |    |       T8003 |                   L869c171  |
Cu I      |          213.0762   |  0.0021   |          213.0762   |  0.0004   |       50r |             |      |      1.388948    -       7.205883   | 3d9.4s2              | 2D       | 5/2 | 3d9.(2D).4s.4p.(1P*) | 2F*      | 5/2     |   6 - 6   |    |             |                       L772  |
Cu II     |          213.12548  |  0.00006  |          213.125595 |  0.000009 |    190000 | 1.3e+07     | C    |      8.78322242  -      14.59881073 | 3d9.4p               | 1F*      | 3   | 3d9.(2D<3/2>).4d     | 2[7/2]   | 3       |   7 - 7   |    |       T7181 |                   L869c171  |
Cu I      |          213.4283   |  0.0004   |          213.4282   |  0.0003   |       10a |             |      |      1.6422256   -       7.449569   | 3d9.4s2              | 2D       | 3/2 | 3d10.9p              | 2P*      | 1/2     |   4 - 2   |    |             |                      L4958  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          213.43400  |  0.00004  |          213.434030 |  0.000009 |   9500000 | 7.7e+08     | B    |      8.52154394  -      14.32872908 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<5/2>).4d     | 2[9/2]   | 5       |   9 - 11  |    |       T7181 |                   L869c171  |
Cu I      |          213.4952   |  0.0004   |          213.49503  |  0.00027  |        7a |             |      |      1.6422256   -       7.447752   | 3d9.4s2              | 2D       | 3/2 | 3d10.9p              | 2P*      | 3/2     |   4 - 4   |    |             |                      L4958  |
Cu II     |          213.5399   |           |          213.539887 |  0.000009 |         : | 4.e+07      | E    |      8.53634457  -      14.34065127 | 3d9.4p               | 3P*      | 0   | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1       |   1 - 3   |    |      T8003n |                             |
Cu II     |          213.598008 |  0.000008 |          213.598004 |  0.000007 | 140000000 | 4.59e+08    | A+   |      2.71881631  -       8.52154394 | 3d9.4s               | 3D       | 3   | 3d9.4p               | 3F*      | 4       |   7 - 9   |    |       T6753 |                 L19804c167  |
