-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level              |                Upper level                |  gi   gk  |Type|         TP  |                       Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |      Int. |   (s^-1)    |      |          (eV)         (eV)          |---------------------------------------|-------------------------------------------|           |    |        Ref. |                       Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |           |             |      |                                     | Conf.                | Term     | J   | Conf.                | Term     | J       |           |    |             |                             |
Cu II     |          323.87160  |  0.00010  |          323.87141  |  0.00004  |      1900 |             |      |     14.98671559  -      18.8138032  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 2   | 3d9.(2D<5/2>).7d     | 2[7/2]   | 3       |   5 - 7   |    |             |                   L869c171  |
Cu II     |          323.88232  |  0.00008  |          323.88228  |  0.00006  |      5500 |             |      |     14.97602748  -      18.8029867  | 3d9.(2D<5/2>).5p     | 2[7/2]*  | 4   | 3d9.(2D<5/2>).7d     | 2[9/2]   | 5       |   9 - 11  |    |             |                   L869c171  |
Cu I      |          323.916    |  0.006    |          323.9154   |  0.0007   |      150h |             |      |      5.102380    -       8.928948   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 7/2 | 3d9.4s.(3D).4d       | 2G       | 7/2     |   8 - 8   |    |             |                       L772  |
Cu II     |          323.96499  |  0.00013  |          323.96507  |  0.00005  |       250 |             |      |     15.12382234  -      18.9498036  | 3d8.(3F).4s.4p.(3P*) | 1D*      | 2   | 3d9.(2D<3/2>).8s     | 2[3/2]   | 2       |   5 - 5   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          324.18139  |  0.00012  |          324.18139  |  0.00005  |       860 |             |      |     14.99211602  -      18.8155444  | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<5/2>).7d     | 2[5/2]   | 2       |   3 - 5   |    |             |                   L869c171  |
Cu II     |          324.2425   |  0.0010   |          324.24129  |  0.00005  |      250* |             |      |     14.98671559  -      18.8094376  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 2   | 3d9.(2D<5/2>).7d     | 2[5/2]   | 3       |   5 - 7   |    |             |              L869c171,c172  |
Cu II     |          324.2425   |  0.0010   |          324.24292  |  0.00007  |      250* |             |      |     15.12382234  -      18.9465251  | 3d8.(3F).4s.4p.(3P*) | 1D*      | 2   | 3d9.(2D<3/2>).8s     | 2[3/2]   | 1       |   5 - 3   |    |             |                   L869c171  |
Cu I      |          324.3164   |  0.0021   |          324.3161   |  0.0011   |     1500h |             |      |      5.102380    -       8.924220   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 7/2 | 3d9.4s.(3D).4d       | 4G       | 9/2     |   8 - 10  |    |             |                       L772  |
Cu II     |          324.59402  |  0.00014  |          324.59405  |  0.00006  |      1500 |             |      |     15.25214138  -      19.0707092  | 3d9.(2D<3/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<3/2>).7d     | 2[5/2]   | 3       |   7 - 7   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          324.67898  |  0.00022  |          324.67839  |  0.00007  |       620 |             |      |     15.23365822  -      19.0512341  | 3d9.(2D<3/2>).5p     | 2[1/2]*  | 1   | 3d9.(2D<3/2>).7d     | 2[1/2]   | 1       |   3 - 3   |    |             |                   L869c171  |
Cu I      |          324.7540   |  0.0021   |          324.75358  |  0.00042  |    10000r | 1.395e+08   | AA   |      0.0000000   -       3.8166920  | 3d10.4s              | 2S       | 1/2 | 3d10.4p              | 2P*      | 3/2     |   2 - 4   |    |       T6355 |                       L772  |
Cu II     |          325.04652  |  0.00008  |          325.04650  |  0.00004  |     11000 |             |      |     14.5348412   -      18.3480939  | 3d9.(2D<3/2>).4d     | 2[1/2]   | 1   | 3d9.(2D<3/2>).5f     | 2[3/2]*  | 2       |   3 - 5   |    |             |                   L869c171  |
Cu II     |          325.08739  |  0.00013  |          325.08733  |  0.00007  |      1200 |             |      |     14.99211602  -      18.8048898  | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<5/2>).7d     | 2[3/2]   | 1       |   3 - 3   |    |             |                   L869c171  |
Cu II     |          325.176    |  0.003    |          325.17620  |  0.00006  |      240* |             |      |     14.3027590   -      18.11449075 | 3d8.(3F).4s.4p.(3P*) | 3G*      | 4   | 3d9.(2D<5/2>).5g     | 2[11/2]  | 5       |   9 - 11  |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          325.176    |  0.003    |          325.17913  |  0.00005  |      240* |             |      |     14.99211602  -      18.8038135  | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<5/2>).7d     | 2[3/2]   | 2       |   3 - 5   |    |             |                   L869c171  |
Cu I      |          325.2220   |  0.0009   |          325.2220   |  0.0004   |       650 |             |      |      4.973503    -       8.784698   | 3d9.(2D).4s.4p.(3P*) | 4P*      | 3/2 | 3d9.4s.(3D).4d       | 2P       | 3/2     |   4 - 4   |    |             |                       L772  |
Cu II     |          325.27830  |  0.00008  |          325.27838  |  0.00006  |      2400 |             |      |     15.25214138  -      19.0626759  | 3d9.(2D<3/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<3/2>).7d     | 2[7/2]   | 4       |   7 - 9   |    |             |                   L869c171  |
Cu II     |          325.31078  |  0.00012  |          325.31070  |  0.00005  |      1200 |             |      |     13.39213290  -      17.2022888  | 3d9.(2D<5/2>).5s     | 2[5/2]   | 3   | 3d9.(2D<5/2>).6p     | 2[3/2]*  | 2       |   7 - 5   |    |             |                   L869c171  |
Cu II     |          325.71234  |  0.00016  |          325.71222  |  0.00005  |       240 |             |      |     13.43190338  -      17.2373624  | 3d9.(2D<5/2>).5s     | 2[5/2]   | 2   | 3d9.(2D<5/2>).6p     | 2[5/2]*  | 2       |   5 - 5   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          326.00249  |  0.00011  |          326.00253  |  0.00005  |      2400 |             |      |     15.01190125  -      18.8139716  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<5/2>).7d     | 2[7/2]   | 4       |   7 - 9   |    |             |                   L869c171  |
Cu II     |          326.01697  |  0.00017  |          326.01697  |  0.00004  |       240 |             |      |     15.01190125  -      18.8138032  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<5/2>).7d     | 2[7/2]   | 3       |   7 - 7   |    |             |                   L869c171  |
Cu II     |          326.16469  |  0.00008  |          326.16476  |  0.00003  |      1800 |             |      |     14.88955769  -      18.6897370  | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 2   | 3d9.(2D<5/2>).8s     | 2[5/2]   | 3       |   5 - 7   |    |             |                   L869c171  |
Cu II     |          326.35546  |  0.00014  |          326.35530  |  0.00007  |       350 |             |      |     14.99211602  -      18.7900768  | 3d9.(2D<5/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<5/2>).7d     | 2[1/2]   | 1       |   3 - 3   |    |             |                   L869c171  |
Cu II     |          326.39177  |  0.00011  |          326.39177  |  0.00004  |      3500 |             |      |     15.01190125  -      18.8094376  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<5/2>).7d     | 2[5/2]   | 3       |   7 - 7   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          326.53948  |  0.00014  |          326.53933  |  0.00006  |      1100 |             |      |     13.68365905  -      17.4794794  | 3d9.(2D<3/2>).5s     | 2[3/2]   | 2   | 3d9.(2D<3/2>).6p     | 2[1/2]*  | 1       |   5 - 3   |    |             |                   L869c171  |
Cu I      |          326.6023   |  0.0021   |          326.6009   |  0.0015   |      650h |             |      |      5.574734    -       9.369838   | 3d9.(2D).4s.4p.(3P*) | 2F*      | 7/2 | 3d9.4s.(1D).4d       | 2F       | 7/2     |   8 - 8   |    |             |                       L772  |
Cu II     |          326.80990  |  0.00016  |          326.80988  |  0.00007  |       230 |             |      |     15.1538470   -      18.9465251  | 3d9.(2D<3/2>).5p     | 2[1/2]*  | 0   | 3d9.(2D<3/2>).8s     | 2[3/2]   | 1       |   1 - 3   |    |             |                   L869c171  |
Cu II     |          326.81895  |  0.00014  |          326.81879  |  0.00005  |       450 |             |      |     15.01190125  -      18.8044759  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<5/2>).7d     | 2[9/2]   | 4       |   7 - 9   |    |             |                   L869c171  |
Cu I      |          326.8278   |  0.0021   |          326.8286   |  0.0010   |      650h |             |      |      5.153147    -       8.945607   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 5/2 | 3d9.4s.(3D).4d       | 2F       | 5/2     |   6 - 6   |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          326.87591  |  0.00013  |          326.87589  |  0.00005  |      1400 |             |      |     15.01190125  -      18.8038135  | 3d9.(2D<5/2>).5p     | 2[5/2]*  | 3   | 3d9.(2D<5/2>).7d     | 2[3/2]   | 2       |   7 - 5   |    |             |                   L869c171  |
Cu II     |          327.01104  |  0.00016  |          327.01113  |  0.00004  |      1000 |             |      |     14.6389756   -      18.4293197  | 3d8.(3F).4s.4p.(3P*) | 3D*      | 1   | 3d9.(2D<3/2>).6d     | 2[5/2]   | 2       |   3 - 5   |    |             |                   L869c171  |
Cu I      |          327.3957   |  0.0021   |          327.39521  |  0.00054  |    10000r | 1.376e+08   | AA   |      0.0000000   -       3.7858976  | 3d10.4s              | 2S       | 1/2 | 3d10.4p              | 2P*      | 1/2     |   2 - 2   |    |       T6355 |                       L772  |
Cu II     |          327.59027  |  0.00013  |          327.59057  |  0.00006  |      2200 |             |      |     15.2878495   -      19.0714894  | 3d9.(2D<3/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<3/2>).7d     | 2[5/2]   | 2       |   3 - 5   |    |             |                   L869c171  |
Cu I      |          327.7310   |  0.0009   |          327.7309   |  0.0004   |       650 |             |      |      5.153147    -       8.935167   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 5/2 | 3d9.4s.(3D).4d       | 4D       | 5/2     |   6 - 6   |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          327.89653  |  0.00023  |          327.89636  |  0.00004  |       210 |             |      |     14.6389756   -      18.4190872  | 3d8.(3F).4s.4p.(3P*) | 3D*      | 1   | 3d9.(2D<3/2>).6d     | 2[3/2]   | 2       |   3 - 5   |    |             |                   L869c171  |
Cu I      |          327.9815   |  0.0009   |          327.9809   |  0.0006   |      2000 |             |      |      1.6422256   -       5.421363   | 3d9.4s2              | 2D       | 3/2 | 3d9.(2D).4s.4p.(3P*) | 2F*      | 5/2     |   4 - 6   |    |             |                       L772  |
Cu II     |          328.10757  |  0.00023  |          328.10724  |  0.00006  |       210 |             |      |     15.2878495   -      19.0655316  | 3d9.(2D<3/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<3/2>).7d     | 2[3/2]   | 2       |   3 - 5   |    |             |                   L869c171  |
Cu II     |          328.16964  |  0.00008  |          328.169629 |  0.000023 |      9700 |             |      |     14.32872908  -      18.1056930  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 5   | 3d9.(2D<5/2>).5f     | 2[9/2]*  | 5       |  11 - 11  |    |             |                   L869c171  |
Cu II     |          328.20106  |  0.00009  |          328.201019 |  0.000024 |      1100 |             |      |     14.32872908  -      18.1053318  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 5   | 3d9.(2D<5/2>).5f     | 2[9/2]*  | 4       |  11 - 9   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          328.26022  |  0.00011  |          328.26016  |  0.00003  |       530 |             |      |     14.32872908  -      18.1046513  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 5   | 3d9.(2D<5/2>).5f     | 2[7/2]*  | 4       |  11 - 9   |    |             |                   L869c171  |
Cu I      |          328.2716   |  0.0021   |          328.2707   |  0.0010   |     1400h |             |      |      5.153147    -       8.928948   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 5/2 | 3d9.4s.(3D).4d       | 2G       | 7/2     |   6 - 8   |    |             |                       L772  |
Cu II     |          328.30958  |  0.00016  |          328.30969  |  0.00004  |       210 |             |      |     14.6389756   -      18.4143283  | 3d8.(3F).4s.4p.(3P*) | 3D*      | 1   | 3d9.(2D<3/2>).6d     | 2[3/2]   | 1       |   3 - 3   |    |             |                   L869c171  |
Cu II     |          328.32431  |  0.00013  |          328.32433  |  0.00006  |       940 |             |      |     15.2878495   -      19.0630338  | 3d9.(2D<3/2>).5p     | 2[3/2]*  | 1   | 3d9.(2D<3/2>).7d     | 2[3/2]   | 1       |   3 - 3   |    |             |                   L869c171  |
Cu I      |          328.5017   |  0.0021   |          328.501    |  0.003    |        1* |             |      |      3.8166920   -       7.58984    | 3d10.4p              | 2P*      | 3/2 | 3d10.11d             | 2D       | 5/2     |   4 - 6   |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          328.5017   |  0.0021   |          328.5075   |  0.0065   |        1* |             |      |      5.777459    -       9.550539   | 3d9.(2D).4s.4p.(3P*) | 2D*      | 5/2 | 3d9.4s.(3D).5d       | 4P       | 5/2     |   6 - 6   |    |             |                       L772  |
Cu I      |          328.6193   |  0.0017   |          328.6193   |  0.0017   |         2 |             |      |      3.7858976   -       7.557694   | 3d10.4p              | 2P*      | 1/2 | 3d10.10d             | 2D       | 3/2     |   2 - 4   |    |             |                       L772  |
Cu II     |          329.04174  |  0.00004  |          329.041683 |  0.000016 |     38000 | 5.9e+07     | D+   |     14.32872908  -      18.09568329 | 3d9.(2D<5/2>).4d     | 2[9/2]   | 5   | 3d9.(2D<5/2>).5f     | 2[11/2]* | 6       |  11 - 13  |    |       T9697 |                 L19804c168  |
Cu I      |          329.0541   |  0.0021   |          329.0539   |  0.0007   |     1500h |             |      |      5.072089    -       8.838904   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 9/2 | 3d9.4s.(3D).4d       | 4F       | 9/2     |  10 - 10  |    |             |                       L772  |
Cu II     |          329.10597  |  0.00008  |          329.105952 |  0.000022 |      1100 |             |      |     14.32872908  -      18.0949477  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 5   | 3d9.(2D<5/2>).5f     | 2[11/2]* | 5       |  11 - 11  |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          329.18090  |  0.00016  |          329.18073  |  0.00003  |      2000 |             |      |     14.34032994  -      18.1056930  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4   | 3d9.(2D<5/2>).5f     | 2[9/2]*  | 5       |   9 - 11  |    |             |                   L869c171  |
Cu II     |          329.21232  |  0.00008  |          329.21232  |  0.00003  |      7700 |             |      |     14.34032994  -      18.1053318  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4   | 3d9.(2D<5/2>).5f     | 2[9/2]*  | 4       |   9 - 9   |    |             |                   L869c171  |
Cu I      |          329.2393   |  0.0021   |          329.2387   |  0.0007   |      125h |             |      |      5.153147    -       8.917846   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 5/2 | 3d9.4s.(3D).4d       | 4P       | 3/2     |   6 - 4   |    |             |                       L772  |
Cu II     |          329.27189  |  0.00010  |          329.27183  |  0.00003  |      3500 |             |      |     14.34032994  -      18.1046513  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4   | 3d9.(2D<5/2>).5f     | 2[7/2]*  | 4       |   9 - 9   |    |             |                   L869c171  |
Cu I      |          329.2827   |  0.0009   |          329.2825   |  0.0003   |       650 |             |      |      1.388948    -       5.153147   | 3d9.4s2              | 2D       | 5/2 | 3d9.(2D).4s.4p.(3P*) | 4F*      | 5/2     |   6 - 6   |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          329.2965   |  0.0021   |          329.2960   |  0.0007   |      450h |             |      |      5.072089    -       8.836134   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 9/2 | 3d9.4s.(3D).4d       | 4D       | 7/2     |  10 - 8   |    |             |                       L772  |
Cu II     |          329.29965  |  0.00013  |          329.29984  |  0.00003  |      1500 |             |      |     14.34032994  -      18.1043311  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4   | 3d9.(2D<5/2>).5f     | 2[7/2]*  | 3       |   9 - 7   |    |             |                   L869c171  |
Cu II     |          329.33326  |  0.00009  |          329.33327  |  0.00004  |      2800 |             |      |     14.59881073  -      18.3624299  | 3d9.(2D<3/2>).4d     | 2[7/2]   | 3   | 3d9.(2D<3/2>).5f     | 2[7/2]*  | 3       |   7 - 7   |    |             |                   L869c171  |
Cu I      |          329.3815   |  0.0021   |          329.3826   |  0.0018   |        2h |             |      |      5.777459    -       9.540515   | 3d9.(2D).4s.4p.(3P*) | 2D*      | 5/2 | 3d9.4s.(3D).5d       | 2D       | 5/2     |   6 - 6   |    |             |                       L772  |
Cu I      |          329.4168   |  0.0021   |          329.4181   |  0.0014   |        5h |             |      |      5.568835    -       9.331485   | 3d9.(2D).4s.4p.(3P*) | 4D*      | 1/2 | 3d9.4s.(1D).4d       | 2P       | 3/2     |   2 - 4   |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          329.43354  |  0.00008  |          329.43355  |  0.00003  |      3800 |             |      |     14.33738425  -      18.0998577  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2   | 3d9.(2D<5/2>).5f     | 2[5/2]*  | 2       |   5 - 5   |    |             |                   L869c171  |
Cu II     |          329.51019  |  0.00008  |          329.51018  |  0.00003  |     11000 |             |      |     14.33738425  -      18.0989828  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2   | 3d9.(2D<5/2>).5f     | 2[5/2]*  | 3       |   5 - 7   |    |             |                   L869c171  |
Cu II     |          329.71983  |  0.00008  |          329.71986  |  0.00003  |      9300 |             |      |     14.34065127  -      18.0998577  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1   | 3d9.(2D<5/2>).5f     | 2[5/2]*  | 2       |   3 - 5   |    |             |                   L869c171  |
Cu II     |          329.73461  |  0.00012  |          329.73492  |  0.00004  |      1200 |             |      |     14.59881073  -      18.3578455  | 3d9.(2D<3/2>).4d     | 2[7/2]   | 3   | 3d9.(2D<3/2>).5f     | 2[5/2]*  | 2       |   7 - 5   |    |             |                   L869c171  |
Cu II     |          329.75688  |  0.00010  |          329.75686  |  0.00004  |      1400 |             |      |     14.33738425  -      18.0961690  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2   | 3d9.(2D<5/2>).5f     | 2[3/2]*  | 1       |   5 - 3   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          330.02124  |  0.00014  |          330.02124  |  0.00004  |       380 |             |      |     14.4620078   -      18.2177815  | 3d8.(3F).4s.4p.(3P*) | 3G*      | 3   | 3d9.(2D<3/2>).7s     | 2[3/2]   | 2       |   7 - 5   |    |             |                   L869c171  |
Cu II     |          330.04370  |  0.00009  |          330.04373  |  0.00004  |      6100 |             |      |     14.34065127  -      18.0961690  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1   | 3d9.(2D<5/2>).5f     | 2[3/2]*  | 1       |   3 - 3   |    |             |                   L869c171  |
Cu II     |          330.06409  |  0.00009  |          330.06406  |  0.00003  |      9100 |             |      |     14.33738425  -      18.0926706  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2   | 3d9.(2D<5/2>).5f     | 2[3/2]*  | 2       |   5 - 5   |    |             |                   L869c171  |
Cu II     |          330.08815  |  0.00009  |          330.08808  |  0.00003  |     13000 | 5.4e+07     | D+   |     14.59881073  -      18.3538239  | 3d9.(2D<3/2>).4d     | 2[7/2]   | 3   | 3d9.(2D<3/2>).5f     | 2[9/2]*  | 4       |   7 - 9   |    |       T9697 |                   L869c171  |
Cu II     |          330.12286  |  0.00007  |          330.122844 |  0.000023 |     25000 | 5.6e+07     | D+   |     14.34032994  -      18.0949477  | 3d9.(2D<5/2>).4d     | 2[9/2]   | 4   | 3d9.(2D<5/2>).5f     | 2[11/2]* | 5       |   9 - 11  |    |       T9697 |                 L19804c168  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          330.2787   |  0.0017   |          330.2780   |  0.0013   |         4 |             |      |      5.421363    -       9.174217   | 3d9.(2D).4s.4p.(3P*) | 2F*      | 5/2 | 3d9.4s.(3D).6s       | 4D       | 7/2     |   6 - 8   |    |             |                       L772  |
Cu II     |          330.31817  |  0.00012  |          330.31836  |  0.00007  |      1400 |             |      |     15.31909392  -      19.0714894  | 3d9.(2D<3/2>).5p     | 2[3/2]*  | 2   | 3d9.(2D<3/2>).7d     | 2[5/2]   | 2       |   5 - 5   |    |             |                   L869c171  |
Cu II     |          330.35132  |  0.00021  |          330.35122  |  0.00004  |     5800* |             |      |     14.33738425  -      18.0894065  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 2   | 3d9.(2D<5/2>).5f     | 2[1/2]*  | 1       |   5 - 3   |    |             |                   L869c171  |
Cu II     |          330.35132  |  0.00021  |          330.35147  |  0.00003  |     5800* |             |      |     14.34065127  -      18.0926706  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1   | 3d9.(2D<5/2>).5f     | 2[3/2]*  | 2       |   3 - 5   |    |             |                   L869c171  |
Cu II     |          330.38698  |  0.00010  |          330.38706  |  0.00007  |      2300 |             |      |     15.31909392  -      19.0707092  | 3d9.(2D<3/2>).5p     | 2[3/2]*  | 2   | 3d9.(2D<3/2>).7d     | 2[5/2]   | 3       |   5 - 7   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          330.5530   |  0.0017   |          330.5546   |  0.0019   |         4 |             |      |      5.681072    -       9.430786   | 3d9.(2D).4s.4p.(3P*) | 2P*      | 1/2 | 3d9.4s.(3D).6s       | 4D       | 1/2     |   2 - 2   |    |             |                       L772  |
Cu II     |          330.63890  |  0.00015  |          330.63913  |  0.00004  |       180 |             |      |     14.34065127  -      18.0894065  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1   | 3d9.(2D<5/2>).5f     | 2[1/2]*  | 1       |   3 - 3   |    |             |                   L869c171  |
Cu II     |          330.76576  |  0.00011  |          330.76570  |  0.00004  |      1200 |             |      |     14.34065127  -      18.0879720  | 3d9.(2D<5/2>).4d     | 2[3/2]   | 1   | 3d9.(2D<5/2>).5f     | 2[1/2]*  | 0       |   3 - 1   |    |             |                   L869c171  |
Cu II     |          330.78727  |  0.00013  |          330.78664  |  0.00004  |      1200 |             |      |     14.61564135  -      18.3627249  | 3d9.(2D<3/2>).4d     | 2[7/2]   | 4   | 3d9.(2D<3/2>).5f     | 2[7/2]*  | 4       |   9 - 9   |    |             |              L869c171,c153  |
Cu I      |          330.7948   |  0.0021   |          330.7948   |  0.0021   |     2500h |             |      |      5.072089    -       8.819080   | 3d9.(2D).4s.4p.(3P*) | 4F*      | 9/2 | 3d9.4s.(3D).4d       | 4G       | 11/2    |  10 - 12  |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          330.81052  |  0.00014  |          330.81074  |  0.00005  |      1100 |             |      |     15.06716110  -      18.8139716  | 3d8.(3F).4s.4p.(3P*) | 1F*      | 3   | 3d9.(2D<5/2>).7d     | 2[7/2]   | 4       |   7 - 9   |    |             |                   L869c171  |
Cu II     |          330.82526  |  0.00015  |          330.82561  |  0.00004  |       180 |             |      |     15.06716110  -      18.8138032  | 3d8.(3F).4s.4p.(3P*) | 1F*      | 3   | 3d9.(2D<5/2>).7d     | 2[7/2]   | 3       |   7 - 7   |    |             |                   L869c171  |
Cu II     |          330.84337  |  0.00013  |          330.84367  |  0.00005  |       360 |             |      |     15.31909392  -      19.0655316  | 3d9.(2D<3/2>).5p     | 2[3/2]*  | 2   | 3d9.(2D<3/2>).7d     | 2[3/2]   | 2       |   5 - 5   |    |             |                   L869c171  |
Cu I      |          330.9558   |  0.0017   |          330.9542   |  0.0018   |         4 |             |      |      5.574734    -       9.319921   | 3d9.(2D).4s.4p.(3P*) | 2F*      | 7/2 | 3d9.4s.(3D).6s       | 2D       | 5/2     |   8 - 6   |    |             |                       L772  |
Cu II     |          331.0338   |  0.0003   |          331.03389  |  0.00004  |        89 |             |      |     14.4287113   -      18.1729963  | 3d8.(3F).4s.4p.(3P*) | 3D*      | 3   | 3d9.(2D<5/2>).6d     | 2[5/2]   | 2       |   7 - 5   |    |             |                   L869c171  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |          331.0987   |  0.0017   |          331.0986   |  0.0008   |         8 |             |      |      5.568835    -       9.312387   | 3d9.(2D).4s.4p.(3P*) | 4D*      | 1/2 | 3d9.4s.(1D).4d       | 2P       | 1/2     |   2 - 2   |    |             |                       L772  |
Cu II     |          331.20278  |  0.00013  |          331.20276  |  0.00004  |       550 |             |      |     14.4287113   -      18.1710871  | 3d8.(3F).4s.4p.(3P*) | 3D*      | 3   | 3d9.(2D<5/2>).6d     | 2[7/2]   | 4       |   7 - 9   |    |             |                   L869c171  |
Cu II     |          331.21151  |  0.00014  |          331.21155  |  0.00005  |       970 |             |      |     15.06716110  -      18.8094376  | 3d8.(3F).4s.4p.(3P*) | 1F*      | 3   | 3d9.(2D<5/2>).7d     | 2[5/2]   | 3       |   7 - 7   |    |             |                   L869c171  |
Cu II     |          331.26771  |  0.00010  |          331.26783  |  0.00003  |       610 |             |      |     14.61564135  -      18.3572822  | 3d9.(2D<3/2>).4d     | 2[7/2]   | 4   | 3d9.(2D<3/2>).5f     | 2[5/2]*  | 3       |   9 - 7   |    |             |                   L869c171  |
Cu I      |          331.3199   |  0.0021   |          331.3199   |  0.0021   |        0h |             |      |      3.8166920   -       7.557744   | 3d10.4p              | 2P*      | 3/2 | 3d10.10d             | 2D       | 5/2     |   4 - 6   |    |             |                       L772  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu I      |                     |           |          331.3244   |  0.0044   |         m |             |      |      3.8166920   -       7.557694   | 3d10.4p              | 2P*      | 3/2 | 3d10.10d             | 2D       | 3/2     |   4 - 4   |    |             |                       L772  |
Cu I      |          331.482    |  0.006    |          331.4759   |  0.0055   |         1 |             |      |      5.724709    -       9.464001   | 3d9.(2D).4s.4p.(3P*) | *        | 3/2 | 3d9.4s.(3D).6s       | 2D       | 3/2     |   4 - 4   |    |             |                       L772  |
Cu II     |          331.57440  |  0.00008  |          331.57431  |  0.00003  |      1300 |             |      |     14.61564135  -      18.3538239  | 3d9.(2D<3/2>).4d     | 2[7/2]   | 4   | 3d9.(2D<3/2>).5f     | 2[9/2]*  | 4       |   9 - 9   |    |             |                   L869c171  |
