---------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |       Level (eV) |   Uncertainty (eV) |   Landé | Reference
                     | 411*   |   2 |    5 |       5.101330   |                    |   1.161 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 413*   |   1 |    3 |       5.127374   |                    |   1.893 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 415*   |   3 |    7 |       5.152104   |                    |   1.204 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 417*   |   5 |   11 |       5.171259   |                    |         |     L3466
                     |        |   4 |    9 |       5.179476   |                    |   0.72  |     L3466
                     |        |     |      |                  |                    |         |           
                     | 421*   |   2 |    5 |       5.226346   |                    |   1.210 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 429*   |   3 |    7 |       5.326310   |                    |   1.117 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 430*   |   2 |    5 |       5.339373   |                    |   1.061 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 435*   |   3 |    7 |       5.398822   |                    |   1.086 |     L3466
                     |        |   1 |    3 |       5.399992   |                    |   1.50  |     L3466
                     |        |     |      |                  |                    |         |           
                     | 440*   |   4 |    9 |       5.455944   |                    |         |     L3466
                     |        |     |      |                  |                    |         |           
                     | 442*   |   1 |    3 |       5.480869   |                    |   0.255 |     L3466
                     |        |   2 |    5 |       5.487441   |                    |   1.251 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 444*   |   3 |    7 |       5.508665   |                    |   0.950 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 5D*    |   0 |    1 |       5.509201   |                    |   0.00  |     L3466
                     |        |   1 |    3 |       5.608283   |                    |   1.461 |     L3466
                     |        |   2 |    5 |       5.751290   |                    |   1.31  |     L3466
                     |        |     |      |                  |                    |         |           
                     | 446*   |   4 |    9 |       5.532919   |                    |   1.264 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 448*   |   3 |    7 |       5.558860   |                    |   1.34  |     L3466
                     |        |     |      |                  |                    |         |           
                     | 454*   |   2 |    5 |       5.634699   |                    |   1.150 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 461*   |   1 |    3 |       5.724924   |                    |   1.361 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 462*   |   4 |    9 |       5.738853   |                    |   1.405 |     L3466
                     |        |   5 |   11 |       5.739857   |                    |         |     L3466
                     |        |     |      |                  |                    |         |           
                     | 466*   |   4 |    9 |       5.783343   |                    |   1.210 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 468*   |   3 |    7 |       5.806352   |                    |   1.204 |     L3466
                     |        |   2 |    5 |       5.808745   |                    |   1.097 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 471*   |   3 |    7 |       5.848233   |                    |   1.093 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 472*   |   4 |    9 |       5.862087   |                    |   1.198 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 475*   |   2 |    5 |       5.891061   |                    |   1.292 |     L3466
                     |        |   1 |    3 |       5.901154   |                    |         |     L3466
                     |        |     |      |                  |                    |         |           
                     | 478*   |   0 |    1 |       5.926562   |                    |         |     L3466
                     |        |   3 |    7 |       5.929595   |                    |   1.198 |     L3466
                     |        |   6 |   13 |       5.930133   |                    |   1.300 |     L2960
                     |        |     |      |                  |                    |         |           
                     | 480*   |   0 |    1 |       5.959238   |                    |         |     L3466
                     |        |     |      |                  |                    |         |           
                     | 481*   |   2 |    5 |       5.971877   |                    |         |     L3466
                     |        |     |      |                  |                    |         |           
                     | 482*   |   2 |    5 |       5.978904   |                    |   1.448 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 484*   |   4 |    9 |       6.009557   |                    |   1.268 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 486*   |   2 |    5 |       6.033883   |                    |   1.137 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 487*   |   1 |    3 |       6.047498   |                    |   0.750 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 489*   |   3 |    7 |       6.070596   |                    |   1.275 |     L3466
                     |        |     |      |                  |                    |         |           
                     | 490*   |   5 |   11 |       6.082067   |                    |   1.212 |     L2960
                     |        |   2 |    5 |       6.085199   |                    |   1.33  |     L3466
                     |        |     |      |                  |                    |         |           
