------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |       Level (eV) |   Uncertainty (eV) | Reference
                     |        |  7/2 |    8 |      23.53148    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3d       | 4F*    |  3/2 |    4 |      24.270227   |                    |          
                     |        |  5/2 |    6 |      24.271872   |                    |          
                     |        |  7/2 |    8 |      24.274338   |                    |          
                     |        |  9/2 |   10 |      24.277799   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3d       | 4D*    |  1/2 |    2 |      24.370070   |                    |          
                     |        |  3/2 |    4 |      24.370757   |                    |          
                     |        |  5/2 |    6 |      24.371799   |                    |          
                     |        |  7/2 |    8 |      24.373057   |                    |          
---------------------|--------|------|------|------------------|--------------------|-----------
---------------------|--------|------|------|------------------|--------------------|-----------
C III (2s2 1S<0>)    | Limit  |  --- |      |      24.383154   |          0.000016  |      c190
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3d       | 2D*    |  3/2 |    4 |      24.601618   |                    |          
                     |        |  5/2 |    6 |      24.602967   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3d       | 4P*    |  5/2 |    6 |      24.653514   |                    |          
                     |        |  3/2 |    4 |      24.656148   |                    |          
                     |        |  1/2 |    2 |      24.657854   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3d       | 2F*    |  5/2 |    6 |      24.789575   |                    |          
                     |        |  7/2 |    8 |      24.794762   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3d       | 2P*    |  3/2 |    4 |      25.067106   |                    |          
                     |        |  1/2 |    2 |      25.070165   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4s       | 4P*    |  1/2 |    2 |      25.981181   |                    |          
                     |        |  3/2 |    4 |      25.984169   |                    |          
                     |        |  5/2 |    6 |      25.989855   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4p       | 2P     |  1/2 |    2 |      26.582749   |                    |          
                     |        |  3/2 |    4 |      26.585925   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4p       | 4D     |  1/2 |    2 |      26.626835   |                    |          
                     |        |  3/2 |    4 |      26.628438   |                    |          
                     |        |  5/2 |    6 |      26.631219   |                    |          
                     |        |  7/2 |    8 |      26.635497   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4p       | 4S     |  3/2 |    4 |      26.751794   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4p       | 4P     |  1/2 |    2 |      26.825573   |                    |          
                     |        |  3/2 |    4 |      26.827650   |                    |          
                     |        |  5/2 |    6 |      26.830251   |                    |          
