---------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |            Level (eV) |   Uncertainty (eV) | Reference
2s2.2p2.(3P).4d    | 2F     |  5/2 |    6 |          13.6737590   |                    |          
                   |        |  7/2 |    8 |          13.6832013   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4d    | 4P     |  5/2 |    6 |          13.6754537   |                    |          
                   |        |  3/2 |    4 |          13.6782740   |                    |          
                   |        |  1/2 |    2 |          13.6816579   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f D  | 2[3]*  |  5/2 |    6 |          13.681543    |                    |          
                   |        |  7/2 |    8 |          13.681553    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f G  | 2[3]*  |  5/2 |    6 |          13.686032    |                    |          
                   |        |  7/2 |    8 |          13.686040    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4d    | 4D     |  1/2 |    2 |          13.6860942   |                    |          
                   |        |  3/2 |    4 |          13.6872929   |                    |          
                   |        |  5/2 |    6 |          13.6880235   |                    |          
                   |        |  7/2 |    8 |          13.6882546   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f G  | 2[4]*  |  9/2 |   10 |          13.688115    |                    |          
                   |        |  7/2 |    8 |          13.688126    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f D  | 2[2]*  |  3/2 |    4 |          13.688413    |                    |          
                   |        |  5/2 |    6 |          13.688420    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4d    | 2D     |  3/2 |    4 |          13.6936866   |                    |          
                   |        |  5/2 |    6 |          13.6965645   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f D  | 2[1]*  |  3/2 |    4 |          13.695268    |                    |          
                   |        |  1/2 |    2 |          13.695268    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f G  | 2[5]*  | 11/2 |   12 |          13.696917    |                    |          
                   |        |  9/2 |   10 |          13.696936    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f F  | 2[2]*  |  3/2 |    4 |          13.698513    |                    |          
                   |        |  5/2 |    6 |          13.698523    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f F  | 2[3]*  |  7/2 |    8 |          13.700058    |                    |          
                   |        |  5/2 |    6 |          13.700059    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4f F  | 2[4]*  |  9/2 |   10 |          13.700462    |                    |          
                   |        |  7/2 |    8 |          13.700481    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(1D).3p    | 2D*    |  3/2 |    4 |          13.7028637   |                    |          
                   |        |  5/2 |    6 |          13.7058145   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(1D).3p    | 2F*    |  5/2 |    6 |          13.7263821   |                    |          
                   |        |  7/2 |    8 |          13.7269293   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5p    | 2S*    |  1/2 |    2 |          13.7697972   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5p    | 4D*    |  1/2 |    2 |          13.7800459   |                    |          
                   |        |  3/2 |    4 |          13.7827229   |                    |          
                   |        |  5/2 |    6 |          13.7875407   |                    |          
                   |        |  7/2 |    8 |          13.7945900   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5p    | 2P*    |  1/2 |    2 |          13.7868999   |                    |          
                   |        |  3/2 |    4 |          13.7886881   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5p    | 4P*    |  1/2 |    2 |          13.7959195   |                    |          
                   |        |  3/2 |    4 |          13.7976613   |                    |          
                   |        |  5/2 |    6 |          13.8027637   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5p    | 4S*    |  3/2 |    4 |          13.8244076   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5p    | 2D*    |  3/2 |    4 |          13.8680120   |                    |          
                   |        |  5/2 |    6 |          13.8745271   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(1D).3p    | 2P*    |  1/2 |    2 |          13.9226823   |                    |          
                   |        |  3/2 |    4 |          13.9258809   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6s    | 4P     |  1/2 |    2 |          13.9563395   |                    |          
                   |        |  3/2 |    4 |          13.9618124   |                    |          
                   |        |  5/2 |    6 |          13.9707116   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6s    | 2P     |  1/2 |    2 |          13.972022    |                    |          
                   |        |  3/2 |    4 |          13.9776016   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5d    | 4F     |  3/2 |    4 |          13.9804539   |                    |          
                   |        |  5/2 |    6 |          13.9804984   |                    |          
                   |        |  7/2 |    8 |          13.9851354   |                    |          
                   |        |  9/2 |   10 |          13.9930236   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5d    | 2P     |  3/2 |    4 |          13.9855453   |                    |          
                   |        |  1/2 |    2 |          13.9863557   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5d    | 2F     |  5/2 |    6 |          13.9869695   |                    |          
                   |        |  7/2 |    8 |          13.9967295   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5d    | 4P     |  5/2 |    6 |          13.9884500   |                    |          
                   |        |  3/2 |    4 |          13.990131    |                    |          
                   |        |  1/2 |    2 |          13.994130    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<0>).5f | 2[3]*  |  7/2 |    8 |         [13.988758]   |                    |          
                   |        |  5/2 |    6 |         [13.988758]   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<1>).5f | 2[3]*  |  5/2 |    6 |                       |                    |          
                   |        |  7/2 |    8 |          13.993939    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<1>).5f | 2[4]*  |  9/2 |   10 |          13.995077    |                    |          
                   |        |  7/2 |    8 |          13.995078    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<1>).5f | 2[2]*  |  3/2 |    4 |          13.99535     |                    |          
                   |        |  5/2 |    6 |          13.995402    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5d    | 4D     |  1/2 |    2 |          13.99837     |                    |          
                   |        |  3/2 |    4 |          13.9989412   |                    |          
                   |        |  5/2 |    6 |          13.9991338   |                    |          
                   |        |  7/2 |    8 |          13.9991895   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).5d    | 2D     |  3/2 |    4 |          14.0011703   |                    |          
                   |        |  5/2 |    6 |          14.0034955   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).5f | 2[1]*  |  3/2 |    4 |          14.003596    |                    |          
                   |        |  1/2 |    2 |          14.003596    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).5f | 2[5]*  | 11/2 |   12 |          14.004440    |                    |          
                   |        |  9/2 |   10 |          14.004453    |                    |          
                   |        |      |      |                       |                    |           
