-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |            Rel. |     Aki     | Acc. |           Ei           Ek         |         Lower level          |              Upper level               |  gi   gk  |Type|                   TP  |             Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |            Int. |   (s^-1)    |      |          (eV)         (eV)        |------------------------------|----------------------------------------|           |    |                  Ref. |             Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |                 |             |      |                                   | Conf.           | Term | J   | Conf.                 | Term    | J    |           |    |                       |                   |
C IV      |                     |           |          204.543    |  0.010    |                 | 2.17e+07    | B    |   55.65191       -   [61.71149]   | 1s2.5p          | 2P*  | 3/2 | 1s2.9s                | 2S      | 1/2  |   4 - 2   |    |               T3225LS |                   |
C II      |                     |           |          204.8497   |  0.0010   |                 | 1.10e+06    | B    |   20.701286      -    26.751794   | 2s.2p.(3P*).3s  | 4P*  | 1/2 | 2s.2p.(3P*).4p        | 4S      | 3/2  |   2 - 4   |    |               T5109LS |                   |
C II      |                     |           |          204.9488   |  0.0010   |                 | 2.19e+06    | B    |   20.704212      -    26.751794   | 2s.2p.(3P*).3s  | 4P*  | 3/2 | 2s.2p.(3P*).4p        | 4S      | 3/2  |   4 - 4   |    |               T5109LS |                   |
C II      |                     |           |          205.1380   |  0.0010   |                 | 3.28e+06    | B    |   20.709788      -    26.751794   | 2s.2p.(3P*).3s  | 4P*  | 5/2 | 2s.2p.(3P*).4p        | 4S      | 3/2  |   6 - 4   |    |               T5109LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          205.1609   |  0.0010   |                 | 1.22e+08    | B    |   38.435885      -    44.477214   | 1s2.2p.(2P*).3s | 1P*  | 1   | 1s2.2s.6d             | 1D      | 2    |   3 - 5   |    |                 T5633 |                   |
C II      |                     |           |          205.179    |  0.010    |                 | 3.61e+07    | B    |   22.527515      -    28.5683     | 2s.2p.(3P*).3p  | 4D   | 1/2 | 2s.2p.(3P*).5d        | 4F*     | 3/2  |   2 - 4   |    |               T5109LS |                   |
C II      |                     |           |          205.180    |  0.010    |                 | 3.87e+07    | B    |   22.529296      -    28.5701     | 2s.2p.(3P*).3p  | 4D   | 3/2 | 2s.2p.(3P*).5d        | 4F*     | 5/2  |   4 - 6   |    |               T5109LS |                   |
C II      |                     |           |          205.181    |  0.010    |                 | 4.42e+07    | B    |   22.532398      -    28.5732     | 2s.2p.(3P*).3p  | 4D   | 5/2 | 2s.2p.(3P*).5d        | 4F*     | 7/2  |   6 - 8   |    |               T5109LS |                   |
C II      |                     |           |          205.218    |  0.010    |                 | 5.16e+07    | B    |   22.536906      -    28.57656    | 2s.2p.(3P*).3p  | 4D   | 7/2 | 2s.2p.(3P*).5d        | 4F*     | 9/2  |   8 - 10  |    |               T5109LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C II      |                     |           |          205.239    |  0.010    |                 | 1.44e+07    | B    |   22.529296      -    28.5683     | 2s.2p.(3P*).3p  | 4D   | 3/2 | 2s.2p.(3P*).5d        | 4F*     | 3/2  |   4 - 4   |    |               T5109LS |                   |
C II      |                     |           |          205.286    |  0.010    |                 | 1.25e+07    | B    |   22.532398      -    28.5701     | 2s.2p.(3P*).3p  | 4D   | 5/2 | 2s.2p.(3P*).5d        | 4F*     | 5/2  |   6 - 6   |    |               T5109LS |                   |
C II      |                     |           |          205.334    |  0.010    |                 | 7.34e+06    | B    |   22.536906      -    28.5732     | 2s.2p.(3P*).3p  | 4D   | 7/2 | 2s.2p.(3P*).5d        | 4F*     | 7/2  |   8 - 8   |    |               T5109LS |                   |
C II      |                     |           |          205.345    |  0.010    |                 | 1.03e+06    | B    |   22.532398      -    28.5683     | 2s.2p.(3P*).3p  | 4D   | 5/2 | 2s.2p.(3P*).5d        | 4F*     | 3/2  |   6 - 4   |    |               T5109LS |                   |
C II      |                     |           |          205.439    |  0.010    |                 | 4.97e+05    | B    |   22.536906      -    28.5701     | 2s.2p.(3P*).3p  | 4D   | 7/2 | 2s.2p.(3P*).5d        | 4F*     | 5/2  |   8 - 6   |    |               T5109LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          206.140    |  0.010    |                 | 3.68e+05    | D    |   39.923368      -    45.9360     | 1s2.2s.4f       | 3F*  | 2   | 1s2.2s.8d             | 3D      | 1    |   5 - 3   |    |               T5633LS |                   |
C III     |                     |           |          206.140    |  0.010    |                 | 8.27e+02    | D    |   39.923368      -    45.9360     | 1s2.2s.4f       | 3F*  | 2   | 1s2.2s.8d             | 3D      | 3    |   5 - 7   |    |               T5633LS |                   |
C III     |                     |           |          206.140    |  0.010    |                 | 4.10e+04    | D    |   39.923368      -    45.9360     | 1s2.2s.4f       | 3F*  | 2   | 1s2.2s.8d             | 3D      | 2    |   5 - 5   |    |               T5633LS |                   |
C III     |                     |           |          206.165    |  0.010    |                 | 2.93e+04    | D    |   39.924099      -    45.9360     | 1s2.2s.4f       | 3F*  | 3   | 1s2.2s.8d             | 3D      | 3    |   7 - 7   |    |               T5633LS |                   |
C III     |                     |           |          206.165    |  0.010    |                 | 3.27e+05    | D    |   39.924099      -    45.9360     | 1s2.2s.4f       | 3F*  | 3   | 1s2.2s.8d             | 3D      | 2    |   7 - 5   |    |               T5633LS |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          206.200    |  0.010    |                 | 3.38e+05    | C    |   39.925140      -    45.9360     | 1s2.2s.4f       | 3F*  | 4   | 1s2.2s.8d             | 3D      | 3    |   9 - 7   |    |               T5633LS |                   |
C IV      |                     |           |          206.428    |  0.010    |                 | 7.28e+05    | B    |   55.77903       -   [61.78327]   | 1s2.5d          | 2D   | 3/2 | 1s2.9p                | 2P*     | 3/2  |   4 - 4   |    |               T3225LS |                   |
C IV      |                     |           |          206.433    |  0.010    |                 | 7.28e+06    | B    |   55.77903       -   [61.78314]   | 1s2.5d          | 2D   | 3/2 | 1s2.9p                | 2P*     | 1/2  |   4 - 2   |    |               T3225LS |                   |
C IV      |                     |           |          206.436    |  0.010    |                 | 6.55e+06    | B    |   55.77924       -   [61.78327]   | 1s2.5d          | 2D   | 5/2 | 1s2.9p                | 2P*     | 3/2  |   6 - 4   |    |               T3225LS |                   |
C III     |                     |           |          206.485    |  0.010    |                 | 6.88e+07    | B    |   41.248461      -    47.25105    | 1s2.2p.(2P*).3d | 1D*  | 2   | 1s2.2p.(2P*).4p       | 1P      | 1    |   5 - 3   |    |                 T5633 |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C VI      |                     |           |          206.88493  |  0.00010  |                 | 4.864e+08   | AA   | (470.395480)     -  (476.386473)  | 5p              | 2P*  | 1/2 | 6d                    | 2D      | 3/2  |   2 - 4   |    |           T6492extrap |                   |
C VI      |                     |           |          206.89205  |  0.00010  |                 | 3.152e+08   | AA   | (470.395690)     -  (476.386477)  | 5s              | 2S   | 1/2 | 6p                    | 2P*     | 3/2  |   2 - 4   |    |           T6492extrap |                   |
C VI      |                     |           |          206.95594  |  0.00010  |                 | 1.161e+08   | AA   | (470.395480)     -  (476.384418)  | 5p              | 2P*  | 1/2 | 6s                    | 2S      | 1/2  |   2 - 2   |    |           T6492extrap |                   |
C VI      |                     |           |          206.96740  |  0.00010  |                 | 3.147e+08   | AA   | (470.395690)     -  (476.384296)  | 5s              | 2S   | 1/2 | 6p                    | 2P*     | 1/2  |   2 - 2   |    |           T6492extrap |                   |
C VI      |                     |           |          206.98988  |  0.00010  |                 | 8.755e+08   | AA   | (470.399242)     -  (476.387198)  | 5d              | 2D   | 3/2 | 6f                    | 2F*     | 5/2  |   4 - 6   |    |           T6492extrap |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C VI      |                     |           |          206.99005  |  0.00010  |                 | 5.824e+08   | AA   | (470.399249)     -  (476.387200)  | 5p              | 2P*  | 3/2 | 6d                    | 2D      | 5/2  |   4 - 6   |    |           T6492extrap |                   |
