-------------------------------------------------------------------------------------------------------------------------------
Configuration      | Term   |        J |    g |                            Level (eV)   |         Uncertainty (eV) | Reference
4d9.5s.(3D).5p     | 4D*    |      7/2 |    8 |              7.658891                   |            0.000006      |     L2489
                   |        |      5/2 |    6 |              7.709567                   |            0.000019      |     L2489
                   |        |      1/2 |    2 |              8.00634                    |            0.00005       |     L2489
                   |        |      3/2 |    4 |              8.22520                    |            0.00007       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5p     | 2D*    |      3/2 |    4 |              7.876884                   |            0.000012      |     L2489
                   |        |      5/2 |    6 |              8.303507                   |            0.000012      |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5p     | 2F*    |      5/2 |    6 |              7.96778                    |            0.00004       |     L2489
                   |        |      7/2 |    8 |              8.138044                   |            0.000019      |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5p     | 2P*    |      3/2 |    4 |              8.18038                    |            0.00012       |     L2489
                   |        |      1/2 |    2 |              8.1870                     |            0.0012        |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(1D).5p     | 2P*    |      3/2 |    4 |              8.9497                     |            0.0025        |     L2489
                   |        |      1/2 |    2 |              9.473                      |            0.004         |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(1D).5p     | 2F*    |      7/2 |    8 |              8.96831                    |            0.00004       |     L2489
                   |        |      5/2 |    6 |              9.52324                    |            0.00010       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(1D).5p     | 2D*    |      5/2 |    6 |              9.11625                    |            0.00010       |     L2489
                   |        |      3/2 |    4 |              9.66361                    |            0.00006       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).6s     | 4D     |      7/2 |    8 |              9.84596                    |            0.00025       |     L2489
                   |        |      5/2 |    6 |              9.93907                    |            0.00025       |     L2489
                   |        |      3/2 |    4 |             10.07575                    |            0.00025       |     L2489
                   |        |      1/2 |    2 |             10.41256                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).6s     | 2D     |      5/2 |    6 |             10.17552                    |            0.00025       |     L2489
                   |        |      3/2 |    4 |             10.48844                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(1D).6s     | 2D     |      5/2 |    6 |             10.72272                    |            0.00025       |     L2489
                   |        |      3/2 |    4 |             10.84022                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 2P     |      3/2 |    4 |             10.76632                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 2G     |      9/2 |   10 |             10.77374                    |            0.00025       |     L2489
                   |        |      7/2 |    8 |             10.99639                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 4S     |      3/2 |    4 |             10.78493                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).6p     | 2*     |          |      |             10.79212                    |            0.00019       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 4G     |     11/2 |   12 |             10.80184?                   |            0.00025       |     L2489
                   |        |      9/2 |   10 |             10.98422                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 2D     |      5/2 |    6 |             10.80443                    |            0.00025       |     L2489
                   |        |      3/2 |    4 |             11.01390                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 4P     |      5/2 |    6 |             10.81411                    |            0.00025       |     L2489
                   |        |      1/2 |    2 |             10.96562                    |            0.00025       |     L2489
                   |        |      3/2 |    4 |             10.97835                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 2F     |      7/2 |    8 |             10.81478?                   |            0.00025       |     L2489
                   |        |      5/2 |    6 |             11.02047                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 4D     |      7/2 |    8 |             10.82537                    |            0.00025       |     L2489
                   |        |      5/2 |    6 |             11.00202                    |            0.00025       |     L2489
                   |        |      3/2 |    4 |             11.35749                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5d     | 4F     |      9/2 |   10 |             10.83092                    |            0.00025       |     L2489
                   |        |      7/2 |    8 |             11.01210                    |            0.00025       |     L2489
                   |        |      5/2 |    6 |             11.38994?                   |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).6p     | 1*     |          |      |             10.94754                    |            0.00019       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).7s     | 4D     |      7/2 |    8 |             11.20393                    |            0.00025       |     L2489
                   |        |      5/2 |    6 |             11.28021                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).7s     | 2D     |      5/2 |    6 |             11.42542                    |            0.00025       |     L2489
                   |        |          |      |                                         |                          |           
4d9.5s.(1D).5d     | 2D     |      3/2 |    4 |             11.66059                    |            0.00025       |     L2489
-------------------------------------------------------------------------------------------------------------------------------
