------------------------------------------------------------------------------------------------------------------------------
Configuration   | Term   |    J |    g |             Level (eV) |       Uncertainty (eV) | Leading percentages    | Reference
8f              | 2F*    |  5/2 |    6 |        (53.5675204)    |           0.0000003    | 100                    | L3620c107
                |        |  7/2 |    8 |        (53.5675222)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
8g              | 2G     |  7/2 |    8 |        (53.5675222)    |           0.0000003    | 100                    | L3620c107
                |        |  9/2 |   10 |        (53.5675234)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
8h              | 2H*    |  9/2 |   10 |        (53.5675234)    |           0.0000003    | 100                    | L3620c107
                |        | 11/2 |   12 |        (53.5675241)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
8i              | 2I     | 11/2 |   12 |        (53.5675241)    |           0.0000003    | 100                    | L3620c107
                |        | 13/2 |   14 |        (53.5675247)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
8k              | 2K*    | 13/2 |   14 |        (53.5675247)    |           0.0000003    | 100                    | L3620c107
                |        | 15/2 |   16 |        (53.5675251)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9p              | 2P*    |  1/2 |    2 |        (53.7459565)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (53.7459644)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9s              | 2S     |  1/2 |    2 |        (53.7459571)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9d              | 2D     |  3/2 |    4 |        (53.7459644)    |           0.0000003    | 100                    | L3620c107
                |        |  5/2 |    6 |        (53.7459671)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9f              | 2F*    |  5/2 |    6 |        (53.7459671)    |           0.0000003    | 100                    | L3620c107
                |        |  7/2 |    8 |        (53.7459684)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9g              | 2G     |  7/2 |    8 |        (53.7459684)    |           0.0000003    | 100                    | L3620c107
                |        |  9/2 |   10 |        (53.7459692)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9h              | 2H*    |  9/2 |   10 |        (53.7459692)    |           0.0000003    | 100                    | L3620c107
                |        | 11/2 |   12 |        (53.7459697)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9i              | 2I     | 11/2 |   12 |        (53.7459697)    |           0.0000003    | 100                    | L3620c107
                |        | 13/2 |   14 |        (53.7459701)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9k              | 2K*    | 13/2 |   14 |        (53.7459701)    |           0.0000003    | 100                    | L3620c107
                |        | 15/2 |   16 |        (53.7459704)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
9l              | 2L     | 15/2 |   16 |        (53.7459704)    |           0.0000003    | 100                    | L3620c107
                |        | 17/2 |   18 |        (53.7459706)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10p             | 2P*    |  1/2 |    2 |        (53.8736012)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (53.8736070)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10s             | 2S     |  1/2 |    2 |        (53.8736016)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10d             | 2D     |  3/2 |    4 |        (53.8736070)    |           0.0000003    | 100                    | L3620c107
                |        |  5/2 |    6 |        (53.8736089)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10f             | 2F*    |  5/2 |    6 |        (53.8736089)    |           0.0000003    | 100                    | L3620c107
                |        |  7/2 |    8 |        (53.8736099)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10g             | 2G     |  7/2 |    8 |        (53.8736099)    |           0.0000003    | 100                    | L3620c107
                |        |  9/2 |   10 |        (53.8736105)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10h             | 2H*    |  9/2 |   10 |        (53.8736105)    |           0.0000003    | 100                    | L3620c107
                |        | 11/2 |   12 |        (53.8736108)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10i             | 2I     | 11/2 |   12 |        (53.8736108)    |           0.0000003    | 100                    | L3620c107
                |        | 13/2 |   14 |        (53.8736111)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10k             | 2K*    | 13/2 |   14 |        (53.8736111)    |           0.0000003    | 100                    | L3620c107
                |        | 15/2 |   16 |        (53.8736113)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10l             | 2L     | 15/2 |   16 |        (53.8736113)    |           0.0000003    | 100                    | L3620c107
                |        | 17/2 |   18 |        (53.8736115)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
10m             | 2M*    | 17/2 |   18 |        (53.8736115)    |           0.0000003    | 100                    | L3620c107
                |        | 19/2 |   20 |        (53.8736116)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11p             | 2P*    |  1/2 |    2 |        (53.9680436)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (53.9680480)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11s             | 2S     |  1/2 |    2 |        (53.9680439)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11d             | 2D     |  3/2 |    4 |        (53.9680479)    |           0.0000003    | 100                    | L3620c107
                |        |  5/2 |    6 |        (53.9680494)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11f             | 2F*    |  5/2 |    6 |        (53.9680494)    |           0.0000003    | 100                    | L3620c107
                |        |  7/2 |    8 |        (53.9680501)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11g             | 2G     |  7/2 |    8 |        (53.9680501)    |           0.0000003    | 100                    | L3620c107
