------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar IX     |           10.1170     |  0.0010    |           10.1170     |   0.0010     |           |             |      |   254.38887      -    376.939       | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.5p             | 1S      | 0    |   3 - 1   |       |                    |          L9866  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           10.3470     |  0.0010    |           10.3470     |   0.0010     |           |             |      |   254.38887      -    374.215       | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.5p             | 3D      | 2    |   3 - 5   |       |                    |          L9866  |
Ar VIII   |           10.3666     |  0.0003    |           10.36660    |   0.00005    |           |             |      |    17.70596      -    137.3057      | 2p6.3p                | 2P*     | 3/2  | 2p6.12d                | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar IX     |           10.4230     |  0.0010    |           10.4229     |   0.0003     |           |             |      |   254.38887      -    373.343       | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.5p             | 3D      | 1    |   3 - 3   |       |                    |          L9866  |
Ar VIII   |           10.4683     |  0.0003    |           10.4683     |   0.0003     |           |             |      |    17.70596      -    136.144       | 2p6.3p                | 2P*     | 3/2  | 2p6.11d                | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar VIII   |           10.5780     |  0.0003    |           10.5780     |   0.0003     |           |             |      |    17.36957      -    134.579       | 2p6.3p                | 2P*     | 1/2  | 2p6.10d                | 2D      | 3/2  |   2 - 4   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar VIII   |           10.6080     |  0.0003    |           10.6080     |   0.0003     |           |             |      |    17.70596      -    134.584       | 2p6.3p                | 2P*     | 3/2  | 2p6.10d                | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar VIII   |           10.6663     |  0.0003    |           10.66644    |   0.00013    |           |             |      |     0.00000      -    116.2377      | 2p6.3s                | 2S      | 1/2  | 2p6.6p                 | 2P*     | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar VIII   |           10.6790     |  0.0003    |           10.6790     |   0.0003     |           |             |      |    17.70596      -    133.807       | 2p6.3p                | 2P*     | 3/2  | 2p6.10s                | 2S      | 1/2  |   4 - 2   |       |                    |          L4421  |
Ar VIII   |           10.7715     |  0.0003    |           10.7715     |   0.0003     |           |             |      |    17.36957      -    132.474       | 2p6.3p                | 2P*     | 1/2  | 2p6.9d                 | 2D      | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar VIII   |           10.8026     |  0.0003    |           10.8026     |   0.0003     |           |             |      |    17.70596      -    132.478       | 2p6.3p                | 2P*     | 3/2  | 2p6.9d                 | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar VIII   |           10.8769     |  0.0003    |           10.87523    |   0.00006    |           |             |      |    17.36957      -    131.3756      | 2p6.3p                | 2P*     | 1/2  | 2p6.9s                 | 2S      | 1/2  |   2 - 2   |       |                    |          L4421  |
Ar VIII   |           10.9070     |  0.0003    |           10.90741    |   0.00006    |           |             |      |    17.70596      -    131.3756      | 2p6.3p                | 2P*     | 3/2  | 2p6.9s                 | 2S      | 1/2  |   4 - 2   |       |                    |          L4421  |
Ar VIII   |           11.0547     |  0.0003    |           11.05547    |   0.00007    |           |             |      |    17.36957      -    129.5170      | 2p6.3p                | 2P*     | 1/2  | 2p6.8d                 | 2D      | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar VIII   |           11.0879     |  0.0003    |           11.08848    |   0.00003    |           |             |      |    17.70596      -    129.51949     | 2p6.3p                | 2P*     | 3/2  | 2p6.8d                 | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar VIII   |           11.2164     |  0.0003    |           11.21553    |   0.00007    |           |             |      |    17.36957      -    127.9165      | 2p6.3p                | 2P*     | 1/2  | 2p6.8s                 | 2S      | 1/2  |   2 - 2   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           11.2485     |  0.0008    |           11.2485     |   0.0005     |         3 |             |      |   266.48433      -    376.707       | 2s2.2p5.3p            | 3S      | 1    | 2s2.2p5.5d             | 3P*     | 2    |   3 - 5   |       |                    |          L4421  |
Ar VIII   |           11.2494     |  0.0003    |           11.24976    |   0.00007    |           |             |      |    17.70596      -    127.9165      | 2p6.3p                | 2P*     | 3/2  | 2p6.8s                 | 2S      | 1/2  |   4 - 2   |       |                    |          L4421  |
Ar IX     |           11.2619     |  0.0008    |           11.2619     |   0.0008     |         3 |             |      |   266.48433      -    376.576       | 2s2.2p5.3p            | 3S      | 1    | 2s2.2p5.5d             | 3P*     | 1    |   3 - 3   |       |                    |          L4421  |
Ar IX     |           11.2712     |  0.0008    |           11.2712     |   0.0008     |       1bl |             |      |   266.48433      -    376.485       | 2s2.2p5.3p            | 3S      | 1    | 2s2.2p5.5d             | 3P*     | 0    |   3 - 1   |       |                    |          L4421  |
Ar VII    |           11.3931     |  0.0003    |           11.39299    |   0.00011    |           |             |      |     0.00000      -    108.8250      | 2p6.3s2               | 1S      | 0    | 3s.7p                  | 1P*     | 1    |   1 - 3   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar VIII   |           11.4988     |  0.0003    |           11.4988     |   0.0003     |           |             |      |    17.36957      -    125.193       | 2p6.3p                | 2P*     | 1/2  | 2p6.7d                 | 2D      | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar IX     |           11.5077     |  0.0008    |           11.5077     |   0.0008     |      4bl* |             |      |   269.15999      -    376.900       | 2s2.2p5.3p            | 3D      | 2    | 2s2.2p5.5d             | 1D*     | 2    |   5 - 5   |       |                    |          L4421  |
Ar IX     |           11.5077     |  0.0008    |           11.5078     |   0.0008     |      4bl* |             |      |   271.80781      -    379.547       | 2s2.2p5.3p            | 3P      | 0    | 2s2.2p5.5d             | 1P*     | 1    |   1 - 3   |       |                    |          L4421  |
Ar IX     |           11.5077     |  0.0008    |           11.5082     |   0.0003     |      4bl* |             |      |   269.04164      -    376.777       | 2s2.2p5.3p            | 3D      | 3    | 2s2.2p5.5d             | 3F*     | 3    |   7 - 7   |       |                    |          L4421  |
Ar IX     |           11.5197     |  0.0008    |           11.5197     |   0.0008     |      6bl* |             |      |   269.04164      -    376.670       | 2s2.2p5.3p            | 3D      | 3    | 2s2.2p5.5d             | 3F*     | 4    |   7 - 9   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           11.5197     |  0.0008    |           11.5208     |   0.0003     |      6bl* |             |      |   269.15999      -    376.777       | 2s2.2p5.3p            | 3D      | 2    | 2s2.2p5.5d             | 3F*     | 3    |   5 - 7   |       |                    |          L4421  |
Ar VIII   |           11.5346     |  0.0003    |           11.53477    |   0.00007    |           |             |      |    17.70596      -    125.1933      | 2p6.3p                | 2P*     | 3/2  | 2p6.7d                 | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar IX     |           11.5964     |  0.0008    |           11.5966     |   0.0008     |         3 |             |      |   270.56020      -    377.475       | 2s2.2p5.3p            | 3P      | 2    | 2s2.2p5.5d             | 3D*     | 1    |   5 - 3   |       |                    |          L4421  |
Ar IX     |           11.6183     |  0.0008    |           11.6183     |   0.0008     |         2 |             |      |   272.28203      -    378.997       | 2s2.2p5.3p            | 3P      | 1    | 2s2.2p5.5d             | 3D*     | 2    |   3 - 5   |       |                    |          L4421  |
Ar IX     |           11.6527     |  0.0008    |           11.6527     |   0.0008     |         3 |             |      |   270.56020      -    376.960       | 2s2.2p5.3p            | 3P      | 2    | 2s2.2p5.5d             | 3D*     | 3    |   5 - 7   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           11.6804     |  0.0008    |           11.6804     |   0.0006     |         2 |             |      |   270.56020      -    376.707       | 2s2.2p5.3p            | 3P      | 2    | 2s2.2p5.5d             | 3P*     | 2    |   5 - 5   |       |                    |          L4421  |
Ar VIII   |           11.7651     |  0.0003    |           11.76501    |   0.00022    |           |             |      |    17.36957      -    122.7534      | 2p6.3p                | 2P*     | 1/2  | 2p6.7s                 | 2S      | 1/2  |   2 - 2   |       |                    |          L4421  |
Ar VIII   |           11.8026     |  0.0003    |           11.80269    |   0.00022    |           |             |      |    17.70596      -    122.7534      | 2p6.3p                | 2P*     | 3/2  | 2p6.7s                 | 2S      | 1/2  |   4 - 2   |       |                    |          L4421  |
Ar VIII   |           12.0076     |  0.0003    |           12.00842    |   0.00009    |           | 6.1e+09     | D    |     0.00000      -    103.2477      | 2p6.3s                | 2S      | 1/2  | 2p6.5p                 | 2P*     | 3/2  |   2 - 4   |       |     T1619interp,LS |          L4421  |
Ar VIII   |           12.0151     |  0.0003    |           12.01546    |   0.00009    |           | 5.8e+09     | D    |     0.00000      -    103.1872      | 2p6.3s                | 2S      | 1/2  | 2p6.5p                 | 2P*     | 1/2  |   2 - 2   |       |     T1619interp,LS |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar VII    |           12.0847     |  0.0003    |           12.08458    |   0.00011    |           |             |      |     0.00000      -    102.5970      | 2p6.3s2               | 1S      | 0    | 3s.6p                  | 1P*     | 1    |   1 - 3   |       |                    |          L4421  |
Ar VIII   |           12.2611     |  0.0003    |           12.2611     |   0.0003     |           |             |      |    17.36957      -    118.4895      | 2p6.3p                | 2P*     | 1/2  | 2p6.6d                 | 2D      | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar VIII   |           12.3022     |  0.0003    |           12.3030     |   0.0008     |           |             |      |    17.70596      -    118.482       | 2p6.3p                | 2P*     | 3/2  | 2p6.6d                 | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar IX     |           12.3556     |  0.0008    |           12.3560     |   0.0005     |         3 |             |      |   269.04164      -    369.385       | 2s2.2p5.3p            | 3D      | 3    | 2s2.2p5.5s             | 3P*     | 2    |   7 - 5   |       |                    |          L4421  |
Ar XVIII  |                       |            |           12.405380   |   0.000008   |           |             |      | (4149.73810)     -  (4249.681997)   | 4p                    | 2P*     | 1/2  | 5d                     | 2D      | 3/2  |   2 - 4   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVIII  |                       |            |           12.407781   |   0.000009   |           |             |      | (4149.75799)     -  (4249.682544)   | 4s                    | 2S      | 1/2  | 5p                     | 2P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVIII  |                       |            |           12.446152   |   0.000010   |           |             |      | (4149.75799)     -  (4249.374483)   | 4s                    | 2S      | 1/2  | 5p                     | 2P*     | 1/2  |   2 - 2   |       |                    |                 |
Ar XVIII  |                       |            |           12.4676339  |   0.0000010  |           |             |      | (4150.338950)    -  (4249.7838009)  | 4d                    | 2D      | 3/2  | 5f                     | 2F*     | 5/2  |   4 - 6   |       |                    |                 |
Ar XVIII  |                       |            |           12.467745   |   0.000003   |           |             |      | (4150.340022)    -  (4249.783986)   | 4p                    | 2P*     | 3/2  | 5d                     | 2D      | 5/2  |   4 - 6   |       |                    |                 |
Ar XVIII  |                       |            |           12.480545   |   0.000003   |           |             |      | (4150.340022)    -  (4249.681997)   | 4p                    | 2P*     | 3/2  | 5d                     | 2D      | 3/2  |   4 - 4   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           12.4810     |  0.0008    |           12.4810     |   0.0008     |         3 |             |      |   292.45120      -    391.790       | 2s2.2p5.3d            | 3F*     | 4    | 2s2.2p5.6f             | 3G      | 5    |   9 - 11  |       |                    |          L4421  |
Ar VII    |           12.4816     |  0.0003    |           12.4816     |   0.0004     |           |             |      |    14.12248      -    113.456       | 3s.3p                 | 3P*     | 1    | 3s.8d                  | 3D      | 2    |   3 - 5   |       |                    |          L4421  |
Ar IX     |           12.4850     |  0.0010    |           12.4850     |   0.0010     |           |             |      |   269.88094      -    369.187       | 2s2.2p5.3p            | 3D      | 1    | 2s2.2p5.5s             | 3P*     | 0    |   3 - 1   |       |                    |          L9866  |
Ar XVIII  |                       |            |           12.4862196  |   0.0000003  |           |             |      | (4150.5377790)   -  (4249.8346059)  | 4f                    | 2F*     | 5/2  | 5g                     | 2G      | 7/2  |   6 - 8   |       |                    |                 |
Ar XVIII  |                       |            |           12.4862525  |   0.0000010  |           |             |      | (4150.538137)    -  (4249.8347026)  | 4d                    | 2D      | 5/2  | 5f                     | 2F*     | 7/2  |   6 - 8   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVIII  |                       |            |           12.4948870  |   0.0000003  |           |             |      | (4150.6371759)   -  (4249.8651227)  | 4f                    | 2F*     | 7/2  | 5g                     | 2G      | 9/2  |   8 - 10  |       |                    |                 |
Ar XVIII  |                       |            |           12.4987309  |   0.0000003  |           |             |      | (4150.6371759)   -  (4249.8346059)  | 4f                    | 2F*     | 7/2  | 5g                     | 2G      | 7/2  |   8 - 8   |       |                    |                 |
Ar XVIII  |                       |            |           12.5054153  |   0.0000018  |           |             |      | (4150.538137)    -  (4249.682544)   | 4d                    | 2D      | 5/2  | 5p                     | 2P*     | 3/2  |   6 - 4   |       |                    |                 |
Ar XVIII  |                       |            |           12.5054391  |   0.0000007  |           |             |      | (4150.5377790)   -  (4249.681997)   | 4f                    | 2F*     | 5/2  | 5d                     | 2D      | 3/2  |   6 - 4   |       |                    |                 |
Ar VII    |           12.5070     |  0.0003    |           12.5070     |   0.0004     |           |             |      |    14.33133      -    113.463       | 3s.3p                 | 3P*     | 2    | 3s.8d                  | 3D      | 3    |   5 - 7   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVIII  |                       |            |           12.518007   |   0.000006   |           |             |      | (4150.340022)    -  (4249.38470)    | 4p                    | 2P*     | 3/2  | 5s                     | 2S      | 1/2  |   4 - 2   |       |                    |                 |
Ar IX     |           12.5266     |  0.0008    |           12.5266     |   0.0008     |         3 |             |      |   292.81735      -    391.794       | 2s2.2p5.3d            | 3F*     | 3    | 2s2.2p5.6f             | 1G      | 4    |   7 - 9   |       |                    |          L4421  |
Ar IX     |           12.5464     |  0.0008    |           12.5459     |   0.0006     |        2* |             |      |   270.56020      -    369.385       | 2s2.2p5.3p            | 3P      | 2    | 2s2.2p5.5s             | 3P*     | 2    |   5 - 5   |       |                    |          L4421  |
Ar IX     |           12.5464     |  0.0008    |           12.5464     |   0.0008     |        2* |             |      |   295.37718      -    394.198       | 2s2.2p5.3d            | 1D*     | 2    | 2s2.2p5.6f             | 3G      | 3    |   5 - 7   |       |                    |          L4421  |
Ar IX     |           12.5950     |  0.0010    |           12.5950     |   0.0010     |           |             |      |   272.15145      -    370.591       | 2s2.2p5.3p            | 1D      | 2    | 2s2.2p5.5s             | 3P*     | 1    |   5 - 3   |       |                    |          L9866  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           12.5999     |  0.0008    |           12.5999     |   0.0008     |      5bl* |             |      |   295.67305      -    394.074       | 2s2.2p5.3d            | 3D*     | 3    | 2s2.2p5.6f             | 3D      | 3    |   7 - 7   |       |                    |          L4421  |
Ar IX     |           12.5999     |  0.0008    |           12.604      |   0.003      |      5bl* |             |      |   293.46316      -    391.835       | 2s2.2p5.3d            | 3F*     | 2    | 2s2.2p5.6f             | 1F      | 3    |   5 - 7   |       |                    |          L4421  |
Ar IX     |           12.6604     |  0.0008    |           12.6604     |   0.0008     |         2 |             |      |   293.92426      -    391.855       | 2s2.2p5.3d            | 1F*     | 3    | 2s2.2p5.6f             | 3F      | 4    |   7 - 9   |       |                    |          L4421  |
Ar VIII   |           12.7656     |  0.0003    |           12.7653     |   0.0003     |           |             |      |    17.36957      -    114.4958      | 2p6.3p                | 2P*     | 1/2  | 2p6.6s                 | 2S      | 1/2  |   2 - 2   |       |                    |          L4421  |
Ar VIII   |           12.8093     |  0.0003    |           12.8096     |   0.0003     |           |             |      |    17.70596      -    114.4958      | 2p6.3p                | 2P*     | 3/2  | 2p6.6s                 | 2S      | 1/2  |   4 - 2   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           12.8574     |  0.0008    |           12.854      |   0.003      |         2 |             |      |   295.37718      -    391.835       | 2s2.2p5.3d            | 1D*     | 2    | 2s2.2p5.6f             | 1F      | 3    |   5 - 7   |       |                    |          L4421  |
Ar VIII   |           12.8956     |  0.0003    |           12.8956     |   0.0003     |        bl |             |      |    41.25624      -    137.4008      | 2p6.3d                | 2D      | 5/2  | 2p6.12f                | 2F*     | 7/2  |   6 - 8   |       |                    |          L4421  |
Ar VII    |           13.0193     |  0.0003    |           13.0193     |   0.0004     |           |             |      |    14.12248      -    109.354       | 3s.3p                 | 3P*     | 1    | 3s.7d                  | 3D      | 2    |   3 - 5   |       |                    |          L4421  |
Ar X      |           13.0356     |  0.0008    |           13.0356     |   0.0008     |       bl* |             |      |   295.1181       -    390.230       | 2s2.2p4.(3P).3p       | 4P*     | 5/2  | 2s2.2p4.(3P).4d        | 4D      | 5/2  |   6 - 6   |       |                    |          L4421  |
Ar X      |           13.0356     |  0.0008    |           13.0359     |   0.0007     |       bl* |             |      |   297.6879       -    392.798       | 2s2.2p4.(3P).3p       | 4D*     | 5/2  | 2s2.2p4.(3P).4d        | 4F      | 7/2  |   6 - 8   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar X      |           13.0356     |  0.0008    |           13.0373     |   0.0013     |       bl* |             |      |   305.9444       -    401.044       | 2s2.2p4.(1D).3p       | 2F*     | 7/2  | 2s2.2p4.(1D).4d        | 2F      | 7/2  |   8 - 8   |       |                    |          L4421  |
Ar VII    |           13.0358     |  0.0003    |           13.0358     |   0.0004     |           |             |      |    14.33133      -    109.442       | 3s.3p                 | 3P*     | 2    | 3s.7d                  | 3D      | 3    |   5 - 7   |       |                    |          L4421  |
Ar VIII   |           13.0500     |  0.0003    |           13.04992    |   0.00008    |        bl |             |      |    41.25624      -    136.2638      | 2p6.3d                | 2D      | 5/2  | 2p6.11f                | 2F*     | 7/2  |   6 - 8   |       |                    |          L4421  |
Ar X      |           13.1430     |  0.0008    |           13.1430     |   0.0009     |         1 |             |      |   298.8381       -    393.173       | 2s2.2p4.(3P).3p       | 4D*     | 1/2  | 2s2.2p4.(3P).4d        | 4F      | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar X      |           13.1771     |  0.0008    |           13.1771     |   0.0008     |       4bl |             |      |   305.5610       -    399.652       | 2s2.2p4.(1D).3p       | 2F*     | 5/2  | 2s2.2p4.(1D).4d        | 2G      | 7/2  |   6 - 8   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar X      |           13.2349     |  0.0008    |           13.2349     |   0.0008     |      5bl* |             |      |   305.9444       -    399.624       | 2s2.2p4.(1D).3p       | 2F*     | 7/2  | 2s2.2p4.(1D).4d        | 2G      | 9/2  |   8 - 10  |       |                    |          L4421  |
Ar X      |           13.2349     |  0.0008    |           13.2349     |   0.0008     |      5bl* |             |      |   297.1816       -    390.861       | 2s2.2p4.(3P).3p       | 4D*     | 7/2  | 2s2.2p4.(3P).4d        | 4F      | 9/2  |   8 - 10  |       |                    |          L4421  |
Ar VII    |           13.2635     |  0.0003    |           13.26348    |   0.00008    |           |             |      |    14.33133      -    107.8092      | 3s.3p                 | 3P*     | 2    | 3s.7s                  | 3S      | 1    |   5 - 3   |       |                    |          L4421  |
Ar VIII   |           13.2635     |  0.0003    |           13.2635     |   0.0003     |        bl |             |      |    41.25624      -    134.7340      | 2p6.3d                | 2D      | 5/2  | 2p6.10f                | 2F*     | 7/2  |   6 - 8   |       |                    |          L4421  |
Ar X      |           13.2746     |  0.0008    |           13.2742     |   0.0008     |       4bl |             |      |   299.395        -    392.798       | 2s2.2p4.(3P).3p       | 2D*     | 5/2  | 2s2.2p4.(3P).4d        | 4F      | 7/2  |   6 - 8   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar X      |           13.3163     |  0.0008    |           13.3163     |   0.0008     |       2bl |             |      |   307.8003       -    400.908       | 2s2.2p4.(1D).3p       | 2D*     | 3/2  | 2s2.2p4.(1D).4d        | 2F      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar X      |           13.3341     |  0.0008    |           13.3325     |   0.0013     |       3bl |             |      |   308.0500       -    401.044       | 2s2.2p4.(1D).3p       | 2D*     | 5/2  | 2s2.2p4.(1D).4d        | 2F      | 7/2  |   6 - 8   |       |                    |          L4421  |
Ar VII    |           13.4797     |  0.0003    |           13.47994    |   0.00007    |           |             |      |     0.00000      -     91.9768      | 2p6.3s2               | 1S      | 0    | 3s.5p                  | 1P*     | 1    |   1 - 3   |       |                    |          L4421  |
Ar VIII   |           13.5591     |  0.0003    |           13.55890    |   0.00007    |        bl |             |      |    41.25624      -    132.6974      | 2p6.3d                | 2D      | 5/2  | 2p6.9f                 | 2F*     | 7/2  |   6 - 8   |       |                    |          L4421  |
Ar IX     |           13.5707     |  0.0008    |           13.5701     |   0.0008     |         4 |             |      |   251.26336      -    342.629       | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.4p             | 3P      | 2    |   5 - 5   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           13.6164     |  0.0008    |           13.6162     |   0.0009     |         7 |             |      |   251.26336      -    342.320       | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.4p             | 3D      | 3    |   5 - 7   |       |                    |          L4421  |
Ar VII    |           13.6769     |  0.0003    |           13.6767     |   0.0003     |           |             |      |    14.0227       -    104.6765      | 3s.3p                 | 3P*     | 0    | 3s.6d                  | 3D      | 1    |   1 - 3   |       |                    |          L4421  |
Ar XI     |           13.690      |  0.010     |           13.6912     |   0.0006     |           |             |      |     0.000000     -     90.558       | 2s2.2p4               | 3P      | 2    | 2s.2p5                 | 1P*     | 1    |   5 - 3   |       |                    |          L5429  |
Ar IX     |           13.6910     |  0.0010    |           13.6922     |   0.0008     |           |             |      |   252.07844      -    342.629       | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.4p             | 3P      | 2    |   3 - 5   |       |                    |          L9866  |
Ar VII    |           13.6915     |  0.0003    |           13.69131    |   0.00008    |         * |             |      |    14.12248      -    104.6794      | 3s.3p                 | 3P*     | 1    | 3s.6d                  | 3D      | 2    |   3 - 5   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar VII    |           13.6915     |  0.0003    |           13.6917     |   0.0003     |         * |             |      |    14.12248      -    104.6765      | 3s.3p                 | 3P*     | 1    | 3s.6d                  | 3D      | 1    |   3 - 3   |       |                    |          L4421  |
Ar VII    |           13.7228     |  0.0003    |           13.72296    |   0.00008    |         * |             |      |    14.33133      -    104.6794      | 3s.3p                 | 3P*     | 2    | 3s.6d                  | 3D      | 2    |   5 - 5   |       |                    |          L4421  |
Ar VII    |           13.7228     |  0.0003    |           13.72296    |   0.00008    |         * |             |      |    14.33133      -    104.6794      | 3s.3p                 | 3P*     | 2    | 3s.6d                  | 3D      | 3    |   5 - 7   |       |                    |          L4421  |
Ar IX     |           13.7230     |  0.0008    |           13.7230     |   0.0008     |         2 |             |      |   251.26336      -    341.611       | 2s2.2p5.3s            | 3P*     | 2    | 2s2.2p5.4p             | 3S      | 1    |   5 - 3   |       |                    |          L4421  |
Ar IX     |           13.7394     |  0.0008    |           13.7394     |   0.0008     |       5bl |             |      |   252.07844      -    342.318       | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.4p             | 1P      | 1    |   3 - 3   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar IX     |           13.7537     |  0.0008    |           13.7536     |   0.0007     |         6 |             |      |   254.38887      -    344.535       | 2s2.2p5.3s            | 1P*     | 1    | 2s2.2p5.4p             | 1D      | 2    |   3 - 5   |       |                    |          L4421  |
Ar IX     |           13.7656     |  0.0008    |           13.7655     |   0.0008     |         6 |             |      |   252.07844      -    342.147       | 2s2.2p5.3s            | 3P*     | 1    | 2s2.2p5.4p             | 3D      | 2    |   3 - 5   |       |                    |          L4421  |
Ar VIII   |           13.7898     |  0.0003    |           13.78970    |   0.00014    |           |             |      |    17.36957      -    107.2803      | 2p6.3p                | 2P*     | 1/2  | 2p6.5d                 | 2D      | 3/2  |   2 - 4   |       |                    |          L4421  |
Ar VIII   |           13.8415     |  0.0003    |           13.84141    |   0.00014    |           |             |      |    17.70596      -    107.2808      | 2p6.3p                | 2P*     | 3/2  | 2p6.5d                 | 2D      | 5/2  |   4 - 6   |       |                    |          L4421  |
Ar X      |           13.88       |  0.02      |           13.8738     |   0.0009     |        t* |             |      |   300.8643       -    390.230       | 2s2.2p4.(3P).3p       | 4S*     | 3/2  | 2s2.2p4.(3P).4d        | 4D      | 5/2  |   4 - 6   |       |                    |         L11036  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar X      |           13.88       |  0.02      |           13.8920     |   0.0009     |        t* |             |      |   311.6588       -    400.908       | 2s2.2p4.(1D).3p       | 2P*     | 3/2  | 2s2.2p4.(1D).4d        | 2F      | 5/2  |   4 - 6   |       |                    |         L11036  |
Ar VIII   |           13.9984     |  0.0003    |           13.99850    |   0.00007    |        bl |             |      |    41.25624      -    129.8258      | 2p6.3d                | 2D      | 5/2  | 2p6.8f                 | 2F*     | 7/2  |   6 - 8   |       |                    |          L4421  |
Ar IX     |           14.2767     |  0.0008    |           14.2784     |   0.0015     |         3 |             |      |   291.53708      -    378.370       | 2s2.2p5.3d            | 3P*     | 1    | 2s2.2p5.5f             | 3D      | 2    |   3 - 5   |       |                    |          L4421  |
Ar VII    |           14.2845     |  0.0003    |           14.2845     |   0.0003     |           |             |      |    14.12248      -    100.9190      | 3s.3p                 | 3P*     | 1    | 3s.6s                  | 3S      | 1    |   3 - 3   |       |                    |          L4421  |
Ar VII    |           14.3189     |  0.0003    |           14.3189     |   0.0003     |           |             |      |    14.33133      -    100.9190      | 3s.3p                 | 3P*     | 2    | 3s.6s                  | 3S      | 1    |   5 - 3   |       |                    |          L4421  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
