------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar XVI    |                       |            |            0.34245    |   0.00005    |           |             |      |     0.0000       -   3620.5         | 1s2.2s                | 2S      | 1/2  | 1s.2s.(3S).3p          | 4P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34252    |   0.00004    |           |             |      |    35.0383       -   3654.9         | 1s2.2p                | 2P*     | 3/2  | 1s.2p.(3P*).3p         | 2S      | 1/2  |   4 - 2   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVI    |                       |            |            0.34271    |   0.00004    |           |             |      |    31.8672       -   3649.6         | 1s2.2p                | 2P*     | 1/2  | 1s.2p.(3P*).3p         | 2D      | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34271    |   0.00004    |           |             |      |    31.8672       -   3649.6         | 1s2.2p                | 2P*     | 1/2  | 1s.2p.(3P*).3p         | 4S      | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34278    |   0.00005    |           |             |      |    35.0383       -   3652.1         | 1s2.2p                | 2P*     | 3/2  | 1s.2p.(3P*).3p         | 2D      | 5/2  |   4 - 6   |       |                    |                 |
Ar XVI    |                       |            |            0.34301    |   0.00004    |           |             |      |    35.0383       -   3649.6         | 1s2.2p                | 2P*     | 3/2  | 1s.2p.(3P*).3p         | 2D      | 3/2  |   4 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34301    |   0.00004    |           |             |      |    35.0383       -   3649.6         | 1s2.2p                | 2P*     | 3/2  | 1s.2p.(3P*).3p         | 4S      | 3/2  |   4 - 4   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVI    |                       |            |            0.34359    |   0.00005    |           |             |      |    35.0383       -   3643.5         | 1s2.2p                | 2P*     | 3/2  | 1s.2p.(3P*).3p         | 4D      | 3/2  |   4 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34365    |   0.00005    |           |             |      |    35.0383       -   3642.9         | 1s2.2p                | 2P*     | 3/2  | 1s.2p.(3P*).3p         | 2P      | 3/2  |   4 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34437    |   0.00004    |           |             |      |    31.8672       -   3632.2         | 1s2.2p                | 2P*     | 1/2  | 1s.2s.(1S).3s          | 2S      | 1/2  |   2 - 2   |       |                    |                 |
Ar XVI    |                       |            |            0.34438    |   0.00005    |           |             |      |    31.8672       -   3632.1         | 1s2.2p                | 2P*     | 1/2  | 1s.2s.(3S).3d          | 2D      | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.34467    |   0.00004    |           |             |      |    35.0383       -   3632.2         | 1s2.2p                | 2P*     | 3/2  | 1s.2s.(1S).3s          | 2S      | 1/2  |   4 - 2   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVI    |                       |            |            0.34468    |   0.00005    |           |             |      |    35.0383       -   3632.1         | 1s2.2p                | 2P*     | 3/2  | 1s.2s.(3S).3d          | 2D      | 5/2  |   4 - 6   |       |                    |                 |
Ar XVI    |                       |            |            0.34579    |   0.00004    |           |             |      |    31.8672       -   3617.4         | 1s2.2p                | 2P*     | 1/2  | 1s.2s.(3S).3s          | 2S      | 1/2  |   2 - 2   |       |                    |                 |
Ar XVI    |                       |            |            0.34610    |   0.00004    |           |             |      |    35.0383       -   3617.4         | 1s2.2p                | 2P*     | 3/2  | 1s.2s.(3S).3s          | 2S      | 1/2  |   4 - 2   |       |                    |                 |
Ar XVII   |                       |            |            0.372348   |   0.000021   |           |             |      | (3123.5347)      -  (6453.33)       | 1s.2p                 | 3P*     | 1    | 2p2                    | 1S      | 0    |   3 - 1   |       |                    |                 |
Ar XVIII  |            0.3731105  |  0.0000019 |            0.37311012 |   0.00000012 |        13 |             |      |     0.0000       -  (3322.9921)     | 1s                    | 2S      | 1/2  | 2p                     | 2P*     | 3/2  |   2 - 4   |       |                    |          L7290  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVII   |                       |            |            0.373238   |   0.000021   |           |             |      | (3104.1486)      -  (6426.00)       | 1s.2s                 | 3S      | 1    | 2s.2p                  | 1P*     | 1    |   3 - 3   |       |                    |                 |
Ar XVIII  |            0.3736522  |  0.0000019 |            0.37365164 |   0.00000012 |         7 |             |      |     0.0000       -  (3318.1762)     | 1s                    | 2S      | 1/2  | 2p                     | 2P*     | 1/2  |   2 - 2   |       |                    |          L7290  |
Ar XVII   |                       |            |            0.374151   |   0.000021   |           |             |      | (3139.5824)      -  (6453.33)       | 1s.2p                 | 1P*     | 1    | 2p2                    | 1S      | 0    |   3 - 1   |       |                    |                 |
