------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |           Level (eV) |   Uncertainty (eV) | Reference
                   |        |  5/2 |    6 |         30.771221    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4p    | 2P*    |  1/2 |    2 |         30.800949    |                    |              
                   |        |  3/2 |    4 |         30.811970    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3d    | 2F     |  7/2 |    8 |         31.147582    |                    |              
                   |        |  5/2 |    6 |         31.147904    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3d    | 2G     |  9/2 |   10 |         31.319435    |                    |              
                   |        |  7/2 |    8 |         31.319581    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1S).3p    | 2P*    |  1/2 |    2 |         31.366419    |                    |              
                   |        |  3/2 |    4 |         31.367182    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3d    | 2D     |  3/2 |    4 |         31.373797    |                    |              
                   |        |  5/2 |    6 |         31.374055    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3d    | 2P     |  1/2 |    2 |         31.465948    |                    |              
                   |        |  3/2 |    4 |         31.466247    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4d    | 4F     |  3/2 |    4 |         31.533844    |                    |              
                   |        |  5/2 |    6 |         31.540144    |                    |              
                   |        |  7/2 |    8 |         31.551523    |                    |              
                   |        |  9/2 |   10 |         31.565137    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4d    | 4D     |  1/2 |    2 |         31.596961    |                    |              
                   |        |  3/2 |    4 |         31.601262    |                    |              
                   |        |  5/2 |    6 |         31.603128    |                    |              
                   |        |  7/2 |    8 |         31.618417    |                    |              
                   |        |      |      |                      |                    |               
2s.2p3.(5S*).3s    | 4S*    |  3/2 |    4 |         31.613683    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4d    | 4P     |  5/2 |    6 |         31.628990    |                    |              
                   |        |  3/2 |    4 |         31.633627    |                    |              
                   |        |  1/2 |    2 |         31.636190    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4d    | 2P     |  3/2 |    4 |         31.637492    |                    |              
                   |        |  1/2 |    2 |         31.650925    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4d    | 2F     |  5/2 |    6 |         31.653427    |                    |              
                   |        |  7/2 |    8 |         31.673759    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3d    | 2S     |  1/2 |    2 |         31.693188    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f D  | 2[3]*  |  5/2 |    6 |         31.7015119   |                    |              
                   |        |  7/2 |    8 |         31.7016863   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f G  | 2[3]*  |  5/2 |    6 |         31.7097186   |                    |              
                   |        |  7/2 |    8 |         31.7101220   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f D  | 2[2]*  |  3/2 |    4 |         31.7167358   |                    |              
                   |        |  5/2 |    6 |         31.7168280   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f G  | 2[4]*  |  9/2 |   10 |         31.7185867   |                    |              
                   |        |  7/2 |    8 |         31.718825    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4d    | 2D     |  3/2 |    4 |         31.720478    |                    |              
                   |        |  5/2 |    6 |         31.727257    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f D  | 2[1]*  |  3/2 |    4 |         31.729084    |                    |              
                   |        |  1/2 |    2 |         31.729090    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f G  | 2[5]*  | 11/2 |   12 |         31.7371625   |                    |              
                   |        |  9/2 |   10 |         31.7379192   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f F  | 2[2]*  |  3/2 |    4 |         31.7503201   |                    |              
                   |        |  5/2 |    6 |         31.7508337   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f F  | 2[3]*  |  7/2 |    8 |         31.7552332   |                    |              
                   |        |  5/2 |    6 |         31.7555499   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).4f F  | 2[4]*  |  9/2 |   10 |         31.7568208   |                    |              
                   |        |  7/2 |    8 |         31.7577075   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5s    | 4P     |  1/2 |    2 |         31.950199    |                    |              
                   |        |  3/2 |    4 |         31.963117    |                    |              
                   |        |  5/2 |    6 |         31.983597    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5s    | 2P     |  1/2 |    2 |         32.038913    |                    |              
                   |        |  3/2 |    4 |         32.063101    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4s    | 2D     |  5/2 |    6 |         32.147566    |                    |              
                   |        |  3/2 |    4 |         32.147623    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5p    | 2S*    |  1/2 |    2 |         32.320978    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5p    | 4D*    |  1/2 |    2 |         32.348960    |                    |              
                   |        |  3/2 |    4 |         32.354745    |                    |              
                   |        |  5/2 |    6 |         32.365335    |                    |              
                   |        |  7/2 |    8 |         32.382266    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5p    | 4P*    |  1/2 |    2 |         32.386466    |                    |              
                   |        |  3/2 |    4 |         32.392271    |                    |              
                   |        |  5/2 |    6 |         32.404016    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5p    | 4S*    |  3/2 |    4 |         32.436939    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5p    | 2D*    |  3/2 |    4 |         32.446509    |                    |              
                   |        |  5/2 |    6 |         32.467734    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5p    | 2P*    |  1/2 |    2 |         32.519421    |                    |              
                   |        |  3/2 |    4 |         32.529492    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5d    | 4D     |  3/2 |    4 |         32.88313     |                    |              
                   |        |  5/2 |    6 |         32.88313     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5d    | 4P     |  5/2 |    6 |         32.90931     |                    |              
                   |        |  3/2 |    4 |         32.91386     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5d    | 2F     |  7/2 |    8 |         32.92787?    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f D  | 2[3]*  |  5/2 |    6 |         32.934803    |                    |              
                   |        |  7/2 |    8 |         32.934987    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<0>).5g | 2[4]   |  7/2 |    8 |         32.942245    |                    |              
                   |        |  9/2 |   10 |         32.942245    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f G  | 2[3]*  |  5/2 |    6 |         32.944892    |                    |              
                   |        |  7/2 |    8 |         32.945128    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f G  | 2[4]*  |  9/2 |   10 |         32.950200    |                    |              
                   |        |  7/2 |    8 |         32.950457    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f D  | 2[2]*  |  3/2 |    4 |         32.950819    |                    |              
                   |        |  5/2 |    6 |         32.950976    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<1>).5g | 2[4]   |  7/2 |    8 |         32.954266    |                    |              
                   |        |  9/2 |   10 |         32.954273    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<1>).5g | 2[5]   |  9/2 |   10 |         32.956981    |                    |              
                   |        | 11/2 |   12 |         32.956991    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<1>).5g | 2[3]   |  5/2 |    6 |         32.957513    |                    |              
                   |        |  7/2 |    8 |         32.957536    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5d    | 2D     |  5/2 |    6 |         32.96184     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f D  | 2[1]*  |  1/2 |    2 |         32.966538    |                    |              
                   |        |  3/2 |    4 |         32.966607    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f G  | 2[5]*  | 11/2 |   12 |         32.970521    |                    |              
                   |        |  9/2 |   10 |         32.971156    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f F  | 2[2]*  |  3/2 |    4 |         32.974511    |                    |              
                   |        |  5/2 |    6 |         32.975276    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).5g | 2[2]   |  3/2 |    4 |         32.977330    |                    |              
                   |        |  5/2 |    6 |         32.977330    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f F  | 2[3]*  |  7/2 |    8 |         32.978843    |                    |              
                   |        |  5/2 |    6 |         32.978851    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).5g | 2[6]   | 11/2 |   12 |         32.978843    |                    |              
                   |        | 13/2 |   14 |         32.978847    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).5f F  | 2[4]*  |  9/2 |   10 |         32.979766    |                    |              
                   |        |  7/2 |    8 |         32.980404    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).5g | 2[3]   |  5/2 |    6 |         32.980739    |                    |              
                   |        |  7/2 |    8 |         32.980754    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).5g | 2[4]   |  9/2 |   10 |         32.982636    |                    |              
                   |        |  7/2 |    8 |         32.982636    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).5g | 2[5]   | 11/2 |   12 |         32.982792    |                    |              
                   |        |  9/2 |   10 |         32.982792    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4p    | 2F*    |  5/2 |    6 |         33.051674    |                    |              
                   |        |  7/2 |    8 |         33.052740    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4p    | 2D*    |  3/2 |    4 |         33.057202    |                    |              
                   |        |  5/2 |    6 |         33.059218    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).6s    | 4P     |  1/2 |    2 |         33.06634     |                    |              
                   |        |  3/2 |    4 |         33.07923     |                    |              
                   |        |  5/2 |    6 |         33.100214    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).6s    | 2P     |  1/2 |    2 |         33.11632?    |                    |              
                   |        |  3/2 |    4 |         33.140757    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4p    | 2P*    |  1/2 |    2 |         33.160848    |                    |              
                   |        |  3/2 |    4 |         33.164631    |                    |              
                   |        |      |      |                      |                    |               
2s.2p3.(5S*).3p    | 6P     |  3/2 |    4 |         33.199025+x  |                    |              
                   |        |  5/2 |    6 |         33.199928+x  |                    |              
                   |        |  7/2 |    8 |         33.201491+x  |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).6p    | 2S*    |  1/2 |    2 |         33.27361     |                    |              
                   |        |      |      |                      |                    |               
