--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti II     |                  204.974782  |                  204.974775  |     28 |           |      |       4.30826565      -       10.3550814      | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(3F).6s           | 2F         | 7/2  |       |              |            u37  |
Ti I      |                  205.00592   |                  205.00590   |      5 |           |      |       0.0479663       -        6.0938641      | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3D*        | 3    |       |              |         L10989  |
Ti II     |                  205.032095  |                  205.032094  |    152 |           |      |       3.12352955      -        9.16865510     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2D*        | 3/2  |       |              |            u37  |
Ti II     |                  205.14445   |                  205.144516  |      4 |           |      |       2.59025179      -        8.63206499     | 3d3                   | b 2F       | 7/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 5/2  |       |              |            u37  |
Ti II     |                  205.264881  |                  205.264897  |     24 |           |      |       4.28283323      -       10.3211036      | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 2F         | 5/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  205.412893  |                  205.412889  |     89 |           |      |       3.09479323      -        9.1287138      | 3d.4s2                | c 2D       | 3/2  | 3d.(2D).4s.4p.(1P*)   | 2P*        | 1/2  |       |              |            u37  |
Ti II     |                  205.453333  |                  205.453336  |     36 |           |      |       0.60723962      -        6.63997249     | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 5/2  |       |              |            u37  |
Ti II     |                  205.662442  |                  205.662448  |    235 |           |      |       3.12352955      -        9.15012930     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2F*        | 7/2  |       |              |            u37  |
Ti I      |                  205.67711   |                  205.67746   |      0 |           |      |       0.02109378      -        6.047254       | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3F*        | 4    |       |              |         L10989  |
Ti II     |                  205.857696  |                  205.857697  |    182 |           |      |       3.09479323      -        9.11567771     | 3d.4s2                | c 2D       | 3/2  | 3d2.(3F).5p           | 2F*        | 5/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  205.93997   |                  205.93997   |      4 |           |      |       0.000           -        6.018479       | 3d2.4s2               | a 3F       | 2    | 3d2.4s.(2F).5p        | 3G*        | 3    |       |              |         L10989  |
Ti II     |                  206.055     |                  206.055245  |     0: |           |      |       4.28283323      -       10.2979462      | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 4F         | 7/2  |       |              |          L5432  |
Ti I      |                  206.05923   |                  206.05928   |      5 |           |      |       0.02109378      -        6.0360888      | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3G*        | 4    |       |              |         L10989  |
Ti II     |                  206.083     |                  206.082497  |     0: |           |      |       4.30826565      -       10.32258327     | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(3F).6s           | 4F         | 9/2  |       |              |          L5432  |
Ti I      |                  206.17054   |                  206.17073   |      6 |           |      |       0.0479663       -        6.059710       | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3G*        | 5    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  206.28734   |                  206.28730   |      4 |           |      |       0.000           -        6.008347       | 3d2.4s2               | a 3F       | 2    | 3d2.4s.(2F).5p        | 3F*        | 2    |       |              |         L10989  |
Ti I      |                  206.29143   |                  206.29178   |      4 |           |      |       0.02109378      -        6.029311       | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3F*        | 3    |       |              |         L10989  |
Ti I      |                  206.59877   |                  206.59887   |      7 |           |      |       0.0479663       -        6.047254       | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3F*        | 4    |       |              |         L10989  |
Ti II     |                  206.648     |                  206.649106  |     0: |           |      |       2.59768654      -        8.59551571     | 3d3                   | b 2F       | 5/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 3/2  |       |              |          L5432  |
Ti I      |                  206.66438   |                  206.66439   |      4 |           |      |       0.02109378      -        6.018479       | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(2F).5p        | 3G*        | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  206.670     |                  206.669761  |     0: |           |      |       4.28283323      -       10.2800631      | 3d2.(3F).4p           | z 2G*      | 7/2  | 3d2.(3F).6s           | 4F         | 5/2  |       |              |          L5432  |
