--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti II     |                  264.941010  |                  264.94096   |    204 |           |      |       3.85760420      -        8.5359027      | 3d2.(3F).4p           | z 4F*      | 7/2  | 3d2.(3F).4d           | f 4F       | 5/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  264.9584    |                  264.95804   |      7 |           |      |       0.8359952       -        5.5139922      | 3d3.(4F).4s           | a 5F       | 4    | 3d3.(4F).5p           | 5D*        | 3    |       |              |         L10989  |
Ti I      |                  264.9742    |                  264.97405   |      5 |           |      |       0.8258595       -        5.5035738      | 3d3.(4F).4s           | a 5F       | 3    | 3d3.(4F).5p           | 5D*        | 2    |       |              |         L10989  |
Ti II     |                  264.991697  |                  264.991690  |    113 |           |      |       4.96274028      -        9.64014330     | 3d2.(3P).4p           | z 4S*      | 3/2  | 3d2.(3P).4d           | 4P         | 1/2  |       |              |            u37  |
Ti II     |                  265.074739  |                  265.074741  |    213 |           |      |       4.96274028      -        9.63867792     | 3d2.(3P).4p           | z 4S*      | 3/2  | 3d2.(3P).4d           | 4P         | 3/2  |       |              |            u37  |
Ti I      |                  265.1140    |                  265.11397   |      2 |           |      |       0.8258595       -        5.5011052      | 3d3.(4F).4s           | a 5F       | 3    | 3d3.(4F).5p           | 5F*        | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  265.2753    |                  265.27532   |      2 |           |      |       0.8181426       -        5.4905448      | 3d3.(4F).4s           | a 5F       | 2    | 3d3.(4F).5p           | 5F*        | 3    |       |              |         L10989  |
Ti I      |                  265.2978    |                  265.29758   |      8 |           |      |       0.02109378      -        4.6931040      | 3d2.4s2               | a 3F       | 3    | 3d3.(2D2).4p          | u 3F*      | 4    |       |              |         L10989  |
Ti I      |                  265.4152    |                  265.41534   |      2 |           |      |       0.8129437       -        5.4828813      | 3d3.(4F).4s           | a 5F       | 1    | 3d3.(4F).5p           | 5F*        | 2    |       |              |         L10989  |
Ti I      |                  265.4921    |                  265.49215   |      8 |           |      |       0.000           -        4.6685865      | 3d2.4s2               | a 3F       | 2    | 3d3.(2D2).4p          | u 3F*      | 2    |       |              |         L10989  |
Ti II     |                  265.517712  |                  265.517713  |    178 |           |      |       3.88083746      -        8.54897452     | 3d2.(3F).4p           | z 4F*      | 9/2  | 3d2.(3F).4d           | f 4F       | 7/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  265.60155   |                  265.60150   |      4 |           |      |       3.86923822      -        8.5359027      | 3d2.(3F).4p           | z 2F*      | 5/2  | 3d2.(3F).4d           | f 4F       | 5/2  |       |              |            u37  |
Ti I      |                  265.6361    |                  265.63604   |      5 |           |      |       0.8484192       -        5.5144769      | 3d3.(4F).4s           | a 5F       | 5    | 3d3.(4F).5p           | 5F*        | 5    |       |              |         L10989  |
Ti I      |                  265.6902    |                  265.69001   |      3 |           |      |       0.8359952       -        5.5011052      | 3d3.(4F).4s           | a 5F       | 4    | 3d3.(4F).5p           | 5F*        | 4    |       |              |         L10989  |
Ti I      |                  265.6940    |                  265.69414   |      3 |           |      |       0.8129437       -        5.4779811      | 3d3.(4F).4s           | a 5F       | 1    | 3d3.(4F).5p           | 5F*        | 1    |       |              |         L10989  |
Ti I      |                  265.7118    |                  265.71116   |        |           |      |       0.8181426       -        5.4828813      | 3d3.(4F).4s           | a 5F       | 2    | 3d3.(4F).5p           | 5F*        | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  265.7142    |                  265.71420   |        |           |      |       0.8258595       -        5.4905448      | 3d3.(4F).4s           | a 5F       | 3    | 3d3.(4F).5p           | 5F*        | 3    |       |              |         L10989  |
Ti I      |                  265.7186    |                  265.71879   |        | 3.2e+06   | C    |       0.000           -        4.6646048      | 3d2.4s2               | a 3F       | 2    | 3d.4s2.4p             | x 1F*      | 3    |       |       T3499n |         L10989  |
Ti I      |                  265.9905    |                  265.99059   |      1 |           |      |       0.8181426       -        5.4779811      | 3d3.(4F).4s           | a 5F       | 2    | 3d3.(4F).5p           | 5F*        | 1    |       |              |         L10989  |
Ti II     |                  266.0187    |                  266.018668  |      3 |           |      |       0.57388034      -        5.23322707     | 3d2.(3F).4s           | a 2F       | 5/2  | 3d2.(3P).4p           | z 4P*      | 5/2  |       |              |            u37  |
Ti I      |                  266.0636    |                  266.06354   |      6 |           |      |       0.02109378      -        4.6796548      | 3d2.4s2               | a 3F       | 3    | 3d3.(2D2).4p          | u 3F*      | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  266.14864   |                  266.148568  |     10 |           |      |       3.86923822      -        8.52631099     | 3d2.(3F).4p           | z 2F*      | 5/2  | 3d2.(3F).4d           | f 4F       | 3/2  |       |              |            u37  |
Ti I      |                  266.1959    |                  266.19653   |     14 | 8.9e+06   | C    |       0.000           -        4.6562337      | 3d2.4s2               | a 3F       | 2    | 3d3.(2G).4p           | v 3G*      | 3    |       |       T3499n |         L10989  |
Ti I      |                  266.2929    |                  266.29285   |      0 |           |      |       0.8359952       -        5.4905448      | 3d3.(4F).4s           | a 5F       | 4    | 3d3.(4F).5p           | 5F*        | 3    |       |              |         L10989  |
Ti I      |                  266.3569    |                  266.35626   |      2 |           |      |       0.8484192       -        5.5018608      | 3d3.(4F).4s           | a 5F       | 5    | 3d2.4s.(4F).5p        | 3G*        | 5    |       |              |         L16762  |
Ti II     |                  266.38764   |                  266.387616  |     15 |           |      |       3.82322940      -        8.47612329     | 3d2.(3F).4p           | z 4F*      | 3/2  | 3d2.(3F).4d           | 2D         | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  266.41698   |                  266.416925  |     10 |           |      |       3.83837526      -        8.49075731     | 3d2.(3F).4p           | z 4F*      | 5/2  | 3d2.(3F).4d           | 2D         | 5/2  |       |              |            u37  |
Ti I      |                  266.4865    |                  266.48546   |     00 |           |      |       0.8359952       -        5.4871808      | 3d3.(4F).4s           | a 5F       | 4    | 3d2.4s.(4F).5p        | 3G*        | 4    |       |              |         L16762  |
Ti I      |                  266.6967    |                  266.69722   |     00 |           |      |       0.02109378      -        4.6685865      | 3d2.4s2               | a 3F       | 3    | 3d3.(2D2).4p          | u 3F*      | 2    |       |              |         L10989  |
Ti II     |                  266.75480   |                  266.754764  |      5 |           |      |       5.03148084      -        9.67797109     | 3d2.(3P).4p           | y 4D*      | 5/2  | 3d2.(3P).4d           | 2P         | 3/2  |       |              |            u37  |
Ti I      |                  266.8324    |                  266.83244   |      3 |           |      |       0.0479663       -        4.6931040      | 3d2.4s2               | a 3F       | 4    | 3d3.(2D2).4p          | u 3F*      | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  266.86341   |                  266.863428  |     28 |           |      |       3.90437616      -        8.54897452     | 3d2.(3F).4p           | z 2F*      | 7/2  | 3d2.(3F).4d           | f 4F       | 7/2  |       |              |            u37  |
Ti I      |                  266.9262    |                  266.92592   |      5 |           |      |       0.02109378      -        4.6646048      | 3d2.4s2               | a 3F       | 3    | 3d.4s2.4p             | x 1F*      | 3    |       |              |         L10989  |
Ti I      |                  266.9587    |                  266.95929   |     14 | 1.0e+07   | C    |       0.02109378      -        4.6640244      | 3d2.4s2               | a 3F       | 3    | 3d3.(2G).4p           | v 3G*      | 4    |       |       T3499n |         L10989  |
Ti II     |                  267.23984   |                  267.239819  |     14 |           |      |       4.95029463      -        9.58835174     | 3d2.(1D).4p           | y 2F*      | 5/2  | 3d2.(3P).4d           | 2F         | 5/2  |       |              |            u37  |
Ti II     |                  267.25776   |                  267.257630  |      4 |           |      |       3.83837526      -        8.47612329     | 3d2.(3F).4p           | z 4F*      | 5/2  | 3d2.(3F).4d           | 2D         | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  267.4080    |                  267.40802   |      6 |           |      |       0.02109378      -        4.6562337      | 3d2.4s2               | a 3F       | 3    | 3d3.(2G).4p           | v 3G*      | 3    |       |              |         L10989  |
Ti I      |                  267.6073    |                  267.60729   |      3 |           |      |       0.0479663       -        4.6796548      | 3d2.4s2               | a 3F       | 4    | 3d3.(2D2).4p          | u 3F*      | 3    |       |              |         L10989  |
Ti II     |                  267.61668   |                  267.61665   |     15 |           |      |       3.90437616      -        8.5359027      | 3d2.(3F).4p           | z 2F*      | 7/2  | 3d2.(3F).4d           | f 4F       | 5/2  |       |              |            u37  |
Ti II     |                  267.68098   |                  267.680917  |     16 |           |      |       4.00165026      -        8.63206499     | 3d3                   | d 2D1      | 3/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 5/2  |       |              |            u37  |
Ti II     |                  267.725327  |                  267.725332  |     53 |           |      |       5.56719367      -       10.19684024     | 3d2.(3P).4p           | x 2D*      | 5/2  | 3d2.(1G).4d           | 2F         | 7/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  267.82117   |                  267.820992  |      5 |           |      |       5.01215024      -        9.64014330     | 3d2.(3P).4p           | y 4D*      | 3/2  | 3d2.(3P).4d           | 4P         | 1/2  |       |              |            u37  |
Ti II     |                  267.82454   |                  267.824530  |     35 |           |      |       5.56873452      -       10.1966665      | 3d2.(3P).4p           | x 2D*      | 3/2  | 3d2.(1G).4d           | 2F         | 5/2  |       |              |            u37  |
Ti I      |                  267.8354    |                  267.83442   |      3 |           |      |       0.000           -        4.6277610      | 3d2.4s2               | a 3F       | 2    | 3d3.(2D2).4p          | w 3P*      | 2    |       |              |         L10989  |
Ti I      |                  267.9910    |                  267.99208   |     15 | 1.3e+07   | C    |       0.0479663       -        4.6730049      | 3d2.4s2               | a 3F       | 4    | 3d3.(2G).4p           | v 3G*      | 5    |       |       T3499n |         L10989  |
Ti I      |                  268.0400    |                  268.03982   |      2 |           |      |       0.8484192       -        5.4726342      | 3d3.(4F).4s           | a 5F       | 5    | 3d3.(4F).5p           | 5G*        | 6    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  268.093097  |                  268.093105  |    184 |           |      |       4.00876904      -        8.63206499     | 3d3                   | d 2D1      | 5/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 5/2  |       |              |            u37  |
Ti II     |                  268.12938   |                  268.129409  |     20 |           |      |       4.96862588      -        9.5912959      | 3d2.(1D).4p           | y 2F*      | 7/2  | 3d2.(3P).4d           | 2F         | 7/2  |       |              |            u37  |
Ti I      |                  268.1630    |                  268.16297   |      0 |           |      |       0.8258595       -        5.4479511      | 3d3.(4F).4s           | a 5F       | 3    | 3d3.(4F).5p           | 5G*        | 4    |       |              |         L10989  |
Ti II     |                  268.196176  |                  268.196186  |     54 |           |      |       3.86923822      -        8.49075731     | 3d2.(3F).4p           | z 2F*      | 5/2  | 3d2.(3F).4d           | 2D         | 5/2  |       |              |            u37  |
Ti I      |                  268.2360    |                  268.23631   |      0 |           |      |       0.8181426       -        5.4389704      | 3d3.(4F).4s           | a 5F       | 2    | 3d3.(4F).5p           | 5G*        | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  268.3234    |                  268.32394   |     00 |           |      |       0.8129437       -        5.4322625      | 3d3.(4F).4s           | a 5F       | 1    | 3d3.(4F).5p           | 5G*        | 2    |       |              |         L10989  |
Ti I      |                  268.4800    |                  268.47973   |      7 |           |      |       0.0479663       -        4.6646048      | 3d2.4s2               | a 3F       | 4    | 3d.4s2.4p             | x 1F*      | 3    |       |              |         L10989  |
Ti I      |                  268.5137    |                  268.51349   |      6 |           |      |       0.0479663       -        4.6640244      | 3d2.4s2               | a 3F       | 4    | 3d3.(2G).4p           | v 3G*      | 4    |       |              |         L10989  |
Ti I      |                  268.8160    |                  268.81639   |      1 |           |      |       0.02109378      -        4.6319508      | 3d2.4s2               | a 3F       | 3    | 3d3.(4P).4p           | y 5S*      | 2    |       |              |         L16762  |
Ti IV     |                  268.832     |                  268.83+     |      0 |           |      |      34.200670        -       38.81126        | 3p6.5f                | 2F*        | 5/2  | 3p6.7g                | 2G         | 7/2  |       |              |          L2753  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  268.9328    |                  268.93269   |      2 |           |      |       0.000           -        4.6088632      | 3d2.4s2               | a 3F       | 2    | 3d3.(2D2).4p          | w 3P*      | 1    |       |              |         L10989  |
Ti IV     |                  268.939     |                  268.94+     |      1 |           |      |      34.202521        -       38.81128        | 3p6.5f                | 2F*        | 7/2  | 3p6.7g                | 2G         | 9/2  |       |              |          L2753  |
Ti I      |                  268.9676    |                  268.96746   |      4 |           |      |       0.0479663       -        4.6562337      | 3d2.4s2               | a 3F       | 4    | 3d3.(2G).4p           | v 3G*      | 3    |       |              |         L10989  |
Ti II     |                  269.02994   |                  269.029952  |     10 |           |      |       5.03148084      -        9.63867792     | 3d2.(3P).4p           | y 4D*      | 5/2  | 3d2.(3P).4d           | 4P         | 3/2  |       |              |            u37  |
Ti II     |                  269.048154  |                  269.048173  |     61 |           |      |       3.86923822      -        8.47612329     | 3d2.(3F).4p           | z 2F*      | 5/2  | 3d2.(3F).4d           | 2D         | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  269.0609    |                  269.06090   |      3 |           |      |       0.02109378      -        4.6277610      | 3d2.4s2               | a 3F       | 3    | 3d3.(2D2).4p          | w 3P*      | 2    |       |              |         L10989  |
Ti III    |                  269.2158    |                  269.216+    |     10 |           |      |       4.719378        -        9.323390       | 3p6.3d.4s             | 3D         | 1    | 3p6.3d.4p             | 1D*        | 2    |       |              |   L3593,L11926  |
Ti I      |                  269.3370    |                  269.33775   |      0 |           |      |       1.5024892       -        6.10442156     | 3d2.4s2               | a 1G       | 4    | 3d3.(4F<7/2>).4f      | 2[7/2]*    | 4    |       |              |         L16762  |
Ti I      |                  269.4763    |                  269.47599   |      0 |           |      |       1.4601386       -        6.059710       | 3d3.(4F).4s           | b 3F       | 4    | 3d2.4s.(2F).5p        | 3G*        | 5    |       |              |         L10989  |
Ti II     |                  269.53410   |                  269.53404   |     27 |           |      |       3.93732160      -        8.5359027      | 3d2.(3F).4p           | z 2D*      | 3/2  | 3d2.(3F).4d           | f 4F       | 5/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  269.59754   |                  269.597482  |      4 |           |      |       2.04771506      -        6.64521406     | 3d2.(3P).4s           | b 2P       | 1/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 3/2  |       |              |            u37  |
Ti II     |                  269.810719  |                  269.810735  |     86 |           |      |       4.00165026      -        8.59551571     | 3d3                   | d 2D1      | 3/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 3/2  |       |              |            u37  |
Ti II     |                  269.834833  |                  269.834834  |    251 |           |      |       5.42814636      -       10.02160154     | 3d2.(1G).4p           | y 2G*      | 9/2  | 3d2.(1G).4d           | 2H         | 11/2 |       |              |            u37  |
Ti II     |                  269.844543  |                  269.844541  |    214 |           |      |       5.42316399      -       10.0164539      | 3d2.(1G).4p           | y 2G*      | 7/2  | 3d2.(1G).4d           | 2H         | 9/2  |       |              |            u37  |
Ti II     |                  270.09737   |                  270.097439  |     15 |           |      |       3.93732160      -        8.52631099     | 3d2.(3F).4p           | z 2D*      | 3/2  | 3d2.(3F).4d           | f 4F       | 3/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  270.12181   |                  270.121837  |     25 |           |      |       5.05836101      -        9.64693595     | 3d2.(3P).4p           | y 4D*      | 7/2  | 3d2.(3P).4d           | 4P         | 5/2  |       |              |            u37  |
Ti II     |                  270.13756   |                  270.137577  |      5 |           |      |       5.42814636      -       10.0164539      | 3d2.(1G).4p           | y 2G*      | 9/2  | 3d2.(1G).4d           | 2H         | 9/2  |       |              |            u37  |
Ti II     |                  270.146898  |                  270.146915  |     52 |           |      |       4.64081299      -        9.2289620      | 3d2.(3P).4p           | z 2S*      | 1/2  | 3d2.(1D).4d           | 2P         | 1/2  |       |              |            u37  |
Ti III    |                  270.1956    |                  270.196+    |     12 |           |      |       4.736066        -        9.323390       | 3p6.3d.4s             | 3D         | 2    | 3p6.3d.4p             | 1D*        | 2    |       |              |   L3593,L11926  |
Ti I      |                  270.2077    |                  270.20781   |      2 |           |      |       1.4601386       -        6.047254       | 3d3.(4F).4s           | b 3F       | 4    | 3d2.4s.(2F).5p        | 3F*        | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  270.22950   |                  270.229513  |     10 |           |      |       4.00876904      -        8.59551571     | 3d3                   | d 2D1      | 5/2  | 3d.(2D).4s.4p.(1P*)   | v 2D*      | 3/2  |       |              |            u37  |
Ti II     |                  270.251036  |                  270.251050  |    183 |           |      |       3.90437616      -        8.49075731     | 3d2.(3F).4p           | z 2F*      | 7/2  | 3d2.(3F).4d           | 2D         | 5/2  |       |              |            u37  |
Ti I      |                  270.2640    |                  270.2642    |      1 |           |      |       1.44315261      -        6.029311       | 3d3.(4F).4s           | b 3F       | 3    | 3d2.4s.(2F).5p        | 3F*        | 3    |       |              |         L10989  |
Ti I      |                  270.3490    |                  270.34894   |      0 |           |      |       0.8995494       -        5.4842699      | 3d2.4s2               | a 1D       | 2    | 3d2.4s.(4F).5p        | o 3D*      | 3    |       |              |         L10989  |
Ti II     |                  270.396     |                  270.394595  |      8 |           |      |       2.06126755      -        6.64521406     | 3d2.(3P).4s           | b 2P       | 3/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 3/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  270.69612   |                  270.696170  |      6 |           |      |       4.89451479      -        9.47335474     | 3d2.(1D).4p           | y 2D*      | 5/2  | 3d2.(3P).4d           | 4D         | 5/2  |       |              |            u37  |
Ti II     |                  270.70409   |                  270.704152  |      8 |           |      |       2.06126755      -        6.63997249     | 3d2.(3P).4s           | b 2P       | 3/2  | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 5/2  |       |              |            u37  |
Ti I      |                  270.7110    |                  270.71088   |      0 |           |      |       1.4297561       -        6.008347       | 3d3.(4F).4s           | b 3F       | 2    | 3d2.4s.(2F).5p        | 3F*        | 2    |       |              |         L10989  |
Ti II     |                  270.727635  |                  270.727667  |     46 |           |      |       3.97066726      -        8.54897452     | 3d2.(3F).4p           | z 2D*      | 5/2  | 3d2.(3F).4d           | f 4F       | 7/2  |       |              |            u37  |
Ti I      |                  270.8671    |                  270.86712   |      0 |           |      |       1.4601386       -        6.0360888      | 3d3.(4F).4s           | b 3F       | 4    | 3d2.4s.(2F).5p        | 3G*        | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  270.9045    |                  270.90404   |      2 |           |      |       1.44315261      -        6.018479       | 3d3.(4F).4s           | b 3F       | 3    | 3d2.4s.(2F).5p        | 3G*        | 3    |       |              |         L16762  |
Ti II     |                  271.37580   |                  271.375736  |      7 | 1.5e+06   | D    |       1.07997272      -        5.64734719     | 3d2.(1D).4s           | a 2D       | 3/2  | 3d2.(3P).4p           | y 2P*      | 3/2  |       |       T2403n |            u37  |
Ti II     |                  271.40565   |                  271.40552   |      8 |           |      |       4.89451479      -        9.4613881      | 3d2.(1D).4p           | y 2D*      | 5/2  | 3d2.(3P).4d           | 4F         | 5/2  |       |              |            u37  |
Ti II     |                  271.50290   |                  271.50289   |      7 |           |      |       3.97066726      -        8.5359027      | 3d2.(3F).4p           | z 2D*      | 5/2  | 3d2.(3F).4d           | f 4F       | 5/2  |       |              |            u37  |
Ti I      |                  271.6107    |                  271.61042   |     00 |           |      |       0.8258595       -        5.3892877      | 3d3.(4F).4s           | a 5F       | 3    | 3d2.4s.(4F).5p        | r 3F*      | 2    |       |              |         L16762  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  271.624763  |                  271.624772  |     72 | 3.78e+06  | B'   |       1.08416005      -        5.64734719     | 3d2.(1D).4s           | a 2D       | 5/2  | 3d2.(3P).4p           | y 2P*      | 3/2  |       |        T7385 |            u37  |
Ti II     |                  271.72970   |                  271.729709  |     34 | 2.88e+06  | C+   |       1.13052323      -        5.69194826     | 3d3                   | a 2G       | 9/2  | 3d2.(1G).4p           | z 2H*      | 11/2 |       |        T7385 |            u37  |
Ti II     |                  271.784240  |                  271.784243  |    111 |           |      |       4.64081299      -        9.20132282     | 3d2.(3P).4p           | z 2S*      | 1/2  | 3d2.(1D).4d           | 2P         | 3/2  |       |              |            u37  |
Ti III    |                  271.864     |                  271.864+    |        |           |      |       4.764216        -        9.323390       | 3p6.3d.4s             | 3D         | 3    | 3p6.3d.4p             | 1D*        | 2    |       |              |          L3593  |
Ti II     |                  271.94032   |                  271.940308  |     34 | 6.49e+06  | C+   |       1.07997272      -        5.63786544     | 3d2.(1D).4s           | a 2D       | 3/2  | 3d2.(3P).4p           | y 2P*      | 1/2  |       |        T7385 |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  272.04358   |                  272.043572  |     11 |           |      |       4.86432351      -        9.4204862      | 3d2.(1D).4p           | z 2P*      | 3/2  | 3d2.(1D).4d           | 2D         | 5/2  |       |              |            u37  |
Ti XVI    |                              |                  272.2       |        | 5.3e+01   | D    |     116.5352          -      121.0892         | 2s.(2S).2p4.(1S)      | 2S         | 1/2  | 2s.(2S).2p4.(3P)      | 2P         | 3/2  | M1    |    T3827,u14 |                 |
Ti II     |                  272.20653   |                  272.206504  |     23 |           |      |       3.93732160      -        8.49075731     | 3d2.(3F).4p           | z 2D*      | 3/2  | 3d2.(3F).4d           | 2D         | 5/2  |       |              |            u37  |
Ti I      |                  272.2480    |                  272.24784   |      2 |           |      |       0.8995494       -        5.4522937      | 3d2.4s2               | a 1D       | 2    | 3d2.4s.(4F).5p        | o 3D*      | 1    |       |              |         L10989  |
Ti II     |                  272.33276   |                  272.332761  |      5 |           |      |       3.85760420      -        8.40892898     | 3d2.(3F).4p           | z 4F*      | 7/2  | 3d2.(3F).4d           | e 2G       | 9/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  272.5064    |                  272.50623   |      9 |           |      |       1.0529261       -        5.6013539      | 3d2.4s2               | a 3P       | 1    | 3d2.4s.(2P).4p        | 3P*        | 2    |       |              |         L10989  |
Ti II     |                  272.5181    |                  272.517993  |      3 |           |      |       4.91904347      -        9.46727486     | 3d2.(1D).4p           | z 2P*      | 1/2  | 3d2.(3P).4d           | 4D         | 3/2  |       |              |            u37  |
Ti II     |                  272.57729   |                  272.577319  |     31 | 2.41e+06  | C+   |       1.11558345      -        5.66282498     | 3d3                   | a 2G       | 7/2  | 3d2.(1G).4p           | z 2H*      | 9/2  |       |        T7385 |            u37  |
Ti I      |                  272.7416    |                  272.74157   |      8 |           |      |       1.0460073       -        5.5905106      | 3d2.4s2               | a 3P       | 0    | 3d2.4s.(2P).4p        | 3P*        | 1    |       |              |         L10989  |
Ti I      |                  272.9360    |                  272.937413  |     00 |           |      |       1.4601386       -        6.00138113     | 3d3.(4F).4s           | b 3F       | 4    | 3d2.4s.(4F<9/2>).4f   | 2[11/2]*   | 5    |       |              |         L16762  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  273.084199  |                  273.084200  |    179 |           |      |       3.93732160      -        8.47612329     | 3d2.(3F).4p           | z 2D*      | 3/2  | 3d2.(3F).4d           | 2D         | 3/2  |       |              |            u37  |
Ti I      |                  273.1121    |                  273.11218   |      7 |           |      |       1.06655473      -        5.6048915      | 3d2.4s2               | a 3P       | 2    | 3d3.(4F).5p           | n 3D*      | 3    |       |              |         L10989  |
Ti I      |                  273.1574    |                  273.15746   |      6 |           |      |       1.0529261       -        5.5905106      | 3d2.4s2               | a 3P       | 1    | 3d2.4s.(2P).4p        | 3P*        | 1    |       |              |         L10989  |
Ti II     |                  273.205158  |                  273.205160  |    116 |           |      |       4.86432351      -        9.40111579     | 3d2.(1D).4p           | z 2P*      | 3/2  | 3d2.(1D).4d           | 2D         | 3/2  |       |              |            u37  |
Ti I      |                  273.2324    |                  273.23193   |      4 |           |      |       1.4601386       -        5.9964864      | 3d3.(4F).4s           | b 3F       | 4    | 3d3.(2F).4p           | u 1F*      | 3    |       |              |         L16762  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  273.3253    |                  273.32525   |     13 | 1.9e+08   | D    |       1.06655473      -        5.6013539      | 3d2.4s2               | a 3P       | 2    | 3d2.4s.(2P).4p        | 3P*        | 2    |       |       T2805n |         L10989  |
Ti I      |                  273.3561    |                  273.35591   |      6 |           |      |       1.0529261       -        5.5872166      | 3d2.4s2               | a 3P       | 1    | 3d3.(4F).5p           | n 3D*      | 2    |       |              |         L10989  |
Ti I      |                  273.5284    |                  273.52863   |      8 | 4.1e+08   | D    |       1.0529261       -        5.5843535      | 3d2.4s2               | a 3P       | 1    | 3d2.4s.(2P).4p        | 3P*        | 0    |       |       T2805n |         L10989  |
Ti I      |                  273.5605    |                  273.56090   |     10 |           |      |       0.8995494       -        5.4304423      | 3d2.4s2               | a 1D       | 2    | 3d3.(2D2).4p          | u 1D*      | 2    |       |              |         L10989  |
Ti I      |                  273.6674    |                  273.66730   |      4 |           |      |       1.0460073       -        5.5751388      | 3d2.4s2               | a 3P       | 0    | 3d3.(4F).5p           | n 3D*      | 1    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  273.858374  |                  273.858384  |    228 |           |      |       4.89451479      -        9.4204862      | 3d2.(1D).4p           | y 2D*      | 5/2  | 3d2.(1D).4d           | 2D         | 5/2  |       |              |            u37  |
Ti I      |                  273.9802    |                  273.98040   |     10 |           |      |       1.06655473      -        5.5905106      | 3d2.4s2               | a 3P       | 2    | 3d2.4s.(2P).4p        | 3P*        | 1    |       |              |         L10989  |
Ti I      |                  274.0861    |                  274.08602   |      3 |           |      |       1.0529261       -        5.5751388      | 3d2.4s2               | a 3P       | 1    | 3d3.(4F).5p           | n 3D*      | 1    |       |              |         L10989  |
Ti I      |                  274.1799    |                  274.18005   |      3 |           |      |       1.06655473      -        5.5872166      | 3d2.4s2               | a 3P       | 2    | 3d3.(4F).5p           | n 3D*      | 2    |       |              |         L10989  |
