---------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |   Landé | Leading percentages                            | Reference
3d3.(2H).4p            | y 1H*     |   5 |             5.0882953      |   1.007 |  52         :    40  3d3.(2G).4p          1H*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).5s         | e 1F      |   3 |             5.0941888      |   1.01  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2H).4p            | 3G*       |   3 |             5.1044302      |   0.752 |  88         :     7  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |   4 |             5.1150277      |   1.051 |  89         :     8  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |   5 |             5.1256980      |   1.498 |  90         :     7  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).5s         | 3F        |   2 |             5.1074519      |         |                                                |    L17885
                       |           |   3 |             5.1291018      |         |                                                |    L17885
                       |           |   4 |             5.1430142      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d.4s2.4p              | s 3F*     |   2 |             5.1252275      |   0.668 |  61         :    21  3d3.(2D2).4p         3F*  |    L17885
                       |           |   3 |             5.1400921      |   1.146 |  64         :    18  3d3.(2D2).4p         3F*  |    L17885
                       |           |   4 |             5.1607454      |   1.250 |  63         :    15  3d3.(2D2).4p         3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4p            | v 1F*     |   3 |             5.1558714      |   1.008 |  48         :    29  3d2.(1D).4s.4p.(1P*) 1F*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D1).4s           | 1D        |   2 |             5.1666158      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5p         | 5G*       |   2 |             5.1688109      |         |                                                |    L17885
                       |           |   3 |             5.1771933      |         |                                                |    L17885
                       |           |   4 |             5.1884518      |         |                                                |    L17885
                       |           |   5 |             5.2026537      |         |                                                |    L17885
                       |           |   6 |             5.2198236      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | e 5G      |   2 |             5.17192783     |         |                                                |    L17885
                       |           |   3 |             5.1772737      |         |                                                |    L17885
                       |           |   4 |             5.18487145     |   1.12  |                                                |    L17885
                       |           |   5 |             5.19536880     |   1.24  |                                                |    L17885
                       |           |   6 |             5.20970802     |   1.34  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | e 5H      |   3 |             5.18541750     |         |                                                |    L17885
                       |           |   4 |             5.19706946     |         |                                                |    L17885
                       |           |   5 |             5.20956492     |   1.15  |                                                |    L17885
                       |           |   6 |             5.22267782     |   1.22  |                                                |    L17885
                       |           |   7 |             5.2327998      |   1.28  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5p         | 5F*       |   1 |             5.1892114      |         |                                                |    L17885
                       |           |   2 |             5.1957316      |         |                                                |    L17885
                       |           |   3 |             5.2055634      |         |                                                |    L17885
                       |           |   4 |             5.2187721      |         |                                                |    L17885
                       |           |   5 |             5.2353418      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | 3G        |   3 |             5.19094325     |         |                                                |    L17885
                       |           |   4 |             5.20428937     |         |                                                |    L17885
                       |           |   5 |             5.22837016     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | e 5D      |   0 |             5.1913876      |         |                                                |    L17885
                       |           |   1 |             5.19510861     |         |                                                |    L17885
                       |           |   2 |             5.20218888     |         |                                                |    L17885
                       |           |   3 |             5.21387915     |         |                                                |    L17885
                       |           |   4 |             5.23022701     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | g 3F      |   2 |             5.19144948     |         |                                                |    L17885
                       |           |   3 |             5.20591368     |         |                                                |    L17885
                       |           |   4 |             5.22060936     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2P).4p            | u 3P*     |   2 |             5.1984746      |   1.498 |  41         :    28  3d3.(2D2).4p         3P*  |    L17885
                       |           |   1 |             5.2003788      |   1.497 |  44         :    31  3d3.(2D2).4p         3P*  |    L17885
                       |           |   0 |             5.2022893      |         |  42         :    32  3d3.(2D2).4p         3P*  |    L17885
                       |           |     |                            |         |                                                |           
3d.4s2.4p              | q 3D*     |   1 |             5.2254811      |   0.510 |  42         :    24  3d2.(3P).4s.4p.(1P*) 3D*  |    L17885
                       |           |   2 |             5.2329706      |   1.163 |  40         :    19  3d2.(3P).4s.4p.(1P*) 3D*  |    L17885
                       |           |   3 |             5.2459281      |   1.332 |  49         :    21  3d3.(2F).4p          3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5p         | 5D*       |   0 |             5.2262404      |         |                                                |    L17885
                       |           |   1 |             5.2313829      |         |                                                |    L17885
                       |           |   2 |             5.2407782      |         |                                                |    L17885
                       |           |   3 |             5.2540157      |         |                                                |    L17885
                       |           |   4 |             5.2699882      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.4d              | 3P        |   1 |             5.23099517     |         |                                                |    L17885
                       |           |   2 |             5.25281021     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | 3H        |   4 |             5.23396424     |         |                                                |    L17885
                       |           |   5 |             5.25297406     |         |                                                |    L17885
                       |           |   6 |             5.27308380     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | e 5P      |   1 |             5.28314655     |         |                                                |    L17885
                       |           |   2 |             5.29709905     |         |                                                |    L17885
                       |           |   3 |             5.31380972     |   1.64  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | 3D        |   1 |             5.28846751     |         |                                                |    L17885
                       |           |   2 |             5.30282576     |         |                                                |    L17885
                       |           |   3 |             5.31969978     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2P).4p            | 1D*       |   2 |             5.3223114      |   1.001 |  41         :    19  3d.4s2.4p            1D*  |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 3F1       |   2 |             5.3260006      |         |                                                |    L17885
                       |           |   3 |             5.32709446     |         |                                                |    L17885
                       |           |   4 |             5.33249756     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).4d         | g 5F      |   1 |             5.3355276      |         |                                                |    L17885
                       |           |   2 |             5.34135852     |         |                                                |    L17885
                       |           |   3 |             5.34969398     |         |                                                |    L17885
                       |           |   4 |             5.36008362     |         |                                                |    L17885
                       |           |   5 |             5.37223609     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 1F        |   3 |             5.3822853      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5p         | r 3F*     |   2 |             5.3892877      |         |                                                |    L17885
                       |           |   3 |             5.4036473      |         |                                                |    L17885
                       |           |   4 |             5.4236631      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4d            | 5G        |   2 |             5.40473405     |         |                                                |    L17885
                       |           |   3 |             5.41024124     |         |                                                |    L17885
                       |           |   4 |             5.41798776     |         |                                                |    L17885
                       |           |   5 |             5.42825571     |         |                                                |    L17885
                       |           |   6 |             5.44142723     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D2).4p           | u 1D*     |   2 |             5.4304423      |   1.002 |  45         :    26  3d2.(1D).4s.4p.(1P*) 1D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5p            | 5G*       |   2 |             5.4322625      |         |                                                |    L17885
                       |           |   3 |             5.4389704      |         |                                                |    L17885
                       |           |   4 |             5.4479511      |         |                                                |    L17885
                       |           |   5 |             5.4591784      |         |                                                |    L17885
                       |           |   6 |             5.4726342      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4d            | f 5H      |   3 |             5.4359310      |         |                                                |    L17885
                       |           |   4 |             5.44311143     |   0.91  |                                                |    L17885
                       |           |   5 |             5.45177693     |   1.11  |                                                |    L17885
                       |           |   6 |             5.46166943     |   1.21  |                                                |    L17885
                       |           |   7 |             5.4720001      |   1.29  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4d            | 5F        |   1 |             5.4398704      |         |                                                |    L17885
                       |           |   2 |             5.44464762     |         |                                                |    L17885
                       |           |   3 |             5.45154127     |         |                                                |    L17885
                       |           |   4 |             5.46027572     |         |                                                |    L17885
                       |           |   5 |             5.47055249     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5p         | o 3D*     |   1 |             5.4522937      |         |                                                |    L17885
                       |           |   2 |             5.4651938      |         |                                                |    L17885
                       |           |   3 |             5.4842699      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.4d                 | 5P        |   2 |             5.4528711      |         |                                                |    L17885
                       |           |   3 |             5.4690163      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5p         | 3G*       |   3 |             5.4745961      |         |                                                |    L17885
                       |           |   4 |             5.4871808      |         |                                                |    L17885
                       |           |   5 |             5.5018608      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1G).4s.4p.(1P*)   | x 1H*     |   5 |             5.4755429      |   1.000 |  73         :    20  3d3.(2H).4p          1H*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5p            | 5F*       |   1 |             5.4779811      |         |                                                |    L17885
                       |           |   2 |             5.4828813      |         |                                                |    L17885
                       |           |   3 |             5.4905448      |         |                                                |    L17885
                       |           |   4 |             5.5011052      |         |                                                |    L17885
                       |           |   5 |             5.5144769      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5p            | 5D*       |   0 |             5.4927551      |         |                                                |    L17885
                       |           |   1 |             5.4964041      |         |                                                |    L17885
                       |           |   2 |             5.5035738      |         |                                                |    L17885
                       |           |   3 |             5.5139922      |         |                                                |    L17885
                       |           |   4 |             5.5269259      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 3P1       |   2 |             5.5360591      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5p            | 3F*       |   2 |             5.5587871      |         |                                                |    L17885
                       |           |   3 |             5.5697395      |         |                                                |    L17885
                       |           |   4 |             5.5843667      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4p            | w 3S*     |   1 |             5.5616681      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5p            | n 3D*     |   1 |             5.5751388      |         |                                                |    L17885
                       |           |   2 |             5.5872166      |         |                                                |    L17885
                       |           |   3 |             5.6048915      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).5p            | 3G*       |   3 |             5.5794973      |         |                                                |    L17885
                       |           |   4 |             5.5914035      |         |                                                |    L17885
                       |           |   5 |             5.6055243      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2P).4p         | 3P*       |   0 |             5.5843535      |         |                                                |    L17885
                       |           |   1 |             5.5905106      |         |                                                |    L17885
                       |           |   2 |             5.6013539      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2D).5s         | 3D        |   1 |             5.5908474      |         |                                                |    L17885
                       |           |   2 |             5.5913554      |         |                                                |    L17885
                       |           |   3 |             5.5919825      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).4d         | 3G        |   3 |             5.6293234      |         |                                                |    L17885
                       |           |   4 |             5.6411341      |         |                                                |    L17885
                       |           |   5 |             5.6574212      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).4d         | f 3H      |   4 |             5.6687885      |   0.80  |                                                |    L17885
                       |           |   5 |             5.6825114      |   1.03  |                                                |    L17885
                       |           |   6 |             5.6983673      |   1.17  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).6s         | h 5F      |   1 |             5.6740825      |         |                                                |    L17885
                       |           |   2 |             5.6800800      |         |                                                |    L17885
                       |           |   3 |             5.6900306      |         |                                                |    L17885
                       |           |   4 |             5.7042085      |         |                                                |    L17885
                       |           |   5 |             5.7228277      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).4d         | 3F        |   2 |             5.6756587      |         |                                                |    L17885
                       |           |   3 |             5.6831502      |         |                                                |    L17885
                       |           |   4 |             5.6947198      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).4d         | e 1G      |   4 |             5.7116945      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).5p         | u 1G*     |   4 |             5.7352050      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2P).4p            | 1P*       |   1 |             5.7479628      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2D).5s         | 1D        |   2 |             5.7792755      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).4d         | f 1F      |   3 |             5.7839122      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2F).4p            | 3G*       |   3 |             5.7932110      |   0.756 |  86         :    10  3d3.(2F).4p          3F*  |    L17885
                       |           |   4 |             5.8071699      |   1.054 |  85         :    11  3d3.(2F).4p          3F*  |    L17885
                       |           |   5 |             5.8300267      |   1.203 |  97                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.4p2                | g 5G      |   2 |             5.8203031      |         |                                                |    L17885
                       |           |   3 |             5.8310053      |         |                                                |    L17885
                       |           |   4 |             5.8445822      |         |                                                |    L17885
                       |           |   5 |             5.8620458      |         |                                                |    L17885
                       |           |   6 |             5.8826390      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2F).4p            | p 3F*     |   2 |             5.8505052      |   0.668 |  94                                            |    L17885
                       |           |   3 |             5.8622068      |   1.078 |  83         :    11  3d3.(2F).4p          3G*  |    L17885
                       |           |   4 |             5.8846787      |   1.243 |  84         :    12  3d3.(2F).4p          3G*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5d         | g 5H      |   3 |             5.931449       |         |                                                |    L17885
                       |           |   4 |             5.940523       |         |                                                |    L17885
                       |           |   5 |             5.9505443      |         |                                                |    L17885
                       |           |   6 |             5.9644655      |         |                                                |    L17885
                       |           |   7 |             5.9838127      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5d         | h 5G      |   2 |             5.935182       |         |                                                |    L17885
                       |           |   3 |             5.943397       |         |                                                |    L17885
                       |           |   4 |             5.9534847      |         |                                                |    L17885
                       |           |   5 |             5.9660371      |         |                                                |    L17885
                       |           |   6 |             5.9801769      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).5s            | 1G        |   4 |             5.9455413      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).4f    | 2[7/2]*   |   3 |             5.95099321     |         |                                                |    L17885
                       |           |   4 |             5.95153534     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).4f    | 2[9/2]*   |   4 |             5.95224681     |         |                                                |    L17885
                       |           |   5 |             5.95276844     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).4f    | 2[5/2]*   |   3 |             5.95253048     |         |                                                |    L17885
                       |           |   2 |             5.95255366     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).4f    | 2[3/2]*   |   1 |             5.9528584      |         |                                                |    L17885
                       |           |   2 |             5.95311959     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4p2                | 5F        |   1 |             5.9572347      |         |                                                |    L17885
                       |           |   2 |             5.9645613      |         |                                                |    L17885
                       |           |   3 |             5.9771402      |         |                                                |    L17885
                       |           |   4 |             5.9920009      |         |                                                |    L17885
                       |           |   5 |             6.0085181      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).4f    | 2[5/2]*   |   2 |             5.96334108     |         |                                                |    L17885
                       |           |   3 |             5.96428210     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).4f    | 2[9/2]*   |   4 |             5.96339737     |         |                                                |    L17885
                       |           |   5 |             5.96342606     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).4f    | 2[7/2]*   |   4 |             5.96360850     |         |                                                |    L17885
                       |           |   3 |             5.96362745     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).4f    | 2[11/2]*  |   6 |             5.9640208      |         |                                                |    L17885
                       |           |   5 |             5.96419808     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).4f    | 2[3/2]*   |   1 |             5.96452802     |         |                                                |    L17885
                       |           |   2 |             5.96485526     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).4f    | 2[1/2]*   |   1 |             5.9654874      |         |                                                |    L17885
                       |           |   0 |             5.9657541      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[9/2]*   |   5 |             5.97917597     |         |                                                |    L17885
                       |           |   4 |             5.98053784     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[11/2]*  |   6 |             5.97930251     |         |                                                |    L17885
                       |           |   5 |             5.98008060     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[7/2]*   |   4 |             5.97991741     |         |                                                |    L17885
                       |           |   3 |             5.98088167     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[13/2]*  |   7 |             5.98017399     |         |                                                |    L17885
                       |           |   6 |             5.98111507     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[3/2]*   |   1 |             5.98052033     |         |                                                |    L17885
                       |           |   2 |             5.98134373     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[5/2]*   |   2 |             5.98100444     |         |                                                |    L17885
                       |           |   3 |             5.98111713     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).4f    | 2[1/2]*   |   1 |             5.98146427     |         |                                                |    L17885
                       |           |   0 |             5.9822761      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2F).4p            | u 1F*     |   3 |             5.9964864      |   1.003 |  53         :    24  3d.4s2.4p            1F*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[13/2]*  |   7 |             5.99960109     |         |                                                |    L17885
                       |           |   6 |             6.00087862     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[11/2]*  |   6 |             5.99976262     |         |                                                |    L17885
                       |           |   5 |             6.00138113     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[5/2]*   |   3 |             6.00020534     |         |                                                |    L17885
                       |           |   2 |             6.00183545     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[9/2]*   |   5 |             6.00056106     |         |                                                |    L17885
                       |           |   4 |             6.00139147     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[3/2]*   |   2 |             6.00081113     |         |                                                |    L17885
                       |           |   1 |             6.0036006      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[15/2]*  |   8 |             6.0009697      |         |                                                |    L17885
                       |           |   7 |             6.00258624     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).4f    | 2[7/2]*   |   3 |             6.00179050     |         |                                                |    L17885
                       |           |   4 |             6.00243991     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5d         | 5F        |   1 |             6.0080270      |         |                                                |    L17885
                       |           |   2 |             6.0144657      |         |                                                |    L17885
                       |           |   3 |             6.0241762      |         |                                                |    L17885
                       |           |   4 |             6.0346290      |         |                                                |    L17885
                       |           |   5 |             6.0469084      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).5p         | 3F*       |   2 |             6.008347       |         |                                                |    L17885
                       |           |   3 |             6.029311       |         |                                                |    L17885
                       |           |   4 |             6.047254       |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).5p         | 3G*       |   3 |             6.018479       |         |                                                |    L17885
                       |           |   4 |             6.0360888      |         |                                                |    L17885
                       |           |   5 |             6.059710       |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4p2                | e 3D      |   2 |             6.0410435      |         |                                                |    L17885
                       |           |   1 |             6.0411244      |         |                                                |    L17885
                       |           |   3 |             6.0553520      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4p2                | h 5D      |   0 |             6.0507140      |         |                                                |    L17885
                       |           |   1 |             6.0577873      |         |                                                |    L17885
                       |           |   2 |             6.0646914      |         |                                                |    L17885
                       |           |   3 |             6.0782479      |         |                                                |    L17885
                       |           |   4 |             6.0797373      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<3/2>).4f       | 2[9/2]*   |   5 |             6.0808908      |         |                                                |    L17885
                       |           |   4 |             6.0809225      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<3/2>).4f       | 2[5/2]*   |   3 |             6.08194731     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<3/2>).4f       | 2[7/2]*   |   3 |             6.08281219     |         |                                                |    L17885
                       |           |   4 |             6.0831961      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(2F).5p         | 3D*       |   1 |             6.0851850      |         |                                                |    L17885
                       |           |   2 |             6.0875575      |         |                                                |    L17885
                       |           |   3 |             6.0938641      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<5/2>).4f       | 2[7/2]*   |   3 |             6.09081897     |         |                                                |    L17885
                       |           |   4 |             6.09193220     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<5/2>).4f       | 2[3/2]*   |   1 |             6.0909089      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<5/2>).4f       | 2[11/2]*  |   6 |             6.0912747      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<5/2>).4f       | 2[5/2]*   |   3 |             6.09162722     |         |                                                |    L17885
                       |           |   2 |             6.0918162      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<5/2>).4f       | 2[9/2]*   |   5 |             6.09218519     |         |                                                |    L17885
                       |           |   4 |             6.09229721     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<7/2>).4f       | 2[13/2]*  |   6 |             6.1037996      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<7/2>).4f       | 2[7/2]*   |   4 |             6.10442156     |         |                                                |    L17885
                       |           |   3 |             6.10516319     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<7/2>).4f       | 2[5/2]*   |   3 |             6.10464985     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<7/2>).4f       | 2[11/2]*  |   6 |             6.10487296     |         |                                                |    L17885
                       |           |   5 |             6.1054693      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<7/2>).4f       | 2[9/2]*   |   5 |             6.10493451     |         |                                                |    L17885
                       |           |   4 |             6.1053924      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<9/2>).4f       | 2[15/2]*  |   8 |             6.1176544      |         |                                                |    L17885
                       |           |   7 |             6.1199525      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<9/2>).4f       | 2[7/2]*   |   4 |             6.1194813      |         |                                                |    L17885
                       |           |   3 |             6.1197296      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<9/2>).4f       | 2[9/2]*   |   5 |             6.12065605     |         |                                                |    L17885
                       |           |   4 |             6.1209512      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<9/2>).4f       | 2[13/2]*  |   7 |             6.1207461      |         |                                                |    L17885
                       |           |   6 |             6.12104997     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F<9/2>).4f       | 2[11/2]*  |   6 |             6.12157083     |         |                                                |    L17885
                       |           |   5 |             6.1220236      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).5g    | 2[9/2]    |   4 |             6.2802919      |         |                                                |    L17885
                       |           |   5 |             6.2802922      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).5g    | 2[7/2]    |   4 |             6.2803896      |         |                                                |    L17885
                       |           |   3 |             6.2803915      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<3/2>).5g    | 2[11/2]   |   5 |             6.2804801      |         |                                                |    L17885
                       |           |   6 |             6.2804808      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).5g    | 2[9/2]    |   5 |             6.2920108      |         |                                                |    L17885
                       |           |   4 |             6.2920277      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).5g    | 2[11/2]   |   6 |             6.2920112      |         |                                                |    L17885
                       |           |   5 |             6.2920267      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).5g    | 2[7/2]    |   4 |             6.2920537      |         |                                                |    L17885
                       |           |   3 |             6.2921234      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<5/2>).5g    | 2[13/2]   |   6 |             6.2921515      |         |                                                |    L17885
                       |           |   7 |             6.2921524      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).5g    | 2[11/2]   |   5 |             6.3082920      |         |                                                |    L17885
                       |           |   6 |             6.3083026      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).5g    | 2[9/2]    |   5 |             6.3083013      |         |                                                |    L17885
                       |           |   4 |             6.3083899      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).5g    | 2[13/2]   |   6 |             6.3083267      |         |                                                |    L17885
                       |           |   7 |             6.3083276      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<7/2>).5g    | 2[15/2]   |   7 |             6.3085006      |         |                                                |    L17885
                       |           |   8 |             6.3085008      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).5g    | 2[13/2]   |   7 |             6.3290342      |         |                                                |    L17885
                       |           |   6 |             6.3290352      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).5g    | 2[11/2]   |   5 |             6.3290743      |         |                                                |    L17885
                       |           |   6 |             6.32907458     |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).5g    | 2[15/2]   |   8 |             6.3291299      |         |                                                |    L17885
                       |           |   7 |             6.3291301      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F<9/2>).5g    | 2[9/2]    |   5 |             6.3291751      |         |                                                |    L17885
                       |           |   4 |             6.3291756      |         |                                                |    L17885
