---------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |   Landé | Leading percentages                            | Reference
3d2.(3F).4s.4p.(3P*)   | z 3G*     |   3 |             2.6618772      |   0.758 |  96                                            |    L17885
                       |           |   4 |             2.6766322      |   1.052 |  95                                            |    L17885
                       |           |   5 |             2.6953801      |   1.206 |  95                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(3P*)   | z 1D*     |   2 |             2.7377185      |   1.000 |  88         :     9  3d2.(3P).4s.4p.(3P*) 1D*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(3P*)   | z 1F*     |   3 |             2.7778336      |   0.996 |  98                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(3P*)   | z 1G*     |   4 |             3.0617764      |   1.006 |  96                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | z 3S*     |   1 |             3.0898247      |   1.982 |  91         :     7  3d3.(2P).4p          3S*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2F).4s            | 3F        |   4 |             3.1042426      |         |                                                |    L17885
                       |           |   3 |             3.1081403      |         |                                                |    L17885
                       |           |   2 |             3.1111303      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | z 5S*     |   2 |             3.1123598      |   1.852 |  95                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(1P*)   | y 3F*     |   2 |             3.1129222      |   0.670 |  48         :    24  3d3.(4F).4p          3F*  |    L17885
                       |           |   3 |             3.1277769      |   1.081 |  46         :    22  3d3.(4F).4p          3F*  |    L17885
                       |           |   4 |             3.1477518      |   1.240 |  42         :    25  3d2.(1D).4s.4p.(3P*) 3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4p            | y 3D*     |   1 |             3.1390088      |   0.542 |  51         :    36  3d2.(3F).4s.4p.(1P*) 3D*  |    L17885
                       |           |   2 |             3.1540226      |   1.283 |  37         :    32  3d2.(1D).4s.4p.(3P*) 3D*  |    L17885
                       |           |   3 |             3.1794137      |   1.362 |  36         :    34  3d2.(1D).4s.4p.(3P*) 3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1D).4s.4p.(3P*)   | 3P*       |   2 |             3.1608200      |   1.652 |  52         :    25  3d2.(3P).4s.4p.(3P*) 5D*  |    L17885
                       |           |   1 |             3.1662199      |   1.478 |  63         :    28  3d2.(3P).4s.4p.(3P*) 5D*  |    L17885
                       |           |   0 |             3.1708844      |         |  51         :    34  3d2.(3P).4s.4p.(3P*) 5D*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | 5D*       |   0 |             3.1755314      |         |  61         :    30  3d2.(1D).4s.4p.(3P*) 3P*  |    L17885
                       |           |   1 |             3.1784248      |   1.437 |  65         :    23  3d2.(1D).4s.4p.(3P*) 3P*  |    L17885
                       |           |   2 |             3.1863923      |   1.375 |  72         :    18  3d2.(1D).4s.4p.(3P*) 3P*  |    L17885
                       |           |   3 |             3.1984941      |   1.452 |  75         :    10  3d3.(4F).4p          3D*  |    L17885
                       |           |   4 |             3.2145099      |   1.498 |  86         :     7  3d3.(4F).4p          5D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4p            | y 5G*     |   2 |             3.2848782      |   0.337 |  96                                            |    L17885
                       |           |   3 |             3.2935658      |   0.917 |  96                                            |    L17885
                       |           |   4 |             3.3050983      |   1.151 |  98                                            |    L17885
                       |           |   5 |             3.3194249      |   1.267 | 100                                            |    L17885
                       |           |   6 |             3.3365027      |   1.333 | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1D).4s.4p.(3P*)   | x 3F*     |   2 |             3.3232005      |   0.675 |  57         :    21  3d2.(3F).4s.4p.(1P*) 3F*  |    L17885
                       |           |   3 |             3.3342991      |   1.092 |  60         :    22  3d2.(3F).4s.4p.(1P*) 3F*  |    L17885
                       |           |   4 |             3.3507546      |   1.254 |  59         :    20  3d2.(3F).4s.4p.(1P*) 3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1D).4s.4p.(3P*)   | x 3D*     |   1 |             3.3915953      |   0.531 |  79         :    12  3d2.(3P).4s.4p.(3P*) 3D*  |    L17885
                       |           |   2 |             3.3994023      |   1.237 |  75         :    11  3d2.(3P).4s.4p.(3P*) 3D*  |    L17885
                       |           |   3 |             3.4070939      |   1.402 |  72         :    13  3d2.(3P).4s.4p.(3P*) 3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2F).4s            | 1F        |   3 |             3.4093388      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(1P*)   | y 3G*     |   3 |             3.4094392      |   0.754 |  50         :    23  3d3.(4F).4p          3G*  |    L17885
                       |           |   4 |             3.4237838      |   1.054 |  49         :    24  3d3.(4F).4p          3G*  |    L17885
                       |           |   5 |             3.4405782      |   1.206 |  49         :    24  3d3.(4F).4p          3G*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | z 5P*     |   1 |             3.4300725      |   2.460 |  95                                            |    L17885
                       |           |   2 |             3.4393511      |   1.743 |  93                                            |    L17885
                       |           |   3 |             3.4576469      |   1.574 |  83         :    12  3d2.(1D).4s.4p.(3P*) 3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1D).4s.4p.(1P*)   | y 1D*     |   2 |             3.4600286      |   1.003 |  39         :    24  3d.4s2.4p            1D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4p            | y 5F*     |   1 |             3.5454909      |   0.001 |  96                                            |    L17885
                       |           |   2 |             3.5507637      |   1.001 |  98                                            |    L17885
                       |           |   3 |             3.5586909      |   1.249 |  98                                            |    L17885
                       |           |   4 |             3.5693042      |   1.348 |  97                                            |    L17885
                       |           |   5 |             3.5826547      |   1.401 |  97                                            |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | a 5D      |   0 |             3.5673646      |         | 100                                            |    L17885
                       |           |   1 |             3.5696934      |         | 100                                            |    L17885
                       |           |   2 |             3.5742696      |         | 100                                            |    L17885
                       |           |   3 |             3.5809572      |         | 100                                            |    L17885
                       |           |   4 |             3.5895870      |         | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(1P*)   | w 3D*     |   1 |             3.6775263      |   0.508 |  39         :    22  3d3.(4F).4p          3D*  |    L17885
                       |           |   2 |             3.6908453      |   1.167 |  41         :    24  3d3.(4F).4p          3D*  |    L17885
                       |           |   3 |             3.7086508      |   1.338 |  42         :    26  3d3.(4F).4p          3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4p            | x 5D*     |   0 |             3.6983385      |         |  94                                            |    L17885
                       |           |   1 |             3.7015798      |   1.498 |  87         :     8  3d2.(3P).4s.4p.(3P*) 5D*  |    L17885
                       |           |   2 |             3.7080309      |   1.497 |  86         :     9  3d2.(3P).4s.4p.(3P*) 5D*  |    L17885
                       |           |   3 |             3.7178148      |   1.496 |  75         :    10  3d2.(3F).4s.4p.(1P*) 3D*  |    L17885
                       |           |   4 |             3.7270071      |   1.462 |  88         :     7  3d2.(3P).4s.4p.(3P*) 5D*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1G).4s.4p.(3P*)   | x 3G*     |   3 |             3.7089547      |   0.753 |  76         :    18  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |   4 |             3.7159410      |   1.089 |  74         :    17  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |   5 |             3.7243824      |   1.201 |  75         :    16  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | v 3D*     |   1 |             3.8663245      |   0.502 |  79         :    15  3d2.(1D).4s.4p.(3P*) 3D*  |    L17885
                       |           |   2 |             3.8671501      |   1.169 |  77         :    16  3d2.(1D).4s.4p.(3P*) 3D*  |    L17885
                       |           |   3 |             3.8690517      |   1.334 |  77         :    14  3d2.(1D).4s.4p.(3P*) 3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4p            | w 3G*     |   3 |             3.8898563      |   0.752 |  72         :    19  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |   4 |             3.9041974      |   1.052 |  71         :    21  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |   5 |             3.9214575      |   1.202 |  73         :    20  3d2.(3F).4s.4p.(1P*) 3G*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | y 3P*     |   0 |             3.9285416      |         |  86         :     7  3d3.(2P).4p          3P*  |    L17885
                       |           |   1 |             3.9334737      |   1.497 |  87         :     7  3d3.(2P).4p          3P*  |    L17885
                       |           |   2 |             3.9434114      |   1.498 |  86         :     8  3d3.(2P).4p          3P*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1G).4s.4p.(3P*)   | z 3H*     |   4 |             3.9464132      |   0.803 |  84         :    12  3d3.(2G).4p          3H*  |    L17885
                       |           |   5 |             3.9568678      |   1.036 |  85         :    11  3d3.(2G).4p          3H*  |    L17885
                       |           |   6 |             3.9691736      |   1.169 |  85         :    12  3d3.(2G).4p          3H*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D1).4s           | 3D        |   3 |             4.0312924      |         |                                                |    L17885
                       |           |   2 |             4.0344340      |         |                                                |    L17885
                       |           |   1 |             4.0366055      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1D).4s.4p.(1P*)   | y 1F*     |   3 |             4.0738384      |   0.998 |  48         :    34  3d3.(2G).4p          1F*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4p            | x 3P*     |   0 |             4.1020359      |         |  38         :    29  3d2.(3P).4s.4p.(1P*) 3P*  |    L17885
                       |           |   1 |             4.1026987      |   1.469 |  39         :    25  3d2.(3P).4s.4p.(1P*) 3P*  |    L17885
                       |           |   2 |             4.1056648      |   1.498 |  38         :    29  3d2.(3P).4s.4p.(1P*) 3P*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4p            | w 3F*     |   2 |             4.1727959      |   0.669 |  58         :    31  3d2.(3F).4s.4p.(1P*) 3F*  |    L17885
                       |           |   3 |             4.1758185      |   1.086 |  56         :    29  3d2.(3F).4s.4p.(1P*) 3F*  |    L17885
                       |           |   4 |             4.1783771      |   1.254 |  59         :    28  3d2.(3F).4s.4p.(1P*) 3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1D).4s.4p.(1P*)   | z 1P*     |   1 |             4.1733889      |   1.101 |  39         :    28  3d2.(3P).4s.4p.(3P*) 1P*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1G).4s.4p.(3P*)   | v 3F*     |   2 |             4.2130640      |   0.664 |  82         :     9  3d.4s2.4p            3F*  |    L17885
                       |           |   3 |             4.2252086      |   1.085 |  83         :     9  3d.4s2.4p            3F*  |    L17885
                       |           |   4 |             4.2408776      |   1.252 |  83         :    10  3d.4s2.4p            3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 3P2       |   0 |             4.2426572      |         |  56         :    41  3d4                  3P1  |    L17885
                       |           |   1 |             4.2561092      |         |  56         :    41  3d4                  3P1  |    L17885
                       |           |   2 |             4.2817926      |         |  56         :    41  3d4                  3P1  |    L17885
                       |           |     |                            |         |                                                |           
3d3.4d                 | 1D        |   2 |             4.277054       |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4p            | z 1H*     |   5 |             4.3022783      |   1.001 |  62         :    21  3d3.(2H).4p          1H*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | y 1P*     |   1 |             4.3328901      |   1.031 |  59         :    20  3d2.(1D).4s.4p.(1P*) 1P*  |    L17885
